rt,response,trial_index,roundID,target,rotation,tangramURLs,director_msg,trial_type,time_elapsed,internal_node_id,annotationLabel,annotation
"8319","[object Object]","1","01JH9TDR2ARR4RHSZMBY3VD2GC","tangrams/33_410.png","270","tangrams/33_410.png,tangrams/110_404.png,tangrams/110_410.png,tangrams/33_404.png","large triangle to the left flat bottom","survey-html-form","8320","0.0-0.0","top_bottom","top_bottom"
"2499","[object Object]","2","01JH9TDR3Z1NV2AWB8E1F3W36N","tangrams/33_400.png","270","tangrams/33_157.png,tangrams/33_400.png,tangrams/273_157.png,tangrams/273_400.png","triangle pointing to the left flat bottom","survey-html-form","10821","0.0-1.0","top_bottom","top_bottom"
"5015","[object Object]","3","01JH9TDR23Z2CP6JREXCPBH40F","tangrams/273_404.png","270","tangrams/273_410.png,tangrams/273_404.png,tangrams/33_410.png,tangrams/33_404.png","rectangle on the left two spikes on the bottom","survey-html-form","15838","0.0-2.0","top_bottom","top_bottom"
"22081","[object Object]","4","01JH9TDR77BSE0X2TBH7D4SXGX","tangrams/110_404.png","270","tangrams/110_400.png,tangrams/115_404.png,tangrams/115_400.png,tangrams/110_404.png","no diamond spike on the bottom","survey-html-form","37921","0.0-3.0","top_bottom","top_bottom"
"3264","[object Object]","5","01JH9TDR6MN0WNBFG20178VMG8","tangrams/110_157.png","270","tangrams/110_157.png,tangrams/33_157.png,tangrams/110_400.png,tangrams/33_400.png","the N","survey-html-form","41187","0.0-4.0","holistic","holistic"
"6033","[object Object]","6","01JH9TDR1YH4XDDEVPAQDKNZP8","tangrams/33_404.png","270","tangrams/33_404.png,tangrams/110_400.png,tangrams/110_404.png,tangrams/33_400.png","triangle to the left 2 spikes on the bottom","survey-html-form","47222","0.0-5.0","top_bottom","top_bottom"
"5347","[object Object]","7","01JH9TDR1MGA8E9QBH2Q72CHJN","tangrams/110_400.png","270","tangrams/115_400.png,tangrams/110_400.png,tangrams/110_157.png,tangrams/115_157.png","largest flat bottom","survey-html-form","52570","0.0-6.0","top_bottom","top_bottom"
"6499","[object Object]","8","01JH9TDR2PRGW6SFWEM2QHFEMX","tangrams/115_400.png","270","tangrams/115_400.png,tangrams/110_400.png,tangrams/110_410.png,tangrams/115_410.png","diamond on the left mostly flat right side","survey-html-form","59071","0.0-7.0","top_bottom","top_bottom"
"6481","[object Object]","9","01JH9TDR1ECJ5YF0VT3TP65PVQ","tangrams/273_410.png","270","tangrams/115_410.png,tangrams/273_410.png,tangrams/273_404.png,tangrams/115_404.png","rectangle on the left side one spike at the bottom","survey-html-form","65554","0.0-8.0","top","top"
"5280","[object Object]","10","01JH9TDR301A4ZFK8QYJZMHHDD","tangrams/33_157.png","270","tangrams/110_410.png,tangrams/110_157.png,tangrams/33_157.png,tangrams/33_410.png","large triangle on the left 2 spikes on the bottom","survey-html-form","70837","0.0-9.0","top_bottom","top_bottom"
"8580","[object Object]","11","01JH9TDR4K52D3V3T1P62MK0RE","tangrams/115_404.png","270","tangrams/33_404.png,tangrams/33_157.png,tangrams/115_157.png,tangrams/115_404.png","diamond on the left wider mid section","survey-html-form","79420","0.0-10.0","top_bottom","top_bottom"
"4102","[object Object]","12","01JH9TDR80TCFGAQPSBDY7DV3R","tangrams/115_410.png","270","tangrams/115_410.png,tangrams/33_410.png,tangrams/33_157.png,tangrams/115_157.png","diamond on the left flat bottom","survey-html-form","83523","0.0-11.0","top_bottom","top_bottom"
"3329","[object Object]","13","01JH9TDR5JBGTQKM9WBJNGC89Y","tangrams/115_157.png","270","tangrams/273_157.png,tangrams/273_404.png,tangrams/115_157.png,tangrams/115_404.png","diamond on the left flat edge on top","survey-html-form","86854","0.0-12.0","top_bottom","top_bottom"
"6732","[object Object]","14","01JH9TDR3BDWAQ7ZB226KC7BMX","tangrams/273_400.png","270","tangrams/273_157.png,tangrams/273_400.png,tangrams/33_400.png,tangrams/33_157.png","rectangle on the left only one spike on the bottom","survey-html-form","93587","0.0-13.0","top","top"
"13600","[object Object]","15","01JH9TDR491DP3FMXD5KQ05XHK","tangrams/273_157.png","270","tangrams/273_410.png,tangrams/110_410.png,tangrams/110_157.png,tangrams/273_157.png","on the bottom, rectangle to the left 2 spikes","survey-html-form","107188","0.0-14.0","top_bottom","top_bottom"
