rt,response,trial_index,roundID,target,rotation,tangramURLs,director_msg,trial_type,time_elapsed,internal_node_id,annotationLabel,annotation
"3909","[object Object]","1","01JH9T2PJDE2NHK8460AYHM384","tangrams/24_165.png","180","tangrams/362_348.png,tangrams/24_165.png,tangrams/362_165.png,tangrams/24_348.png","totally flat top rectangle middle triangle bottom","survey-html-form","3909","0.0-0.0","top_bottom","top_bottom"
"6978","[object Object]","2","01JH9T2PJT5PMRPZTAM31GPFZW","tangrams/362_7.png","180","tangrams/362_7.png,tangrams/326_7.png,tangrams/326_348.png,tangrams/362_348.png","trianglea at top going down flat bottom two triangles coming out of left","survey-html-form","10891","0.0-1.0","top_bottom","top_bottom"
"22564","[object Object]","3","01JH9T2PJBPQY6SS750S4085SX","tangrams/24_202.png","180","tangrams/356_202.png,tangrams/24_7.png,tangrams/356_7.png,tangrams/24_202.png","flat top triangle at top left rectangle in middle two triangles at bottom","survey-html-form","33460","0.0-2.0","top_bottom","top_bottom"
"16461","[object Object]","4","01JH9T2PJWG928XAVMSXTC693W","tangrams/326_7.png","180","tangrams/362_348.png,tangrams/326_348.png,tangrams/362_7.png,tangrams/326_7.png","4 legs alien","survey-html-form","49924","0.0-3.0","idk","idk"
"14114","[object Object]","5","01JH9T2PJKW7DJ8NGDSG9C3H4E","tangrams/356_165.png","180","tangrams/362_165.png,tangrams/356_348.png,tangrams/362_348.png,tangrams/356_165.png","totally flat top character facing right","survey-html-form","64040","0.0-4.0","holistic","holistic"
"9799","[object Object]","6","01JH9T2PJFSH7B4TD5QXG7RN9R","tangrams/24_348.png","180","tangrams/356_202.png,tangrams/24_202.png,tangrams/24_348.png,tangrams/356_348.png","sonic looking right rectangle in middle two triangles at bottom","survey-html-form","73843","0.0-5.0","top_bottom","top_bottom"
"5744","[object Object]","7","01JH9T2PJR3V3ZWND5ADYRXJHY","tangrams/24_7.png","180","tangrams/24_7.png,tangrams/24_348.png,tangrams/362_348.png,tangrams/362_7.png","among us","survey-html-form","79591","0.0-6.0","holistic","holistic"
"7297","[object Object]","8","01JH9T2PK0EBF03ADV8Q2GTH2Q","tangrams/356_202.png","180","tangrams/356_348.png,tangrams/362_202.png,tangrams/356_202.png,tangrams/362_348.png","flat top triangle top left character facring right","survey-html-form","86891","0.0-7.0","top_bottom","top_bottom"
"7331","[object Object]","9","01JH9T2PH9E7PG7QSD1YP6Y1Y8","tangrams/362_165.png","180","tangrams/356_165.png,tangrams/362_7.png,tangrams/356_7.png,tangrams/362_165.png","totally flat top flat bottom triangle facing left and facing right","survey-html-form","94225","0.0-8.0","top_bottom","top_bottom"
"4665","[object Object]","10","01JH9T2PJQT5WPMA9H5NCRTH5P","tangrams/356_348.png","180","tangrams/362_7.png,tangrams/356_348.png,tangrams/356_7.png,tangrams/362_348.png","tounge guy","survey-html-form","98892","0.0-9.0","holistic","holistic"
"4363","[object Object]","11","01JH9T2PJNWV03X7ZTNCB4P9EX","tangrams/326_348.png","180","tangrams/326_7.png,tangrams/356_348.png,tangrams/326_348.png,tangrams/356_7.png","sonic the hedgehog looking right with four legs","survey-html-form","103258","0.0-10.0","top_bottom","top_bottom"
"3865","[object Object]","12","01JH9T2PJ7XZ6PXC3X15J025RF","tangrams/362_348.png","180","tangrams/362_348.png,tangrams/326_202.png,tangrams/326_348.png,tangrams/362_202.png","sonic looking right flat bottom","survey-html-form","107125","0.0-11.0","top_bottom","top_bottom"
"2832","[object Object]","13","01JH9T2PJHM40MPFGHEA5K16RC","tangrams/326_165.png","180","tangrams/326_202.png,tangrams/326_165.png,tangrams/356_165.png,tangrams/356_202.png","flat top totally 4 legs","survey-html-form","109958","0.0-12.0","top_bottom","top_bottom"
"2430","[object Object]","14","01JH9T2PJARZRSWCW5TE0CTH1C","tangrams/362_202.png","180","tangrams/326_202.png,tangrams/362_165.png,tangrams/326_165.png,tangrams/362_202.png","flat top triangle left flat bottom","survey-html-form","112391","0.0-13.0","top_bottom","top_bottom"
"8498","[object Object]","15","01JH9T2PJGCCCM8Z22V9Z0G9QA","tangrams/356_7.png","180","tangrams/356_7.png,tangrams/24_165.png,tangrams/356_165.png,tangrams/24_7.png","character looking right triangle middle going down","survey-html-form","120891","0.0-14.0","top_bottom","top_bottom"
"3098","[object Object]","16","01JH9T2PK4XJMW90NF1HXBNX1T","tangrams/326_202.png","180","tangrams/326_165.png,tangrams/356_165.png,tangrams/356_202.png,tangrams/326_202.png","flat top triangle left 4 legs","survey-html-form","123991","0.0-15.0","top_bottom","top_bottom"
"4982","[object Object]","17","01JHKP9QXJX7ECZ21E4186AWQ7","tangrams/181_352.png","180","tangrams/246_124.png,tangrams/63_80.png,tangrams/181_352.png,tangrams/431_21.png","kite on top","survey-html-form","128974","0.0-16.0","bottom","bottom"
"3414","[object Object]","18","01JHKP9QKRQNS43TYYMRA9RNDX","tangrams/246_21.png","180","tangrams/431_124.png,tangrams/181_352.png,tangrams/246_21.png,tangrams/63_80.png","Flat top","survey-html-form","132390","0.0-17.0","bottom","bottom"
"3083","[object Object]","19","01JHKP9QPT3B6VNHPWHWPHGC6V","tangrams/63_80.png","180","tangrams/63_80.png,tangrams/181_352.png,tangrams/246_124.png,tangrams/431_21.png","down arrow","survey-html-form","135475","0.0-18.0","top","top"
"8031","[object Object]","20","01JHKP9R6PW8B5WM1M1EC16F0R","tangrams/181_80.png","180","tangrams/63_124.png,tangrams/431_21.png,tangrams/181_80.png,tangrams/246_352.png","k","survey-html-form","143508","0.0-19.0","idk","idk"
"3783","[object Object]","21","01JHKP9QMQYTACVTB7Y41YW6YJ","tangrams/181_21.png","180","tangrams/181_21.png,tangrams/431_124.png,tangrams/246_80.png,tangrams/63_352.png","flat top","survey-html-form","147291","0.0-20.0","bottom","bottom"
"5063","[object Object]","22","01JHKP9QQJH22KKZH9FCDKGC48","tangrams/431_80.png","180","tangrams/431_80.png,tangrams/181_124.png,tangrams/63_352.png,tangrams/246_21.png","K","survey-html-form","152357","0.0-21.0","bottom","bottom"
"3166","[object Object]","23","01JHKP9QTQW953A2QNYKH0RJ8Q","tangrams/181_124.png","180","tangrams/181_124.png,tangrams/431_80.png,tangrams/246_21.png,tangrams/63_352.png","E","survey-html-form","155525","0.0-22.0","bottom","bottom"
"4531","[object Object]","24","01JHKP9QWW54AK7M4C96QTK6T5","tangrams/246_352.png","180","tangrams/181_21.png,tangrams/246_352.png,tangrams/63_80.png,tangrams/431_124.png","Kite, Kite 25","survey-html-form","160057","0.0-23.0","bottom","bottom"
"2949","[object Object]","25","01JHKP9QW37JX9VVN0V3B3QV46","tangrams/246_80.png","180","tangrams/431_21.png,tangrams/246_80.png,tangrams/181_352.png,tangrams/63_124.png","K m","survey-html-form","163007","0.0-24.0","top_bottom","top_bottom"
"2865","[object Object]","26","01JHKP9QYHKDFQTH9REMTF0MAW","tangrams/431_21.png","180","tangrams/246_352.png,tangrams/181_80.png,tangrams/431_21.png,tangrams/63_124.png","Flat top","survey-html-form","165874","0.0-25.0","bottom","bottom"
"1900","[object Object]","27","01JHKP9QNQCDEQ67E2DA9EJP9F","tangrams/431_124.png","180","tangrams/181_21.png,tangrams/63_352.png,tangrams/246_80.png,tangrams/431_124.png","e","survey-html-form","167774","0.0-26.0","bottom","bottom"
"5314","[object Object]","28","01JHKP9QR9NJ3ZPN601MR21NA5","tangrams/431_352.png","180","tangrams/246_80.png,tangrams/431_352.png,tangrams/63_124.png,tangrams/181_21.png","same","survey-html-form","173091","0.0-27.0","idk","idk"
"2547","[object Object]","29","01JHKP9QSMF8NF1K63JYZWYVWV","tangrams/63_352.png","180","tangrams/246_124.png,tangrams/431_80.png,tangrams/181_21.png,tangrams/63_352.png","Kite","survey-html-form","175641","0.0-28.0","bottom","bottom"
"2181","[object Object]","30","01JHKP9QXYD9HVKVTW9HE8DH07","tangrams/63_124.png","180","tangrams/246_21.png,tangrams/431_80.png,tangrams/63_124.png,tangrams/181_352.png","Down arrow","survey-html-form","177824","0.0-29.0","top","top"
"2432","[object Object]","31","01JHKP9QYY5E70KGFZRGNJ63WQ","tangrams/246_124.png","180","tangrams/431_21.png,tangrams/63_352.png,tangrams/181_80.png,tangrams/246_124.png","E and M","survey-html-form","180258","0.0-30.0","top_bottom","top_bottom"
"3397","[object Object]","32","01JHKP9QX75N3SVHQWAN1BNR0X","tangrams/63_21.png","180","tangrams/63_21.png,tangrams/181_80.png,tangrams/246_124.png,tangrams/431_352.png","same down arrow","survey-html-form","183658","0.0-31.0","top","top"
"3531","[object Object]","33","01JH1FTZ444JRVDA72867MP7D4","tangrams/48_116.png","270","tangrams/171_414.png,tangrams/63_124.png,tangrams/48_116.png,tangrams/454_215.png","Fish","survey-html-form","187190","0.0-32.0","holistic","holistic"
"52383","[object Object]","34","01JH1FTZ444JRVDA728X6CAFRB","tangrams/269_153.png","270","tangrams/95_133.png,tangrams/171_414.png,tangrams/454_215.png,tangrams/269_153.png","tiny L right","survey-html-form","239574","0.0-33.0","bottom","bottom"
"5349","[object Object]","35","01JH1FTZ41H8K4QVZ9SFKPTH03","tangrams/150_155.png","270","tangrams/48_116.png,tangrams/366_342.png,tangrams/150_155.png,tangrams/123_87.png","3 on left","survey-html-form","244925","0.0-34.0","top","top"
"3799","[object Object]","36","01JH1FTZ3P7SH1QMNPWQ4718SY","tangrams/457_453.png","270","tangrams/269_153.png,tangrams/150_155.png,tangrams/457_453.png,tangrams/173_422.png","tiny diamond top left","survey-html-form","248725","0.0-35.0","top","top"
"2264","[object Object]","37","01JH1FTZ490F3FBX4VJBKXPDPD","tangrams/361_66.png","270","tangrams/150_155.png,tangrams/457_453.png,tangrams/123_87.png,tangrams/361_66.png","whole black shape","survey-html-form","250991","0.0-36.0","holistic","holistic"
"2864","[object Object]","38","01JH1FTZ453HGVF74VBACVMZXG","tangrams/171_414.png","270","tangrams/392_5.png,tangrams/457_453.png,tangrams/48_116.png,tangrams/171_414.png","arrow rightside","survey-html-form","253857","0.0-37.0","bottom","bottom"
"2331","[object Object]","39","01JH1FTZ42CQCG07CNBKT6WWWM","tangrams/454_215.png","270","tangrams/366_342.png,tangrams/48_116.png,tangrams/454_215.png,tangrams/361_66.png","Block C on the right","survey-html-form","256191","0.0-38.0","bottom","bottom"
"2597","[object Object]","40","01JH1FTZ4BY7TTCDE33DGDKTPX","tangrams/63_124.png","270","tangrams/454_215.png,tangrams/243_179.png,tangrams/173_422.png,tangrams/63_124.png","Big E on right","survey-html-form","258790","0.0-39.0","bottom","bottom"
