gameID,actualPlayerCount,batchID,contextSize,contextStructure,status,targets
01J040PA05WJE07E0XMA3Y2SEY,2,01J040P9Z65A6GDAXM8Q9Y76XR,4,comp-within,ended,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]"
01J040PA05WJE07E0XMPBVRQ15,2,01J040P9Z65A6GDAXM8Q9Y76XR,4,comp-between,ended,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]"
01J0430R0E3M1BVDN8PR15AXGB,2,01J0430QZR39AM3HSG6HQT3D8N,4,comp-within,ended,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]"
01J03Y968R6F0X8KGV3DNS0PP8,2,01J03Y967TCNPP237P3PJJV9XT,4,comp-between,terminated,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]"
01J0408KDYV5BVVZP6R2H59FV8,2,01J0408KD6EWMVEQV4N99654BD,4,comp-within,terminated,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]"
01J040PA014XGMYAEPM0GRRBVR,2,01J040P9Z65A6GDAXM8Q9Y76XR,4,comp-within,ended,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]"
01J040PA04TYSXY3APSH6W68K0,2,01J040P9Z65A6GDAXM8Q9Y76XR,4,noncomp,ended,"[[0,16],[1,17],[2,18],[3,19],[4,20],[5,21],[6,22],[7,23],[8,24],[9,25],[10,26],[11,27],[12,28],[13,29],[14,30],[15,31]]"
01J03X4YYSKP64RZB0GYTKGY80,2,01J03X4YXYK0TYRA79BHHZWAX1,4,comp-between,terminated,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]"
01J03XTTBKJ1XC0TE0DXQBY0SG,2,01J03XTTARHPSJN4QH9P6F8KRV,4,comp-between,terminated,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]"
01J03Y5GN11CJ3N7W8K5WQG2Y0,2,01J03Y5GM473RKT307CHVF30BC,4,comp-within,terminated,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]"
01J040PA014XGMYAEPKN4SPZBD,2,01J040P9Z65A6GDAXM8Q9Y76XR,4,comp-between,ended,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]"
