roundID,correct,gameID,index,numTrials,repNum,response,target,targetNum,trialNum,tangramURLs
01J042MPH2THCQRH7CXQWP74A7,TRUE,01J040PA05WJE07E0XMA3Y2SEY,13,33,0,/tangrams/3_19.png,/tangrams/3_19.png,14,13,"[""/tangrams/1_19.png"",""/tangrams/3_19.png"",""/tangrams/3_16.png"",""/tangrams/1_16.png""]"
01J042NN8WWX8ZA6P1N3XAHZ3E,TRUE,01J040PA014XGMYAEPM0GRRBVR,10,33,0,/tangrams/1_18.png,/tangrams/1_18.png,11,10,"[""/tangrams/1_18.png"",""/tangrams/0_17.png"",""/tangrams/1_17.png"",""/tangrams/0_18.png""]"
01J042RGY894JA5B2G0W5QVVD8,FALSE,01J040PA04TYSXY3APSH6W68K0,11,33,0,NA,/tangrams/9_25.png,12,11,"[""/tangrams/11_27.png"",""/tangrams/3_19.png"",""/tangrams/9_25.png"",""/tangrams/10_26.png""]"
01J03XVMS1CFCSN3EFR7CNV9SR,NA,01J03XTTBKJ1XC0TE0DXQBY0SG,37,65,2,NA,/tangrams/3_18.png,6,37,"[""/tangrams/0_19.png"",""/tangrams/1_16.png"",""/tangrams/2_17.png"",""/tangrams/3_18.png""]"
01J042MPGQGDV4VXJFQBRP76NS,TRUE,01J040PA05WJE07E0XMA3Y2SEY,10,33,0,/tangrams/2_17.png,/tangrams/2_17.png,11,10,"[""/tangrams/0_17.png"",""/tangrams/0_16.png"",""/tangrams/2_17.png"",""/tangrams/2_16.png""]"
01J03XVMPJJNHNS5S3RV9CZB61,FALSE,01J03XTTBKJ1XC0TE0DXQBY0SG,4,65,0,/tangrams/3_16.png,/tangrams/1_17.png,5,4,"[""/tangrams/2_19.png"",""/tangrams/0_18.png"",""/tangrams/1_17.png"",""/tangrams/3_16.png""]"
01J03YA1BTXYHJVRGPVEC8E7N2,NA,01J03Y968R6F0X8KGV3DNS0PP8,24,33,1,NA,/tangrams/2_18.png,9,24,"[""/tangrams/3_19.png"",""/tangrams/1_17.png"",""/tangrams/2_18.png"",""/tangrams/0_16.png""]"
01J042MPHR2DWESG4E2CNXG3EV,TRUE,01J040PA05WJE07E0XMA3Y2SEY,17,33,1,/tangrams/0_18.png,/tangrams/0_18.png,2,17,"[""/tangrams/3_18.png"",""/tangrams/3_16.png"",""/tangrams/0_16.png"",""/tangrams/0_18.png""]"
01J042P590RKX5DRAEZYDJEW4N,TRUE,01J040PA05WJE07E0XMPBVRQ15,28,33,1,/tangrams/3_16.png,/tangrams/3_16.png,13,28,"[""/tangrams/1_19.png"",""/tangrams/2_18.png"",""/tangrams/0_17.png"",""/tangrams/3_16.png""]"
01J0431D1V04HJ2DZQSGFJ04MD,TRUE,01J0430R0E3M1BVDN8PR15AXGB,31,33,1,/tangrams/1_17.png,/tangrams/1_17.png,16,31,"[""/tangrams/1_17.png"",""/tangrams/3_17.png"",""/tangrams/3_16.png"",""/tangrams/1_16.png""]"
01J03X5AES9G3DV20Z0SF84EK6,NA,01J03X4YYSKP64RZB0GYTKGY80,56,65,3,NA,/tangrams/2_17.png,9,56,"[""/tangrams/2_17.png"",""/tangrams/1_18.png"",""/tangrams/3_16.png"",""/tangrams/0_19.png""]"
01J03X5AF1T0SD8E8GZVMM9GKR,NA,01J03X4YYSKP64RZB0GYTKGY80,60,65,3,NA,/tangrams/2_18.png,13,60,"[""/tangrams/2_18.png"",""/tangrams/1_17.png"",""/tangrams/3_16.png"",""/tangrams/0_19.png""]"
