gameID,actualPlayerCount,batchID,contextSize,contextStructure,status,targets
01J1G0KV0T7D3WGBCNEGF6N0QC,NA,01J1G0KTZT9PGNRDBFNQVWGS4N,NA,NA,terminated,NA
01J1G1WHT9T93BKEMYX1GA4C93,2,01J1G1WHSGH86TY9ERYRE7DDTW,4,comp-within,ended,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]"
01J1G2BFNZX85J152SRG2XMJ7M,2,01J1G2BFN0V4NRGA0RRRMWK4VC,4,comp-between,ended,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]"
01J1G2BFP1PWCGVSRMBF7V50Z5,2,01J1G2BFN0V4NRGA0RRRMWK4VC,4,comp-within,ended,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]"
01J1G2YKN01DFX61RSJD6JCCFB,2,01J1G2YKKY64N5QWXBZ4KNKWBC,4,comp-between,ended,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]"
01J1G0KV0T7D3WGBCNERC9V0YF,NA,01J1G0KTZT9PGNRDBFNQVWGS4N,NA,NA,terminated,NA
01J1G0KV0WY5ZGHA014RVTCHJF,NA,01J1G0KTZT9PGNRDBFNQVWGS4N,NA,NA,terminated,NA
01J1G1WHT4GZEZV213005AZ1MM,2,01J1G1WHSGH86TY9ERYRE7DDTW,4,comp-between,terminated,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]"
01J1G1WHTAFKTGHBG3KKSCJSTE,2,01J1G1WHSGH86TY9ERYRE7DDTW,4,noncomp,ended,"[[0,16],[1,17],[2,18],[3,19],[4,20],[5,21],[6,22],[7,23],[8,24],[9,25],[10,26],[11,27],[12,28],[13,29],[14,30],[15,31]]"
01J1G2BFP2D4J7V9H0V3XJEAHQ,2,01J1G2BFN0V4NRGA0RRRMWK4VC,4,noncomp,ended,"[[0,16],[1,17],[2,18],[3,19],[4,20],[5,21],[6,22],[7,23],[8,24],[9,25],[10,26],[11,27],[12,28],[13,29],[14,30],[15,31]]"
