roundID,text,playerID,director
01J1GD1F0R8ZCW1RFD4JHSN6FP,it looks like a person's head,01J1GCX8GDS14BXNM6CHK2N3YD,t
01J1GD1F23FW1MKZ7VBVZE2FWH,it is mostly in the top right corner and is very spikey,01J1GCTBVK12MQ5CB3YAC9C6SQ,t
01J1GD1F23FW1MKZ7VCTBKWG7Z,it kind of looks like a crown on a box,01J1GCTBVK12MQ5CB3YAC9C6SQ,t
01J1GD1F23FW1MKZ7VCTBKWG7Z,a spikey crown,01J1GCTBVK12MQ5CB3YAC9C6SQ,t
01J1GD1F24K3F9HD46DT0WT731,can I have more information,01J1GCTBVK12MQ5CB3YAC9C6SQ,f
01J1GD1F24K3F9HD46DT0WT731,top looks like a helicopter's rotor blade,01J1GCX8GDS14BXNM6CHK2N3YD,t
01J1GD1F24K3F9HD46DT0WT731,more boxy at the bottom,01J1GCX8GDS14BXNM6CHK2N3YD,t
01J1GD1F24K3F9HD46ENHAN7PB,looks like an airplane flying to the right,01J1GCX8GDS14BXNM6CHK2N3YD,t
01J1GD1F2512KKXM6BKS7CY1CR,looks like the spaceship from retro arcade games that shoots lasers,01J1GCX8GDS14BXNM6CHK2N3YD,t
01J1GD1F2512KKXM6BKS7CY1CR,its symmetric,01J1GCX8GDS14BXNM6CHK2N3YD,t
01J1GD1F2512KKXM6BMP0SSMJC,it looks like a cat,01J1GCTBVK12MQ5CB3YAC9C6SQ,t
01J1GD1F26XGM6Q03XXKQGJ28P,it looks like a fish tail,01J1GCTBVK12MQ5CB3YAC9C6SQ,t
01J1GD1F27VAEZBA6K66156KMW,can I have more informaiton,01J1GCTBVK12MQ5CB3YAC9C6SQ,f
01J1GD1F27VAEZBA6K66156KMW,looks like texas lol,01J1GCX8GDS14BXNM6CHK2N3YD,t
01J1GD1F27VAEZBA6K66156KMW,or uhh any square american state,01J1GCX8GDS14BXNM6CHK2N3YD,t
01J1GD1F28VYHGQXYXCBRT4RN3,looks like a stickman with a triangular head,01J1GCX8GDS14BXNM6CHK2N3YD,t
01J1GD1F29K02M8Q03YVWZ8CNN,fish tail,01J1GCTBVK12MQ5CB3YAC9C6SQ,t
