roundID,correct,gameID,index,numTrials,repNum,response,target,targetNum,trialNum,tangramURLs
01JFGA8FGK040X46CJGG8YHWGX,NA,01JFG9ZJ9GEX6MPZ0HAKGHGQ29,40,65,2,NA,/tangrams/311_437.png,9,40,"[""/tangrams/97_437.png"",""/tangrams/311_267.png"",""/tangrams/97_267.png"",""/tangrams/311_437.png""]"
01JFGB9AY2SWYA2NQR2ZBE87QZ,TRUE,01JFGA58DFG208NE3ZXZFARAF8,60,65,3,/tangrams/182_243.png,/tangrams/182_243.png,13,60,"[""/tangrams/47_7.png"",""/tangrams/182_243.png"",""/tangrams/182_7.png"",""/tangrams/47_243.png""]"
01JFG9M8FKEX2X5089CE8CJPE8,TRUE,01JFG8YPFB4QWAE1J5AKFP27SX,2,65,0,/tangrams/287_82.png,/tangrams/287_82.png,3,2,"[""/tangrams/287_82.png"",""/tangrams/415_250.png"",""/tangrams/11_360.png"",""/tangrams/74_392.png""]"
01JFGA4GSJSD1PK40YQ125E684,TRUE,01JFG8YYF8H0QD8W9TRHSGW7CC,24,65,1,/tangrams/53_232.png,/tangrams/53_232.png,9,24,"[""/tangrams/53_232.png"",""/tangrams/53_371.png"",""/tangrams/170_232.png"",""/tangrams/170_371.png""]"
01JFGA6DCFH3EZXEK4J63Q09ER,TRUE,01JFG8ZHV16RJMZXAMJCSCC8YH,21,65,1,/tangrams/232_425.png,/tangrams/232_425.png,6,21,"[""/tangrams/232_425.png"",""/tangrams/22_346.png"",""/tangrams/22_425.png"",""/tangrams/232_346.png""]"
01JFG9M8G7MW8N1W230EEWWS6H,TRUE,01JFG8YPFB4QWAE1J5AKFP27SX,32,65,2,/tangrams/415_360.png,/tangrams/415_360.png,1,32,"[""/tangrams/74_392.png"",""/tangrams/11_250.png"",""/tangrams/415_360.png"",""/tangrams/287_82.png""]"
01JFGA8FJHRGJ1T4MW4V5B63BK,NA,01JFG9ZJ9GEX6MPZ0HAKGHGQ29,44,65,2,NA,/tangrams/311_267.png,13,44,"[""/tangrams/311_437.png"",""/tangrams/97_267.png"",""/tangrams/97_437.png"",""/tangrams/311_267.png""]"
01JFGAFG373HXX8Q9WPZKZC3TS,TRUE,01JFG8Z7EFJZW02VJSC7JSSAXB,42,65,2,/tangrams/358_214.png,/tangrams/358_214.png,11,42,"[""/tangrams/358_214.png"",""/tangrams/219_68.png"",""/tangrams/454_450.png"",""/tangrams/380_338.png""]"
01JFGAXKNN5BJHZA0MVB7VK515,TRUE,01JFG8Z9BQREF412YKSXPEAKSA,17,65,1,/tangrams/258_166.png,/tangrams/258_166.png,2,17,"[""/tangrams/195_347.png"",""/tangrams/343_180.png"",""/tangrams/241_56.png"",""/tangrams/258_166.png""]"
01JFGAFG0WKQDQ5QQ5V8RWEC3Q,TRUE,01JFG8Z7EFJZW02VJSC7JSSAXB,28,65,1,/tangrams/141_104.png,/tangrams/141_104.png,13,28,"[""/tangrams/125_148.png"",""/tangrams/26_122.png"",""/tangrams/141_104.png"",""/tangrams/117_24.png""]"
01JFGB9AM5PBE28YYR8265HKS6,TRUE,01JFGA58DFG208NE3ZXZFARAF8,27,65,1,/tangrams/37_272.png,/tangrams/37_272.png,12,27,"[""/tangrams/182_7.png"",""/tangrams/182_272.png"",""/tangrams/37_272.png"",""/tangrams/37_7.png""]"
01JFGB9AZEWVGE5QKJWN7HAGM6,TRUE,01JFGA58DFG208NE3ZXZFARAF8,63,65,3,/tangrams/182_272.png,/tangrams/182_272.png,16,63,"[""/tangrams/37_272.png"",""/tangrams/182_243.png"",""/tangrams/37_243.png"",""/tangrams/182_272.png""]"
01JFG9M8GQJ76P6WNJSPYMP3J5,TRUE,01JFG8YPFB4QWAE1J5AKFP27SX,50,65,3,/tangrams/74_250.png,/tangrams/74_250.png,3,50,"[""/tangrams/74_250.png"",""/tangrams/415_360.png"",""/tangrams/11_392.png"",""/tangrams/287_82.png""]"
01JFGA4GRX489TT82P2Z9Q4EF3,TRUE,01JFG8YYF8H0QD8W9TRHSGW7CC,49,65,3,/tangrams/53_371.png,/tangrams/53_371.png,2,49,"[""/tangrams/462_119.png"",""/tangrams/462_371.png"",""/tangrams/53_371.png"",""/tangrams/53_119.png""]"
