prolificID,bonus
6533e2b5e9ab7a074c52fdf4,1.83
6658c1cb3bd695ac90a04553,1.68
6443ebb84fc33e703937a6f9,0.06
5f59963070a31e1f2bb54722,1.77
662379fa92aebed9d0d0e08b,1.65
610c5b0a0f713891f0d5af7f,1.71
6645ead2d999bda561f525ea,1.38
5da6b2aca2860400146b8ace,1.77
67543caa282c9c2e7b346895,1.5
677b2b2094388e138823d2c7,0.39
5f9df1435eb24e38ad10fcd0,1.83
677a4ba277ff5bd9c6397868,1.71
675355f5119e42585a9226cf,0.06
6635456c13e30a2710f8832f,1.65
5cb5f1e080ba1c0001790399,1.65
6694058ab15e4a1ba0c0bb80,1.86
66b38ce6e7c3caa34c7e3458,0.21
66f47c4e26254353298c0da3,1.38
677ad19104172045ce686b79,1.77
673a17c693f3e23c48322390,1.5
64138e0c6645b537dcb5ee24,1.71
67731589498bef72200706a2,0.42
677b7fa983b267ceaf4ab4bf,1.68
6743ec96f8db5a6a6c3678bb,1.77
662c4ffd0c38df0273bc9e18,1.83
67768e712c66987268831e3c,0.21
666362028ebee6f125f05a4d,1.86
665f165cd6055520ff40fd23,1.65
67071ef986a2fa82398e47a5,0.42
5e328d9f7c47e424bdb304a9,1.47
5f94d506c7bf10332a9084d2,1.83
53a18b8ffdf99b79ca51df6e,1.47
6012ed349807110d8eb941a6,1.71
66f8d7408fccde0b97494205,0.39
