gameID,actualPlayerCount,batchID,contextSize,contextStructure,status,targets,rotation
01JH1F2GX7DR1ZQG7AGSN3KRT7,2,01JH1F2GWN9BRWEZHJG2Y9F7DZ,4,comp-within,ended,"[[267,63],[267,36],[267,223],[267,188],[187,63],[187,36],[187,223],[187,188],[270,63],[270,36],[270,223],[270,188],[254,63],[254,36],[254,223],[254,188]]",0
01JH1FPYSBXXZ6KPHKJBRG98KY,2,01JH1FPYRY2N1PAAP7WYQBA41J,4,comp-within,ended,"[[135,161],[135,40],[135,239],[135,45],[99,161],[99,40],[99,239],[99,45],[159,161],[159,40],[159,239],[159,45],[98,161],[98,40],[98,239],[98,45]]",270
01JH1FPYSD6AFHHMZW70VZN68N,2,01JH1FPYRY2N1PAAP7WYQBA41J,4,noncomp,ended,"[[64,167],[291,306],[287,273],[367,207],[57,443],[157,35],[202,91],[235,77],[377,372],[459,390],[30,127],[316,409],[188,398],[108,324],[359,362],[128,147]]",90
01JH1F0VW6JT3H4WKEJFKRQGWC,2,01JH1F0VV6DMN73981986B8RYJ,4,comp-between,ended,"[[1,92],[1,243],[1,219],[1,279],[78,92],[78,243],[78,219],[78,279],[162,92],[162,243],[162,219],[162,279],[337,92],[337,243],[337,219],[337,279]]",180
01JH1F0VW7XB18ASJ0NKJ196TK,2,01JH1F0VV6DMN73981986B8RYJ,4,comp-within,ended,"[[212,57],[212,145],[212,399],[212,459],[226,57],[226,145],[226,399],[226,459],[363,57],[363,145],[363,399],[363,459],[440,57],[440,145],[440,399],[440,459]]",0
01JH1F0VW7XB18ASJ0P081ZZVT,2,01JH1F0VV6DMN73981986B8RYJ,4,noncomp,ended,"[[269,153],[171,414],[95,133],[450,77],[454,215],[48,116],[457,453],[169,394],[361,66],[243,179],[150,155],[173,422],[366,342],[63,124],[123,87],[392,5]]",270
01JH1F2GX5K41HMV06X44CSAH5,2,01JH1F2GWN9BRWEZHJG2Y9F7DZ,4,comp-between,ended,"[[3,40],[3,410],[3,84],[3,37],[215,40],[215,410],[215,84],[215,37],[130,40],[130,410],[130,84],[130,37],[21,40],[21,410],[21,84],[21,37]]",180
01JH1G90GH3ZQX32Q109C1JCDD,2,01JH1G90FVA7G9KNR2B5RQV60J,4,noncomp,ended,"[[389,297],[57,303],[163,286],[284,239],[266,359],[314,8],[49,464],[104,218],[123,377],[107,455],[217,179],[99,271],[311,33],[403,12],[135,384],[463,250]]",90
01JH1F2GX6BEVR4BAV8462G3EX,2,01JH1F2GWN9BRWEZHJG2Y9F7DZ,4,noncomp,ended,"[[430,235],[394,104],[6,435],[64,440],[289,62],[12,203],[342,458],[345,79],[139,317],[284,338],[39,294],[86,60],[99,158],[404,464],[182,120],[384,167]]",270
01JH1FPYSBXXZ6KPHKHW6Q97EB,2,01JH1FPYRY2N1PAAP7WYQBA41J,4,comp-between,ended,"[[181,310],[181,84],[181,332],[181,359],[322,310],[322,84],[322,332],[322,359],[90,310],[90,84],[90,332],[90,359],[101,310],[101,84],[101,332],[101,359]]",270
01JH1G90GCS7MK45RCXBYEJBCN,2,01JH1G90FVA7G9KNR2B5RQV60J,4,comp-between,ended,"[[53,448],[53,348],[53,219],[53,380],[7,448],[7,348],[7,219],[7,380],[458,448],[458,348],[458,219],[458,380],[192,448],[192,348],[192,219],[192,380]]",0
01JH1G90GG5D87THDQASZH8ZSV,NA,01JH1G90FVA7G9KNR2B5RQV60J,NA,NA,NA,NA,NA
