setId,max_similarity,n_flagged_images,has_training_clash,worst_cell,worst_label,worst_image,found
2,0.7655,1,FALSE,novel_combination,A1,10_15.png,2026-09-09
4,0.8017,1,FALSE,entirely_held_out,J10,373_282.png,2026-09-09
6,0.8274,1,TRUE,training,A4,275_153.png,2026-09-09
9,0.8353,1,FALSE,entirely_held_out,J10,253_254.png,2026-09-09
10,0.7964,2,TRUE,familiar_top_novel_bottom,D8,382_270.png,2026-09-09
11,0.7625,1,TRUE,training,A2,316_392.png,2026-09-09
12,0.7533,1,TRUE,training,A4,72_275.png,2026-09-09
13,0.7742,2,FALSE,novel_top_familiar_bottom,E1,277_142.png,2026-09-09
15,0.8449,1,TRUE,training,A3,52_17.png,2026-09-09
17,0.7561,1,TRUE,training,C2,0_1.png,2026-09-09
21,0.7971,1,FALSE,entirely_held_out,L12,273_72.png,2026-09-09
27,0.7659,1,FALSE,novel_combination,B2,362_187.png,2026-09-09
29,0.8248,1,TRUE,training,D1,225_431.png,2026-09-09
33,0.8263,1,FALSE,novel_top_familiar_bottom,H4,387_253.png,2026-09-09
52,0.8041,1,FALSE,novel_combination,B2,312_316.png,2026-09-09
56,0.7699,1,FALSE,familiar_top_novel_bottom,D8,211_288.png,2026-09-09
61,0.7585,1,TRUE,training,C1,137_446.png,2026-09-09
62,0.7598,1,FALSE,novel_combination,B2,451_452.png,2026-09-09
65,0.7859,2,TRUE,novel_top_familiar_bottom,E1,20_15.png,2026-09-09
88,0.8204,1,FALSE,novel_combination,D4,59_464.png,2026-09-09
99,0.8006,1,TRUE,training,D2,70_78.png,2026-09-09
108,0.7776,1,FALSE,novel_combination,B2,368_138.png,2026-09-09
113,0.8083,1,FALSE,familiar_top_novel_bottom,D8,192_108.png,2026-09-09
115,0.8011,1,TRUE,training,C2,450_298.png,2026-09-09
122,0.7669,1,FALSE,novel_combination,B2,157_301.png,2026-09-09
132,0.7550,1,FALSE,familiar_top_novel_bottom,D8,59_387.png,2026-09-09
141,0.8304,1,TRUE,training,D1,2_73.png,2026-09-09
145,0.7935,1,TRUE,training,D3,294_321.png,2026-09-09
146,0.8625,1,TRUE,training,A3,333_207.png,2026-09-09
148,0.7625,1,TRUE,training,C2,392_316.png,2026-09-09
