playerID,gameID,bonus,score,role,rotation,completedStudy,finishedTraining,ended,pretestItemGap,posttestItemGap,pretestCardShownAt,pretestStartedAt,pretestSubmittedAt,trainingStartedAt,roundsInactive,exitStepDone,handoff_stage,pretest_advanced_at,pretest_wait_secs,handoff_secs,age,gender,strategy,enjoy,feedback,education,ai_used,ai_tool,ai_agreed
01M14TB49R9EXHJJTJ0T86KJ84,01M14SGHSZFM9JBEJ22KKAENMP,1.32,1.32,director,180,TRUE,TRUE,game ended,4,4,1787942564809,1787942572128,1787943102546,1787943787832,0,TRUE,entered_training,1787943787772,685.226,0.06,38,Male,Try to find a mutual language and shapes that you both agree on when describing to each other.,"Yes, it was fun to see how we improved after a patchy start.",,bachelor,none,,TRUE
01M14TGB76YMBQT4V4VK80D67Z,01M14SGHSVEXT2F3K0T37KCNAS,NA,NA,NA,NA,NA,NA,lobby timed out,NA,NA,NA,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M14TK5TJHPMJ8EVNSFSWK56R,01M14SGHT011RS3K43GJ2H3XM3,1.44,1.44,director,180,TRUE,TRUE,game ended,4,4,1787942472276,1787942479204,1787943375241,1787943375574,0,TRUE,entered_training,1787943375241,0,0.333,19,Male,At first it was to describe everything in as much detail as possible but once going with the partners once we had nicknames for certain shapes (i.e 'banana looking) i would just use those.,Yes definitely as added like a game like element to it and made it fun and feel like you were working together on something.,No issues - really interesting and enjoyable study!,high-school,none,,TRUE
01M14THWYFBT0XN3WVXMHRX03G,01M14SGHT011RS3K43G45Y26KM,NA,NA,NA,NA,NA,NA,lobby timed out,NA,NA,NA,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M14TNZR32DDYDVE7ADVHXW77,01M14SGHT011RS3K43GJ2H3XM3,1.44,1.44,matcher,180,TRUE,TRUE,game ended,4,4,1787942472649,1787942476733,1787942757951,1787943375937,0,TRUE,entered_training,1787943375241,617.29,0.696,35,Male,Trying to establish a sort of heuristic with my partner for when shapes repeated.,"Yes, initially they seemed a bit long-winded but eventually we seemed to develop our own sort of shorthand which made us much more efficient.",Everything seemed to work great.,bachelor,none,,TRUE
01M14STX4GZ2M585A6FJGTSFTF,01M14SGHT011RS3K43G45Y26KM,NA,NA,NA,NA,NA,NA,lobby timed out,NA,NA,NA,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M14TDEA04KFX2ZPQMKS3Y9DB,01M14SGHT1R1T89RW3KEBWKX4S,0.93,0.93,matcher,180,TRUE,TRUE,game ended,4,4,1787942348126,1787942353429,1787942572279,1787942703695,0,TRUE,entered_training,1787942704443,132.164,-0.748,24,Female,"I tried to describe the shapes as objects/animals, but sometimes I had to resort to just describing parts of the shape, depending on my partner's past understanding of my descriptions.",It was not as enjoyable as it could have been because I feel like my partner had very short descriptions and they did not make much sense to me.,I didn't run into any issues.,bachelor,none,,TRUE
01M14TNNG989SSWD0DKW0RVGNH,01M14SGHSZFM9JBEJ22KKAENMP,1.32,1.32,matcher,180,TRUE,TRUE,game ended,4,4,1787942565123,1787942584942,1787943787772,1787943788093,0,TRUE,entered_training,1787943787772,0,0.321,42,Female,Good but the reward against the effort and time is very low,"Yes, I did",None,high-school,none,,TRUE
01M14TSXSGP0VHBQM7GHX5E6SJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
01M14SWAC8JEG4NGCK5B2D7A9Y,01M14SGHSVEXT2F3K0T37KCNAS,NA,NA,NA,NA,NA,NA,lobby timed out,NA,NA,NA,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M14SXZKQ9Z3640CJK2WJ1V8D,01M14SGHT4C3Q1E7DCSWZJX10H,NA,NA,NA,NA,NA,NA,lobby timed out,NA,NA,NA,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M14T36DFG88TQ0ZWSNKRAPJ2,01M14SGHT1R1T89RW3KEBWKX4S,0.93,0.93,director,180,TRUE,TRUE,game ended,4,4,1787942349149,1787942360344,1787942704443,1787942704744,0,TRUE,entered_training,1787942704443,0,0.301,25,female,,,,bachelor,none,,TRUE
01M14T7V8TX87TERPY97F61Z5C,01M14SGHT4C3Q1E7DCSWZJX10H,NA,NA,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,NA,NA,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M14TT5CHRMF6BYG81GJB7RJS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
