roundID,gameID,phase,trialNum,repNum,targetNum,numTrials,numTrialsPerBlock,setId,target,targetLabel,tangramURLs,displayLabels,response,correct,selection,director,matcher,selectionMadeAt,clickBlockedAt,block
01M14TP6PPWS9GYF26K68PA1FA,01M14SGHT1R1T89RW3KEBWKX4S,training,23,1,12,48,12,2,/tangrams/10_15.png,A1,"[""/tangrams/291_410.png"",""/tangrams/154_383.png"",""/tangrams/10_15.png"",""/tangrams/304_351.png""]","[""F3"",""F5"",""A1"",""F7""]",/tangrams/154_383.png,FALSE,/tangrams/154_383.png,01M14T36DFG88TQ0ZWSNKRAPJ2,01M14TDEA04KFX2ZPQMKS3Y9DB,1787943931402,NA,2
01M14TP6VAMKQGEQ7V5234YNVH,01M14SGHT1R1T89RW3KEBWKX4S,training,33,2,10,48,12,2,/tangrams/291_410.png,F3,"[""/tangrams/186_349.png"",""/tangrams/291_410.png"",""/tangrams/128_342.png"",""/tangrams/148_294.png""]","[""D4"",""F3"",""C3"",""F4""]",/tangrams/148_294.png,FALSE,/tangrams/148_294.png,01M14T36DFG88TQ0ZWSNKRAPJ2,01M14TDEA04KFX2ZPQMKS3Y9DB,1787944410944,NA,3
01M14TWRRCTJ8VRTBNE0HG0GA5,01M14SGHSZFM9JBEJ22KKAENMP,training,37,3,2,48,12,2,/tangrams/128_15.png,C1,"[""/tangrams/128_15.png"",""/tangrams/186_7.png"",""/tangrams/421_15.png"",""/tangrams/128_349.png""]","[""C1"",""D2"",""B1"",""C4""]",/tangrams/128_15.png,TRUE,/tangrams/128_15.png,01M14TB49R9EXHJJTJ0T86KJ84,01M14TNNG989SSWD0DKW0RVGNH,1787945262604,NA,4
01M14TWRRZSCSYZR8Q46EYQJ0A,01M14SGHSZFM9JBEJ22KKAENMP,training,47,3,12,48,12,2,/tangrams/186_342.png,D3,"[""/tangrams/186_7.png"",""/tangrams/186_342.png"",""/tangrams/421_349.png"",""/tangrams/10_342.png""]","[""D2"",""D3"",""B4"",""A3""]",/tangrams/186_342.png,TRUE,/tangrams/186_342.png,01M14TB49R9EXHJJTJ0T86KJ84,01M14TNNG989SSWD0DKW0RVGNH,1787945532505,NA,4
01M14TP6PG2GDJ8JPVFV386YEG,01M14SGHT1R1T89RW3KEBWKX4S,training,27,2,4,48,12,2,/tangrams/128_342.png,C3,"[""/tangrams/186_349.png"",""/tangrams/236_198.png"",""/tangrams/128_342.png"",""/tangrams/154_383.png""]","[""D4"",""F8"",""C3"",""F5""]",/tangrams/128_342.png,TRUE,/tangrams/128_342.png,01M14T36DFG88TQ0ZWSNKRAPJ2,01M14TDEA04KFX2ZPQMKS3Y9DB,1787944114567,NA,3
01M14TSZ2099Z863EXQ5CZKME3,01M14SGHT011RS3K43GJ2H3XM3,training,11,0,12,48,12,2,/tangrams/186_7.png,D2,"[""/tangrams/421_15.png"",""/tangrams/10_342.png"",""/tangrams/186_7.png"",""/tangrams/128_349.png""]","[""B1"",""A3"",""D2"",""C4""]",/tangrams/186_7.png,TRUE,/tangrams/186_7.png,01M14TK5TJHPMJ8EVNSFSWK56R,01M14TNZR32DDYDVE7ADVHXW77,1787943776416,NA,1
01M14TSZ6Q9XTRBZ7ATNKEVTPE,01M14SGHT011RS3K43GJ2H3XM3,training,32,2,9,48,12,2,/tangrams/186_7.png,D2,"[""/tangrams/10_349.png"",""/tangrams/186_7.png"",""/tangrams/128_15.png"",""/tangrams/421_342.png""]","[""A4"",""D2"",""C1"",""B3""]",/tangrams/186_7.png,TRUE,/tangrams/186_7.png,01M14TNZR32DDYDVE7ADVHXW77,01M14TK5TJHPMJ8EVNSFSWK56R,1787944160398,NA,3
01M14TSZ7S5CHG93N97QFE06JK,01M14SGHT011RS3K43GJ2H3XM3,training,30,2,7,48,12,2,/tangrams/186_342.png,D3,"[""/tangrams/186_342.png"",""/tangrams/421_349.png"",""/tangrams/10_7.png"",""/tangrams/128_15.png""]","[""D3"",""B4"",""A2"",""C1""]",/tangrams/186_342.png,TRUE,/tangrams/186_342.png,01M14TNZR32DDYDVE7ADVHXW77,01M14TK5TJHPMJ8EVNSFSWK56R,1787944127383,NA,3
01M14TWRRQR7NJ1BDKKDATJHC2,01M14SGHSZFM9JBEJ22KKAENMP,training,33,2,10,48,12,2,/tangrams/128_349.png,C4,"[""/tangrams/128_349.png"",""/tangrams/128_15.png"",""/tangrams/186_342.png"",""/tangrams/10_349.png""]","[""C4"",""C1"",""D3"",""A4""]",/tangrams/128_349.png,TRUE,/tangrams/128_349.png,01M14TB49R9EXHJJTJ0T86KJ84,01M14TNNG989SSWD0DKW0RVGNH,1787945125137,NA,3
01M14TP6PJTE8K72T3GGB5AWAK,01M14SGHT1R1T89RW3KEBWKX4S,training,26,2,3,48,12,2,/tangrams/236_198.png,F8,"[""/tangrams/236_198.png"",""/tangrams/154_383.png"",""/tangrams/52_165.png"",""/tangrams/304_351.png""]","[""F8"",""F5"",""F1"",""F7""]",/tangrams/236_198.png,TRUE,/tangrams/236_198.png,01M14TDEA04KFX2ZPQMKS3Y9DB,01M14T36DFG88TQ0ZWSNKRAPJ2,1787944074234,NA,3
