playerID,gameID,bonus,score,role,rotation,completedStudy,finishedTraining,ended,pretestItemGap,posttestItemGap,pretestCardShownAt,pretestStartedAt,pretestSubmittedAt,trainingStartedAt,roundsInactive,exitStepDone,handoff_stage,pretest_advanced_at,pretest_wait_secs,handoff_secs,age,gender,strategy,enjoy,feedback,education,endedWhy,endedWhyOther,ai_used,ai_tool,ai_agreed
01M1HP9ADQT2DX2ZE8GFRT1BS4,01M1HNZFMHJVBG3FH9MYVSDQDF,1.2,1.2,matcher,270,TRUE,TRUE,game ended,4,4,1788374297365,1788374323034,1788374835362,1788375052079,0,TRUE,entered_training,1788375082869,247.507,-30.79,23,Female,I tried to describe parts that stood out in the image such as peaks or shapes that were easily seen ,"i enjoyed it, i prefer to play with other humans and not Ai",,bachelor,NA,NA,none,,TRUE
01M1HP9RXEDHYJ8VFPTN851FAE,01M1HNZ7HDN6NT9ENNGGR9B8JJ,NA,NA,NA,NA,NA,NA,lobby timed out,NA,NA,NA,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M1HP8ZZF8G4QADPFG2QKK7JR,01M1HNZ7HDN6NT9ENNGGR9B8JJ,NA,NA,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,NA,NA,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M1HPFBMJRGKDJM0Z3BW7QWTC,01M1HNZ7HJEQPEYJ9VDNGQFHBJ,0.54,0.54,director,0,TRUE,TRUE,game ended,4,4,1788374805361,1788374844716,1788375332297,1788375333180,0,TRUE,entered_training,1788375332297,0,0.883,41,male,,,,master,NA,NA,none,,TRUE
01M1HPGH2ANZEVSJ1JAX6F81R8,01M1HNZ7HJEQPEYJ9VDNGQFHBJ,0.54,0.54,matcher,0,TRUE,TRUE,game ended,4,4,1788374807739,1788374817035,1788375298650,1788375335554,0,TRUE,entered_training,1788375332297,33.647,3.257,41,Female,I described shapes,their descriptions were low effort,,high-school,NA,NA,none,,TRUE
01M1HPRVJTQV5TPMVZ0TB1CZ2R,01M1HNZK6GZFFJ98G9C97SZE0A,0,0,director,270,NA,FALSE,game ended,4,4,1788374972628,1788374985582,1788376001959,1788376002235,0,TRUE,entered_training,1788376001959,0,0.276,40,Female,"Just pick two visible shapes and a letter like shape and say them together, and state where they are positioned.","No, because there was no response.",No problem encountered aside the fact that my partner wasn't availbale.,other,partner-stopped,,some,,TRUE
01M1HP8XSEJHDCXHQNYH7CK7F6,01M1HNZFMHJVBG3FH9MYVSDQDF,1.2,1.2,director,270,TRUE,TRUE,game ended,4,4,1788374328650,1788374338595,1788375082869,1788375083310,0,TRUE,entered_training,1788375082869,0,0.441,30,Male,"To describe the things I thought were most obvious. Which in this case for me were peaks, and definitive shapes.","Yes, the start of the trials was difficult, as we needed to understand certain things we were trying to describe in the early stages by trial and error.",,bachelor,NA,NA,none,,TRUE
01M1HPC09AQHP5E3C1WNXDBK7C,01M1HNZK6GZFFJ98G9C97SZE0A,0,0,matcher,270,NA,FALSE,game ended,4,4,1788374970190,1788374976379,NA,NA,5,NA,stuck_in_pretest,1788376001959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M1HPC7HN0GDEKJYZCJ22C0TN,01M1HNZK6DPR4P92Y2T8F5XDRV,1.29,1.29,director,270,TRUE,TRUE,game ended,4,4,1788374569653,1788374585093,1788375023121,1788375428497,0,TRUE,entered_training,1788375369951,346.83,58.546,38,F,simple explanation,enjoyed ,no,bachelor,NA,NA,none,,TRUE
01M1HRC4VF8GPPKGYE7ETWSVTS,01M1HNZ669FEBMMFEN8CY4CN59,NA,NA,NA,NA,NA,NA,lobby timed out,NA,NA,NA,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
