gameID,batchID,contextStructure,contextSize,status,setId,setIndex,setReplicate,setSlotInReplicate,compSetId,rotation,numPretestItems,numPosttestItems,describeSecondsPerItem,stimulusSchemaVersion,trainingLabels,endedInactive,trainingRoundsCompleted,trainingRoundsExpected,endedReason
01M1HWV3JN33V1Q2D4HRBVP5XY,01M1HWV3J1H23T4VNJDZ9CCV05,comp-within,4,ended,4,0,0,1,4,0,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",FALSE,48,48,end of game
01M1HX81FHMG13PWVC22W8W5XW,01M1HX81ETRCZCW4F2AE3GD2QJ,NA,NA,terminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch ended
01M1HWT5H7Y7V7S8W79J2JRMVN,01M1HWT5FVNV5BRX74JCYC8T5X,noncomp,4,ended,5,1,0,0,5,90,8,20,60,exp2-1,"[""A1"",""B2"",""C3"",""D4"",""F1"",""F2"",""F3"",""F4"",""F5"",""F6"",""F7"",""F8""]",TRUE,5,48,timeOut
01M1HWT5H4GHTCQDJQ5DVR9SAT,01M1HWT5FVNV5BRX74JCYC8T5X,comp-within,4,ended,4,0,0,0,4,0,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",FALSE,48,48,end of game
01M1HWV3JJBSAYKNAKBR08SF9D,01M1HWV3J1H23T4VNJDZ9CCV05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01M1HWV3JM2HKRSNM4AEWRG3C2,01M1HWV3J1H23T4VNJDZ9CCV05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01M1HX81FA28ZHPENHDWKQG7WR,01M1HX81ETRCZCW4F2AE3GD2QJ,NA,NA,terminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch ended
01M1HX81FC04VHMJTNDGG0FE80,01M1HX81ETRCZCW4F2AE3GD2QJ,NA,NA,terminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch ended
01M1HX82RC1J2C8JJ50FE76BHW,01M1HX82QW1SMP2XH6WFGKQKG5,NA,NA,terminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch ended
01M1HX82RFGVDMFM75R5ARVAP7,01M1HX82QW1SMP2XH6WFGKQKG5,NA,NA,terminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch ended
01M1HWT5H10J1B7ETFSS293CEM,01M1HWT5FVNV5BRX74JCYC8T5X,comp-between,4,ended,4,0,0,0,4,0,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",FALSE,48,48,end of game
01M1HX82RGMJ48CJ3EEP02W8XC,01M1HX82QW1SMP2XH6WFGKQKG5,NA,NA,terminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch ended
