playerID,gameID,bonus,score,role,rotation,completedStudy,finishedTraining,ended,pretestItemGap,posttestItemGap,pretestCardShownAt,pretestStartedAt,pretestSubmittedAt,trainingStartedAt,roundsInactive,exitStepDone,handoff_stage,pretest_advanced_at,pretest_wait_secs,handoff_secs,age,gender,strategy,enjoy,feedback,education,gamefailed,sawIntro,endedWhy,endedWhyOther,ai_used,ai_tool,ai_agreed
01M1PVW1CHHYZ1ZJG5SPM61RTK,null,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,NA,NA,NA,NA,NA,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M1PVZ3NBFP4RQAMM34F5EPHD,01M1PVPWZ7KQZN2DHXW0TTKG9P,1.17,1.17,matcher,270,TRUE,TRUE,game ended,4,4,1788547949876,1788547964933,1788548209079,1788548450130,0,TRUE,entered_training,1788548450913,241.834,-0.783,35,Male,remember what my partner wrote,interesting to say the least.  ,all went smooth,other,NA,NA,NA,NA,none,,TRUE
01M1PVTG9CCCTFM1SEAAQ81WMP,01M1PVPSF9NDAT0BF7G6FNHKYQ,1.41,1.41,director,90,TRUE,TRUE,game ended,4,4,1788547718192,1788547720315,1788547971596,1788548095643,0,TRUE,entered_training,1788548093002,121.406,2.641,32,Male,break down the shapes into parts,"Yes, they worked well with me",None,bachelor,NA,NA,NA,NA,none,,TRUE
01M1PVVNQ4AT0NRB9TK929QH2E,01M1PVPSFBNZXW40G11YGR32M6,1.35,1.35,matcher,90,TRUE,TRUE,game ended,4,4,1788547728435,1788547735150,1788548265814,1788548266346,0,TRUE,entered_training,1788548265814,0,0.532,49,male,"Mostly learning and adhering to my partner's way of describing, rather than force my own.","They were smart, fast, and we communicated well. All mistakes were mine.",,bachelor,NA,NA,NA,NA,none,,TRUE
01M1PVVEHT22G3NCF8EGPQWRYM,01M1PVPTMX8QBBEQ1CAWS8Y65C,1.29,1.29,matcher,90,TRUE,TRUE,game ended,4,4,1788547764423,1788547773116,1788548768970,1788548769998,0,TRUE,entered_training,1788548768970,0,1.028,32,Female,try to relate the shape to common objects to make it easier for the partner to imagine.,"Yes, it is more engaging and feels like ""higher stakes""",N/A,high-school,NA,NA,NA,NA,none,,TRUE
01M1PVZR164ZTSKRVMJWDDBWRY,01M1PVPVN58XQ8WD43NR9G03HY,0,0,director,180,NA,FALSE,game ended,4,4,1788547815311,1788547828389,NA,NA,5,NA,stuck_in_pretest,1788548209870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M1PVVYCG3ZV9Y0QVDS434K08,01M1PVPTMT2TF5TMW6DY08RG1A,1.38,1.38,matcher,90,TRUE,TRUE,game ended,4,4,1788547793837,1788547807991,1788548807106,1788548807885,0,TRUE,entered_training,1788548807106,0,0.779,21,male,find a aspect of each shape that was distinct and describe that,yh as they had a good strategy ,,high-school,NA,NA,NA,NA,none,,TRUE
01M1PVW253SKBG4X7GTPVKZWRC,01M1PVPXF8XP3FTSCWE2SZ4KAJ,1.35,1.35,director,270,TRUE,TRUE,game ended,4,4,1788548255192,1788548271478,1788548749417,1788549086569,0,TRUE,entered_training,1788549086422,337.005,0.147,44,male,i had a good partner so we had a good rytham to repeat common answers,"yes ,same IQ,very easy",no i loved this task,high-school,NA,NA,NA,NA,none,,TRUE
01M1PW1KKGDQJPNSP87YDPE8Y2,01M1PVPY02TEGASTZW7B0B44PE,1.32,1.32,director,0,TRUE,TRUE,game ended,4,4,1788548241535,1788548275289,1788549141538,1788549742850,0,TRUE,entered_training,1788549141538,0,601.312,35,female,just play,"yes, i enjoy very well",No issues.,master,NA,NA,NA,NA,none,,TRUE
01M1PWDY91RQP1JH12JQR2WQPE,null,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,nogame,TRUE,NA,NA,NA,NA,FALSE
