roundID,gameID,trialNum,block,selectionMadeAt,correct,stage_started,stage_ended,playerID,renderedAt
01M1PW3H1BVH859CH4F13X5GKE,01M1PVPVN58XQ8WD43NR9G03HY,7,1,NA,NA,NA,2026-09-04T18:50:10Z,NA,NA
01M1PW3TE4H097H4QPNJZ6PWPG,01M1PVPVN19AKJQXAJWG447XT1,27,3,1788549502233,TRUE,2026-09-04T19:18:01Z,2026-09-04T19:18:23Z,01M1PVV4T08CWVFCAHVD9FMRR2,1788549480110
01M1PW3TE4H097H4QPNJZ6PWPG,01M1PVPVN19AKJQXAJWG447XT1,27,3,1788549502233,TRUE,2026-09-04T19:18:01Z,2026-09-04T19:18:23Z,01M1PVVZD69SDYBBAB5MDTZSCB,1788549480740
01M1PW7ETRJM25XHP1ZNEGJ02T,01M1PVPWZ7KQZN2DHXW0TTKG9P,29,3,1788549826038,TRUE,2026-09-04T19:23:15Z,2026-09-04T19:23:48Z,01M1PVZ3NBFP4RQAMM34F5EPHD,1788549793785
01M1PW7ETRJM25XHP1ZNEGJ02T,01M1PVPWZ7KQZN2DHXW0TTKG9P,29,3,1788549826038,TRUE,2026-09-04T19:23:15Z,2026-09-04T19:23:48Z,01M1PVVTM3JYE18KKXW2DCV15S,1788549795314
01M1PW7EW0F2MVGTE85DBN23VZ,01M1PVPWZ7KQZN2DHXW0TTKG9P,24,3,1788549608123,TRUE,2026-09-04T19:19:46Z,2026-09-04T19:20:08Z,01M1PVZ3NBFP4RQAMM34F5EPHD,1788549585443
01M1PW7EW0F2MVGTE85DBN23VZ,01M1PVPWZ7KQZN2DHXW0TTKG9P,24,3,1788549608123,TRUE,2026-09-04T19:19:46Z,2026-09-04T19:20:08Z,01M1PVVTM3JYE18KKXW2DCV15S,1788549586957
01M1PWEJ7VF7Z534GJ53K731V3,01M1PVPXF92SZVFC9KBGN1TRXM,7,1,1788549229053,FALSE,2026-09-04T19:13:19Z,2026-09-04T19:13:51Z,01M1PVZYRHDVK94JBPD96A2FVY,1788549196972
01M1PWEJ7VF7Z534GJ53K731V3,01M1PVPXF92SZVFC9KBGN1TRXM,7,1,1788549229053,FALSE,2026-09-04T19:13:19Z,2026-09-04T19:13:51Z,01M1PVVCHSJDKDCMNAX28C9KTM,1788549197895
01M1PWJSJBPSCE0694GPAPVE3G,01M1PVPY05YMN5QBCZG3YB2C9A,21,2,NA,NA,NA,2026-09-04T18:58:32Z,NA,NA
01M1PW41J09XQVVRHEEKJYC3DA,01M1PVPTMYJEMSH2D4PPK54AQC,43,4,1788549666935,TRUE,2026-09-04T19:20:52Z,2026-09-04T19:21:07Z,01M1PVXZCG5HBAN48J4YM7CT4J,1788549652310
01M1PW41J09XQVVRHEEKJYC3DA,01M1PVPTMYJEMSH2D4PPK54AQC,43,4,1788549666935,TRUE,2026-09-04T19:20:52Z,2026-09-04T19:21:07Z,01M1PVV1FSQ931Q08DC040FF4H,1788549651714
01M1PWG1EDNGZSPH6YM5M2AMGN,01M1PVPY02TEGASTZW7B0B44PE,19,2,1788550802962,TRUE,2026-09-04T19:39:26Z,2026-09-04T19:40:03Z,01M1PWAKPMFG2PF8ZD5WBT5ANA,1788550766192
01M1PWG1EDNGZSPH6YM5M2AMGN,01M1PVPY02TEGASTZW7B0B44PE,19,2,1788550802962,TRUE,2026-09-04T19:39:26Z,2026-09-04T19:40:03Z,01M1PW1KKGDQJPNSP87YDPE8Y2,1788550766146
01M1PW50ZC0V48Y042F1REB5MV,01M1PVPVN43CJ2ZQS2FA0GJ1TX,4,1,1788548449176,TRUE,2026-09-04T19:00:08Z,2026-09-04T19:00:50Z,01M1PVW97TC4GVFYDVFB1SJ9WH,1788548407692
01M1PW50ZC0V48Y042F1REB5MV,01M1PVPVN43CJ2ZQS2FA0GJ1TX,4,1,1788548449176,TRUE,2026-09-04T19:00:08Z,2026-09-04T19:00:50Z,01M1PVW5BM9J57HJX5KJ260RG3,1788548406682
01M1PW51661HBKZF613B3E0WNK,01M1PVPVN43CJ2ZQS2FA0GJ1TX,21,2,1788549159893,TRUE,2026-09-04T19:11:49Z,2026-09-04T19:12:40Z,01M1PVW5BM9J57HJX5KJ260RG3,1788549107823
01M1PW51661HBKZF613B3E0WNK,01M1PVPVN43CJ2ZQS2FA0GJ1TX,21,2,1788549159893,TRUE,2026-09-04T19:11:49Z,2026-09-04T19:12:40Z,01M1PVW97TC4GVFYDVFB1SJ9WH,1788549108877
01M1PWEJS832R4SAG0GCNBTBCB,01M1PVPXF92SZVFC9KBGN1TRXM,39,4,1788550397068,TRUE,2026-09-04T19:32:58Z,2026-09-04T19:33:19Z,01M1PVVCHSJDKDCMNAX28C9KTM,1788550377338
01M1PWEJS832R4SAG0GCNBTBCB,01M1PVPXF92SZVFC9KBGN1TRXM,39,4,1788550397068,TRUE,2026-09-04T19:32:58Z,2026-09-04T19:33:19Z,01M1PVZYRHDVK94JBPD96A2FVY,1788550376341
01M1PW1ZH7A88RDWJS42GAGSAN,01M1PVPTMX8QBBEQ1CAWS8Y65C,3,1,1788548968012,TRUE,2026-09-04T19:08:59Z,2026-09-04T19:09:27Z,01M1PVVEHT22G3NCF8EGPQWRYM,1788548939434
01M1PW1ZH7A88RDWJS42GAGSAN,01M1PVPTMX8QBBEQ1CAWS8Y65C,3,1,1788548968012,TRUE,2026-09-04T19:08:59Z,2026-09-04T19:09:27Z,01M1PVVDJXTQ0S1H8V336MES03,1788548939759
01M1PW2VR2BZ9SHHY290MRBQZ4,01M1PVPTMT2TF5TMW6DY08RG1A,19,2,1788549466246,TRUE,2026-09-04T19:17:33Z,2026-09-04T19:17:46Z,01M1PVVYCG3ZV9Y0QVDS434K08,1788549452827
01M1PW2VR2BZ9SHHY290MRBQZ4,01M1PVPTMT2TF5TMW6DY08RG1A,19,2,1788549466246,TRUE,2026-09-04T19:17:33Z,2026-09-04T19:17:46Z,01M1PVVTHSCRB56WAFX0KRCSX2,1788549453187
01M1PW3TJFTB00WNGFTA61GQZE,01M1PVPVN19AKJQXAJWG447XT1,44,4,1788549785346,TRUE,2026-09-04T19:22:57Z,2026-09-04T19:23:09Z,01M1PVV4T08CWVFCAHVD9FMRR2,1788549776170
01M1PW3TJFTB00WNGFTA61GQZE,01M1PVPVN19AKJQXAJWG447XT1,44,4,1788549785346,TRUE,2026-09-04T19:22:57Z,2026-09-04T19:23:09Z,01M1PVVZD69SDYBBAB5MDTZSCB,1788549776726
01M1PW6KQNMQ1XTAEN0FKD1SJK,01M1PVPWZ82WNHXNHFM772HZSY,15,2,1788549353965,TRUE,2026-09-04T19:15:17Z,2026-09-04T19:15:54Z,01M1PVWG3MVC1D7FV8A8CY40QY,1788549317385
01M1PW6KQNMQ1XTAEN0FKD1SJK,01M1PVPWZ82WNHXNHFM772HZSY,15,2,1788549353965,TRUE,2026-09-04T19:15:17Z,2026-09-04T19:15:54Z,01M1PVV2HGBFFFP8TQ2JTHYBNF,1788549317620
01M1PWGJCATE1CDZB0JP4KT7E5,01M1PVPXF8XP3FTSCWE2SZ4KAJ,38,4,1788550439867,TRUE,2026-09-04T19:33:37Z,2026-09-04T19:34:01Z,01M1PVW253SKBG4X7GTPVKZWRC,1788550416308
01M1PWGJCATE1CDZB0JP4KT7E5,01M1PVPXF8XP3FTSCWE2SZ4KAJ,38,4,1788550439867,TRUE,2026-09-04T19:33:37Z,2026-09-04T19:34:01Z,01M1PW23TCTCTWR44KF0HW1TG2,1788550417407
01M1PW157WMB3XTCPJXYG7RT7S,01M1PVPSFBNZXW40G11G9DGVKY,41,4,1788549663255,TRUE,2026-09-04T19:20:47Z,2026-09-04T19:21:03Z,01M1PVVNH6WEMGKMEM2F9XPCJS,1788549647921
01M1PW157WMB3XTCPJXYG7RT7S,01M1PVPSFBNZXW40G11G9DGVKY,41,4,1788549663255,TRUE,2026-09-04T19:20:47Z,2026-09-04T19:21:03Z,01M1PVTZDZSFSRFW0Y011447D5,1788549647827
01M1PW615DK1V9XPEK8A51RZNP,01M1PVPWEFJ67VYTWGSHJ4XJ33,28,3,1788549634488,TRUE,2026-09-04T19:20:03Z,2026-09-04T19:20:35Z,01M1PVV71QMXF31FNN88616S34,1788549603601
01M1PW615DK1V9XPEK8A51RZNP,01M1PVPWEFJ67VYTWGSHJ4XJ33,28,3,1788549634488,TRUE,2026-09-04T19:20:03Z,2026-09-04T19:20:35Z,01M1PVW7YQ0ZCTA6RRXWJ4B3KT,1788549603558
01M1PWBQRRZQSCFGR7858AWBKD,01M1PVPY0135RYKX6QNWJW9HQ7,2,1,1788548589924,TRUE,2026-09-04T19:02:50Z,2026-09-04T19:03:10Z,01M1PVW5G591MZ9WXE41XZDX0Y,1788548570186
01M1PWBQRRZQSCFGR7858AWBKD,01M1PVPY0135RYKX6QNWJW9HQ7,2,1,1788548589924,TRUE,2026-09-04T19:02:50Z,2026-09-04T19:03:10Z,01M1PVV5BA5A9YAQJQ9SAGP2BW,1788548569647
01M1PWG1JDDZSGA5782V1RSKJC,01M1PVPY02TEGASTZW7B0B44PE,11,1,1788550434161,TRUE,2026-09-04T19:32:57Z,2026-09-04T19:33:54Z,01M1PWAKPMFG2PF8ZD5WBT5ANA,1788550377622
01M1PWG1JDDZSGA5782V1RSKJC,01M1PVPY02TEGASTZW7B0B44PE,11,1,1788550434161,TRUE,2026-09-04T19:32:57Z,2026-09-04T19:33:54Z,01M1PW1KKGDQJPNSP87YDPE8Y2,1788550377580
01M1PW1ZGMN2DQPWC8GZH415ES,01M1PVPTMX8QBBEQ1CAWS8Y65C,9,1,1788549230511,TRUE,2026-09-04T19:13:23Z,2026-09-04T19:13:50Z,01M1PVVEHT22G3NCF8EGPQWRYM,1788549203422
01M1PW1ZGMN2DQPWC8GZH415ES,01M1PVPTMX8QBBEQ1CAWS8Y65C,9,1,1788549230511,TRUE,2026-09-04T19:13:23Z,2026-09-04T19:13:50Z,01M1PVVDJXTQ0S1H8V336MES03,1788549203698
