playerID,gameID,bonus,score,role,rotation,completedStudy,finishedTraining,ended,pretestItemGap,posttestItemGap,pretestCardShownAt,pretestStartedAt,pretestSubmittedAt,trainingStartedAt,roundsInactive,exitStepDone,handoff_stage,pretest_advanced_at,pretest_wait_secs,handoff_secs,age,gender,strategy,enjoy,feedback,education,endedWhy,endedWhyOther,gamefailed,sawIntro,ai_used,ai_tool,ai_agreed
01M20WZX5SHGPE3HXEHCVP55KQ,null,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,NA,NA,NA,NA,NA,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M20XC1CR2BQSQ9QRRT7VRXFA,01M20X0YW4S4FB44B5GCQBDAXT,0,0,matcher,90,NA,FALSE,game ended,4,4,NA,NA,NA,NA,5,TRUE,never_reached_pretest,1788892450792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M214D5P3NXWG18WF1J3F1VFS,01M20X148VH9T6HPBHADHZGVW4,1.2,1.2,matcher,270,TRUE,TRUE,game ended,4,4,1788892651216,1788892660578,1788892831070,1788892945363,0,TRUE,entered_training,1788892945178,114.108,0.185,45,Male,I tried to be descriptive and mentioned things the shapes reminded me of i hoped the partner would get,it was interesting and a bit creative,"there was a moment when the ""game"" appeare dtofreeze and refreshed itself, i had to re-select the shape",master,NA,NA,NA,NA,none,,TRUE
01M2159EF7ZTRRJ1511MAAPBPG,01M215M9N7M1Y02J02DK7JKTQA,0,0,matcher,90,NA,FALSE,game ended,4,4,1788893456727,1788893479172,1788894170818,NA,NA,TRUE,stuck_at_handoff,1788894170818,0,NA,64,Agender,Game never began.,Game never began.,Game never began.,high-school,unsure,"I completed Part One of the study and was told to wait for my partner.  Approximately 10-15 minutes passed with the screen constantly saying that my partner had completed 20/20 tasks.  There was never any change to that screen, until I was suddenly presented with this ""completion"" type screen.  My internet connection never dropped out.  Not sure what exactly happened.  VERY INTERESTING STUDY.  I wish I had been able to complete it.  Good luck with your research.",NA,NA,none,,TRUE
01M20YR2K07K9X60T54DN4Z8Q0,01M20X11N92ZFWXFVKY2CVEME8,0,0,director,90,NA,FALSE,game ended,4,4,1788886691461,1788886704551,1788887451328,1788887452846,0,TRUE,entered_training,1788887451328,0,1.518,47,woman,I used creative nicknames based on every objects ,Yes it was fun because it felt like a real puzzle solving challenge,The game ran smoothly but it was sometimes a bit tricky because the shape were kind complex and didn't have geometric names.,other,partner-stopped,I saw a wide variety of black tangram shapes. Some looked like different people in poses and some looked like animals.,NA,NA,none,,TRUE
01M20X9S6MHFD408HZGZ3B23DP,01M20X0YW80CVJTXB8KR0PJ9Z8,0,0,matcher,0,NA,FALSE,game ended,4,4,NA,NA,NA,NA,5,TRUE,never_reached_pretest,1788886956927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M214B7NK5TMY7WTYY3DVP911,01M20X14TPRK3E5KMRXWZZW19Q,1.02,1.02,director,90,TRUE,TRUE,game ended,4,4,1788893245193,1788893256066,NA,1788894025833,0,TRUE,entered_training,1788893368971,NA,656.862,45,male,describe the object,we worked well as a team,,bachelor,NA,NA,NA,NA,none,,TRUE
01M2155RV91S7EYVKS22CN3J6W,01M20X13PPQ56SF2D1TXYZ1GT1,1.38,1.38,matcher,0,TRUE,TRUE,game ended,4,4,1788893061481,1788893069393,1788894229210,1788894231165,0,TRUE,entered_training,1788894229210,0,1.955,71,female,keywords,"yes, very pleasant and sharp",fun,bachelor,NA,NA,NA,NA,none,,TRUE
01M2157YJ34JPNQ0ZE6DJJD3G3,01M215K2BSVQ6X8DX5GH1YZX6B,1.41,1.41,director,0,TRUE,TRUE,game ended,4,4,1788893411610,1788893435856,1788894518563,1788894520070,0,TRUE,entered_training,1788894518563,0,1.507,26,Female,I picked a certain part of the picture and used it to describe the main picture,"I did, we were able to figure our own understanding of the pictures",no issues,bachelor,NA,NA,NA,NA,none,,TRUE
01M215F66CRM1GV0R6SDQ69WCM,01M20X14TTKZWGB70XGMAFRR2H,1.29,1.29,director,0,TRUE,TRUE,game ended,4,4,1788893736502,1788893743537,1788894717309,1788894915668,0,TRUE,entered_training,1788894911827,194.518,3.841,54,Male,"To describe enough of the target shape both to make it indentifiable, and to disambiguate it from the other potential shapes. As the game progressed both my partner and I adopted similar shorthand to describe parts of the image.","I found it challenging that they often submitted their description with very little time remaining, especially in the first few rounds. Once we were deeper into the game that became less of an issue and it became more enjoyable.","No issues noted, good luck with your research!",bachelor,NA,NA,NA,NA,none,,TRUE
