gameID,batchID,contextStructure,contextSize,status,setId,setIndex,setReplicate,setSlotInReplicate,compSetId,rotation,numPretestItems,numPosttestItems,describeSecondsPerItem,stimulusSchemaVersion,trainingLabels,endedInactive,trainingRoundsCompleted,trainingRoundsExpected,endedReason
01M0TTMWMG725DJ5GA5M4WD8SY,01M0TTMTH8JPTHXWGXYEY1VFR8,noncomp,4,ended,1,1,0,1,1,90,8,20,45,exp2-1,"[""A1"",""B2"",""C3"",""D4"",""F1"",""F2"",""F3"",""F4"",""F5"",""F6"",""F7"",""F8""]",FALSE,48,48,end of game
01M0TSZEY173D8F3KEP071GR06,01M0TSZEX52H0PZDJFB4JNEAFW,comp-between,4,ended,0,0,0,1,0,0,20,20,45,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",FALSE,48,48,end of game
01M0TSZEY44B7XSP574QH2WQPJ,01M0TSZEX52H0PZDJFB4JNEAFW,noncomp,4,ended,0,0,0,1,0,0,8,20,45,exp2-1,"[""A1"",""B2"",""C3"",""D4"",""F1"",""F2"",""F3"",""F4"",""F5"",""F6"",""F7"",""F8""]",FALSE,48,48,end of game
01M0TSZEY54T11A9AMGVA6T4ZB,01M0TSZEX52H0PZDJFB4JNEAFW,comp-within,4,ended,0,0,0,0,0,0,20,20,45,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",FALSE,48,48,end of game
01M0TSZV8ERABP36QP2627EVMT,01M0TSZV7X3D77NKMM5CDCW4Z6,comp-between,4,ended,1,1,0,0,1,90,20,20,45,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",FALSE,48,48,end of game
01M0TSZV8KEDQHAT4X3FNKVS2B,01M0TSZV7X3D77NKMM5CDCW4Z6,noncomp,4,ended,0,0,0,0,0,0,8,20,45,exp2-1,"[""A1"",""B2"",""C3"",""D4"",""F1"",""F2"",""F3"",""F4"",""F5"",""F6"",""F7"",""F8""]",FALSE,48,48,end of game
01M0TTMWMDPGAHQRDA7BZJ8FEZ,01M0TTMTH8JPTHXWGXYEY1VFR8,comp-within,4,ended,1,1,0,1,1,90,20,20,45,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",TRUE,20,48,timeOut
01M0TSZGKE32G3R2H2EPQFBQNN,01M0TSZGJXR0N6DNTNARWRMFQ4,comp-between,4,running,0,0,0,0,0,0,20,20,45,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",FALSE,NA,NA,NA
01M0TSZGKJQW5S4GCP9150DNN9,01M0TSZGJXR0N6DNTNARWRMFQ4,noncomp,4,ended,1,1,0,0,1,90,8,20,45,exp2-1,"[""A1"",""B2"",""C3"",""D4"",""F1"",""F2"",""F3"",""F4"",""F5"",""F6"",""F7"",""F8""]",TRUE,5,48,timeOut
01M0TSZGKM72FFW193EYG47F25,01M0TSZGJXR0N6DNTNARWRMFQ4,comp-within,4,running,0,0,0,1,0,0,20,20,45,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",FALSE,NA,NA,NA
01M0TSZV8KEDQHAT4X33M1GG1C,01M0TSZV7X3D77NKMM5CDCW4Z6,comp-within,4,ended,1,1,0,0,1,90,20,20,45,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",FALSE,48,48,end of game
01M0TTMWM9GSP2NP0T4CET96EB,01M0TTMTH8JPTHXWGXYEY1VFR8,comp-between,4,ended,1,1,0,1,1,90,20,20,45,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",FALSE,48,48,end of game
