playerID,gameID,prolificID,bonus,score,role,rotation,completedStudy,finishedTraining,ended,pretestItemGap,posttestItemGap,pretestCardShownAt,pretestStartedAt,pretestSubmittedAt,trainingStartedAt,exitStepDone,handoff_stage,pretest_advanced_at,pretest_wait_secs,handoff_secs,age,gender,strategy,enjoy,feedback,education,gamefailed,ai_used,ai_tool,ai_agreed
01M0TT49QHQY8JQV8C5T94HHYZ,01M0TSZEY44B7XSP574QH2WQPJ,653129416eb74adb10bb7c42,1.26,1.26,director,0,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,35,Female,I would pick out a unique feature to point out,I did enjoy it. It was nice having human interaction,I had fun. Thank you!,other,NA,NA,NA,FALSE
01M0TT5CRNM1YVR61Q14685E3M,01M0TSZGKE32G3R2H2EPQFBQNN,69d427d3d6e8572d8fefa0ed,0,0,matcher,0,NA,NA,null,4,4,NA,NA,NA,NA,NA,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
01M0TT9XXJBBQAZ4WANFPESF7T,01M0TSZEY44B7XSP574QH2WQPJ,69f50555738454257ae26623,1.26,1.26,matcher,0,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,34,Male,Basic unmistakable descriptions,"Yes. They were good at descriptions, and understanding the couple of times I screwed up.",It was fun actually. Thank you for allowing me to participate.,high-school,NA,NA,NA,FALSE
01M0TT6XA4485H1ACZH7FSVPNW,null,67e04d59fb6ce30ffec59479,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,NA,NA,NA,NA,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
01M0TT7FNH08P86PFHWCV3NRS8,01M0TSZEY54T11A9AMGVA6T4ZB,651090beae417ded35c4ef2f,0.87,0.87,director,0,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,74,female,picturing the forms and pieces as real things,"yes, we learned pretty fast together",couple of pages blipped out but did recover,bachelor,NA,NA,NA,FALSE
01M0TTJT0T1FXWVGTP027BYENQ,01M0TTMWMDPGAHQRDA7BZJ8FEZ,69d67e558286a0e5a947c5e4,0.06,0.06,matcher,90,NA,FALSE,game ended,4,4,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,39,male ," focused on describing the target shape using its overall appearance, distinctive features, and orientation, while avoiding references to its position on the screen. When matching, I paid close attention to the partner’s description and used clarifying questions when needed.","Yes, I generally enjoyed playing with my partners because the communication aspect made the task engaging and required us to work together to identify the correct shapes.","The game was generally straightforward, although some shapes were difficult to distinguish from one another. Clearer descriptions and occasional clarification helped reduce confusion.",high-school,NA,NA,NA,FALSE
01M0TV363Y2QH3CGTPHSZR512P,01M0TTMWM9GSP2NP0T4CET96EB,66cdeb8a1b24ca4b3267616c,1.44,1.44,matcher,90,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,30,female,"Tried to describe as best as i could, i picked out obvious shapes",I enjoyed i feel we played very well together and understood eachover easy ,,high-school,NA,NA,NA,FALSE
01M0TVBEWGMZEWANFMX7NR09MF,null,6a1c96d787ea5e658f7ad88e,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,NA,NA,NA,NA,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
01M0TTENRE0ZSC234N2S1BW8ZS,01M0TTMWMDPGAHQRDA7BZJ8FEZ,69e1199b8f7afa332ba699d8,0.06,0.06,director,90,NA,FALSE,game ended,4,4,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,31,Female,MAde some real life things to create label,"No , she left mid game",Only with interaction game ,other,NA,NA,NA,FALSE
01M0TTJ5J8Q1B809WESD6W282A,null,665f9223c7db27a5d32d81ab,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,NA,NA,NA,NA,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
01M0TT4SZRTK7MV5T48R9G1GQH,01M0TSZV8KEDQHAT4X3FNKVS2B,6694154a46060b3c49b2d6fd,1.44,1.44,matcher,0,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,29,Male,"We started by being fairly specific, and we eventually then started to know the ones we were referring to with ""keywords"" such as ""thin white line"" which always referred to the same one.","Yes, very much so. My partner was responsive and quick, and seemed to understand what I was referring to. They provided enough detail without being overly slow.",It lost connection once but we both refreshed and reconnected.,bachelor,NA,NA,NA,FALSE
01M0TT504AW8P84773ZY94HACC,01M0TSZGKM72FFW193EYG47F25,69ffc6f620b31c75a8c503cc,0,0,director,0,NA,NA,null,4,4,NA,NA,NA,NA,NA,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
01M0TT7ZVRQQW92P55GPN9KMMS,01M0TSZEY54T11A9AMGVA6T4ZB,69ebeb5ab230d108c7d3da5b,0.87,0.87,matcher,0,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,19,Male,Just try to describe the shapes the best I can,It was good but it took alot of time,No problems,high-school,NA,NA,NA,FALSE
01M0TTBQPRE9XMJHBPDKM8GTC4,01M0TSZV8KEDQHAT4X33M1GG1C,5fb0a3d6a8e4224b973e750b,1.05,1.05,matcher,90,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,28,male,Just try to be as accurate as possible,I did it was fun seeing how they describe things,Everything worked well thanks!,high-school,NA,NA,NA,FALSE
01M0TTDMH9245RXEPX9F07PB9V,01M0TSZGKJQW5S4GCP9150DNN9,69f3f390222a796dadbcad80,0,0,director,90,NA,FALSE,game ended,4,4,NA,NA,NA,NA,NA,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
01M0TT4JP6VSYSTADD58E33WM9,01M0TSZV8ERABP36QP2627EVMT,6643fe2c8c07d3b6cc064568,1.26,1.26,director,90,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,30,female,just describe the shape,"yeah, they were helpful",,bachelor,NA,NA,NA,FALSE
01M0TT4TXD8SRXYDAE6TW71C0D,01M0TSZGKJQW5S4GCP9150DNN9,6682b0b622da87763c14179c,0,0,matcher,90,NA,FALSE,game ended,4,4,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,55,Female,,,,bachelor,NA,NA,NA,FALSE
01M0TT55D1DRDQ3JPT1CDTT5VN,01M0TSZEY173D8F3KEP071GR06,5bd2e5ee1f1b080001bf2f99,1.38,1.38,director,0,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,58,MALE,"CREATIVE, PRACTICAL","definitely, we hit it off!!","no probs, I enjoyed it very much",high-school,NA,NA,NA,FALSE
01M0TTD6K33JADHZSG6S2VAAE7,01M0TSZGKM72FFW193EYG47F25,6941b81a664a46d54b61d856,0,0,matcher,0,NA,NA,null,4,4,NA,NA,NA,NA,NA,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
01M0TV8YZXT0HY97VC3QNJABKN,01M0TTMWMG725DJ5GA5M4WD8SY,6a14f818ca7d49f469ab3163,1.44,1.44,director,90,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,45,Male,We tried to come up with names we could both easily identify the shapes as so each round we could quickly call them out,Yeah it was really fun,"None, id do this again just for fun",high-school,NA,NA,NA,FALSE
01M0TTEAH4CV7WTRYG502WBVEY,null,6a0c5f6a4974d3dfbeb467ae,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,nogame,NA,NA,FALSE
01M0TTF3ADJ36CYQBD8356XFNQ,01M0TSZEY173D8F3KEP071GR06,69dd8d9a6de6c1b518e17d68,1.38,1.38,matcher,0,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,30,male,to describe common shapes and their locations within the image,yes it was very enjoyable,,high-school,NA,NA,NA,FALSE
01M0TT4SREDP4QR1H8V4E3X5G9,01M0TSZV8ERABP36QP2627EVMT,699759948aebc61b33ad51ff,1.26,1.26,matcher,90,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,47,Male,Fun - I really enjoyed it and got into a rhythm by the end of it,I enjoyed it - we both got each others descriptions midway through the game,A minor issue at the beginning where the server crashed (it seemed) but it came back online,bachelor,NA,NA,NA,FALSE
01M0TT58DDT9R157623ZTF64RQ,01M0TSZGKE32G3R2H2EPQFBQNN,65dcbd7dd5a7a319e8d61474,0,0,director,0,NA,NA,null,4,4,NA,NA,NA,NA,NA,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
01M0TTHEJVRW2SFX52ZYVXGGFP,null,699293129f0baf693f34d7db,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,nogame,NA,NA,FALSE
01M0TT467Q69C5HQ20GW6FRRF2,01M0TSZV8KEDQHAT4X33M1GG1C,69d8eab7b04ea057a65bdb4d,1.05,1.05,director,90,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,31,male,used my own gut instincts to try and determine the correct option,i did,n/a,high-school,NA,NA,NA,FALSE
01M0TTR9Z734M897PFK47Y88PB,null,6789c9643fe66949b90a5aaa,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,nogame,NA,NA,FALSE
01M0TTRCWME74XY9V6CM2V6ZJT,null,6a025bee5cff78609f5f0cd9,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,nogame,NA,NA,FALSE
01M0TT3ZTTV22XQGZD0K61T6A4,01M0TSZV8KEDQHAT4X3FNKVS2B,6413bee5234ad46e9fc4ba75,1.44,1.44,director,0,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,58,male,"Used more descriptive language at start, both using geometrical terms and real-life terms (like turtle).  Got faster and shorter as we went.","For sure, yes.  They were competent and kind.  They also refreshed successfully when the app crashed and did not give up.",The site was down for about a minute.  We made it back though.,bachelor,NA,NA,NA,FALSE
01M0TTG3XM783BKVWGAQBD96N5,null,5a4c334121bfa00001081a4e,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,nogame,NA,NA,FALSE
01M0TTRGJ55RK21NQM11GGHNRN,01M0TTMWM9GSP2NP0T4CET96EB,60fcb280d58f26d33cb004a6,1.44,1.44,director,90,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,20,male,keep it simple as possible but making sure we get everything right,yes i believe we got all answers correct,fun study,high-school,NA,NA,NA,FALSE
01M0TVD4RDDZ2GPYA2W2TBJY2J,01M0TTMWMG725DJ5GA5M4WD8SY,69f8540e0ff15f500637a750,1.44,1.44,matcher,90,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,42,Female,"Described it to the best of my ability, the way I would hope someone would describe to me.",I really enjoyed it. We worked well together.,N/A,high-school,NA,NA,NA,FALSE
