roundID,gameID,trialNum,block,selectionMadeAt,correct,stage_started,stage_ended,playerID,renderedAt
01M0WXAW67AMK0YYEW46DC6EDK,01M0WWQ74H7CSGCPAHPDSCJ0PV,14,2,1787678160355,TRUE,2026-08-25T17:15:48Z,2026-08-25T17:16:00Z,01M0WX9MXH1SX7Q50079HW9F7E,1787678148780
01M0WXAW67AMK0YYEW46DC6EDK,01M0WWQ74H7CSGCPAHPDSCJ0PV,14,2,1787678160355,TRUE,2026-08-25T17:15:48Z,2026-08-25T17:16:00Z,01M0WX667JRE4461924BYZ6YJ1,1787678148671
01M0WY8WTWNDACTY3MZE7T4XYQ,01M0WWQAZTRSENW9JN2FSQ4BA7,4,1,1787678057138,FALSE,2026-08-25T17:13:39Z,2026-08-25T17:14:15Z,01M0WY0YPE1FGB7GNWHKCY08ZN,1787678019549
01M0WY8WTWNDACTY3MZE7T4XYQ,01M0WWQAZTRSENW9JN2FSQ4BA7,4,1,1787678057138,FALSE,2026-08-25T17:13:39Z,2026-08-25T17:14:15Z,01M0WY09KXZQGZCXQXZTYFDW8C,1787678021091
01M0WY96A3GPNVM391ND45TTX8,01M0WWQAZPP7VBJF1WXDE2YKFW,7,1,1787679119616,TRUE,2026-08-25T17:31:01Z,2026-08-25T17:31:58Z,01M0WY2T8PBZPVGKC7BWFHJ59J,1787679063591
01M0WY96A3GPNVM391ND45TTX8,01M0WWQAZPP7VBJF1WXDE2YKFW,7,1,1787679119616,TRUE,2026-08-25T17:31:01Z,2026-08-25T17:31:58Z,01M0WXSYNRXCYGT80QAR430CBD,1787679062505
01M0WY96BJWW9VTCGB4KH2R567,01M0WWQAZPP7VBJF1WXDE2YKFW,12,2,1787679357664,TRUE,2026-08-25T17:35:23Z,2026-08-25T17:35:57Z,01M0WXSYNRXCYGT80QAR430CBD,1787679324019
01M0WY96BJWW9VTCGB4KH2R567,01M0WWQAZPP7VBJF1WXDE2YKFW,12,2,1787679357664,TRUE,2026-08-25T17:35:23Z,2026-08-25T17:35:57Z,01M0WY2T8PBZPVGKC7BWFHJ59J,1787679324396
01M0WYEEW3JQXTDYZ6YDBVDMR2,01M0WWQAZRRWZPK3N7VE24RFV2,43,4,NA,NA,NA,2026-08-25T17:10:51Z,NA,NA
01M0WY8WTPASQX09WQQYSHK2YA,01M0WWQAZTRSENW9JN2FSQ4BA7,5,1,1787678105683,TRUE,2026-08-25T17:14:18Z,2026-08-25T17:15:05Z,01M0WY09KXZQGZCXQXZTYFDW8C,1787678060604
01M0WY8WTPASQX09WQQYSHK2YA,01M0WWQAZTRSENW9JN2FSQ4BA7,5,1,1787678105683,TRUE,2026-08-25T17:14:18Z,2026-08-25T17:15:05Z,01M0WY0YPE1FGB7GNWHKCY08ZN,1787678059051
01M0WXEB75HPT08XHVF70Q63FR,01M0WWQ74M3NWYAJGQB0ESKAD2,40,4,NA,NA,NA,2026-08-25T16:53:19Z,NA,NA
01M0WXEBCZX895NZ40M1V1M8DE,01M0WWQ74M3NWYAJGQB0ESKAD2,33,3,NA,NA,NA,2026-08-25T16:53:19Z,NA,NA
01M0WY4EW99C2WCPS74X0CDWHV,01M0WWQ9XVXJV1JR4118CY5W09,30,3,1787678709221,TRUE,2026-08-25T17:25:01Z,2026-08-25T17:25:09Z,01M0WY0ENCGBGZ9MKY7CZKA71D,1787678701651
01M0WY4EW99C2WCPS74X0CDWHV,01M0WWQ9XVXJV1JR4118CY5W09,30,3,1787678709221,TRUE,2026-08-25T17:25:01Z,2026-08-25T17:25:09Z,01M0WY0C090AZDG2K9X542KKDB,1787678701502
01M0WXAW566C7GT40FYFZ5EGM7,01M0WWQ74H7CSGCPAHPDSCJ0PV,37,4,1787678654953,TRUE,2026-08-25T17:24:02Z,2026-08-25T17:24:15Z,01M0WX9MXH1SX7Q50079HW9F7E,1787678642958
01M0WXAW566C7GT40FYFZ5EGM7,01M0WWQ74H7CSGCPAHPDSCJ0PV,37,4,1787678654953,TRUE,2026-08-25T17:24:02Z,2026-08-25T17:24:15Z,01M0WX667JRE4461924BYZ6YJ1,1787678642819
01M0WXEBBNRPGT0M9KBHC34BZ2,01M0WWQ74M3NWYAJGQB0ESKAD2,22,2,NA,NA,NA,2026-08-25T16:53:18Z,NA,NA
01M0WY7GAMKJB55WG6VXTWZ105,01M0WWQ9XW83PGVA4HF3WT9HVR,44,4,1787679876789,TRUE,2026-08-25T17:44:15Z,2026-08-25T17:44:36Z,01M0WY0ECEQWZG8FEZD72ENETD,1787679855801
01M0WY7GAMKJB55WG6VXTWZ105,01M0WWQ9XW83PGVA4HF3WT9HVR,44,4,1787679876789,TRUE,2026-08-25T17:44:15Z,2026-08-25T17:44:36Z,01M0WXR5QX7RT0467EJCPJ9Y2Y,1787679855995
01M0WY8DBEGJ05JE8HYX7513CK,01M0WWQ9XT2Q7RF2RHNCTTRDNK,31,3,1787679774193,TRUE,2026-08-25T17:42:12Z,2026-08-25T17:42:53Z,01M0WY1V9QET0HYE5N0547967Y,1787679733425
01M0WY8DBEGJ05JE8HYX7513CK,01M0WWQ9XT2Q7RF2RHNCTTRDNK,31,3,1787679774193,TRUE,2026-08-25T17:42:12Z,2026-08-25T17:42:53Z,01M0WY1FH5WQS14DQ3V446M8AM,1787679732572
01M0WY8WR24CWTY5QYYJ9XKZHY,01M0WWQAZTRSENW9JN2FSQ4BA7,13,2,1787678394025,TRUE,2026-08-25T17:19:38Z,2026-08-25T17:19:54Z,01M0WY09KXZQGZCXQXZTYFDW8C,1787678380201
01M0WY8WR24CWTY5QYYJ9XKZHY,01M0WWQAZTRSENW9JN2FSQ4BA7,13,2,1787678394025,TRUE,2026-08-25T17:19:38Z,2026-08-25T17:19:54Z,01M0WY0YPE1FGB7GNWHKCY08ZN,1787678378657
01M0WXEBBTTXK0ZNRFMR7QDY8B,01M0WWQ74M3NWYAJGQB0ESKAD2,25,3,NA,NA,NA,2026-08-25T16:53:18Z,NA,NA
01M0WY7G7RGN6F6QM7ZGB4V9E7,01M0WWQ9XW83PGVA4HF3WT9HVR,26,3,1787679462604,TRUE,2026-08-25T17:37:26Z,2026-08-25T17:37:42Z,01M0WXR5QX7RT0467EJCPJ9Y2Y,1787679446505
01M0WY7G7RGN6F6QM7ZGB4V9E7,01M0WWQ9XW83PGVA4HF3WT9HVR,26,3,1787679462604,TRUE,2026-08-25T17:37:26Z,2026-08-25T17:37:42Z,01M0WY0ECEQWZG8FEZD72ENETD,1787679446341
01M0WY8WNPQ4GF93XQJMPEHM24,01M0WWQAZTRSENW9JN2FSQ4BA7,35,3,1787678858136,TRUE,2026-08-25T17:27:22Z,2026-08-25T17:27:38Z,01M0WY09KXZQGZCXQXZTYFDW8C,1787678843980
01M0WY8WNPQ4GF93XQJMPEHM24,01M0WWQAZTRSENW9JN2FSQ4BA7,35,3,1787678858136,TRUE,2026-08-25T17:27:22Z,2026-08-25T17:27:38Z,01M0WY0YPE1FGB7GNWHKCY08ZN,1787678842477
01M0WY8WSM8SQWNWYC00A6YT8V,01M0WWQAZTRSENW9JN2FSQ4BA7,7,1,1787678190405,TRUE,2026-08-25T17:15:46Z,2026-08-25T17:16:30Z,01M0WY0YPE1FGB7GNWHKCY08ZN,1787678146814
01M0WY8WSM8SQWNWYC00A6YT8V,01M0WWQAZTRSENW9JN2FSQ4BA7,7,1,1787678190405,TRUE,2026-08-25T17:15:46Z,2026-08-25T17:16:30Z,01M0WY09KXZQGZCXQXZTYFDW8C,1787678148343
01M0WY967KFFZ44BK4KWFGHFXV,01M0WWQAZPP7VBJF1WXDE2YKFW,1,1,1787678770052,TRUE,2026-08-25T17:25:09Z,2026-08-25T17:26:09Z,01M0WY2T8PBZPVGKC7BWFHJ59J,1787678710602
01M0WY967KFFZ44BK4KWFGHFXV,01M0WWQAZPP7VBJF1WXDE2YKFW,1,1,1787678770052,TRUE,2026-08-25T17:25:09Z,2026-08-25T17:26:09Z,01M0WXSYNRXCYGT80QAR430CBD,1787678710187
01M0WXEBBGWW5R59YRD8HBSG09,01M0WWQ74M3NWYAJGQB0ESKAD2,19,2,NA,NA,NA,2026-08-25T16:53:18Z,NA,NA
01M0WY4ESS8KA8ZFYYJRT5SGTC,01M0WWQ9XVXJV1JR4118CY5W09,8,1,1787678255041,TRUE,2026-08-25T17:17:10Z,2026-08-25T17:17:35Z,01M0WY0ENCGBGZ9MKY7CZKA71D,1787678231207
01M0WY4ESS8KA8ZFYYJRT5SGTC,01M0WWQ9XVXJV1JR4118CY5W09,8,1,1787678255041,TRUE,2026-08-25T17:17:10Z,2026-08-25T17:17:35Z,01M0WY0C090AZDG2K9X542KKDB,1787678231063
01M0WY8WREG2JRD2A6RTZMM5QW,01M0WWQAZTRSENW9JN2FSQ4BA7,10,1,1787678311360,TRUE,2026-08-25T17:17:56Z,2026-08-25T17:18:29Z,01M0WY0YPE1FGB7GNWHKCY08ZN,1787678276416
01M0WY8WREG2JRD2A6RTZMM5QW,01M0WWQAZTRSENW9JN2FSQ4BA7,10,1,1787678311360,TRUE,2026-08-25T17:17:56Z,2026-08-25T17:18:29Z,01M0WY09KXZQGZCXQXZTYFDW8C,1787678277955
01M0WY8WRTZQNJ43TR31PZAT9M,01M0WWQAZTRSENW9JN2FSQ4BA7,9,1,1787678273140,TRUE,2026-08-25T17:17:05Z,2026-08-25T17:17:53Z,01M0WY09KXZQGZCXQXZTYFDW8C,1787678226624
01M0WY8WRTZQNJ43TR31PZAT9M,01M0WWQAZTRSENW9JN2FSQ4BA7,9,1,1787678273140,TRUE,2026-08-25T17:17:05Z,2026-08-25T17:17:53Z,01M0WY0YPE1FGB7GNWHKCY08ZN,1787678225082
01M0WY96AQVVG3BCQPW1PBN2JW,01M0WWQAZPP7VBJF1WXDE2YKFW,20,2,1787679705132,TRUE,2026-08-25T17:41:08Z,2026-08-25T17:41:44Z,01M0WXSYNRXCYGT80QAR430CBD,1787679669278
01M0WY96AQVVG3BCQPW1PBN2JW,01M0WWQAZPP7VBJF1WXDE2YKFW,20,2,1787679705132,TRUE,2026-08-25T17:41:08Z,2026-08-25T17:41:44Z,01M0WY2T8PBZPVGKC7BWFHJ59J,1787679669713
01M0WY96ATB2ZTKVT0STTKFVYN,01M0WWQAZPP7VBJF1WXDE2YKFW,19,2,1787679666212,TRUE,2026-08-25T17:40:33Z,2026-08-25T17:41:05Z,01M0WY2T8PBZPVGKC7BWFHJ59J,1787679634423
01M0WY96ATB2ZTKVT0STTKFVYN,01M0WWQAZPP7VBJF1WXDE2YKFW,19,2,1787679666212,TRUE,2026-08-25T17:40:33Z,2026-08-25T17:41:05Z,01M0WXSYNRXCYGT80QAR430CBD,1787679634080
