roundID,gameID,phase,trialNum,repNum,targetNum,numTrials,numTrialsPerBlock,setId,target,targetLabel,tangramURLs,displayLabels,response,correct,selection,director,matcher,selectionMadeAt,clickBlockedAt,block
01M0XF02VWZD3VEST9F9A9RZ6T,01M0XEBFYZ40VDCCZ70PM6EWHK,training,34,2,11,48,12,1,/tangrams/66_314.png,A1,"[""/tangrams/157_426.png"",""/tangrams/264_176.png"",""/tangrams/66_314.png"",""/tangrams/374_400.png""]","[""F7"",""F3"",""A1"",""F8""]",/tangrams/66_314.png,TRUE,/tangrams/66_314.png,01M0XEW4XVCD53BQGS5F5TWC4E,01M0XERQP1ZQ8ZKRV6F98VE778,1787696442157,NA,3
01M0XF5J445MR6FX8PW9SY1ZJF,01M0XEBJH60M51NVP8EGS7231S,training,2,0,3,48,12,2,/tangrams/10_15.png,A1,"[""/tangrams/148_294.png"",""/tangrams/14_98.png"",""/tangrams/291_410.png"",""/tangrams/10_15.png""]","[""F4"",""F2"",""F3"",""A1""]",/tangrams/10_15.png,TRUE,/tangrams/10_15.png,01M0XF1AW05AX3PDCQ9PWGAR99,01M0XEQNJ9809PHWDZ742E11VG,1787695859807,NA,1
01M0XF6K9Q3Q4P0NW9XQ38JE76,01M0XEBKS2G948HDY26TVYK1X9,training,37,3,2,48,12,2,/tangrams/186_349.png,D4,"[""/tangrams/186_349.png"",""/tangrams/304_351.png"",""/tangrams/291_410.png"",""/tangrams/14_98.png""]","[""D4"",""F7"",""F3"",""F2""]",/tangrams/186_349.png,TRUE,/tangrams/186_349.png,01M0XEQS1Y61NYBS2B9X56Y7HM,01M0XERWA6XTSFFEAXHF1XTBP1,1787696682279,NA,4
01M0XF07BTE49ET4MNJDQ3T26K,01M0XEBFYW1G5QWYVD4F1CEJQ3,training,35,2,12,48,12,1,/tangrams/20_314.png,D1,"[""/tangrams/20_314.png"",""/tangrams/348_24.png"",""/tangrams/202_464.png"",""/tangrams/66_441.png""]","[""D1"",""B3"",""C4"",""A2""]",/tangrams/20_314.png,TRUE,/tangrams/20_314.png,01M0XEQXM9M74Y1X1MWHARYCDC,01M0XER53CMDT435QVPYSPB86P,1787696763323,NA,3
01M0XF1CCAT27EBQPT9KAYN1DX,01M0XEBJH722J4730WC5V8GCA8,training,41,3,6,48,12,2,/tangrams/128_15.png,C1,"[""/tangrams/128_7.png"",""/tangrams/128_15.png"",""/tangrams/186_342.png"",""/tangrams/421_15.png""]","[""C2"",""C1"",""D3"",""B1""]",NA,NA,NA,NA,NA,NA,NA,4
01M0XF02VRSVR5GMP7QD9J4Q6D,01M0XEBFYZ40VDCCZ70PM6EWHK,training,2,0,3,48,12,1,/tangrams/202_24.png,C3,"[""/tangrams/452_257.png"",""/tangrams/202_24.png"",""/tangrams/429_403.png"",""/tangrams/66_314.png""]","[""F1"",""C3"",""F2"",""A1""]",/tangrams/202_24.png,TRUE,/tangrams/202_24.png,01M0XEW4XVCD53BQGS5F5TWC4E,01M0XERQP1ZQ8ZKRV6F98VE778,1787695623935,NA,1
01M0XF07BHJS0CPCASPK21Y0CY,01M0XEBFYW1G5QWYVD4F1CEJQ3,training,40,3,5,48,12,1,/tangrams/20_24.png,D3,"[""/tangrams/348_314.png"",""/tangrams/202_441.png"",""/tangrams/20_24.png"",""/tangrams/66_464.png""]","[""B1"",""C2"",""D3"",""A4""]",/tangrams/20_24.png,TRUE,/tangrams/20_24.png,01M0XER53CMDT435QVPYSPB86P,01M0XEQXM9M74Y1X1MWHARYCDC,1787696832746,NA,4
01M0XF2RZK2ZX0GDRB48ZXBJYR,01M0XEBKS0ZEFNX9SMQDQW2PZ4,training,10,0,11,48,12,2,/tangrams/421_349.png,B4,"[""/tangrams/421_349.png"",""/tangrams/186_7.png"",""/tangrams/421_15.png"",""/tangrams/10_349.png""]","[""B4"",""D2"",""B1"",""A4""]",/tangrams/421_349.png,TRUE,/tangrams/421_349.png,01M0XES69GNPHVSPMR1TVP4HAR,01M0XER9CN1N4H5AFH0XVE2HCE,1787697049944,NA,1
01M0XF3918DWR2KFC0A2A8QBRC,01M0XEBHF9Z6MD8PTP8NQ2PV26,training,12,1,1,48,12,1,/tangrams/4_159.png,F5,"[""/tangrams/40_345.png"",""/tangrams/4_159.png"",""/tangrams/264_176.png"",""/tangrams/374_400.png""]","[""F4"",""F5"",""F3"",""F8""]",/tangrams/4_159.png,TRUE,/tangrams/4_159.png,01M0XESRDHZJ3M6V0HK46Z1NMP,01M0XESCE3HXZW59M8QA45SWJ1,1787696105658,NA,2
01M0XF5J3X6S2P3G94FZVQEMJV,01M0XEBJH60M51NVP8EGS7231S,training,47,3,12,48,12,2,/tangrams/236_198.png,F8,"[""/tangrams/52_165.png"",""/tangrams/236_198.png"",""/tangrams/291_410.png"",""/tangrams/370_396.png""]","[""F1"",""F8"",""F3"",""F6""]",/tangrams/236_198.png,TRUE,/tangrams/236_198.png,01M0XEQNJ9809PHWDZ742E11VG,01M0XF1AW05AX3PDCQ9PWGAR99,1787696738783,NA,4
