playerID,gameID,prolificID,bonus,score,role,rotation,completedStudy,finishedTraining,ended,pretestItemGap,posttestItemGap,pretestCardShownAt,pretestStartedAt,pretestSubmittedAt,trainingStartedAt,roundsInactive,exitStepDone,handoff_stage,pretest_advanced_at,pretest_wait_secs,handoff_secs,age,gender,strategy,enjoy,feedback,education,gamefailed,sawIntro,ai_used,ai_tool,ai_agreed
01M0XEQXMFVE0GRKM8DY7Y5DHN,01M0XEBFZ0825AFF4R333DJ4HK,6a18c85d8319b40bb23e78c9,1.29,1.29,director,90,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,26,male,common names,yes i did beacuase we both were doing well,,high-school,NA,NA,NA,NA,FALSE
01M0XER53CMDT435QVPYSPB86P,01M0XEBFYW1G5QWYVD4F1CEJQ3,6a1eba8c12fabb0fa7678822,1.38,1.38,matcher,90,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,28,female,find a description that worked for a particular shape and stick with it every time,"yes, they understood everything well",,bachelor,NA,NA,NA,NA,FALSE
01M0XEREB3GCTAQVXHQ8WY91H4,01M0XEBHFAZN8J8K9QJ4PMADCV,5c97e0fdf74b3500152c1608,1.05,1.05,director,90,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,35,female,"keep describing them the same way if they got it right, or use the words that they used.",yes i enjoyed it as i could tell we got better quickly,,high-school,NA,NA,NA,NA,FALSE
01M0XERTSZ0TCDWRGM6GX23TW0,01M0XEP3V3T2RJX1S58T7Z1N3B,6a06233ac83a1d709b365e59,1.23,1.23,director,270,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,35,Male,Tried to be as simple as possible and think of things that resembled the shapes that everyone could understand.,Yes they were very receptive to my clues.,None,high-school,NA,NA,NA,NA,FALSE
01M0XES7WHX0W3E8PJ1JTK03A6,01M0XF36KPEANMAA2FHR330CGB,6a1692f9cd2b008d1f661d7e,1.32,1.32,director,270,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,50,female,finding a defined end,"yes , the noticed the pattern easily",the study was fun,master,NA,NA,NA,NA,FALSE
01M0XESZDE3CCGRVTP6G18ANBY,01M0XEBJH722J4730WC5V8GCA8,664df048885a07d315d9236e,0.87,0.87,director,180,NA,FALSE,game ended,4,4,NA,NA,NA,NA,5,TRUE,never_reached_pretest,NA,NA,NA,29,Male,Relate things to the most common life animals or object you know.,Yeah I did. My partner tried describing and I kept following even though My partner find it hard to put me through. But it was all lit,I received a serious call from work that I could not hand up. so sorry,master,NA,NA,NA,NA,FALSE
01M0XER0XX29HJPEX4FRYGSWYD,01M0XEBFZ0825AFF4R333DJ4HK,6658b1491e88ec15902d5301,1.29,1.29,matcher,90,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,36,Woman,"To identify something fun as soon as possible to use as description, i.e. pac man esque shapes","Yes, once we got rolling we understood each other.",My partner def chose the right shape twice yet it said it was incorrect?,bachelor,NA,NA,NA,NA,FALSE
01M0XERB8WK0F35BEHYF8Q3833,null,667439c6372889c378fc8bdb,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,NA,NA,NA,NA,NA,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
01M0XERZFWJEZDBR149P6YH3F1,01M0XEBJH722J4730WC5V8GCA8,55a7ff69fdf99b7508d7da5a,0.87,0.87,matcher,180,NA,FALSE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,34,Female,Trying to use agreed terms for the shapes that recurred,I did until they disappeared!,"It was a bit annoying to be told that I 'hadn't matched in time' when you can't click anything until your partner gives clues, and my partner had vanished.",bachelor,NA,NA,NA,NA,FALSE
01M0XES6Y0ZZ007H6JH04175H7,null,664538d42f1f1e3371e3e3db,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,NA,NA,NA,NA,NA,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
