roundID,correct,gameID,index,numTrials,repNum,response,target,targetNum,trialNum,tangramURLs
01J1QPCNH9FJT6QSENPXXB96TY,TRUE,01J1QNE12RAT2HV30CJ14B10MV,15,65,0,/tangrams/1_19.png,/tangrams/1_19.png,16,15,"[""/tangrams/1_19.png"",""/tangrams/2_17.png"",""/tangrams/3_16.png"",""/tangrams/0_18.png""]"
01J1QPENZVDZH07EBQB3ZTZXTJ,TRUE,01J1QNE12VV9T74DS9BE310JQ7,9,65,0,/tangrams/9_25.png,/tangrams/9_25.png,10,9,"[""/tangrams/13_29.png"",""/tangrams/9_25.png"",""/tangrams/6_22.png"",""/tangrams/5_21.png""]"
01J1QPT6AFKCBRXHV2RKJ927VW,TRUE,01J1QNE39PJ7B8A0REVHZR1A7K,30,65,1,/tangrams/2_16.png,/tangrams/2_16.png,15,30,"[""/tangrams/0_18.png"",""/tangrams/0_16.png"",""/tangrams/2_18.png"",""/tangrams/2_16.png""]"
01J1QQD48NFJ7Z569K6E50KC96,TRUE,01J1QNE6KPS5SV4KX4GKK5GM7S,6,65,0,/tangrams/0_19.png,/tangrams/0_19.png,7,6,"[""/tangrams/1_19.png"",""/tangrams/0_16.png"",""/tangrams/0_19.png"",""/tangrams/1_16.png""]"
01J1QQQ1TM230B99P7H66AYVC3,TRUE,01J1QNE6KNDHKGTDVN9A5ABN3E,40,65,2,/tangrams/1_17.png,/tangrams/1_17.png,9,40,"[""/tangrams/0_16.png"",""/tangrams/1_17.png"",""/tangrams/3_19.png"",""/tangrams/2_18.png""]"
01J1QPCNHBY9W77NXKN9VTP9BY,TRUE,01J1QNE12RAT2HV30CJ14B10MV,23,65,1,/tangrams/3_18.png,/tangrams/3_18.png,8,23,"[""/tangrams/1_16.png"",""/tangrams/3_18.png"",""/tangrams/2_19.png"",""/tangrams/0_17.png""]"
01J1QPCNHR03WE3V6AM735JEC0,TRUE,01J1QNE12RAT2HV30CJ14B10MV,49,65,3,/tangrams/3_17.png,/tangrams/3_17.png,2,49,"[""/tangrams/1_18.png"",""/tangrams/2_19.png"",""/tangrams/3_17.png"",""/tangrams/0_16.png""]"
01J1QPR7GVRFF0CQ3ZCFCVR05J,NA,01J1QNE39PJ7B8A0REV36W4QSF,59,65,3,NA,/tangrams/2_16.png,12,59,"[""/tangrams/2_16.png"",""/tangrams/0_18.png"",""/tangrams/3_17.png"",""/tangrams/1_19.png""]"
01J1QPT698XXADAZ4N9ZRVD836,TRUE,01J1QNE39PJ7B8A0REVHZR1A7K,33,65,2,/tangrams/1_19.png,/tangrams/1_19.png,2,33,"[""/tangrams/3_19.png"",""/tangrams/1_19.png"",""/tangrams/1_16.png"",""/tangrams/3_16.png""]"
01J1QQ0DXG3KJ3R209YBXAZKD4,TRUE,01J1QNE39Q81W3DCXXJZ95X0QX,4,65,0,/tangrams/1_17.png,/tangrams/1_17.png,5,4,"[""/tangrams/12_28.png"",""/tangrams/9_25.png"",""/tangrams/14_30.png"",""/tangrams/1_17.png""]"
