roundID,text,playerID
01JFGB9AY2SWYA2NQR2ZBE87QZ,"house, bottom left square",01JFGB2B59CTSJXJMRCQWE3459
01JFG9M8FKEX2X5089CE8CJPE8,hi,01JFG9DEE4WBNK3M0D0JDNFZ74
01JFG9M8FKEX2X5089CE8CJPE8,only shape with a diamond on top,01JFG9JKCBFHFPAFFP1RJW3H2X
01JFGA4GSJSD1PK40YQ125E684,full arrow inside the shape,01JFGA0NWRWKSJ3RKMWVYF5FSB
01JFGA6DCFH3EZXEK4J63Q09ER,"dragon with hat, one thick side leg",01JFGA15AQNS2PES3EQRRP5408
01JFG9M8G7MW8N1W230EEWWS6H,whale with sharp top right,01JFG9JKCBFHFPAFFP1RJW3H2X
01JFGAFG373HXX8Q9WPZKZC3TS,cut out,01JFGAC3DMMYRBG1A56E5SQ95T
01JFGAXKNN5BJHZA0MVB7VK515,bed looking like on right,01JFGAQBHR0HECY779RTQ2C4C3
01JFGAFG0WKQDQ5QQ5V8RWEC3Q,small white rectangle cut out,01JFGAC3DMMYRBG1A56E5SQ95T
01JFGB9AM5PBE28YYR8265HKS6,house or chair?,01JFGB2B59CTSJXJMRCQWE3459
01JFGB9AM5PBE28YYR8265HKS6,legs or triangle?,01JFGB2B59CTSJXJMRCQWE3459
01JFGB9AM5PBE28YYR8265HKS6,chair like on to and a triangular base,01JFGA0RP6XQSZFPDJZDZNZHCM
01JFGB9AZEWVGE5QKJWN7HAGM6,house like triangle base,01JFGA0RP6XQSZFPDJZDZNZHCM
01JFG9M8GQJ76P6WNJSPYMP3J5,flat footed triangle hat,01JFG9JKCBFHFPAFFP1RJW3H2X
01JFGA4GRX489TT82P2Z9Q4EF3,"Square on top left with two arrows pointing down, and an arrow pointing right",01JFG9ZV5JCSCD633QXFWF0TNM
01JFGA4GS17498H3H5JFVKA8VQ,"Square top left with 2 arrows pointing down, and an arrow on the right. It creates an almost arrow on the inside.",01JFG9ZV5JCSCD633QXFWF0TNM
01JFG9M8G2CS1EHNJXFVQHBRYS,upside down triangle on hexagon,01JFG9DEE4WBNK3M0D0JDNFZ74
01JFGAXKTP3DY4KPK0QTFFCWS9,Black arrow,01JFGASY33Y3P6D9J4GPN0M6Q0
01JFG9M8G7MW8N1W22ZMKZ6E62,diamond on top,01JFG9JKCBFHFPAFFP1RJW3H2X
01JFGA4GSQM4XSSS2B1S0EAZP3,"Big filled in block on the left, with squares on the right.",01JFG9ZV5JCSCD633QXFWF0TNM
01JFGA4GTFQATH9CWQ1G3C35J4,We got this! Square top left that leads to 2 arrows down and big block merged shape on right,01JFG9ZV5JCSCD633QXFWF0TNM
01JFGA4GTFQATH9CWQ1G3C35J4,we sure have!,01JFGA0NWRWKSJ3RKMWVYF5FSB
01JFGAFG32QCPVR8CD250S4JP4,apex top,01JFGAC3DMMYRBG1A56E5SQ95T
01JFGAFG4V49XGWARWV8HDVKZY,daimond top,01JFGA5MVC6GPBAZSHJQHEDZ3W
01JFGAXKMA561XAKMKSHQMPCQC,1 showing sign to left,01JFGAQBHR0HECY779RTQ2C4C3
01JFGAXKMA561XAKMKSHQMPCQC,no points on other side,01JFGAQBHR0HECY779RTQ2C4C3
01JFGB9B2GY5B6KREFDNBXFQN1,triangle base with a chair on,01JFGA0RP6XQSZFPDJZDZNZHCM
01JFGA4GT2RZC20H1XD8NVD3NH,"big block on left, three arrows pointing right",01JFGA0NWRWKSJ3RKMWVYF5FSB
01JFGA4GTE3Q0FA976PVA1PFW9,"square top left, arrow down two squares on right",01JFGA0NWRWKSJ3RKMWVYF5FSB
01JFGA6DCWAD17KZ620K040F0R,large E and large body,01JFGA15AQNS2PES3EQRRP5408
01JFGA8FEVTK7Z9BJG50F19MBA,Hello,01JFGA15QX4KN1PS5F13JKQ9JZ
01JFGA8FEVTK7Z9BJG50F19MBA,a table top going down two large extension going down to two legs,01JFG9Y2GE3VEMM3XYBMT1D85D
01JFGB9APM7H809Y481XDD11NH,chair shape or U shape on top?,01JFGB2B59CTSJXJMRCQWE3459
01JFGB9APM7H809Y481XDD11NH,left square or triangle base?,01JFGB2B59CTSJXJMRCQWE3459
01JFGB9APM7H809Y481XDD11NH,two heads with a triangle base,01JFGA0RP6XQSZFPDJZDZNZHCM
01JFG9M8FPHPTCFT77RWA8M0WB,"flat footed person with triangle head, and 2 extra weird spikes",01JFG9DEE4WBNK3M0D0JDNFZ74
01JFG9M8FPHPTCFT77RWA8M0WB,4 points along the sides,01JFG9DEE4WBNK3M0D0JDNFZ74
01JFG9M8FPHPTCFT77RWA8M0WB,mirror image,01JFG9DEE4WBNK3M0D0JDNFZ74
01JFGA4GSZ3Z5E2WNMZB3AS2SM,Square top left with two merged squares on the right.,01JFG9ZV5JCSCD633QXFWF0TNM
01JFGA6DDN971ERT5B990VEK7R,"slim body, letter E on top",01JFGA1PKNX0GFZEKMCQM4H943
01JFGAXKPH36R69JY5G0SXD773,palliers on left and pointed upward on right,01JFGAQBHR0HECY779RTQ2C4C3
01JFGB9ANQYFGE1BW54ZSDS91B,chair or snake on top?,01JFGB2B59CTSJXJMRCQWE3459
01JFGB9ANQYFGE1BW54ZSDS91B,upside down boat on the bottom or rectange shape?,01JFGB2B59CTSJXJMRCQWE3459
01JFGB9ANQYFGE1BW54ZSDS91B,flat bottom with a snake head,01JFGA0RP6XQSZFPDJZDZNZHCM
01JFGA4GSFSNRMSFNG8A1QV3TM,"arrow points left, squares pointing right",01JFGA0NWRWKSJ3RKMWVYF5FSB
01JFGA6DD9WDKWWXKB0VAT09XX,side profile of a crane bird with hat on and pointed beak,01JFGA15AQNS2PES3EQRRP5408
01JFGA6DFY7PJCRVGFFE9KNNTW,"mouth open, tail, no E",01JFGA1PKNX0GFZEKMCQM4H943
01JFGAFFXY6BCQ2B2MZKA1EGBP,"two bits sticking out on the right, large volume of black",01JFGAC3DMMYRBG1A56E5SQ95T
01JFGAFFXY6BCQ2B2MZKA1EGBP,one bit sticking out top,01JFGAC3DMMYRBG1A56E5SQ95T
01JFGAXKKB0CFJRAEMPZA4SWJA,Horse,01JFGASY33Y3P6D9J4GPN0M6Q0
01JFGAXKKNQ8DR0HAEFVF4VPYY,most detailed,01JFGAQBHR0HECY779RTQ2C4C3
01JFG9M8G3VB2QPZJTMTS5Q712,"flat top, sharp point top right",01JFG9DEE4WBNK3M0D0JDNFZ74
01JFGA4GT8ACDVMRYH10MS1PFQ,"overlap in shape, two arrows pointing down",01JFGA0NWRWKSJ3RKMWVYF5FSB
01JFGA6DF6NSK9QZ953ZR3ESJ8,"E on top, large bottom, with tail",01JFGA15AQNS2PES3EQRRP5408
01JFGAFFZ19H54JA4FMA3ZT1WF,corners on the left and right edge,01JFGAC3DMMYRBG1A56E5SQ95T
01JFGAFFZ19H54JA4FMA3ZT1WF,pointy shape on top,01JFGAC3DMMYRBG1A56E5SQ95T
01JFGAFFZTTC0069KMM6QJYB6J,one section sticking up on the top right of the shape,01JFGAC3DMMYRBG1A56E5SQ95T
01JFGA4GTCHNYT78ZB9YBTWMSR,"Arrow left, 3 arrows right",01JFG9ZV5JCSCD633QXFWF0TNM
01JFGA6DAP5AHYDV1ASRP7EN3S,"large ""E"" on the top with a bulky base",01JFGA15AQNS2PES3EQRRP5408
01JFGAXKP2ECVWB06GFPC3KKYM,"cat head , looks like open palliers on other side",01JFGAQBHR0HECY779RTQ2C4C3
01JFGB9ASJ76VDWMFT7KQKK2HP,damn you ingetting everythg,01JFGA0RP6XQSZFPDJZDZNZHCM
01JFGB9ASJ76VDWMFT7KQKK2HP,"chair on top, bottom left square",01JFGB2B59CTSJXJMRCQWE3459
01JFGB9ASJ76VDWMFT7KQKK2HP,haha it's the same shapes repeating :),01JFGB2B59CTSJXJMRCQWE3459
01JFG9M8GF5BZCBRP1HCEHS54S,running man triangle hat,01JFG9JKCBFHFPAFFP1RJW3H2X
01JFGA6DBR48F18R4V9SAKFWJE,"facing left, open mouth, wide chin",01JFGA1PKNX0GFZEKMCQM4H943
01JFGA6DBR48F18R4V9SAKFWJE,no hat,01JFGA1PKNX0GFZEKMCQM4H943
01JFGA6DBZ62ZR9WDN5V0XXBZ6,side profile image with a large chin pointing up,01JFGA15AQNS2PES3EQRRP5408
01JFG9M8G110580C125BJQ6AZC,"flat top, sharp point top right",01JFG9DEE4WBNK3M0D0JDNFZ74
01JFGAFFW0CDXQ0PRN6V84ZKH9,tapers at the bottom with 3x trangles,01JFGA5MVC6GPBAZSHJQHEDZ3W
01JFGAXKR45F6BMQ94R4TQXFZ3,Horse,01JFGASY33Y3P6D9J4GPN0M6Q0
01JFGB9AVEK35C3KFGK875STPE,"snake on top, triangle base",01JFGB2B59CTSJXJMRCQWE3459
01JFGB9B1NS07B5R3X2YNCFG71,house with legs,01JFGB2B59CTSJXJMRCQWE3459
01JFGA4GSSDB0RZRFD849HSYFY,"arrow pointing left, three arrows right",01JFGA0NWRWKSJ3RKMWVYF5FSB
01JFGA4GSW55NY4SKG2FSBFM47,full arrow in shape,01JFGA0NWRWKSJ3RKMWVYF5FSB
01JFGA6D9YVV88AKPB4S8X140S,looks like a dragon with two heads,01JFGA1PKNX0GFZEKMCQM4H943
01JFGAFG4EY8R0TAGYZYWM7JXY,"bit pointiing diagonal left at top, almost symetrical",01JFGAC3DMMYRBG1A56E5SQ95T
01JFGAFG74K6A22YTTHCWZ225J,"diamond bottom, u shape cut out at top",01JFGAC3DMMYRBG1A56E5SQ95T
01JFGB9AKJBM9BHHBCJ1TZKY71,triangle base with a chair like on toP,01JFGA0RP6XQSZFPDJZDZNZHCM
01JFG9M8FWX6T857GV2T94JYQP,"looks like a shark swimming...two fins on bottom, one sharp one on top",01JFG9JKCBFHFPAFFP1RJW3H2X
01JFGA4GT5QPSDG3DC4D1F6ZZW,"arrow pointing right, two arrows pointing down on the left hand side arrow inside shape, not full",01JFGA0NWRWKSJ3RKMWVYF5FSB
01JFG9M8FY5KF8A0CVEP6EK0MA,diamond on top,01JFG9JKCBFHFPAFFP1RJW3H2X
01JFG9M8G2CS1EHNJXF874HH93,"flat top sharp top right, squarish shape bottom right",01JFG9JKCBFHFPAFFP1RJW3H2X
01JFGA6DD6S7YYXJQGE6QP5VVW,"large E, thick bottom",01JFGA15AQNS2PES3EQRRP5408
01JFGAFG3D4WHR3697D2RW9KNV,double triangles bottom,01JFGA5MVC6GPBAZSHJQHEDZ3W
01JFG9M8GPWAT8GD9EGT3RETVK,mirror image,01JFG9DEE4WBNK3M0D0JDNFZ74
01JFGA6DBCZQ8K5JFGE4Z8A1E4,looks like the letter P with a gap on the side missing,01JFGA15AQNS2PES3EQRRP5408
01JFGAFFVQJEN02DF8YRW642SN,hello,01JFGA5MVC6GPBAZSHJQHEDZ3W
01JFGAFFVQJEN02DF8YRW642SN,almost symetrical shape with bit pointing out the top,01JFGAC3DMMYRBG1A56E5SQ95T
01JFGA4GSVENA2TRWSF60PQ36M,"three arrows pointing right, one other arrow pointing down",01JFGA0NWRWKSJ3RKMWVYF5FSB
01JFGB9AZTK6JR3E15QTQM1WSB,two legs with a chair,01JFGA0RP6XQSZFPDJZDZNZHCM
01JFG9M8GHV25S7R4SJ9BRYT4A,whale with sharp top right,01JFG9JKCBFHFPAFFP1RJW3H2X
01JFGA4GS51WRK8KQ2SBNYCV0Q,"arrow points left, on the right there are three small arrows",01JFGA0NWRWKSJ3RKMWVYF5FSB
01JFGA6DF1AY4Y67WZ9J6D6DVW,"letter E on top, slim body",01JFGA1PKNX0GFZEKMCQM4H943
01JFGAFG103W9X40XZM7BFD76T,triangle cut out,01JFGA5MVC6GPBAZSHJQHEDZ3W
01JFGAXKQ2VGQ2VKG56JGYFDQQ,cat head on right n black arrow sign left,01JFGAQBHR0HECY779RTQ2C4C3
01JFGA6DD88Z6FEW1HF4Z0G7BR,"pelican with top hat, long neck",01JFGA1PKNX0GFZEKMCQM4H943
01JFGAXKQCKEZ8WXRXJT6VNY2H,white arrow,01JFGAQBHR0HECY779RTQ2C4C3
01JFGB9AQ1HE2APAYXF73KDW2Q,nice one last round!!,01JFGB2B59CTSJXJMRCQWE3459
01JFGB9AQ1HE2APAYXF73KDW2Q,"chair on top, square bottom left",01JFGB2B59CTSJXJMRCQWE3459
01JFGAFG0N1R8SJYEAWC2CG0AC,diamond top,01JFGA5MVC6GPBAZSHJQHEDZ3W
01JFGAXKV4X0G05NKFG9HX83P7,black arrow,01JFGAQBHR0HECY779RTQ2C4C3
01JFGB9ASYM8J268XTJAX612ZZ,we sort of have a code to communicate the same shapes now,01JFGB2B59CTSJXJMRCQWE3459
01JFGB9ASYM8J268XTJAX612ZZ,two heads with a triangle base,01JFGA0RP6XQSZFPDJZDZNZHCM
01JFGAFFZ751348AFB29922RMS,one with the crown,01JFGA5MVC6GPBAZSHJQHEDZ3W
01JFGAXKT1GM87XPXZ3GE7HT2X,Horse,01JFGASY33Y3P6D9J4GPN0M6Q0
01JFGAXKWBEQ2MMQJVC26ZSX7D,Horse,01JFGASY33Y3P6D9J4GPN0M6Q0
01JFG9M8HSRJBCW5VBH9DMZ9FC,flat footed triangle head,01JFG9JKCBFHFPAFFP1RJW3H2X
01JFGA6DCRNT8W7JY57FWY25DY,"letter E on top, tail",01JFGA1PKNX0GFZEKMCQM4H943
01JFGA8FKB7Z0RTK66ZRQNESG2,A TABLE TOP GOING DOWN TWO EXTRUSIONS STICKING OUT GOING DOWN  TWO LEGS,01JFG9Y2GE3VEMM3XYBMT1D85D
01JFGAFG28EC1SGG0HW73K1DFN,crown on top,01JFGAC3DMMYRBG1A56E5SQ95T
01JFGAXKK6GFPY6H4T6JA9QMWA,Scorpion shape again,01JFGASY33Y3P6D9J4GPN0M6Q0
01JFGAXKNT9Y2KPDVWKPA4ZSQJ,Cat head and white arrow,01JFGASY33Y3P6D9J4GPN0M6Q0
01JFGAXKT93FNV1NYFF4PCQAKT,black arrow,01JFGAQBHR0HECY779RTQ2C4C3
01JFG9M8FNGQ3B02FPD08YPRDM,flat footed person with a triangle head,01JFG9JKCBFHFPAFFP1RJW3H2X
01JFGA4GTJKAACH1TS7QE3FJMV,"Love the full arrow shape. Square top left that has 3 arrows down, and 2 squares on right",01JFG9ZV5JCSCD633QXFWF0TNM
01JFGA6DE2HYB9SHACF9N1AG1Y,"dragon laying down with tail, no hat",01JFGA15AQNS2PES3EQRRP5408
01JFGA6DE2HYB9SHACF9N1AG1Y,bulky,01JFGA15AQNS2PES3EQRRP5408
01JFGB9AF66C3MD7T5QPXHJKG6,top part looks like a chair. the chair is setting on a long rectangle that has spikes on the right side,01JFGB2B59CTSJXJMRCQWE3459
01JFGB9AW81ZDG9Z4SNW185JA3,rectanle base with a snake head,01JFGA0RP6XQSZFPDJZDZNZHCM
01JFGAFG6S1VD3YTSQZ7JFEFSH,top rectangle cut out,01JFGA5MVC6GPBAZSHJQHEDZ3W
01JFGB9AQB3E1NCG05JD1BZJCB,chair or snake? flat rectangle or bottom left square?,01JFGB2B59CTSJXJMRCQWE3459
01JFGB9AQB3E1NCG05JD1BZJCB,flat base with asnake head,01JFGA0RP6XQSZFPDJZDZNZHCM
01JFGB9AXJWCPVM4PSVC74WHCN,"snake on top, flat rectangle base",01JFGB2B59CTSJXJMRCQWE3459
01JFG9M8GMXDZ38DDTX6DTKYBC,diamond top,01JFG9JKCBFHFPAFFP1RJW3H2X
01JFGA4GT9RE5BBND2SP9G6TC4,"Square top left, and big merged block on the right.",01JFG9ZV5JCSCD633QXFWF0TNM
01JFGA6DFAN0K7HPTC4GTY73KA,side profile of dragon with mouth open and two points on its neck,01JFGA15AQNS2PES3EQRRP5408
01JFGB9B17CEHZ6Z8MG7DG0ZM3,snake with two legs,01JFGA0RP6XQSZFPDJZDZNZHCM
01JFGA4GRJY4B94NWZHMT23K29,"three arrows pointing rights, the one with the biggest shape on left hand side",01JFGA0NWRWKSJ3RKMWVYF5FSB
01JFGA6DC2WE3SH84Y3YGDGFRJ,"facing left, mouth open, big chin, no hat",01JFGA1PKNX0GFZEKMCQM4H943
01JFGA8FCAZSR4HQYQSSMK22DT,A hat on a triangle which is on a bed,01JFGA15QX4KN1PS5F13JKQ9JZ
01JFGAFG3VA9WXB6BRRMXDQX5R,almost symetrical shape with diagonal top going left,01JFGA5MVC6GPBAZSHJQHEDZ3W
01JFGB9B2YNQDAY7TZA39DDGHY,flat base house,01JFGA0RP6XQSZFPDJZDZNZHCM
01JFGA4GSP7SQ0KZ8AGXA1P265,Full arrow inside the shape that has a block and a small arrow pointing down on the left.,01JFG9ZV5JCSCD633QXFWF0TNM
01JFGAFFX3TNN5N06D6JYCSN6Y,apex at the top,01JFGA5MVC6GPBAZSHJQHEDZ3W
01JFG9M8FV3DB417XJCSQE8SSA,"the fattest one, flat top with sharp point top right",01JFG9DEE4WBNK3M0D0JDNFZ74
01JFGA6DC4GR6KAF6CVP536DZE,dragon with an E and tail,01JFGA15AQNS2PES3EQRRP5408
01JFGA8FDM7JXNZDPK2ZRJF3H0,Letter z on 4 triangles underneath,01JFGA15QX4KN1PS5F13JKQ9JZ
01JFGA8FFNQWJFM2NQ8QJGXM8J,A table top ontop going down with a bed under,01JFGA15QX4KN1PS5F13JKQ9JZ
01JFGA4GRY7MWSJQBWG0Q6X6YN,"arrow pointing left, three arrows pointing right",01JFGA0NWRWKSJ3RKMWVYF5FSB
01JFGA4GTMH506VF4KPZFYXD2G,last one :(,01JFGA0NWRWKSJ3RKMWVYF5FSB
01JFGA4GTMH506VF4KPZFYXD2G,Big block shape with 1 arrow and 1 smaller one with 3 arrows pointing right,01JFG9ZV5JCSCD633QXFWF0TNM
01JFGA4GTMH506VF4KPZFYXD2G,thanks for being my partner for the game!,01JFG9ZV5JCSCD633QXFWF0TNM
01JFGA4GTMH506VF4KPZFYXD2G,I hope you have a good holidays!,01JFG9ZV5JCSCD633QXFWF0TNM
