gameID,actualPlayerCount,batchID,contextSize,contextStructure,status,targets
01JFGH3NGFXBVT2CWAS24BZRP8,NA,01JFGH3NFTCTZEYR0FRWCBHNPH,NA,NA,terminated,NA
01JFGHZ4291GHPXR3P9RE5E3SZ,NA,01JFGHZ40JD90CMBR300SGMY8S,NA,NA,terminated,NA
01JFGH1XJJRYBQNBNM5JF45TX7,NA,01JFGH1XHKWJTME2X41MTMC6AZ,NA,NA,terminated,NA
01JFGFW0F18H8H6HC435SQXTG5,NA,01JFGFW0DVE7CVHWSRC197DM3P,NA,NA,failed,NA
01JFGFWSJRQGEX631QZMWR7T00,NA,01JFGFWSJ3PS8C1T010MK368EP,NA,NA,failed,NA
01JFGH1XJGTBNAZ3QSD4BV4108,NA,01JFGH1XHKWJTME2X41MTMC6AZ,NA,NA,terminated,NA
01JFGH3NGJ573NMXG7YJ9M5RQE,NA,01JFGH3NFTCTZEYR0FRWCBHNPH,NA,NA,terminated,NA
01JFGFW0F27SHDS0SFHRM30VA0,2,01JFGFW0DVE7CVHWSRC197DM3P,4,noncomp,ended,"[[157,10],[174,330],[93,52],[147,363],[90,308],[268,102],[357,156],[244,317],[283,294],[326,319],[38,327],[469,42],[54,306],[425,320],[73,88],[57,362]]"
01JFGFWXS1CYQ8W171661NCV0C,2,01JFGFWXRF7SWH4R9JWCGX5AX9,4,noncomp,ended,"[[52,281],[462,162],[153,459],[39,401],[227,282],[158,121],[378,354],[225,268],[118,224],[467,61],[174,311],[32,307],[312,19],[176,290],[389,347],[363,273]]"
01JFGFWSJTPRE578HBRT5YXA5V,2,01JFGFWSJ3PS8C1T010MK368EP,4,noncomp,ended,"[[372,390],[123,40],[368,218],[379,258],[304,92],[435,407],[52,263],[430,199],[111,141],[394,197],[125,348],[234,248],[306,188],[88,1],[192,185],[401,14]]"
01JFGFZY55TFQ5H67P809PAWP3,NA,01JFGFZY4MVBQC79E4AQ0CQGE0,NA,NA,terminated,NA
01JFGFWB1WBT8PECPPPVYC8GQ4,NA,01JFGFWB1793HN1EZVTNNQMGB7,NA,NA,NA,NA
01JFGH3NGNFGCGPJWT49KFGXNM,NA,01JFGH3NFTCTZEYR0FRWCBHNPH,NA,NA,failed,NA
01JFGHZ41ZTVK8S493N55C7DSX,NA,01JFGHZ40JD90CMBR300SGMY8S,NA,NA,terminated,NA
01JFGFX3DCBX4MM3SFCVSREPAM,NA,01JFGFX3CTBVWJ6FF2K00RRHNF,NA,NA,terminated,NA
01JFGFZY53RMSPJRCEMD4KS5HG,NA,01JFGFZY4MVBQC79E4AQ0CQGE0,NA,NA,terminated,NA
01JFGFX3DCBX4MM3SFD66KXEW2,NA,01JFGFX3CTBVWJ6FF2K00RRHNF,NA,NA,failed,NA
01JFGFZY53RMSPJRCEM36FMKFS,NA,01JFGFZY4MVBQC79E4AQ0CQGE0,NA,NA,terminated,NA
01JFGHZ42XYQQ0XKGV3DYA4F25,NA,01JFGHZ40JD90CMBR300SGMY8S,NA,NA,terminated,NA
01JFGFWSJSN7CYYEARKZXH111B,2,01JFGFWSJ3PS8C1T010MK368EP,4,comp-within,ended,"[[189,465],[189,405],[189,251],[189,469],[298,465],[298,405],[298,251],[298,469],[320,465],[320,405],[320,251],[320,469],[287,465],[287,405],[287,251],[287,469]]"
01JFGFWXRZTHZS7PZ2FD30KPK9,2,01JFGFWXRF7SWH4R9JWCGX5AX9,4,comp-between,ended,"[[59,109],[59,307],[59,96],[59,228],[390,109],[390,307],[390,96],[390,228],[302,109],[302,307],[302,96],[302,228],[312,109],[312,307],[312,96],[312,228]]"
01JFGH1XJMMHNGS75E6HMA7M0G,2,01JFGH1XHKWJTME2X41MTMC6AZ,4,noncomp,ended,"[[294,298],[65,195],[226,242],[43,344],[96,118],[406,370],[425,359],[238,248],[2,59],[266,4],[324,337],[401,307],[51,321],[392,355],[275,191],[332,417]]"
01JFGFWXS1CYQ8W1715TNGRP4P,2,01JFGFWXRF7SWH4R9JWCGX5AX9,4,comp-within,ended,"[[442,309],[442,150],[442,49],[442,145],[167,309],[167,150],[167,49],[167,145],[136,309],[136,150],[136,49],[136,145],[121,309],[121,150],[121,49],[121,145]]"
01JFGFX3DCBX4MM3SFDKPP8GS2,NA,01JFGFX3CTBVWJ6FF2K00RRHNF,NA,NA,failed,NA
01JFGFW0F27SHDS0SFHGM8CNDF,2,01JFGFW0DVE7CVHWSRC197DM3P,4,comp-within,ended,"[[39,157],[39,374],[39,391],[39,231],[283,157],[283,374],[283,391],[283,231],[194,157],[194,374],[194,391],[194,231],[464,157],[464,374],[464,391],[464,231]]"
