playerID,prolificID,bonus,exitStepDone,gameID,age,gender,strategy,enjoy,feedback,education
01JFGGNTZBEG8JXGQ5FW5KHVBP,66a398080da27efcc3e8ecef,1.62,TRUE,01JFGFWSJTPRE578HBRT5YXA5V,35,female,I tried to use the closest thing the object looks like to describe it,"Yes, they were very good in picking hints",,bachelor
01JFGGY4EJZ4DG8DPE4SD78BN7,5f564ae0aeb6d004432338c9,NA,NA,01JFGH1XJJRYBQNBNM5JF45TX7,NA,NA,NA,NA,NA,NA
01JFGGZC3915SS7BASVTNGJQ8H,6732648ad79d030afb04c9f1,1.89,TRUE,01JFGH1XJMMHNGS75E6HMA7M0G,24,female,Found the shape that was different in the target. Naming them ,"Yes, because they were quick and fast with descriptions ",N/a,high-school
01JFGGHJQHB6Y0PJP444T14Z9E,6735e4faf027b9361e838666,NA,NA,01JFGFX3DCBX4MM3SFD66KXEW2,NA,NA,NA,NA,NA,NA
01JFGGP47REW1HB8Q0ZPA3FHPJ,5dded0203c4937e47e77220e,1.77,TRUE,01JFGFWXS1CYQ8W171661NCV0C,34,Female ,Describing the shape in the same way each time ,Yes it was fun as we both learned what our descriptions meant quickly ,No problems,bachelor
01JFGGQCJGD3CD3AE43QSY05MX,6658b14998569e477b21cd80,0,NA,01JFGFWXRZTHZS7PZ2FD30KPK9,NA,NA,NA,NA,NA,NA
01JFGGQNTR2KRJH94PV4GMMG7E,5962a5b29955ee00015bce98,1.74,TRUE,01JFGFW0F27SHDS0SFHRM30VA0,33,female,finding similar letters,I felt bad for guessing some of them incorrectly.,,high-school
01JFGGY0C9P7SK4FJY7CSYDBBZ,5b3913051d4b6800016935dc,1.8,TRUE,01JFGFW0F27SHDS0SFHGM8CNDF,25,Male,Describing the most identifiable shapes and the amount of it we see,"Yes, they were good at describing and understood me well",n/a,bachelor
01JFGH16HG62KY2MJ06QSVA7NF,6658bfdffc0ff7bc3cf89ef6,1.8,TRUE,01JFGFWSJSN7CYYEARKZXH111B,37,male,Quickly come up with names for each shape segment and try to adapt to what the other players calls them.,"Absolutely, I don't think I could do it for much longer without feeling a bit bored, but it was enjoyable to so quickly come to an understanding with someone I don't know.","I had already seen this exit survey before the game started, and may have submitted it.",high-school
01JFGH1W0QTTVCRW73BEZ73GQ0,66565a8bc8912e63a3755f01,NA,NA,01JFGFW0F18H8H6HC435SQXTG5,NA,NA,NA,NA,NA,NA
01JFGGNR73D2HEFBKA28FAZ47Z,60edc94e2ddc5ffb273064aa,1.74,TRUE,01JFGFW0F27SHDS0SFHRM30VA0,23,Woman,Helped to imagine the shapes as letters,"Yes, it was fun, we were communicating well",,other
01JFGGNS7V6X7A7C3F4X2HA7RA,6415e163b670eed64ad645ff,NA,TRUE,01JFGFW0F18H8H6HC435SQXTG5,,,,,,
01JFGGPHKK3AVZJ78J4S5VYEDK,6658a7f614d62a1049b4a850,1.62,TRUE,01JFGFWSJTPRE578HBRT5YXA5V,31,female,describe the picture using everyday items or animals,I did enjoy because it challenged me to think of which picture my partner could have been describing.,I did not encounter any problems.,bachelor
01JFGGMMAD20Y8EYGYRH93JV3D,6542c81d37666b59c34d1b65,NA,NA,01JFGH3NGNFGCGPJWT49KFGXNM,NA,NA,NA,NA,NA,NA
01JFGGRSN0JC24F4EJ70TPQ4HY,6663e9892f34ff5f86f4f703,1.89,TRUE,01JFGH1XJMMHNGS75E6HMA7M0G,35,female,find a recognizable part of the picture,"yes, quick response, understood what they ment",small amount of lag one or two times,bachelor
01JFGH4EGXDT7R2YR1TKZQCWNZ,66fbe9358287b46e2a4eb14b,NA,TRUE,01JFGFW0F18H8H6HC435SQXTG5,26,Male,N/A,N/A,N/A,other
01JFGGHCG6C679H884TATDJ5C6,63dadcb85db62398fa0fd383,NA,TRUE,01JFGH1XJJRYBQNBNM5JF45TX7,37,male,n/a,n/a,I was reading the instructions and the study advanced to the last page,other
01JFGGV5DY3QHYB5EQJPFJHDAM,64f89479a4ddb9b06f033eb6,NA,NA,01JFGH1XJJRYBQNBNM5JF45TX7,NA,NA,NA,NA,NA,NA
01JFGGST53E0CTAJ7TE9YSWSHV,66c9da0ff308f5ebea655ce1,0,TRUE,01JFGFWXS1CYQ8W1715TNGRP4P,27,female,n/a,n/a,"as soon as I was matched with a partner after waiting in the lobby, i was met with this page and the above error message stating that we had been disconnected - I was looking forward to playing this game, seems like a cool concept.",high-school
01JFGGP8CCHY829419T2EEN5EX,60079f45348bb62bdcd363ff,NA,NA,01JFGH1XJJRYBQNBNM5JF45TX7,NA,NA,NA,NA,NA,NA
01JFGGQXZBAHA3MW1Y53J9ERP3,66e75f4baf4b61a07001ca75,NA,NA,01JFGH1XJJRYBQNBNM5JF45TX7,NA,NA,NA,NA,NA,NA
01JFGH4ZTJD8Z188YEMP0N1ANA,673214e5d151d50cfabb3870,NA,NA,null,NA,NA,NA,NA,NA,NA
01JFGGMRX0QEND5T0E7G8PP548,665a228b8603f08c660bcc3e,NA,TRUE,01JFGH1XJJRYBQNBNM5JF45TX7,NA,NA,NA,NA,NA,NA
01JFGGJ010AX4RJZY7TVW7YG1V,65c6bbe7f9428763522fa244,NA,NA,01JFGH1XJJRYBQNBNM5JF45TX7,NA,NA,NA,NA,NA,NA
01JFGGM5WH54V3KZQZR41Y89CR,5ea32a0ea7b59a0c92e82ac8,1.77,TRUE,01JFGFWXS1CYQ8W171661NCV0C,35,Female,"I tried to explain the shapes with the help of alphabets, geomatrical shapes, or with human or animal figures","yes, so much","nothing, all good",master
01JFGGP7789N1AWT2HVXV7FDCV,67367dc2bf3c97b608d5b30a,NA,NA,01JFGFW0F18H8H6HC435SQXTG5,NA,NA,NA,NA,NA,NA
01JFGGPWVBCASAFRN0HXM2H3PV,65c47462ace8b7c50144e518,NA,NA,01JFGFW0F18H8H6HC435SQXTG5,NA,NA,NA,NA,NA,NA
01JFGGQKZZNP30T63KKY146324,5ba802ee60f3d5000169e5da,0,NA,01JFGFWXRZTHZS7PZ2FD30KPK9,NA,NA,NA,NA,NA,NA
01JFGGQZZ2PCA1ZPXZN9MKMMDD,5c01d3c509e9c70001500b10,0,TRUE,01JFGFWXS1CYQ8W1715TNGRP4P,34,female,describe the shape ,"no, no response",,bachelor
01JFGGRD24PX958VQJQZ9Z6038,671f8c30776d701138ce2a90,NA,NA,01JFGH3NGNFGCGPJWT49KFGXNM,NA,NA,NA,NA,NA,NA
01JFGGHKJCM5SATSJ0AH13AVPR,676466a9a838f9d63b8c0876,NA,TRUE,01JFGFW0F18H8H6HC435SQXTG5,53,Male,it didn't load,,It didn't load,high-school
01JFGH9X8V2220AVS8PNBSAFQ2,5d6302dc47787f001a75c94e,NA,NA,01JFGH1XJJRYBQNBNM5JF45TX7,NA,NA,NA,NA,NA,NA
01JFGH9N89BJHQ0G9TGZVH9VKV,61059c8fd2df1b4374bd21d9,1.8,TRUE,01JFGFWSJSN7CYYEARKZXH111B,22,Male,Describe and make a pattern,"It was good they were very fun and cooperative
",,high-school
01JFGGG20VJCYHZFTBJ70Z6TE8,614f253f9cb4943cc553e686,NA,TRUE,01JFGFX3DCBX4MM3SFD66KXEW2,29,male,,,,master
01JFGGQK2BT0FZKWF7K16B1AFN,66919a2242f35cbe50aa095b,1.8,TRUE,01JFGFW0F27SHDS0SFHGM8CNDF,29,Male,i describe shape in words like some hints,i enjoy it really and my partner was good ,,master
