playerID,prolificID,bonus,exitStepDone,gameID,age,gender,strategy,enjoy,feedback,education,gamefailed
01JGMR9VGE3YSXYM894MNXD849,676194a88b105d80e1b2b63f,NA,NA,01JGMPETJ1NYR6E3J1EVCQBS9H,NA,NA,NA,NA,NA,NA,NA
01JGMRH8V5KRAGH34CQ6RX81DS,63d82b2de40f94ceb14816cc,1.89,TRUE,01JGMPDZ42BSHFVYVY6M672P0G,32,Male,Be good and quick,I did,All good,bachelor,NA
01JGMRS4R165EHN6VR9W1JT35B,673918cac1da9f53da621209,0,TRUE,01JGMPDZ43FFD9JRQ4AJG1MR0F,30,Male,Describing using letters or logos,N/A,Other player was not responsive and I was not able to click the images,bachelor,NA
01JGMQJ42PPSDJSC12K8X2G1ZT,676d220cd6e7101ccba18ba5,1.89,TRUE,01JGMPDZ42BSHFVYVY6M672P0G,33,Male,"The strategy employed was to give each shape a name base on look, so it's easier to describe it to my partner.","Yes, it was fun",None,other,NA
01JGMQM72HVBEWHDXGN76H59WS,62b626b7cc2365d4e7f5c5aa,NA,NA,01JGMPE5881R3V1FHKJ19MG8QG,NA,NA,NA,NA,NA,NA,NA
01JGMQGPEY1GXAKW4XBP7WJQCG,65569cafdc6a3a8bf6d31671,1.8,TRUE,01JGMPEKWGHHVPTB7Y1WE4VE72,32,F,Come up with descriptions to eliminate the other images. Re use the same descriptors to get through the game efficiently.,"My partner was good, we both understood and explained the images similarly in a way we could both understand",Some questions it would lag when I was the matcher to pick the answer. Not sure if it was the game itself or connection.,bachelor,NA
01JGMQN37GA63YF1JCJ0D8D9JB,673cb1a204cd9f7c3ae43a14,NA,NA,01JGMPETJ1NYR6E3J1EVCQBS9H,NA,NA,NA,NA,NA,NA,NA
01JGMQNQRADMXTB8ZG1R92KZAB,672f24a50a91f97ff3526f3f,NA,TRUE,01JGMPETJ1NYR6E3J1F4NX8HFM,NA,NA,NA,NA,NA,NA,nogame
01JGMQQYTWF1V3CCTES3HZPM3N,675af08c189afe1ee76c95df,NA,NA,01JGMPETJ1NYR6E3J1F4NX8HFM,NA,NA,NA,NA,NA,NA,NA
01JGMQBX4R9EPK6JYEDV0B0NBK,66706c66421d9d62312ca575,NA,NA,01JGMPE5881R3V1FHKJ19MG8QG,NA,NA,NA,NA,NA,NA,NA
01JGMQGNK9QXSGJ4S5SV1S4F5C,6742140cd853c7db5ddf3305,1.83,TRUE,01JGMPEGCD0EX4TXSSNR8YRX74,30,female,My strategy was relating the images to familiar objects or animals and then describing them such as if they had legs or had an object above them.,"Yes, I really enjoyed playing with my partner. They were quick to respond and also used familiar objects to describe the images","Asides the initial glitch to get the survey to load, I did not experience any other problems.",bachelor,NA
01JGMQTDCNJ97HMMS04T3PJX4W,64a2f68799cfe91aa4f9da77,0.36,TRUE,01JGMPDZ43FFD9JRQ4A4DMTRA1,28,Female,Using objects or holes to describe,No. Because they were very wordy and constantly guessed wrong.,,high-school,NA
01JGMQGY3640PH0M1EA7GVTRQJ,6771305109a9d89b22d54d8c,0,NA,01JGMPEGCCTMJ7086RP1QDWA0E,NA,NA,NA,NA,NA,NA,NA
01JGMQH1FMA0SZ0ZMDHAFWQJ3A,665f2989e4dbcfba3aad004e,1.89,TRUE,01JGMPEKWH8QMTD4WJEC8GZVHA,23,Female,"At first, it was to be as clear as possible to negate any confusion. Later as we got into the flow, we could both use shorter phrases and almost ""code"" terms","Yes, it was weirdly exciting to play this sort of game with a stranger.","Had a bit of lag with one round, but it didn't cause any big issues.",bachelor,NA
01JGMQJ4XXK6S05MGKMK1YV2FZ,66c200eb18faca39cc482e5b,0,TRUE,01JGMPEKWGHHVPTB7Y2D6260DM,39,Male,Trying to describe left or right part of the piece,It was frustrating because I couldn't see if someone was really there or not,I didn't see communications from my partner and I could not select any of the pieces,bachelor,NA
01JGMQRP99CPYVH2GR0Y3QBAEC,58ccfada8460040001e1ec4f,1.74,TRUE,01JGMPEGCD0EX4TXSSNEY3A670,25,Female,I kept it as simple as possible and also used my partner's descriptions to help them select the right one,Yes I enjoyed collaborating and helping each other,I didn't have any problems,high-school,NA
01JGMR2BHV2HJ522CPN31HK0RX,671fd431566a10fce97aa962,NA,TRUE,01JGMPE5881R3V1FHKJ19MG8QG,NA,NA,NA,NA,NA,NA,nogame
01JGMQGA5P18KJM2PXRT8SPJ8X,57b4face0fc08b00019fe2fe,NA,NA,01JGMPETJ1NYR6E3J1EVCQBS9H,NA,NA,NA,NA,NA,NA,NA
01JGMQGPZBFPBPR8RRNHWD81EA,663109c3a79e9e7cd778a93d,1.89,TRUE,01JGMPEKWH8QMTD4WJEC8GZVHA,33,Male,Split the shape up into left/right side and describe them as best as I can.,Yes. It felt like we understood each other.,I found some of the shapes hard to describe.,bachelor,NA
01JGMQGFQMT0FM1WQB0GH5XYEB,63e96959678f35bee3bd2de9,1.86,TRUE,01JGMPE587BR7N7WSVT2WDGBYZ,20,Male,figuring out any key differences to differentiate the shapes,yes because we found it easy and formed a connection,,high-school,NA
01JGMQGTYAV3ABPWNRWXQAPZMH,62b626b7cc2365d4e7f5c5aa,0,NA,01JGMPEGCCTMJ7086RP1QDWA0E,NA,NA,NA,NA,NA,NA,NA
01JGMQHEQZ0K9F09G7HBFJKHVH,664ad2b692b9f17e3c51ea2d,NA,NA,01JGMPETJ1NYR6E3J1F4NX8HFM,NA,NA,NA,NA,NA,NA,NA
01JGMQJ6RWFFD55KC33JE4KK0N,6776c4770fe5e5dd8c219c79,NA,NA,01JGMPE5881R3V1FHKJ19MG8QG,NA,NA,NA,NA,NA,NA,NA
01JGMQWE23QVFGNB9JWRF64CG4,676194a88b105d80e1b2b63f,0,NA,01JGMPDZ43FFD9JRQ4AJG1MR0F,NA,NA,NA,NA,NA,NA,NA
01JGMR1BVG17G9BSEFQKMNT6JZ,5c6c260dce4e560001f75731,1.83,TRUE,01JGMPEGCD0EX4TXSSNR8YRX74,44,M,"simple symbols, reuse them","yes, clear and collaborative nature",--,other,NA
01JGMPFKE0PPW30VR446G9ZZP9,test0,NA,NA,01JGMPETJ1NYR6E3J1FJPCHZ1Q,NA,NA,NA,NA,NA,NA,NA
01JGMQG16VDRHX8E6H6D5KJQCM,6776a7b8452ae4bda6294105,0,TRUE,01JGMPEKWGHHVPTB7Y2D6260DM,25,male,no player,no player,no player,other,NA
01JGMQHGD1VY3YMYX1SRZDF4P2,67570819d5dd1638a79ca255,1.74,TRUE,01JGMPEGCD0EX4TXSSNEY3A670,34,female,Fantastic descriptions,"I enjoyed it, My Partner was smart with relatable descriptions",ok though some shapes were difficult to describe,bachelor,NA
01JGMQYJGYFT15GF82RNQ1RSY5,665d61bbaf19822f9f7f8cbf,1.68,TRUE,01JGMPE5881R3V1FHKJHHTTK7K,29,Female,Just do my best to explain and pay attention.  Not much of a strategy to be honest. ,I was a bit annoyed with my partner to be honest.  They wouldn't give me clues until the timer was almost done for most of the times they were the Director which was stressful.  But their clues were mostly good. ,"No problems, this was an interesting study. ",other,NA
01JGMR4AJ8PWNHEXRDHZNZX3EV,6564fa10de4976d2bd35c0c1,NA,NA,01JGMPE5881R3V1FHKJ19MG8QG,NA,NA,NA,NA,NA,NA,NA
01JGMR506EKTHCWNRC8VJS56MM,664ad2b692b9f17e3c51ea2d,NA,NA,01JGMPE5881R3V1FHKJ19MG8QG,NA,NA,NA,NA,NA,NA,NA
01JGMR8CWXATX2HZMR9ZR8AGN6,67367560f6f894f6dcb2e5c4,NA,NA,01JGMPE5881R3V1FHKJ19MG8QG,NA,NA,NA,NA,NA,NA,NA
01JGMQG1E0QCEHXYNRX23WD747,66abb9487518e84e9073fbb3,1.8,TRUE,01JGMPEKWGHHVPTB7Y1WE4VE72,29,Male,Accurately describing the shapes I was seeing and the directions they were pointing,It was fun to see how we evolved on describing the objects over time. ,None. Thanks for the study. ,bachelor,NA
01JGMQG4C69YM2PCB6S4AQP0MY,57d2f3fd68010e0001243313,1.86,TRUE,01JGMPE587BR7N7WSVT2WDGBYZ,35,trans man,shortened phrase to represent,"yes, great communication",n/a,master,NA
01JGMQHBD3M47PTPQ4DWDKRJMH,669424e6b661e0a098ec66a4,NA,NA,01JGMPETJ1NYR6E3J1EVCQBS9H,NA,NA,NA,NA,NA,NA,NA
