gameID,actualPlayerCount,batchID,contextSize,contextStructure,status,targets,rotation
01JH0YPC4PQ2SZZT98DCX2XKP3,2,01JH0YPC3EKRB8H02J43HQQMKS,4,comp-between,ended,"[[310,14],[310,412],[310,391],[310,302],[147,14],[147,412],[147,391],[147,302],[444,14],[444,412],[444,391],[444,302],[43,14],[43,412],[43,391],[43,302]]",0
01JH0ZJAXYW944PXCEPQ45X3TW,2,01JH0ZJAX6SKCT4W7XVG490DBA,4,comp-within,ended,"[[408,418],[408,3],[408,402],[408,217],[462,418],[462,3],[462,402],[462,217],[262,418],[262,3],[262,402],[262,217],[201,418],[201,3],[201,402],[201,217]]",180
01JH0ZW4Q2AHGQD213SFSDFHFH,2,01JH0ZW4PCB9TBDZMH5NWZ5G1E,4,noncomp,ended,"[[166,11],[310,271],[439,86],[237,206],[248,397],[296,96],[370,281],[20,306],[406,36],[88,402],[63,123],[247,464],[382,443],[56,425],[191,115],[286,179]]",0
01JH16GC95ANF51QB6EYQCMA3V,2,01JH16GC64174T7CVHW3RPJ4WS,4,comp-within,ended,"[[177,179],[177,252],[177,19],[177,416],[331,179],[331,252],[331,19],[331,416],[6,179],[6,252],[6,19],[6,416],[71,179],[71,252],[71,19],[71,416]]",180
01JH0YPC4R1XMMR506PW3T899B,2,01JH0YPC3EKRB8H02J43HQQMKS,4,noncomp,ended,"[[361,154],[448,339],[172,109],[14,433],[34,258],[410,465],[452,377],[103,322],[407,50],[266,430],[337,16],[371,143],[131,382],[437,129],[125,308],[114,63]]",0
01JH0YW899PD6KSY7EQEAXBBBC,2,01JH0YW88SXQAVDXG9KWSJX4BN,4,noncomp,ended,"[[95,353],[350,281],[271,420],[272,155],[270,200],[436,141],[167,462],[59,453],[325,273],[237,337],[31,279],[446,414],[65,125],[63,77],[111,403],[447,23]]",270
01JH0ZJAXXGE7NR06XJDY2MWKW,2,01JH0ZJAX6SKCT4W7XVG490DBA,4,noncomp,ended,"[[466,153],[57,279],[417,50],[167,357],[435,361],[17,69],[445,65],[240,237],[130,163],[335,305],[406,175],[462,436],[392,135],[326,207],[194,315],[451,366]]",270
01JH16G2KK12WBJF9J75ZDWEXK,2,01JH16G2DGKHCBDNMABEKQVNAM,4,noncomp,ended,"[[18,441],[193,232],[320,279],[421,82],[266,382],[192,138],[195,43],[211,318],[85,89],[329,299],[257,167],[307,328],[177,151],[343,120],[346,98],[423,453]]",90
01JH16G2JGQZGTF3X42GEXBVE1,2,01JH16G2DGKHCBDNMABEKQVNAM,4,comp-between,ended,"[[125,231],[125,451],[125,248],[125,246],[376,231],[376,451],[376,248],[376,246],[460,231],[460,451],[460,248],[460,246],[448,231],[448,451],[448,248],[448,246]]",90
01JH16GC9W6FMGAV86655KYY63,2,01JH16GC64174T7CVHW3RPJ4WS,4,comp-between,ended,"[[193,247],[193,355],[193,147],[193,89],[32,247],[32,355],[32,147],[32,89],[176,247],[176,355],[176,147],[176,89],[186,247],[186,355],[186,147],[186,89]]",270
01JH0YPC4NS99AQ4RGT50WE76D,2,01JH0YPC3EKRB8H02J43HQQMKS,4,comp-within,ended,"[[442,309],[442,150],[442,49],[442,145],[167,309],[167,150],[167,49],[167,145],[136,309],[136,150],[136,49],[136,145],[121,309],[121,150],[121,49],[121,145]]",0
01JH0YW898ZZGZ4521HGEPZ2RP,2,01JH0YW88SXQAVDXG9KWSJX4BN,4,comp-within,ended,"[[165,10],[165,293],[165,287],[165,108],[290,10],[290,293],[290,287],[290,108],[253,10],[253,293],[253,287],[253,108],[211,10],[211,293],[211,287],[211,108]]",90
01JH0YW899PD6KSY7EQWBD7C81,2,01JH0YW88SXQAVDXG9KWSJX4BN,4,comp-between,ended,"[[295,392],[295,296],[295,459],[295,463],[353,392],[353,296],[353,459],[353,463],[414,392],[414,296],[414,459],[414,463],[65,392],[65,296],[65,459],[65,463]]",180
01JH0ZJAXV43N3BVBHY3X1SS15,2,01JH0ZJAX6SKCT4W7XVG490DBA,4,comp-between,ended,"[[246,364],[246,26],[246,303],[246,70],[312,364],[312,26],[312,303],[312,70],[180,364],[180,26],[180,303],[180,70],[126,364],[126,26],[126,303],[126,70]]",0
01JH16G2N16VV2Z2ZD26T2TG2N,2,01JH16G2DGKHCBDNMABEKQVNAM,4,comp-within,ended,"[[333,282],[333,89],[333,463],[333,362],[468,282],[468,89],[468,463],[468,362],[446,282],[446,89],[446,463],[446,362],[54,282],[54,89],[54,463],[54,362]]",0
01JH16GCBB27HDKERGM84NK3KX,NA,01JH16GC64174T7CVHW3RPJ4WS,NA,NA,NA,NA,NA
