roundID,correct,gameID,index,numTrials,repNum,response,target,targetNum,trialNum,tangramURLs
01JH17B9N3E5FP6JB1CD8GA9AM,TRUE,01JH16GC9W6FMGAV86655KYY63,16,65,1,/tangrams/186_355.png,/tangrams/186_355.png,1,16,"[""/tangrams/176_247.png"",""/tangrams/186_355.png"",""/tangrams/32_147.png"",""/tangrams/193_89.png""]"
01JH10G6P0QFWPRS4GDSXTYE9B,FALSE,01JH0ZJAXXGE7NR06XJDY2MWKW,4,65,0,/tangrams/57_279.png,/tangrams/435_361.png,5,4,"[""/tangrams/392_135.png"",""/tangrams/435_361.png"",""/tangrams/406_175.png"",""/tangrams/57_279.png""]"
01JH11ATXFA4P96K0GGVPM14YN,NA,01JH0ZJAXV43N3BVBHY3X1SS15,8,65,0,NA,/tangrams/180_303.png,9,8,"[""/tangrams/246_364.png"",""/tangrams/180_303.png"",""/tangrams/312_26.png"",""/tangrams/126_70.png""]"
01JH0ZNXJ9GRWS77K2M19GN73V,TRUE,01JH0YW898ZZGZ4521HGEPZ2RP,21,65,1,/tangrams/253_10.png,/tangrams/253_10.png,6,21,"[""/tangrams/211_293.png"",""/tangrams/253_293.png"",""/tangrams/211_10.png"",""/tangrams/253_10.png""]"
01JH16RV1HKZZMFK1XW2NRJGH2,NA,01JH16G2N16VV2Z2ZD26T2TG2N,8,65,0,NA,/tangrams/333_282.png,9,8,"[""/tangrams/333_89.png"",""/tangrams/468_89.png"",""/tangrams/333_282.png"",""/tangrams/468_282.png""]"
01JH172BYZWFDJW0XK03T4S4XZ,TRUE,01JH16G2JGQZGTF3X42GEXBVE1,5,65,0,/tangrams/448_231.png,/tangrams/448_231.png,6,5,"[""/tangrams/125_451.png"",""/tangrams/448_231.png"",""/tangrams/460_246.png"",""/tangrams/376_248.png""]"
01JH17Y4MCVZH2XAHGV4SZYP5C,NA,01JH16GC95ANF51QB6EYQCMA3V,62,65,3,NA,/tangrams/177_416.png,15,62,"[""/tangrams/331_416.png"",""/tangrams/331_252.png"",""/tangrams/177_416.png"",""/tangrams/177_252.png""]"
01JH112KE2N1TQWR1YJJ52WNP4,NA,01JH0ZW4Q2AHGQD213SFSDFHFH,44,65,2,NA,/tangrams/88_402.png,13,44,"[""/tangrams/88_402.png"",""/tangrams/370_281.png"",""/tangrams/166_11.png"",""/tangrams/406_36.png""]"
01JH11AV1V51PE86XPN1Z8SBGM,NA,01JH0ZJAXV43N3BVBHY3X1SS15,19,65,1,NA,/tangrams/246_364.png,4,19,"[""/tangrams/246_364.png"",""/tangrams/312_70.png"",""/tangrams/180_26.png"",""/tangrams/126_303.png""]"
01JH11AVBPPX9JM94K7B8T9ZAW,NA,01JH0ZJAXV43N3BVBHY3X1SS15,48,65,3,NA,/tangrams/126_364.png,1,48,"[""/tangrams/126_364.png"",""/tangrams/246_70.png"",""/tangrams/312_303.png"",""/tangrams/180_26.png""]"
01JH17Y3JPMPEQ2SEH2R8CFJBN,NA,01JH16GC95ANF51QB6EYQCMA3V,39,65,2,NA,/tangrams/6_19.png,8,39,"[""/tangrams/331_416.png"",""/tangrams/6_416.png"",""/tangrams/6_19.png"",""/tangrams/331_19.png""]"
01JH105EXTGKSHHQ0NK9Z8G1SZ,TRUE,01JH0YW899PD6KSY7EQEAXBBBC,17,65,1,/tangrams/350_281.png,/tangrams/350_281.png,2,17,"[""/tangrams/350_281.png"",""/tangrams/65_125.png"",""/tangrams/272_155.png"",""/tangrams/270_200.png""]"
01JH0Z605BHP2PA2C4F7PT3BNT,TRUE,01JH0YPC4PQ2SZZT98DCX2XKP3,28,65,1,/tangrams/147_14.png,/tangrams/147_14.png,13,28,"[""/tangrams/310_302.png"",""/tangrams/43_412.png"",""/tangrams/147_14.png"",""/tangrams/444_391.png""]"
01JH0ZHYET104NRQKA39B3HWEE,TRUE,01JH0YPC4NS99AQ4RGT50WE76D,29,65,1,/tangrams/442_49.png,/tangrams/442_49.png,14,29,"[""/tangrams/121_309.png"",""/tangrams/442_309.png"",""/tangrams/121_49.png"",""/tangrams/442_49.png""]"
01JH11AV0ZPJ4D7Z6NH72M0TNV,NA,01JH0ZJAXV43N3BVBHY3X1SS15,17,65,1,NA,/tangrams/312_26.png,2,17,"[""/tangrams/126_303.png"",""/tangrams/312_26.png"",""/tangrams/180_364.png"",""/tangrams/246_70.png""]"
01JH150DNHHV3KMR0WGF6A3CQS,TRUE,01JH0ZJAXYW944PXCEPQ45X3TW,8,65,0,/tangrams/462_402.png,/tangrams/462_402.png,9,8,"[""/tangrams/462_402.png"",""/tangrams/262_3.png"",""/tangrams/462_3.png"",""/tangrams/262_402.png""]"
01JH16TCTYCJWTVXK6HKVJQY9D,NA,01JH16G2KK12WBJF9J75ZDWEXK,60,65,3,NA,/tangrams/211_318.png,13,60,"[""/tangrams/211_318.png"",""/tangrams/192_138.png"",""/tangrams/266_382.png"",""/tangrams/421_82.png""]"
01JH0Z6051WR4J2T34ESGSA055,TRUE,01JH0YPC4PQ2SZZT98DCX2XKP3,13,65,0,/tangrams/147_302.png,/tangrams/147_302.png,14,13,"[""/tangrams/310_14.png"",""/tangrams/43_412.png"",""/tangrams/147_302.png"",""/tangrams/444_391.png""]"
01JH0ZW9MGCSGP06Z064W0ED3R,TRUE,01JH0YPC4R1XMMR506PW3T899B,37,65,2,/tangrams/125_308.png,/tangrams/125_308.png,6,37,"[""/tangrams/34_258.png"",""/tangrams/266_430.png"",""/tangrams/125_308.png"",""/tangrams/337_16.png""]"
01JH0ZW9NH1QR3DYM4VXMS6NEY,TRUE,01JH0YPC4R1XMMR506PW3T899B,33,65,2,/tangrams/437_129.png,/tangrams/437_129.png,2,33,"[""/tangrams/437_129.png"",""/tangrams/34_258.png"",""/tangrams/448_339.png"",""/tangrams/361_154.png""]"
01JH10G6NMSA0NZB2601CY072X,TRUE,01JH0ZJAXXGE7NR06XJDY2MWKW,25,65,1,/tangrams/57_279.png,/tangrams/57_279.png,10,25,"[""/tangrams/392_135.png"",""/tangrams/57_279.png"",""/tangrams/445_65.png"",""/tangrams/466_153.png""]"
