playerID,prolificID,bonus,exitStepDone,gameID,age,gender,strategy,enjoy,feedback,education,gamefailed
01JH1GB0VR9YQNZXSBNQGGRBQW,5a38c23a50833c0001eeac9f,1.62,TRUE,01JH1FPYSD6AFHHMZW70VZN68N,32,female ,describing shapes,"yes i did, made me laugh with some of the things they were coming up with to describe it ",i had fun no problems ,high-school,NA
01JH1GB9JK8VBSNVGSTF4TDQFC,658450b145755619f37a1294,1.47,TRUE,01JH1FPYSBXXZ6KPHKHW6Q97EB,44,female,how the inital image appeared and remembering how the director described it previously,"I did, he was quick and quickly had names for each image",at times it wouldn't highlight the image and respond,high-school,NA
01JH1FV7Z3BJ6SAT2Z6EXCSV2P,5dc0d311e5dc4108137d7c10,1.89,TRUE,01JH1F0VW7XB18ASJ0NKJ196TK,39,male,find something it looked like and describe as that,yeah we were pretty much in tune with how each other described things,some lag at times but nothing major,high-school,NA
01JH1G2K4Y4Y76VDGDG3R2VZNF,64fe4015250d9972529f7d10,1.83,TRUE,01JH1F2GX7DR1ZQG7AGSN3KRT7,38,Male,Speed in identifying ,Yes it was fun,,bachelor,NA
01JH1GEW8SCE4D0R6DFDZV6ZC0,664fa64312a20fe00cfb4731,NA,NA,null,NA,NA,NA,NA,NA,NA,NA
01JH1H6986TMHYXR5CF4YHBS1G,676ae4e3b72beab078b05dba,1.71,TRUE,01JH1G90GCS7MK45RCXBYEJBCN,31,male,very calculative,"Yes I did, My partner is smart",exciting game,master,NA
01JH1H8K92W156NGC9244J8T39,6772ab7969901552211f06ed,NA,TRUE,null,NA,NA,NA,NA,NA,NA,nogame
01JH1G7RWPX133DSN6PM8CRRCV,5bbbf217a83521000173d9df,NA,NA,null,NA,NA,NA,NA,NA,NA,NA
01JH1G7TJVSWCEYWVKJK1638VX,66ecd1ee194d5ad163eafb97,1.74,TRUE,01JH1F2GX6BEVR4BAV8462G3EX,42,Female ,Memory and word association,He was a bit pushy and rude to be honest ,,master,NA
01JH1FRFYRMXHJZAAGRWER0PY9,677d39e57f2741cf5cc45105,NA,NA,null,NA,NA,NA,NA,NA,NA,NA
01JH1G3JJ3BXQMGP4WP8VP19T2,5da09f733c3367001a72dec6,1.83,TRUE,01JH1F2GX7DR1ZQG7AGSN3KRT7,23,Female,Follow the same words they used,Yes - we udnerstood each other well,,master,NA
01JH1GBNHJM7YQ13QAZ9FXAW07,6287745dd285a8be832879dc,1.62,TRUE,01JH1FPYSD6AFHHMZW70VZN68N,33,Male,We focused on any specific shape in any specific location,I enjoyed it. It seemed like we were in sync after a few rounds.,,master,NA
01JH1GP991AKWX71GS1CEY9R1N,664993e12a5b629050529e17,0.57,TRUE,01JH1FPYSBXXZ6KPHKJBRG98KY,32,Female,"Describing the shapes farthest on the left and farthest on the right, and coming up with names for them (frog legs, Yorkie, airplane wings).",I did. We fell into a rhythm and it became easier with each round to describe the target picture due to the fact that we came up with names for them.,The only problem was my partner disconnected so we only got halfway through the game.,bachelor,NA
01JH1FPHKPB5NF5G3K1BA1EMSZ,661747a10840d7553533cda1,1.83,TRUE,01JH1F0VW7XB18ASJ0P081ZZVT,22,Male,"Simple description, repeat answers once the correlation has been established","Yes, because my partner was really nice and had good descriptions.","The game lagged once and I couldn't select a shape, froze for roughly 10 seconds",other,NA
01JH1FPREF39YP71EGNKJGH49Q,66de22000b28da3fb0efe439,1.8,TRUE,01JH1F2GX5K41HMV06X44CSAH5,40,Male,description was short and precise,,,master,NA
01JH1G1W1GMSTBXY61YBYZSH3E,672a4cf329037fe3a0263a78,NA,NA,01JH1G90GG5D87THDQASZH8ZSV,NA,NA,NA,NA,NA,NA,NA
01JH1G2MSZ3J6DCAMVNV5RMHWN,64e7e9cacf76d2e8deb2c7d5,1.86,TRUE,01JH1F0VW7XB18ASJ0NKJ196TK,24,,using the same words my partner used to describe certain shapes so it would be more clear,"yes! although we didn't have time to chat, I felt a sense of camaraderie because we started to use the same strategy. nice to work together",it glitched a couple of times but didn't really impact the experiment,bachelor,NA
01JH1J39SQM9TWDFAT1P8BXC1F,665905fe269c7299f759eb07,NA,TRUE,01JH1G90GG5D87THDQASZH8ZSV,NA,NA,NA,NA,NA,NA,nogame
01JH1FC06GC630D30V7W87SGYR,6655d884495da3a135750a7f,0,NA,null,NA,NA,NA,NA,NA,NA,NA
01JH1FXYV1SA7P0DQSK9MG42Z3,67591f46288e7ea75b16edec,NA,NA,01JH1G90GG5D87THDQASZH8ZSV,NA,NA,NA,NA,NA,NA,NA
01JH1H4WFRPY6W665M1HSWP7SW,6303c4fcbc7cb717214995ab,1.68,TRUE,01JH1G90GH3ZQX32Q109C1JCDD,33,males,describe the object quickly ,yes easy ,minor glitches not been to select match and correct object was selected but said wrong,high-school,NA
01JH1FD62ME2NE4MQZBQHN41G6,6650d30d4396f10c42cd6503,1.83,TRUE,01JH1F0VW7XB18ASJ0P081ZZVT,22,Male,Describe the most unique shape possible and always refer to that same wording from that point onwards!,"Yes, they described very well and also adapted the same strategy without talking about it",One laggy delay,high-school,NA
01JH1GNZ96JNK9MCJ953Q6ZS67,6565f3239d4b3557933760d3,1.68,TRUE,01JH1G90GH3ZQX32Q109C1JCDD,62,female,look for solid shapes or lines,yes,i really enjoyed it,bachelor,NA
