id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01J043N6K0ZGEFX8F8H36TXRNZ,01J0430QZR39AM3HSG6HQT3D8N,2024-06-11T16:56:16.736210844Z,01J0430R0E3M1BVDN8PR15AXGB,2024-06-11T16:56:16.736210844Z,01J04318V1CQ18NDZYS70RXZ42,2024-06-11T16:56:16.736210844Z,01J0431D3HMC0PH433W6MP64K2,2024-06-11T16:56:16.736210844Z,01J0431DFPJ39Y1DDN6KJWE6PG,2024-06-11T16:56:16.736210844Z,true,2024-06-11T16:56:37.582589575Z
01J043Q38PH86JYCT5ZMB63S8C,01J0430QZR39AM3HSG6HQT3D8N,2024-06-11T16:57:18.870474437Z,01J0430R0E3M1BVDN8PR15AXGB,2024-06-11T16:57:18.870474437Z,01J0431AJ55NGAMMR47B8WWHK4,2024-06-11T16:57:18.870474437Z,01J0431D2VSWKMZXVBAWNKP613,2024-06-11T16:57:18.870474437Z,01J0431DHK3FR1SX0XAZ51YDK8,2024-06-11T16:57:18.870474437Z,true,2024-06-11T16:57:52.301829756Z
01J03X5DCV2WY3HMKNPMERJNHV,01J03X4YXYK0TYRA79BHHZWAX1,2024-06-11T15:02:47.963235036Z,01J03X4YYSKP64RZB0GYTKGY80,2024-06-11T15:02:47.963235036Z,01J03X55JSXT0VAV6HARBGF6MD,2024-06-11T15:02:47.963235036Z,01J03X5AC53D9295JHRWZ8KRYC,2024-06-11T15:02:47.963235036Z,01J03X5AH8CTPB6GG892ZQJV3K,2024-06-11T15:02:47.963235036Z,,
01J03X6E2H2673RAGGP1YT86K9,01J03X4YXYK0TYRA79BHHZWAX1,2024-06-11T15:03:21.425810644Z,01J03X4YYSKP64RZB0GYTKGY80,2024-06-11T15:03:21.425810644Z,01J03X53N1CJ0HJEV55AMSTRM6,2024-06-11T15:03:21.425810644Z,01J03X5ADH8NBQWZQ49TE8HB2Z,2024-06-11T15:03:21.425810644Z,01J03X5AJ6RFY2ETQKKQYFSZ2Z,2024-06-11T15:03:21.425810644Z,true,2024-06-11T15:03:28.242336177Z
01J03XZWNT75XWF0DE8F07TCNQ,01J03XTTARHPSJN4QH9P6F8KRV,2024-06-11T15:17:15.578068672Z,01J03XTTBKJ1XC0TE0DXQBY0SG,2024-06-11T15:17:15.578068672Z,01J03XV0B57R4TFQQBXPKZYGW1,2024-06-11T15:17:15.578068672Z,01J03XVMPV6G9ZM2JN5818SRYJ,2024-06-11T15:17:15.578068672Z,01J03XVMZBY9AEBGREF0VJTAN8,2024-06-11T15:17:15.578068672Z,,
01J042RKG6J2V9ND47PR4YBSDT,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:40:39.686954349Z,01J040PA04TYSXY3APSH6W68K0,2024-06-11T16:40:39.686954349Z,01J042QKDVTH2GV2PAHW5PC57E,2024-06-11T16:40:39.686954349Z,01J042RGWZ1Q9GTGG9YR41XE7C,2024-06-11T16:40:39.686954349Z,01J042RH096RSPT16Z7NRRF7DC,2024-06-11T16:40:39.686954349Z,,
01J03XXE5RB93S0YD83DQFJ7AX,01J03XTTARHPSJN4QH9P6F8KRV,2024-06-11T15:15:55.192164017Z,01J03XTTBKJ1XC0TE0DXQBY0SG,2024-06-11T15:15:55.192164017Z,01J03XV0B57R4TFQQBXPKZYGW1,2024-06-11T15:15:55.192164017Z,01J03XVMPNJXWB4E4ZY0FJBVZR,2024-06-11T15:15:55.192164017Z,01J03XVMXXMCZJZRMHK9KY7M0X,2024-06-11T15:15:55.192164017Z,,
01J0438E63X100V16D3S7SQHC3,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:49:18.531856301Z,01J040PA05WJE07E0XMPBVRQ15,2024-06-11T16:49:18.531856301Z,01J042MX1G94MV9Y59EECN71PN,2024-06-11T16:49:18.531856301Z,01J042P5938022079952TVY115,2024-06-11T16:49:18.531856301Z,01J042P5JERH9TSXN6GKVYYC18,2024-06-11T16:49:18.531856301Z,true,2024-06-11T16:49:55.584765734Z
01J04335882H2QEVWHMD5E62Q3,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:46:25.544353439Z,01J040PA014XGMYAEPM0GRRBVR,2024-06-11T16:46:25.544353439Z,01J042JG31ZY0FHVVSXGZXFX4T,2024-06-11T16:46:25.544353439Z,01J042NN7VKHVGS931V53C5JBW,2024-06-11T16:46:25.544353439Z,01J042NNM1J4H3P99MQF3XQFBF,2024-06-11T16:46:25.544353439Z,true,2024-06-11T16:46:37.308400434Z
01J043CP0422JKSWYY0KC3D05B,01J0430QZR39AM3HSG6HQT3D8N,2024-06-11T16:51:37.604939538Z,01J0430R0E3M1BVDN8PR15AXGB,2024-06-11T16:51:37.604939538Z,01J04318V1CQ18NDZYS70RXZ42,2024-06-11T16:51:37.604939538Z,01J0431D3RVNENVXPWZXG4XAWZ,2024-06-11T16:51:37.604939538Z,01J0431D9VK70A373C4EXJR46T,2024-06-11T16:51:37.604939538Z,true,2024-06-11T16:52:07.77716973Z
01J0437PFW0V73DVPTQ3Y759NK,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:48:54.26881407Z,01J040PA014XGMYAEPKN4SPZBD,2024-06-11T16:48:54.26881407Z,01J042JT6WPZS3ZND7A7738ZSY,2024-06-11T16:48:54.26881407Z,01J042NE710SZSZW0PGF3NRWG3,2024-06-11T16:48:54.26881407Z,01J042NEEKWQK5AP1K8RBHHKG2,2024-06-11T16:48:54.26881407Z,true,2024-06-11T16:49:13.926363771Z
01J043JGYE64P8A3BZKJA4M03Q,01J0430QZR39AM3HSG6HQT3D8N,2024-06-11T16:54:49.038450621Z,01J0430R0E3M1BVDN8PR15AXGB,2024-06-11T16:54:49.038450621Z,01J0431AJ55NGAMMR47B8WWHK4,2024-06-11T16:54:49.038450621Z,01J0431D3KFHRE4S2143HG1F6H,2024-06-11T16:54:49.038450621Z,01J0431DDXABBC8J7QE0V5DBN8,2024-06-11T16:54:49.038450621Z,true,2024-06-11T16:55:27.230586466Z
01J03X89P0FQVZYDT11W1X0753,01J03X4YXYK0TYRA79BHHZWAX1,2024-06-11T15:04:22.464297979Z,01J03X4YYSKP64RZB0GYTKGY80,2024-06-11T15:04:22.464297979Z,01J03X53N1CJ0HJEV55AMSTRM6,2024-06-11T15:04:22.464297979Z,01J03X5ADMEPTC24VN4MG7304T,2024-06-11T15:04:22.464297979Z,01J03X5AKRT436N1QSD26RZX09,2024-06-11T15:04:22.464297979Z,,
01J0431M29FS4KFGA0VDETFE61,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:45:35.177887382Z,01J040PA014XGMYAEPM0GRRBVR,2024-06-11T16:45:35.177887382Z,01J042JG31ZY0FHVVSXGZXFX4T,2024-06-11T16:45:35.177887382Z,01J042NN8QHVN3WGZ7C3KFKXBC,2024-06-11T16:45:35.177887382Z,01J042NNJTBT6V7TX72VYE1THN,2024-06-11T16:45:35.177887382Z,true,2024-06-11T16:45:51.264552954Z
01J04371JEN9JPVADNV96RXNST,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:48:32.846041809Z,01J040PA014XGMYAEPM0GRRBVR,2024-06-11T16:48:32.846041809Z,01J042JG31ZY0FHVVSXGZXFX4T,2024-06-11T16:48:32.846041809Z,01J042NN72KF9GWDYRMAQF6451,2024-06-11T16:48:32.846041809Z,01J042NNRR6DV45KCK6HFVFRD6,2024-06-11T16:48:32.846041809Z,true,2024-06-11T16:48:47.667516777Z
01J0437974A7A08HN40VDCAA2W,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:48:40.676812586Z,01J040PA04TYSXY3APSH6W68K0,2024-06-11T16:48:40.676812586Z,01J042RE0X72TC809DEQG8S440,2024-06-11T16:48:40.676812586Z,01J042RGYFFVGASTCCWM8NHKD4,2024-06-11T16:48:40.676812586Z,01J042RH7R2ENFHAQWA1EYPT07,2024-06-11T16:48:40.676812586Z,,
01J04306JCAVGQT8VERGEFPE70,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:44:48.588505827Z,01J040PA05WJE07E0XMA3Y2SEY,2024-06-11T16:44:48.588505827Z,01J042JEX1D79G227SPAQTF0SW,2024-06-11T16:44:48.588505827Z,01J042MPH00BFBQHXTRF3NVSC2,2024-06-11T16:44:48.588505827Z,01J042MPRCDAJ97CXHAHBQ4RPV,2024-06-11T16:44:48.588505827Z,true,2024-06-11T16:45:04.030903988Z
01J03X7P1JAPJXB0J6AR4WZ6E1,01J03X4YXYK0TYRA79BHHZWAX1,2024-06-11T15:04:02.354296173Z,01J03X4YYSKP64RZB0GYTKGY80,2024-06-11T15:04:02.354296173Z,01J03X55JSXT0VAV6HARBGF6MD,2024-06-11T15:04:02.354296173Z,01J03X5ADQHCXTBKET47FDPHWQ,2024-06-11T15:04:02.354296173Z,01J03X5AKEKXNHQCYBB1Q0DJB4,2024-06-11T15:04:02.354296173Z,,
01J0434W1WA5CDW7EYHRT6K0SZ,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:47:21.660475508Z,01J040PA05WJE07E0XMPBVRQ15,2024-06-11T16:47:21.660475508Z,01J042KB07J8YBT7P3Q55XJKA4,2024-06-11T16:47:21.660475508Z,01J042P58Q8SA7GFWK3C9XQ3YH,2024-06-11T16:47:21.660475508Z,01J042P5GBNDANXZPM114WC81P,2024-06-11T16:47:21.660475508Z,true,2024-06-11T16:47:31.264272254Z
01J043BNDK6PCVVFWWFRWW8WST,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:51:04.243530043Z,01J040PA014XGMYAEPKN4SPZBD,2024-06-11T16:51:04.243530043Z,01J042JT6WPZS3ZND7A7738ZSY,2024-06-11T16:51:04.243530043Z,01J042NE6K585PC866QY3JCGEF,2024-06-11T16:51:04.243530043Z,01J042NEGRD239ZGQTMXGKGA3T,2024-06-11T16:51:04.243530043Z,true,2024-06-11T16:51:14.600224565Z
01J03X66NNHNJEQ4QC8RB04WS4,01J03X4YXYK0TYRA79BHHZWAX1,2024-06-11T15:03:13.845261596Z,01J03X4YYSKP64RZB0GYTKGY80,2024-06-11T15:03:13.845261596Z,01J03X55JSXT0VAV6HARBGF6MD,2024-06-11T15:03:13.845261596Z,01J03X5ADFE2RTH9113HG3ESGE,2024-06-11T15:03:13.845261596Z,01J03X5AHSNWKDN26PTKDGP841,2024-06-11T15:03:13.845261596Z,true,2024-06-11T15:03:21.343385234Z
01J03X72CJGC7FDM8YA12NC3DP,01J03X4YXYK0TYRA79BHHZWAX1,2024-06-11T15:03:42.226484685Z,01J03X4YYSKP64RZB0GYTKGY80,2024-06-11T15:03:42.226484685Z,01J03X55JSXT0VAV6HARBGF6MD,2024-06-11T15:03:42.226484685Z,01J03X5ADPCRJ2NH457HJDE8EX,2024-06-11T15:03:42.226484685Z,01J03X5AK43NP4V8A8Y7N32VM7,2024-06-11T15:03:42.226484685Z,,
01J03Y2YQXA9D4JR28WKYE9VTM,01J03XTTARHPSJN4QH9P6F8KRV,2024-06-11T15:18:55.997865533Z,01J03XTTBKJ1XC0TE0DXQBY0SG,2024-06-11T15:18:55.997865533Z,01J03XV0B57R4TFQQBXPKZYGW1,2024-06-11T15:18:55.997865533Z,01J03XVMR9MECM1SM9VQZPTXXH,2024-06-11T15:18:55.997865533Z,01J03XVN1MT61XMWG8MJABSVAX,2024-06-11T15:18:55.997865533Z,,
01J043EC1ANQEANHCPR4EVP3TJ,01J0430QZR39AM3HSG6HQT3D8N,2024-06-11T16:52:32.938697721Z,01J0430R0E3M1BVDN8PR15AXGB,2024-06-11T16:52:32.938697721Z,01J0431AJ55NGAMMR47B8WWHK4,2024-06-11T16:52:32.938697721Z,01J0431D1ZC38RM3GAJY3N57QQ,2024-06-11T16:52:32.938697721Z,01J0431DB380MPY2FGKPYYR71D,2024-06-11T16:52:32.938697721Z,true,2024-06-11T16:53:00.061827133Z
01J0436901KV0BT577NM07RX8H,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:48:07.681734652Z,01J040PA014XGMYAEPM0GRRBVR,2024-06-11T16:48:07.681734652Z,01J042JFC6MZHDYQMJ4GQ0WG6E,2024-06-11T16:48:07.681734652Z,01J042NN74BHA4WR2MG3AJYBQW,2024-06-11T16:48:07.681734652Z,01J042NNR4HK73CHW6D8YPT7G9,2024-06-11T16:48:07.681734652Z,true,2024-06-11T16:48:32.741853903Z
01J043A91P9AW5J58SD9F9EA9P,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:50:18.806814927Z,01J040PA014XGMYAEPM0GRRBVR,2024-06-11T16:50:18.806814927Z,01J042JG31ZY0FHVVSXGZXFX4T,2024-06-11T16:50:18.806814927Z,01J042NN6R1BTNCZKA27FKXAYN,2024-06-11T16:50:18.806814927Z,01J042NNWT9GKXZS3HQVY8SN8F,2024-06-11T16:50:18.806814927Z,true,2024-06-11T16:50:35.533357844Z
01J043EC15GKRDMT0XDG3KXFA7,01J0430QZR39AM3HSG6HQT3D8N,2024-06-11T16:52:32.933440658Z,01J0430R0E3M1BVDN8PR15AXGB,2024-06-11T16:52:32.933440658Z,01J04318V1CQ18NDZYS70RXZ42,2024-06-11T16:52:32.933440658Z,01J0431D1ZC38RM3GAJY3N57QQ,2024-06-11T16:52:32.933440658Z,01J0431DB380MPY2FGKPYYR71D,2024-06-11T16:52:32.933440658Z,true,2024-06-11T16:53:00.067401124Z
01J0431F347SNX6ZW5N3P05TSY,01J0430QZR39AM3HSG6HQT3D8N,2024-06-11T16:45:30.08460436Z,01J0430R0E3M1BVDN8PR15AXGB,2024-06-11T16:45:30.08460436Z,01J04318V1CQ18NDZYS70RXZ42,2024-06-11T16:45:30.08460436Z,01J0431D2DVZ4VZQYFFVMSECTT,2024-06-11T16:45:30.08460436Z,01J0431D4ZFWH3CFP74BRH4A4Z,2024-06-11T16:45:30.08460436Z,true,2024-06-11T16:46:11.188741741Z
01J0433KSRGZQSKQC1B3H7YPQE,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:46:40.440387466Z,01J040PA04TYSXY3APSH6W68K0,2024-06-11T16:46:40.440387466Z,01J042QKDVTH2GV2PAHW5PC57E,2024-06-11T16:46:40.440387466Z,01J042RGY380E9EPJX57BZS0WY,2024-06-11T16:46:40.440387466Z,01J042RH5ZQ6KPV86MS9C0TBA6,2024-06-11T16:46:40.440387466Z,,
01J0433TZX4G7TGTEZ53RR5JVW,01J0430QZR39AM3HSG6HQT3D8N,2024-06-11T16:46:47.80519056Z,01J0430R0E3M1BVDN8PR15AXGB,2024-06-11T16:46:47.80519056Z,01J0431AJ55NGAMMR47B8WWHK4,2024-06-11T16:46:47.80519056Z,01J0431D12VGZF6SXVRRQ8942F,2024-06-11T16:46:47.80519056Z,01J0431D62GTFVE9DZG39JTW9T,2024-06-11T16:46:47.80519056Z,true,2024-06-11T16:47:26.461125341Z
01J0434RG19ZNRPEQE63R8850Z,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:47:18.017787202Z,01J040PA05WJE07E0XMA3Y2SEY,2024-06-11T16:47:18.017787202Z,01J042JEX1D79G227SPAQTF0SW,2024-06-11T16:47:18.017787202Z,01J042MPJ954WJCRQFPA9522J0,2024-06-11T16:47:18.017787202Z,01J042MPWGTSPM4F0BWAEKDSGW,2024-06-11T16:47:18.017787202Z,true,2024-06-11T16:47:33.736636219Z
