id,batchID,batchIDLastChangedAt,chat,chatLastChangedAt,correct,correctLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,numTrials,numTrialsLastChangedAt,repNum,repNumLastChangedAt,reps,repsLastChangedAt,response,responseLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,tangramURLs,tangramURLsLastChangedAt,target,targetLastChangedAt,targetNum,targetNumLastChangedAt,trialNum,trialNumLastChangedAt
01J042MPH2THCQRH7CXQWP74A7,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:38:31.714242965Z,"[{""text"":""side door with a crown"",""sender"":{""id"":""01J042JANA9P3QE1K69TE0ZT0J"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2024-06-11T16:44:44.566920489Z,true,2024-06-11T16:44:48.511225951Z,true,2024-06-11T16:44:48.502793558Z,01J040PA05WJE07E0XMA3Y2SEY,2024-06-11T16:38:31.714242965Z,13,2024-06-11T16:38:31.714242965Z,33,2024-06-11T16:38:31.714242965Z,0,2024-06-11T16:38:31.714242965Z,2,2024-06-11T16:38:31.714242965Z,/tangrams/3_19.png,2024-06-11T16:44:48.511225951Z,1,2024-06-11T16:38:31.943392002Z,true,2024-06-11T16:44:26.102307023Z,"[""/tangrams/1_19.png"",""/tangrams/3_19.png"",""/tangrams/3_16.png"",""/tangrams/1_16.png""]",2024-06-11T16:38:31.714242965Z,/tangrams/3_19.png,2024-06-11T16:38:31.714242965Z,14,2024-06-11T16:38:31.714242965Z,13,2024-06-11T16:38:31.714242965Z
01J042NN8WWX8ZA6P1N3XAHZ3E,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:39:03.196287879Z,"[{""text"":""pac-man looking downwards with a big butt"",""sender"":{""id"":""01J042JG31ZY0FHVVSXGZXFX4T"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2024-06-11T16:44:53.510960465Z,true,2024-06-11T16:45:02.942555994Z,true,2024-06-11T16:45:02.916039879Z,01J040PA014XGMYAEPM0GRRBVR,2024-06-11T16:39:03.196287879Z,10,2024-06-11T16:39:03.196287879Z,33,2024-06-11T16:39:03.196287879Z,0,2024-06-11T16:39:03.196287879Z,2,2024-06-11T16:39:03.196287879Z,/tangrams/1_18.png,2024-06-11T16:45:02.942555994Z,1,2024-06-11T16:39:03.488348172Z,true,2024-06-11T16:44:30.386712058Z,"[""/tangrams/1_18.png"",""/tangrams/0_17.png"",""/tangrams/1_17.png"",""/tangrams/0_18.png""]",2024-06-11T16:39:03.196287879Z,/tangrams/1_18.png,2024-06-11T16:39:03.196287879Z,11,2024-06-11T16:39:03.196287879Z,10,2024-06-11T16:39:03.196287879Z
01J042RGY894JA5B2G0W5QVVD8,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:40:37.064855071Z,,,false,2024-06-11T16:52:41.185461768Z,true,2024-06-11T16:52:41.172339499Z,01J040PA04TYSXY3APSH6W68K0,2024-06-11T16:40:37.064855071Z,11,2024-06-11T16:40:37.064855071Z,33,2024-06-11T16:40:37.064855071Z,0,2024-06-11T16:40:37.064855071Z,2,2024-06-11T16:40:37.064855071Z,,2024-06-11T16:52:41.185461768Z,1,2024-06-11T16:40:37.443632746Z,true,2024-06-11T16:51:41.019752013Z,"[""/tangrams/11_27.png"",""/tangrams/3_19.png"",""/tangrams/9_25.png"",""/tangrams/10_26.png""]",2024-06-11T16:40:37.064855071Z,/tangrams/9_25.png,2024-06-11T16:40:37.064855071Z,12,2024-06-11T16:40:37.064855071Z,11,2024-06-11T16:40:37.064855071Z
01J03XVMS1CFCSN3EFR7CNV9SR,01J03XTTARHPSJN4QH9P6F8KRV,2024-06-11T15:14:56.417205195Z,,,,,false,2024-06-11T15:14:56.417205195Z,01J03XTTBKJ1XC0TE0DXQBY0SG,2024-06-11T15:14:56.417205195Z,37,2024-06-11T15:14:56.417205195Z,65,2024-06-11T15:14:56.417205195Z,2,2024-06-11T15:14:56.417205195Z,,,,,1,2024-06-11T15:14:57.040641056Z,false,2024-06-11T15:14:56.417205195Z,"[""/tangrams/0_19.png"",""/tangrams/1_16.png"",""/tangrams/2_17.png"",""/tangrams/3_18.png""]",2024-06-11T15:14:56.417205195Z,/tangrams/3_18.png,2024-06-11T15:14:56.417205195Z,6,2024-06-11T15:14:56.417205195Z,37,2024-06-11T15:14:56.417205195Z
01J042MPGQGDV4VXJFQBRP76NS,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:38:31.703833666Z,"[{""text"":""big cheek man with flat top"",""sender"":{""id"":""01J042JEX1D79G227SPAQTF0SW"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2024-06-11T16:43:43.652140147Z,true,2024-06-11T16:43:48.149002838Z,true,2024-06-11T16:43:48.137646599Z,01J040PA05WJE07E0XMA3Y2SEY,2024-06-11T16:38:31.703833666Z,10,2024-06-11T16:38:31.703833666Z,33,2024-06-11T16:38:31.703833666Z,0,2024-06-11T16:38:31.703833666Z,2,2024-06-11T16:38:31.703833666Z,/tangrams/2_17.png,2024-06-11T16:43:48.149002838Z,1,2024-06-11T16:38:31.907103844Z,true,2024-06-11T16:43:14.232005097Z,"[""/tangrams/0_17.png"",""/tangrams/0_16.png"",""/tangrams/2_17.png"",""/tangrams/2_16.png""]",2024-06-11T16:38:31.703833666Z,/tangrams/2_17.png,2024-06-11T16:38:31.703833666Z,11,2024-06-11T16:38:31.703833666Z,10,2024-06-11T16:38:31.703833666Z
01J03XVMPJJNHNS5S3RV9CZB61,01J03XTTARHPSJN4QH9P6F8KRV,2024-06-11T15:14:56.338262892Z,"[{""text"":""vbxcvbv"",""sender"":{""id"":""01J03XV2NNHGH68E2ERMN3RTHS"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2024-06-11T15:15:31.420515697Z,false,2024-06-11T15:15:35.054805403Z,true,2024-06-11T15:15:35.048729264Z,01J03XTTBKJ1XC0TE0DXQBY0SG,2024-06-11T15:14:56.338262892Z,4,2024-06-11T15:14:56.338262892Z,65,2024-06-11T15:14:56.338262892Z,0,2024-06-11T15:14:56.338262892Z,,,/tangrams/3_16.png,2024-06-11T15:15:35.054805403Z,1,2024-06-11T15:14:56.552602339Z,true,2024-06-11T15:15:28.218962224Z,"[""/tangrams/2_19.png"",""/tangrams/0_18.png"",""/tangrams/1_17.png"",""/tangrams/3_16.png""]",2024-06-11T15:14:56.338262892Z,/tangrams/1_17.png,2024-06-11T15:14:56.338262892Z,5,2024-06-11T15:14:56.338262892Z,4,2024-06-11T15:14:56.338262892Z
01J03YA1BTXYHJVRGPVEC8E7N2,01J03Y967TCNPP237P3PJJV9XT,2024-06-11T15:22:48.058530766Z,,,,,false,2024-06-11T15:22:48.058530766Z,01J03Y968R6F0X8KGV3DNS0PP8,2024-06-11T15:22:48.058530766Z,24,2024-06-11T15:22:48.058530766Z,33,2024-06-11T15:22:48.058530766Z,1,2024-06-11T15:22:48.058530766Z,2,2024-06-11T15:22:48.058530766Z,,,1,2024-06-11T15:22:48.381107423Z,false,2024-06-11T15:22:48.058530766Z,"[""/tangrams/3_19.png"",""/tangrams/1_17.png"",""/tangrams/2_18.png"",""/tangrams/0_16.png""]",2024-06-11T15:22:48.058530766Z,/tangrams/2_18.png,2024-06-11T15:22:48.058530766Z,9,2024-06-11T15:22:48.058530766Z,24,2024-06-11T15:22:48.058530766Z
01J042MPHR2DWESG4E2CNXG3EV,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:38:31.736958542Z,"[{""text"":""open door castle"",""sender"":{""id"":""01J042JANA9P3QE1K69TE0ZT0J"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2024-06-11T16:45:46.354265754Z,true,2024-06-11T16:45:50.118590556Z,true,2024-06-11T16:45:50.106138142Z,01J040PA05WJE07E0XMA3Y2SEY,2024-06-11T16:38:31.736958542Z,17,2024-06-11T16:38:31.736958542Z,33,2024-06-11T16:38:31.736958542Z,1,2024-06-11T16:38:31.736958542Z,2,2024-06-11T16:38:31.736958542Z,/tangrams/0_18.png,2024-06-11T16:45:50.118590556Z,1,2024-06-11T16:38:31.992572418Z,true,2024-06-11T16:45:42.495429674Z,"[""/tangrams/3_18.png"",""/tangrams/3_16.png"",""/tangrams/0_16.png"",""/tangrams/0_18.png""]",2024-06-11T16:38:31.736958542Z,/tangrams/0_18.png,2024-06-11T16:38:31.736958542Z,2,2024-06-11T16:38:31.736958542Z,17,2024-06-11T16:38:31.736958542Z
01J042P590RKX5DRAEZYDJEW4N,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:39:19.584925209Z,"[{""text"":""fire top with small arms"",""sender"":{""id"":""01J042MX1G94MV9Y59EECN71PN"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2024-06-11T16:50:34.453674725Z,true,2024-06-11T16:50:39.945636664Z,true,2024-06-11T16:50:39.933198462Z,01J040PA05WJE07E0XMPBVRQ15,2024-06-11T16:39:19.584925209Z,28,2024-06-11T16:39:19.584925209Z,33,2024-06-11T16:39:19.584925209Z,1,2024-06-11T16:39:19.584925209Z,2,2024-06-11T16:39:19.584925209Z,/tangrams/3_16.png,2024-06-11T16:50:39.945636664Z,1,2024-06-11T16:39:19.927892652Z,true,2024-06-11T16:50:27.476038822Z,"[""/tangrams/1_19.png"",""/tangrams/2_18.png"",""/tangrams/0_17.png"",""/tangrams/3_16.png""]",2024-06-11T16:39:19.584925209Z,/tangrams/3_16.png,2024-06-11T16:39:19.584925209Z,13,2024-06-11T16:39:19.584925209Z,28,2024-06-11T16:39:19.584925209Z
01J0431D1V04HJ2DZQSGFJ04MD,01J0430QZR39AM3HSG6HQT3D8N,2024-06-11T16:45:27.995396786Z,"[{""text"":""xmas tree. not a flower. has a block kind of top"",""sender"":{""id"":""01J04318V1CQ18NDZYS70RXZ42"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2024-06-11T17:01:06.229960684Z,true,2024-06-11T17:01:21.73209833Z,true,2024-06-11T17:01:21.720529153Z,01J0430R0E3M1BVDN8PR15AXGB,2024-06-11T16:45:27.995396786Z,31,2024-06-11T16:45:27.995396786Z,33,2024-06-11T16:45:27.995396786Z,1,2024-06-11T16:45:27.995396786Z,2,2024-06-11T16:45:27.995396786Z,/tangrams/1_17.png,2024-06-11T17:01:21.73209833Z,1,2024-06-11T16:45:28.658469466Z,true,2024-06-11T17:00:32.448948427Z,"[""/tangrams/1_17.png"",""/tangrams/3_17.png"",""/tangrams/3_16.png"",""/tangrams/1_16.png""]",2024-06-11T16:45:27.995396786Z,/tangrams/1_17.png,2024-06-11T16:45:27.995396786Z,16,2024-06-11T16:45:27.995396786Z,31,2024-06-11T16:45:27.995396786Z
