id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,status,statusLastChangedAt,timerID,timerIDLastChangedAt
01J042MPRCDAJ97CXHAHBQ4RPV,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:38:31.94896357Z,60,2024-06-11T16:38:31.94896357Z,true,2024-06-11T16:45:04.044901484Z,,,01J040PA05WJE07E0XMA3Y2SEY,2024-06-11T16:38:31.94896357Z,0,2024-06-11T16:38:31.94896357Z,true,2024-06-11T16:44:48.5956306Z,selection,2024-06-11T16:38:31.94896357Z,01J042MPH00BFBQHXTRF3NVSC2,2024-06-11T16:38:31.94896357Z,true,2024-06-11T16:44:48.566580546Z,true,2024-06-11T16:44:48.61587942Z,,,01J042MPRARP5EX5DPFB883TEF,2024-06-11T16:38:31.94896357Z
01J042NECADJ8QQAZ9X71MAVQG,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:38:56.138768376Z,60,2024-06-11T16:38:56.138768376Z,true,2024-06-11T16:45:56.990353299Z,,,01J040PA014XGMYAEPKN4SPZBD,2024-06-11T16:38:56.138768376Z,0,2024-06-11T16:38:56.138768376Z,true,2024-06-11T16:45:18.922898574Z,selection,2024-06-11T16:38:56.138768376Z,01J042NE7RKBBBXSQZ7MQK622X,2024-06-11T16:38:56.138768376Z,true,2024-06-11T16:45:18.89141368Z,true,2024-06-11T16:45:18.94476881Z,,,01J042NEC8CAQ5MTJAMY8PNMBS,2024-06-11T16:38:56.138768376Z
01J0409JD8TKNFQ530AY21C1J0,01J0408KD6EWMVEQV4N99654BD,2024-06-11T15:57:29.896106811Z,60,2024-06-11T15:57:29.896106811Z,false,2024-06-11T15:57:29.896106811Z,,,01J0408KDYV5BVVZP6R2H59FV8,2024-06-11T15:57:29.896106811Z,0,2024-06-11T15:57:29.896106811Z,,,selection,2024-06-11T15:57:29.896106811Z,01J0409J7047PWW5EPEF5920PJ,2024-06-11T15:57:29.896106811Z,false,2024-06-11T15:57:29.896106811Z,,,,,01J0409JD59TQRMZED04Q230XA,2024-06-11T15:57:29.896106811Z
01J03X5AT2TV41TGKXENDNKY5S,01J03X4YXYK0TYRA79BHHZWAX1,2024-06-11T15:02:45.314718219Z,20,2024-06-11T15:02:45.314718219Z,false,2024-06-11T15:02:45.314718219Z,,,01J03X4YYSKP64RZB0GYTKGY80,2024-06-11T15:02:45.314718219Z,0,2024-06-11T15:02:45.314718219Z,,,selection,2024-06-11T15:02:45.314718219Z,01J03X5AFDFQ0RCCX1AEPKPAM5,2024-06-11T15:02:45.314718219Z,false,2024-06-11T15:02:45.314718219Z,,,,,01J03X5ASNCW20C5E7RM9P45JQ,2024-06-11T15:02:45.314718219Z
01J03X5B03QZJMSM8P6WY8DV7D,01J03X4YXYK0TYRA79BHHZWAX1,2024-06-11T15:02:45.50736971Z,20,2024-06-11T15:02:45.50736971Z,false,2024-06-11T15:02:45.50736971Z,,,01J03X4YYSKP64RZB0GYTKGY80,2024-06-11T15:02:45.50736971Z,0,2024-06-11T15:02:45.50736971Z,,,selection,2024-06-11T15:02:45.50736971Z,01J03X5AF9G8XXNYAY9TS8WRH8,2024-06-11T15:02:45.50736971Z,false,2024-06-11T15:02:45.50736971Z,,,,,01J03X5B00NQ6FAETS3B1PCV5X,2024-06-11T15:02:45.50736971Z
01J042MPXH5GQGH0DX5EVSBZPT,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:38:32.113390694Z,60,2024-06-11T16:38:32.113390694Z,true,2024-06-11T16:48:15.186683642Z,,,01J040PA05WJE07E0XMA3Y2SEY,2024-06-11T16:38:32.113390694Z,0,2024-06-11T16:38:32.113390694Z,true,2024-06-11T16:48:06.567774818Z,selection,2024-06-11T16:38:32.113390694Z,01J042MPHV79A3HJH30H3WZNJZ,2024-06-11T16:38:32.113390694Z,true,2024-06-11T16:48:06.539619115Z,true,2024-06-11T16:48:06.584845379Z,,,01J042MPXEDC212SQQPG63T0V9,2024-06-11T16:38:32.113390694Z
01J03X5AJ6RFY2ETQKKQYFSZ2Z,01J03X4YXYK0TYRA79BHHZWAX1,2024-06-11T15:02:45.06244977Z,20,2024-06-11T15:02:45.06244977Z,true,2024-06-11T15:03:28.250271604Z,,,01J03X4YYSKP64RZB0GYTKGY80,2024-06-11T15:02:45.06244977Z,0,2024-06-11T15:02:45.06244977Z,true,2024-06-11T15:03:21.430361778Z,selection,2024-06-11T15:02:45.06244977Z,01J03X5ADH8NBQWZQ49TE8HB2Z,2024-06-11T15:02:45.06244977Z,true,2024-06-11T15:03:21.414816195Z,true,2024-06-11T15:03:21.443133845Z,,,01J03X5AJ3MYFK2F0TDA9GN8GF,2024-06-11T15:02:45.06244977Z
01J03YA1EFQ2EG1V8JJD8GM6TJ,01J03Y967TCNPP237P3PJJV9XT,2024-06-11T15:22:48.14319929Z,60,2024-06-11T15:22:48.14319929Z,false,2024-06-11T15:22:48.14319929Z,,,01J03Y968R6F0X8KGV3DNS0PP8,2024-06-11T15:22:48.14319929Z,0,2024-06-11T15:22:48.14319929Z,,,selection,2024-06-11T15:22:48.14319929Z,01J03YA1BJGQMNAVRB6PJYAJMT,2024-06-11T15:22:48.14319929Z,false,2024-06-11T15:22:48.14319929Z,,,,,01J03YA1EBDQC4P4H20RE9QJ6S,2024-06-11T15:22:48.14319929Z
01J042NEDWM09EJESVVP43VCSD,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:38:56.188494815Z,60,2024-06-11T16:38:56.188494815Z,true,2024-06-11T16:48:08.896351902Z,,,01J040PA014XGMYAEPKN4SPZBD,2024-06-11T16:38:56.188494815Z,0,2024-06-11T16:38:56.188494815Z,true,2024-06-11T16:47:26.895481103Z,selection,2024-06-11T16:38:56.188494815Z,01J042NE74KA3Z4VEFJD9BDBSR,2024-06-11T16:38:56.188494815Z,true,2024-06-11T16:47:26.878223803Z,true,2024-06-11T16:47:26.90966775Z,,,01J042NEDSEMAG5BGZ2TPEWAM0,2024-06-11T16:38:56.188494815Z
01J042P5DGCP6JYXDSF2PY3S6R,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:39:19.728536964Z,60,2024-06-11T16:39:19.728536964Z,true,2024-06-11T16:45:36.130838067Z,,,01J040PA05WJE07E0XMPBVRQ15,2024-06-11T16:39:19.728536964Z,0,2024-06-11T16:39:19.728536964Z,true,2024-06-11T16:45:08.567038223Z,selection,2024-06-11T16:39:19.728536964Z,01J042P58AQ8PFN5N43KA5Q0KF,2024-06-11T16:39:19.728536964Z,true,2024-06-11T16:45:08.546793093Z,true,2024-06-11T16:45:08.583828533Z,,,01J042P5DE2RKGHKPZN1163MKZ,2024-06-11T16:39:19.728536964Z
01J03XVN6H91ST7VWCSVPWH01Z,01J03XTTARHPSJN4QH9P6F8KRV,2024-06-11T15:14:56.84968607Z,20,2024-06-11T15:14:56.84968607Z,false,2024-06-11T15:14:56.84968607Z,,,01J03XTTBKJ1XC0TE0DXQBY0SG,2024-06-11T15:14:56.84968607Z,0,2024-06-11T15:14:56.84968607Z,,,selection,2024-06-11T15:14:56.84968607Z,01J03XVMRJ5T7YFJV6Y3C3KJTS,2024-06-11T15:14:56.84968607Z,false,2024-06-11T15:14:56.84968607Z,,,,,01J03XVN6E3BS19TAB8SGERM39,2024-06-11T15:14:56.84968607Z
01J03Y62A4TF8XFWWMS3P50NFA,01J03Y5GM473RKT307CHVF30BC,2024-06-11T15:20:37.956112098Z,20,2024-06-11T15:20:37.956112098Z,false,2024-06-11T15:20:37.956112098Z,,,01J03Y5GN11CJ3N7W8K5WQG2Y0,2024-06-11T15:20:37.956112098Z,0,2024-06-11T15:20:37.956112098Z,,,selection,2024-06-11T15:20:37.956112098Z,01J03Y61XHNV0ZJF81E77WBCJ7,2024-06-11T15:20:37.956112098Z,false,2024-06-11T15:20:37.956112098Z,,,,,01J03Y629ZY6A24HW662RFT439,2024-06-11T15:20:37.956112098Z
01J0409JBSRNWYVNCGJ7PT5AYK,01J0408KD6EWMVEQV4N99654BD,2024-06-11T15:57:29.849219194Z,60,2024-06-11T15:57:29.849219194Z,false,2024-06-11T15:57:29.849219194Z,,,01J0408KDYV5BVVZP6R2H59FV8,2024-06-11T15:57:29.849219194Z,0,2024-06-11T15:57:29.849219194Z,,,selection,2024-06-11T15:57:29.849219194Z,01J0409J63HHJ0ZZSN25T11KB5,2024-06-11T15:57:29.849219194Z,false,2024-06-11T15:57:29.849219194Z,,,,,01J0409JBPQE6DEJHV5BSWKCZR,2024-06-11T15:57:29.849219194Z
01J042RHB5ZTA0QFP8HTST02PY,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:40:37.477843917Z,60,2024-06-11T16:40:37.477843917Z,true,2024-06-11T16:54:41.453034206Z,,,01J040PA04TYSXY3APSH6W68K0,2024-06-11T16:40:37.477843917Z,0,2024-06-11T16:40:37.477843917Z,true,2024-06-11T16:53:41.426496581Z,selection,2024-06-11T16:40:37.477843917Z,01J042RGYMEKRHZN52AMEJ58NT,2024-06-11T16:40:37.477843917Z,true,2024-06-11T16:53:41.402078387Z,true,2024-06-11T16:53:41.448648255Z,,,01J042RHAWH8BQB6M886C3PHV3,2024-06-11T16:40:37.477843917Z
01J042RHET74H4P9ETDF58Y3MQ,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:40:37.594507465Z,60,2024-06-11T16:40:37.594507465Z,true,2024-06-11T17:01:42.582577018Z,,,01J040PA04TYSXY3APSH6W68K0,2024-06-11T16:40:37.594507465Z,0,2024-06-11T16:40:37.594507465Z,true,2024-06-11T17:00:42.554325324Z,selection,2024-06-11T16:40:37.594507465Z,01J042RGYJEPMY4JEER2NTGHFJ,2024-06-11T16:40:37.594507465Z,true,2024-06-11T17:00:42.5300568Z,true,2024-06-11T17:00:42.577653995Z,,,01J042RHEQ6AGFH5XY65XGDK0S,2024-06-11T16:40:37.594507465Z
01J03X5B8C7V6SSB55NGXKR53D,01J03X4YXYK0TYRA79BHHZWAX1,2024-06-11T15:02:45.772879395Z,20,2024-06-11T15:02:45.772879395Z,false,2024-06-11T15:02:45.772879395Z,,,01J03X4YYSKP64RZB0GYTKGY80,2024-06-11T15:02:45.772879395Z,0,2024-06-11T15:02:45.772879395Z,,,selection,2024-06-11T15:02:45.772879395Z,01J03X5AEWMKCJQ7S918MN5F5V,2024-06-11T15:02:45.772879395Z,false,2024-06-11T15:02:45.772879395Z,,,,,01J03X5B8AB9WK012QCHF56N43,2024-06-11T15:02:45.772879395Z
01J042P5FNT8QKTD1EFY02TW23,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:39:19.797924661Z,60,2024-06-11T16:39:19.797924661Z,true,2024-06-11T16:47:21.561193167Z,,,01J040PA05WJE07E0XMPBVRQ15,2024-06-11T16:39:19.797924661Z,0,2024-06-11T16:39:19.797924661Z,true,2024-06-11T16:47:07.750756303Z,selection,2024-06-11T16:39:19.797924661Z,01J042P58RQY64316TYT6J81R8,2024-06-11T16:39:19.797924661Z,true,2024-06-11T16:47:07.725674596Z,true,2024-06-11T16:47:07.770348185Z,,,01J042P5FKK3XM30YVM7XGA58M,2024-06-11T16:39:19.797924661Z
