id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,bottomTangrams,bottomTangramsLastChangedAt,contextSize,contextSizeLastChangedAt,contextStructure,contextStructureLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,justStarted,justStartedLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,roundIndex,roundIndexLastChangedAt,showNegativeFeedback,showNegativeFeedbackLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,targets,targetsLastChangedAt,topTangrams,topTangramsLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01J040PA05WJE07E0XMA3Y2SEY,2,2024-06-11T16:38:31.604233625Z,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:04:27.269465636Z,"[16,17,18,19]",2024-06-11T16:38:31.726487081Z,4,2024-06-11T16:38:31.726487081Z,comp-within,2024-06-11T16:38:31.726487081Z,true,2024-06-11T16:49:27.54563755Z,end of game,2024-06-11T16:49:27.56881615Z,01J040PA25WNAAE0CSKB70PV5J,2024-06-11T16:04:27.33574736Z,true,2024-06-11T16:38:31.726487081Z,01J042JYPA32CGAECXE7K6J71F,2024-06-11T16:37:34.545961783Z,31,2024-06-11T16:38:31.726487081Z,1,2024-06-11T16:38:31.726487081Z,null,2024-06-11T16:49:27.54563755Z,true,2024-06-11T16:38:31.604233625Z,true,2024-06-11T16:38:31.604233625Z,ended,2024-06-11T16:49:27.56881615Z,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]",2024-06-11T16:38:31.726487081Z,"[0,1,2,3]",2024-06-11T16:38:31.726487081Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T16:04:27.269465636Z,demo-comp-within,2024-06-11T16:04:27.269465636Z
01J040PA05WJE07E0XMPBVRQ15,2,2024-06-11T16:39:19.489871507Z,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:04:27.269897409Z,"[16,17,18,19]",2024-06-11T16:39:19.577302658Z,4,2024-06-11T16:39:19.577302658Z,comp-between,2024-06-11T16:39:19.577302658Z,true,2024-06-11T16:51:43.919933362Z,end of game,2024-06-11T16:51:43.945324582Z,01J040PA30JA6SMAS9XP6CFR6E,2024-06-11T16:04:27.363435407Z,true,2024-06-11T16:39:19.577302658Z,01J042MZ0V9X7G0QCNJTX42N46,2024-06-11T16:38:40.419471752Z,31,2024-06-11T16:39:19.577302658Z,1,2024-06-11T16:39:19.577302658Z,null,2024-06-11T16:51:43.919933362Z,true,2024-06-11T16:39:19.489871507Z,true,2024-06-11T16:39:19.489871507Z,ended,2024-06-11T16:51:43.945324582Z,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]",2024-06-11T16:39:19.577302658Z,"[0,1,2,3]",2024-06-11T16:39:19.577302658Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T16:04:27.269897409Z,demo-comp-between,2024-06-11T16:04:27.269897409Z
01J0430R0E3M1BVDN8PR15AXGB,2,2024-06-11T16:45:27.878809485Z,01J0430QZR39AM3HSG6HQT3D8N,2024-06-11T16:45:06.446852446Z,"[16,17,18,19]",2024-06-11T16:45:27.981794462Z,4,2024-06-11T16:45:27.981794462Z,comp-within,2024-06-11T16:45:27.981794462Z,true,2024-06-11T17:01:21.747106362Z,end of game,2024-06-11T17:01:21.771540464Z,01J0430R1C07A9NSZHRM93RRCD,2024-06-11T16:45:06.479404799Z,true,2024-06-11T16:45:27.981794462Z,01J0431BQSE3168DN5CBQGBMVG,2024-06-11T16:45:26.657269373Z,31,2024-06-11T16:45:27.981794462Z,1,2024-06-11T16:45:27.981794462Z,null,2024-06-11T17:01:21.747106362Z,true,2024-06-11T16:45:27.878809485Z,true,2024-06-11T16:45:27.878809485Z,ended,2024-06-11T17:01:21.771540464Z,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]",2024-06-11T16:45:27.981794462Z,"[0,1,2,3]",2024-06-11T16:45:27.981794462Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T16:45:06.446852446Z,demo-comp-within,2024-06-11T16:45:06.446852446Z
01J03Y968R6F0X8KGV3DNS0PP8,2,2024-06-11T15:22:47.95637356Z,01J03Y967TCNPP237P3PJJV9XT,2024-06-11T15:22:20.312094592Z,"[16,17,18,19]",2024-06-11T15:22:48.054837846Z,4,2024-06-11T15:22:48.054837846Z,comp-between,2024-06-11T15:22:48.054837846Z,true,2024-06-11T15:23:42.191390307Z,batch ended,2024-06-11T15:23:42.166184669Z,01J03Y969WSHPKV1MA19EEPFKW,2024-06-11T15:22:20.353642185Z,true,2024-06-11T15:22:48.054837846Z,01J03Y9ZKVH7R4PMAHVQ7XGRKY,2024-06-11T15:22:46.274318076Z,31,2024-06-11T15:22:48.054837846Z,1,2024-06-11T15:22:48.054837846Z,null,2024-06-11T15:23:42.191390307Z,true,2024-06-11T15:22:47.95637356Z,true,2024-06-11T15:22:47.95637356Z,terminated,2024-06-11T15:23:42.166184669Z,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]",2024-06-11T15:22:48.054837846Z,"[0,1,2,3]",2024-06-11T15:22:48.054837846Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T15:22:20.312094592Z,demo-comp-between,2024-06-11T15:22:20.312094592Z
01J0408KDYV5BVVZP6R2H59FV8,2,2024-06-11T15:57:29.562514562Z,01J0408KD6EWMVEQV4N99654BD,2024-06-11T15:56:58.174620413Z,"[16,17,18,19]",2024-06-11T15:57:29.702226798Z,4,2024-06-11T15:57:29.702226798Z,comp-within,2024-06-11T15:57:29.702226798Z,true,2024-06-11T15:59:37.361804406Z,batch ended,2024-06-11T15:59:37.155001842Z,01J0408KEW0YDCTTSZNVCNGQY9,2024-06-11T15:56:58.208150969Z,true,2024-06-11T15:57:29.702226798Z,01J0409G0Q7WJ9N1A1ARFNY4NF,2024-06-11T15:57:27.457095755Z,31,2024-06-11T15:57:29.702226798Z,1,2024-06-11T15:57:29.702226798Z,null,2024-06-11T15:59:37.361804406Z,true,2024-06-11T15:57:29.562514562Z,true,2024-06-11T15:57:29.562514562Z,terminated,2024-06-11T15:59:37.155001842Z,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]",2024-06-11T15:57:29.702226798Z,"[0,1,2,3]",2024-06-11T15:57:29.702226798Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T15:56:58.174620413Z,demo-comp-within,2024-06-11T15:56:58.174620413Z
01J040PA014XGMYAEPM0GRRBVR,2,2024-06-11T16:39:02.948283405Z,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:04:27.265995381Z,"[16,17,18,19]",2024-06-11T16:39:03.10093002Z,4,2024-06-11T16:39:03.10093002Z,comp-within,2024-06-11T16:39:03.10093002Z,true,2024-06-11T16:52:04.228850748Z,end of game,2024-06-11T16:52:04.251541617Z,01J040PA4R4KZJP9KZEG19JM8W,2024-06-11T16:04:27.419379197Z,true,2024-06-11T16:39:03.10093002Z,01J042KXHE8TXP3MC7JY19917S,2024-06-11T16:38:06.1330402Z,31,2024-06-11T16:39:03.10093002Z,1,2024-06-11T16:39:03.10093002Z,null,2024-06-11T16:52:04.228850748Z,true,2024-06-11T16:39:02.948283405Z,true,2024-06-11T16:39:02.948283405Z,ended,2024-06-11T16:52:04.251541617Z,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]",2024-06-11T16:39:03.10093002Z,"[0,1,2,3]",2024-06-11T16:39:03.10093002Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T16:04:27.265995381Z,demo-comp-within,2024-06-11T16:04:27.265995381Z
01J040PA04TYSXY3APSH6W68K0,2,2024-06-11T16:40:36.907746278Z,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:04:27.268732546Z,"[16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]",2024-06-11T16:40:37.104309491Z,4,2024-06-11T16:40:37.104309491Z,noncomp,2024-06-11T16:40:37.104309491Z,true,2024-06-11T17:12:44.207999594Z,end of game,2024-06-11T17:12:44.224297662Z,01J040PA3YPSN4J9HVTVRQV82X,2024-06-11T16:04:27.392716378Z,true,2024-06-11T16:40:37.104309491Z,01J042QS0XADPTGGXGAJPGWS48,2024-06-11T16:40:12.580973137Z,31,2024-06-11T16:40:37.104309491Z,1,2024-06-11T16:40:37.104309491Z,null,2024-06-11T17:12:44.207999594Z,true,2024-06-11T16:40:36.907746278Z,true,2024-06-11T16:40:36.907746278Z,ended,2024-06-11T17:12:44.224297662Z,"[[0,16],[1,17],[2,18],[3,19],[4,20],[5,21],[6,22],[7,23],[8,24],[9,25],[10,26],[11,27],[12,28],[13,29],[14,30],[15,31]]",2024-06-11T16:40:37.104309491Z,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",2024-06-11T16:40:37.104309491Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T16:04:27.268732546Z,demo-noncomp,2024-06-11T16:04:27.268732546Z
01J03X4YYSKP64RZB0GYTKGY80,2,2024-06-11T15:02:44.752361906Z,01J03X4YXYK0TYRA79BHHZWAX1,2024-06-11T15:02:33.177571765Z,"[16,17,18,19]",2024-06-11T15:02:44.950671065Z,4,2024-06-11T15:02:44.950671065Z,comp-between,2024-06-11T15:02:44.950671065Z,true,2024-06-11T15:19:32.382192284Z,batch ended,2024-06-11T15:19:32.202718298Z,01J03X4YZWCV59JY8EZD90VYZG,2024-06-11T15:02:33.216024505Z,true,2024-06-11T15:02:44.950671065Z,01J03X58MCMA6HQ979G17MSNN6,2024-06-11T15:02:43.093480096Z,63,2024-06-11T15:02:44.950671065Z,1,2024-06-11T15:02:44.950671065Z,null,2024-06-11T15:19:32.382192284Z,true,2024-06-11T15:02:44.752361906Z,true,2024-06-11T15:02:44.752361906Z,terminated,2024-06-11T15:19:32.202718298Z,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]",2024-06-11T15:02:44.950671065Z,"[0,1,2,3]",2024-06-11T15:02:44.950671065Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":20,""showNegativeFeedback"":1}",2024-06-11T15:02:33.177571765Z,demo-comp-between,2024-06-11T15:02:33.177571765Z
01J03XTTBKJ1XC0TE0DXQBY0SG,2,2024-06-11T15:14:56.176313534Z,01J03XTTARHPSJN4QH9P6F8KRV,2024-06-11T15:14:29.363512363Z,"[16,17,18,19]",2024-06-11T15:14:56.364578056Z,4,2024-06-11T15:14:56.364578056Z,comp-between,2024-06-11T15:14:56.364578056Z,true,2024-06-11T15:19:34.329004433Z,batch ended,2024-06-11T15:19:34.286748535Z,01J03XTTCS5656REHKXW7HZPJR,2024-06-11T15:14:29.405865532Z,true,2024-06-11T15:14:56.364578056Z,01J03XVDMEDWMHYN8Q4D6E3XVC,2024-06-11T15:14:49.113643324Z,63,2024-06-11T15:14:56.364578056Z,1,2024-06-11T15:14:56.364578056Z,null,2024-06-11T15:19:34.329004433Z,true,2024-06-11T15:14:56.176313534Z,true,2024-06-11T15:14:56.176313534Z,terminated,2024-06-11T15:19:34.286748535Z,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]",2024-06-11T15:14:56.364578056Z,"[0,1,2,3]",2024-06-11T15:14:56.364578056Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":20,""showNegativeFeedback"":1}",2024-06-11T15:14:29.363512363Z,demo-comp-between,2024-06-11T15:14:29.363512363Z
01J03Y5GN11CJ3N7W8K5WQG2Y0,2,2024-06-11T15:20:37.437055205Z,01J03Y5GM473RKT307CHVF30BC,2024-06-11T15:20:19.87383682Z,"[16,17,18,19]",2024-06-11T15:20:37.549888154Z,4,2024-06-11T15:20:37.549888154Z,comp-within,2024-06-11T15:20:37.549888154Z,true,2024-06-11T15:21:40.211747631Z,batch ended,2024-06-11T15:21:40.009611942Z,01J03Y5GPC7FK8ZZ9DKB89DKJA,2024-06-11T15:20:19.919808241Z,true,2024-06-11T15:20:37.549888154Z,01J03Y5Z8136RVTQZW101773Q2,2024-06-11T15:20:34.825175328Z,31,2024-06-11T15:20:37.549888154Z,1,2024-06-11T15:20:37.549888154Z,null,2024-06-11T15:21:40.211747631Z,true,2024-06-11T15:20:37.437055205Z,true,2024-06-11T15:20:37.437055205Z,terminated,2024-06-11T15:21:40.009611942Z,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]",2024-06-11T15:20:37.549888154Z,"[0,1,2,3]",2024-06-11T15:20:37.549888154Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":20,""showNegativeFeedback"":1}",2024-06-11T15:20:19.87383682Z,demo-comp-within,2024-06-11T15:20:19.87383682Z
