id,avatar,avatarLastChangedAt,bonus,bonusLastChangedAt,clicked,clickedLastChangedAt,ended,endedLastChangedAt,exitStepDone,exitStepDoneLastChangedAt,exitSurvey,exitSurveyLastChangedAt,gameID,gameIDLastChangedAt,intro,introLastChangedAt,introDone,introDoneLastChangedAt,name,nameLastChangedAt,nameColor,nameColorLastChangedAt,participantID,participantIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,partner,partnerLastChangedAt,role,roleLastChangedAt,score,scoreLastChangedAt,src,srcLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,urlParams,urlParamsLastChangedAt
01J03XV2NNHGH68E2ERMN3RTHS,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2024-06-11T15:14:56.364578056Z,0.090000,2024-06-11T15:15:28.212619764Z,,2024-06-11T15:15:35.079027433Z,no more games,2024-06-11T15:57:29.562514562Z,,,,,null,2024-06-11T16:45:27.878809485Z,1,2024-06-11T15:14:45.680379549Z,null,2024-06-11T15:23:29.783219046Z,Minu,2024-06-11T15:14:56.364578056Z,#444EA1,2024-06-11T15:14:56.364578056Z,01J03XV2BZK4350QGHM8Y80C90,2024-06-11T15:14:37.877331304Z,sdfgfds,2024-06-11T15:14:37.877331304Z,01J03XV0B57R4TFQQBXPKZYGW1,2024-06-11T15:14:56.364578056Z,listener,2024-06-11T15:18:55.984068097Z,0.090000,2024-06-11T15:15:28.212619764Z,/avatars/red.png,2024-06-11T15:14:56.364578056Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T15:56:59.815244975Z,demo-comp-within,2024-06-11T15:56:59.815244975Z,"{""participantKey"":""171761621dfgfd""}",2024-06-11T15:14:38.012923874Z
01J03Y5NR9K8SXVFTKEQKVH1HE,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2024-06-11T15:20:37.549888154Z,0,2024-06-11T15:20:37.549888154Z,,2024-06-11T15:20:39.352536957Z,no more games,2024-06-11T15:57:29.562514562Z,,,,,null,2024-06-11T16:45:27.878809485Z,1,2024-06-11T15:20:29.339429711Z,null,2024-06-11T15:23:28.940066572Z,Repi,2024-06-11T15:20:37.549888154Z,#29828D,2024-06-11T15:20:37.549888154Z,01J03Y5NERMQSWW73JF1DYC94G,2024-06-11T15:20:25.097970844Z,fsdgs,2024-06-11T15:20:25.097970844Z,01J03Y5QSWEA2P3CRDC8JB77HQ,2024-06-11T15:20:37.549888154Z,speaker,2024-06-11T15:20:59.43728713Z,0,2024-06-11T15:20:37.549888154Z,/avatars/blue.png,2024-06-11T15:20:37.549888154Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T15:56:59.815244975Z,demo-comp-within,2024-06-11T15:56:59.815244975Z,"{""participantKey"":""1717dfsfd61621ffgd""}",2024-06-11T15:20:25.374073232Z
01J04095TJQA1XG3103XPKRAMV,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2024-06-11T15:57:29.702226798Z,0.060000,2024-06-11T15:59:13.256459997Z,,2024-06-11T15:59:13.285974856Z,no more games,2024-06-11T16:37:06.783488947Z,,,,,null,2024-06-11T16:45:27.878809485Z,1,2024-06-11T15:57:21.456086166Z,null,2024-06-11T16:00:55.444831024Z,Repi,2024-06-11T15:57:29.702226798Z,#29828D,2024-06-11T15:57:29.702226798Z,01J04095HQ1HDGYENAARKAHJ64,2024-06-11T15:57:17.010807436Z,Abby,2024-06-11T15:57:17.010807436Z,01J04095V3TGFY9WB49TGK3EX0,2024-06-11T15:57:29.702226798Z,listener,2024-06-11T15:59:13.285974856Z,0.060000,2024-06-11T15:59:13.256459997Z,/avatars/blue.png,2024-06-11T15:57:29.702226798Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T16:37:10.175041364Z,demo-comp-within,2024-06-11T16:37:10.175041364Z,{},2024-06-11T15:57:17.175497847Z
01J042JFC6MZHDYQMJ4GQ0WG6E,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2024-06-11T16:39:03.10093002Z,0.930000,2024-06-11T16:52:04.217232704Z,/tangrams/3_17.png,2024-06-11T16:52:03.157288962Z,game ended,2024-06-11T16:52:04.266002278Z,true,2024-06-11T16:52:51.256267811Z,"{""age"":""19"",""gender"":""male"",""strength"":""coming up with labels"",""fair"":""yes"",""feedback"":"""",""education"":""high-school""}",2024-06-11T16:52:51.260771238Z,01J040PA014XGMYAEPM0GRRBVR,2024-06-11T16:37:18.863473078Z,1,2024-06-11T16:37:35.065496393Z,true,2024-06-11T16:39:02.939213925Z,Repi,2024-06-11T16:39:03.10093002Z,#29828D,2024-06-11T16:39:03.10093002Z,01J042JF46444S0XFA1DNTJ7J0,2024-06-11T16:37:18.85500293Z,plum,2024-06-11T16:37:18.85500293Z,01J042JG31ZY0FHVVSXGZXFX4T,2024-06-11T16:39:03.10093002Z,speaker,2024-06-11T16:51:43.243140781Z,0.930000,2024-06-11T16:52:04.217232704Z,/avatars/blue.png,2024-06-11T16:39:03.10093002Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T16:37:18.863473078Z,demo-comp-within,2024-06-11T16:37:18.863473078Z,{},2024-06-11T16:37:18.998527745Z
01J042KB07J8YBT7P3Q55XJKA4,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2024-06-11T16:39:19.577302658Z,0.930000,2024-06-11T16:51:43.905909304Z,/tangrams/3_17.png,2024-06-11T16:51:42.856822237Z,game ended,2024-06-11T16:51:43.959367926Z,true,2024-06-11T16:52:10.348046528Z,"{""age"":""20"",""gender"":""Male"",""strength"":""Pretty Good"",""fair"":""Yes"",""feedback"":"""",""education"":""bachelor""}",2024-06-11T16:52:10.352022122Z,01J040PA05WJE07E0XMPBVRQ15,2024-06-11T16:37:47.153175535Z,1,2024-06-11T16:37:51.151698521Z,true,2024-06-11T16:38:40.404768193Z,Repi,2024-06-11T16:39:19.577302658Z,#29828D,2024-06-11T16:39:19.577302658Z,01J042KARVVKW0CFP65WKTG8B8,2024-06-11T16:37:47.143084609Z,Artem,2024-06-11T16:37:47.143084609Z,01J042MX1G94MV9Y59EECN71PN,2024-06-11T16:39:19.577302658Z,speaker,2024-06-11T16:51:26.449482867Z,0.930000,2024-06-11T16:51:43.905909304Z,/avatars/blue.png,2024-06-11T16:39:19.577302658Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T16:37:47.153175535Z,demo-comp-between,2024-06-11T16:37:47.153175535Z,{},2024-06-11T16:37:47.280446893Z
01J03XV0B57R4TFQQBXPKZYGW1,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2024-06-11T15:14:56.364578056Z,0.090000,2024-06-11T15:15:28.212619764Z,,2024-06-11T15:15:35.079027433Z,no more games,2024-06-11T15:56:47.112821164Z,,,,,null,2024-06-11T16:45:27.878809485Z,1,2024-06-11T15:14:42.271509494Z,null,2024-06-11T15:23:30.598321926Z,Repi,2024-06-11T15:14:56.364578056Z,#29828D,2024-06-11T15:14:56.364578056Z,01J03XV03K2QD2338FCDQPWN81,2024-06-11T15:14:35.493959058Z,fgsfg,2024-06-11T15:14:35.493959058Z,01J03XV2NNHGH68E2ERMN3RTHS,2024-06-11T15:14:56.364578056Z,speaker,2024-06-11T15:18:55.984068097Z,0.090000,2024-06-11T15:15:28.212619764Z,/avatars/blue.png,2024-06-11T15:14:56.364578056Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T15:56:59.815244975Z,demo-comp-within,2024-06-11T15:56:59.815244975Z,"{""participantKey"":""171761621""}",2024-06-11T15:14:35.771995619Z
01J03Y9T5QC8VV5YMRT1E969VR,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2024-06-11T15:22:48.054837846Z,0.030000,2024-06-11T15:22:56.434788295Z,,2024-06-11T15:23:11.596026032Z,no more games,2024-06-11T15:57:29.562514562Z,,,,,null,2024-06-11T16:45:27.878809485Z,1,2024-06-11T15:22:44.605702885Z,null,2024-06-11T15:23:46.03223048Z,Minu,2024-06-11T15:22:48.054837846Z,#444EA1,2024-06-11T15:22:48.054837846Z,01J03Y9SXRV7GDYBBAXC0TZP10,2024-06-11T15:22:40.695354728Z,jhjgk,2024-06-11T15:22:40.695354728Z,01J03Y9RDXGFP2DQFTNZXXPNES,2024-06-11T15:22:48.054837846Z,speaker,2024-06-11T15:23:11.596026032Z,0.030000,2024-06-11T15:22:56.434788295Z,/avatars/red.png,2024-06-11T15:22:48.054837846Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T15:56:59.815244975Z,demo-comp-within,2024-06-11T15:56:59.815244975Z,"{""participantKey"":""1717dfsfdsss61621""}",2024-06-11T15:22:40.900395375Z
01J042JB8A2DCYDBAZ3HV9S10D,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2024-06-11T16:38:55.976195833Z,0.900000,2024-06-11T16:54:03.002298177Z,/tangrams/1_17.png,2024-06-11T16:54:01.936031462Z,game ended,2024-06-11T16:54:03.068642516Z,,,,,01J040PA014XGMYAEPKN4SPZBD,2024-06-11T16:37:14.645643888Z,1,2024-06-11T16:37:20.177524543Z,true,2024-06-11T16:38:55.858705785Z,Repi,2024-06-11T16:38:55.976195833Z,#29828D,2024-06-11T16:38:55.976195833Z,01J042JB0BNCH7KQ4SSQ1EPW0T,2024-06-11T16:37:14.634776542Z,Isaiah,2024-06-11T16:37:14.634776542Z,01J042JT6WPZS3ZND7A7738ZSY,2024-06-11T16:38:55.976195833Z,speaker,2024-06-11T16:53:49.260706033Z,0.900000,2024-06-11T16:54:03.002298177Z,/avatars/blue.png,2024-06-11T16:38:55.976195833Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T16:37:14.645643888Z,demo-comp-between,2024-06-11T16:37:14.645643888Z,{},2024-06-11T16:37:14.848340175Z
01J042JG31ZY0FHVVSXGZXFX4T,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2024-06-11T16:39:03.10093002Z,0.930000,2024-06-11T16:52:04.217232704Z,/tangrams/3_17.png,2024-06-11T16:52:03.152923343Z,game ended,2024-06-11T16:52:04.266002278Z,true,2024-06-11T16:52:29.234903422Z,"{""age"":""19"",""gender"":""M"",""strength"":""Good"",""fair"":""Yes"",""feedback"":""No problems "",""education"":""high-school""}",2024-06-11T16:52:29.231348156Z,01J040PA014XGMYAEPM0GRRBVR,2024-06-11T16:37:19.596281147Z,1,2024-06-11T16:37:24.969205057Z,true,2024-06-11T16:38:06.120096205Z,Minu,2024-06-11T16:39:03.10093002Z,#444EA1,2024-06-11T16:39:03.10093002Z,01J042JFV83DMYGZNCM18HTYDX,2024-06-11T16:37:19.585231099Z,senyi,2024-06-11T16:37:19.585231099Z,01J042JFC6MZHDYQMJ4GQ0WG6E,2024-06-11T16:39:03.10093002Z,listener,2024-06-11T16:51:43.243140781Z,0.930000,2024-06-11T16:52:04.217232704Z,/avatars/red.png,2024-06-11T16:39:03.10093002Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T16:37:19.596281147Z,demo-comp-within,2024-06-11T16:37:19.596281147Z,{},2024-06-11T16:37:19.722919501Z
01J042JJ2AZGR4W45KNNF3E85J,,,,,,,no more games,2024-06-11T16:39:02.948283405Z,,,,,null,2024-06-11T16:45:27.878809485Z,1,2024-06-11T16:37:24.028511235Z,,,,,,,01J042JHV36DMT7QED17EHVHBD,2024-06-11T16:37:21.610909826Z,ashrita,2024-06-11T16:37:21.610909826Z,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-within"",""numRepetitionsWithPartner"":2,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-11T16:37:21.619068127Z,demo-comp-within,2024-06-11T16:37:21.619068127Z,{},2024-06-11T16:37:21.742938613Z
