id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt
01J03X5A8PGDPXTZQF4KR2WZZW,01J03X4YXYK0TYRA79BHHZWAX1,2024-06-11T15:02:44.75863433Z,01J03X4YYSKP64RZB0GYTKGY80,2024-06-11T15:02:44.75863433Z,01J03X55JSXT0VAV6HARBGF6MD,2024-06-11T15:02:44.75863433Z
01J03XVMHTG834Y5TQN7N1BWW0,01J03XTTARHPSJN4QH9P6F8KRV,2024-06-11T15:14:56.186305646Z,01J03XTTBKJ1XC0TE0DXQBY0SG,2024-06-11T15:14:56.186305646Z,01J03XV2NNHGH68E2ERMN3RTHS,2024-06-11T15:14:56.186305646Z
01J03Y61T875TF06FXJVZ9GRCT,01J03Y5GM473RKT307CHVF30BC,2024-06-11T15:20:37.44811029Z,01J03Y5GN11CJ3N7W8K5WQG2Y0,2024-06-11T15:20:37.44811029Z,01J03Y5NR9K8SXVFTKEQKVH1HE,2024-06-11T15:20:37.44811029Z
01J042NE3WM47J4MDZQTJ9XR5F,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:38:55.86878709Z,01J040PA014XGMYAEPKN4SPZBD,2024-06-11T16:38:55.86878709Z,01J042JB8A2DCYDBAZ3HV9S10D,2024-06-11T16:38:55.86878709Z
01J042NE3XV40AGEEBA9MF3MFC,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:38:55.869572265Z,01J040PA014XGMYAEPKN4SPZBD,2024-06-11T16:38:55.869572265Z,01J042JT6WPZS3ZND7A7738ZSY,2024-06-11T16:38:55.869572265Z
01J042NN1Y147J5C5C44AVSTNN,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:39:02.974219126Z,01J040PA014XGMYAEPM0GRRBVR,2024-06-11T16:39:02.974219126Z,01J042JFC6MZHDYQMJ4GQ0WG6E,2024-06-11T16:39:02.974219126Z
01J042P5691JKKDP8GSYTA85M3,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:39:19.49749954Z,01J040PA05WJE07E0XMPBVRQ15,2024-06-11T16:39:19.49749954Z,01J042MX1G94MV9Y59EECN71PN,2024-06-11T16:39:19.49749954Z
01J03YA18V1BRY67AQZG7QBQBZ,01J03Y967TCNPP237P3PJJV9XT,2024-06-11T15:22:47.963069398Z,01J03Y968R6F0X8KGV3DNS0PP8,2024-06-11T15:22:47.963069398Z,01J03Y9T5QC8VV5YMRT1E969VR,2024-06-11T15:22:47.963069398Z
01J042P56847464M7S37TZJJJP,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:39:19.496167061Z,01J040PA05WJE07E0XMPBVRQ15,2024-06-11T16:39:19.496167061Z,01J042KB07J8YBT7P3Q55XJKA4,2024-06-11T16:39:19.496167061Z
01J03XVMHSY3N7Z044XAEACXHN,01J03XTTARHPSJN4QH9P6F8KRV,2024-06-11T15:14:56.185891701Z,01J03XTTBKJ1XC0TE0DXQBY0SG,2024-06-11T15:14:56.185891701Z,01J03XV0B57R4TFQQBXPKZYGW1,2024-06-11T15:14:56.185891701Z
