id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt
01J03XZ9034DZP5AY7ZQAKQVCF,01J03XTTARHPSJN4QH9P6F8KRV,2024-06-11T15:16:55.427439315Z,01J03XTTBKJ1XC0TE0DXQBY0SG,2024-06-11T15:16:55.427439315Z,01J03XV2NNHGH68E2ERMN3RTHS,2024-06-11T15:16:55.427439315Z,01J03XVMPTGXVQH3P5GX3X7SCK,2024-06-11T15:16:55.427439315Z
01J04389RPA80DJ7BPQMNCXT2M,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:49:14.006265484Z,01J040PA014XGMYAEPKN4SPZBD,2024-06-11T16:49:14.006265484Z,01J042JB8A2DCYDBAZ3HV9S10D,2024-06-11T16:49:14.006265484Z,01J042NE6ZQK7JSXV0FYS74HGT,2024-06-11T16:49:14.006265484Z
01J0439WWTRSB4K2KDA23Z1JX2,01J0430QZR39AM3HSG6HQT3D8N,2024-06-11T16:50:06.362228534Z,01J0430R0E3M1BVDN8PR15AXGB,2024-06-11T16:50:06.362228534Z,01J0431AJ55NGAMMR47B8WWHK4,2024-06-11T16:50:06.362228534Z,01J0431D2APZAM4JFRBB6QV0QX,2024-06-11T16:50:06.362228534Z
01J043BNC7AVEGW222GS0E5FFC,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:51:04.199802223Z,01J040PA014XGMYAEPKN4SPZBD,2024-06-11T16:51:04.199802223Z,01J042JT6WPZS3ZND7A7738ZSY,2024-06-11T16:51:04.199802223Z,01J042NE6K585PC866QY3JCGEF,2024-06-11T16:51:04.199802223Z
01J043Z4VWXE24RP9EMG1095NG,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T17:01:42.652836392Z,01J040PA04TYSXY3APSH6W68K0,2024-06-11T17:01:42.652836392Z,01J042QKDVTH2GV2PAHW5PC57E,2024-06-11T17:01:42.652836392Z,01J042RGYX36921THYEHT34J6D,2024-06-11T17:01:42.652836392Z
01J03XY1RMYRW13V5ZNVSRXHBG,01J03XTTARHPSJN4QH9P6F8KRV,2024-06-11T15:16:15.252182499Z,01J03XTTBKJ1XC0TE0DXQBY0SG,2024-06-11T15:16:15.252182499Z,01J03XV2NNHGH68E2ERMN3RTHS,2024-06-11T15:16:15.252182499Z,01J03XVMPPTGB2H35B4VK3NRDZ,2024-06-11T15:16:15.252182499Z
01J043AHH44ZDDCGDPQVQE4CHX,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:50:27.493048751Z,01J040PA05WJE07E0XMPBVRQ15,2024-06-11T16:50:27.493048751Z,01J042KB07J8YBT7P3Q55XJKA4,2024-06-11T16:50:27.493048751Z,01J042P590RKX5DRAEZYDJEW4N,2024-06-11T16:50:27.493048751Z
01J043G55754EESHYS6BCGB0C0,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:53:31.431528498Z,01J040PA014XGMYAEPKN4SPZBD,2024-06-11T16:53:31.431528498Z,01J042JT6WPZS3ZND7A7738ZSY,2024-06-11T16:53:31.431528498Z,01J042NE7G8ASYNXGBZSRRQB81,2024-06-11T16:53:31.431528498Z
01J04322NWDJ16DM2MGCC64ZMH,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:45:50.140274411Z,01J040PA05WJE07E0XMA3Y2SEY,2024-06-11T16:45:50.140274411Z,01J042JEX1D79G227SPAQTF0SW,2024-06-11T16:45:50.140274411Z,01J042MPHX2EYCYJGAN1EQEDNQ,2024-06-11T16:45:50.140274411Z
01J042TE60C0GKESB36MFCDEQ2,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:41:39.776597308Z,01J040PA04TYSXY3APSH6W68K0,2024-06-11T16:41:39.776597308Z,01J042RE0X72TC809DEQG8S440,2024-06-11T16:41:39.776597308Z,01J042RGX2B8S8D3TA77JYRCD8,2024-06-11T16:41:39.776597308Z
01J042YGJKK7BYHBSX3QNV5PE3,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:43:53.299707548Z,01J040PA014XGMYAEPKN4SPZBD,2024-06-11T16:43:53.299707548Z,01J042JB8A2DCYDBAZ3HV9S10D,2024-06-11T16:43:53.299707548Z,01J042NE6QXHBESSHNP18NGWA2,2024-06-11T16:43:53.299707548Z
01J043AHH09TRYANT6T8JMXHZ2,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:50:27.489029814Z,01J040PA05WJE07E0XMPBVRQ15,2024-06-11T16:50:27.489029814Z,01J042MX1G94MV9Y59EECN71PN,2024-06-11T16:50:27.489029814Z,01J042P590RKX5DRAEZYDJEW4N,2024-06-11T16:50:27.489029814Z
01J03XW7R6YEBA7P0T3FKZR18G,01J03XTTARHPSJN4QH9P6F8KRV,2024-06-11T15:15:15.846517151Z,01J03XTTBKJ1XC0TE0DXQBY0SG,2024-06-11T15:15:15.846517151Z,01J03XV0B57R4TFQQBXPKZYGW1,2024-06-11T15:15:15.846517151Z,01J03XVMPG3WXVYS0NTEPWADD2,2024-06-11T15:15:15.846517151Z
01J0438C6AFW6WTYY4RAE9RE2F,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:49:16.490854307Z,01J040PA05WJE07E0XMA3Y2SEY,2024-06-11T16:49:16.490854307Z,01J042JANA9P3QE1K69TE0ZT0J,2024-06-11T16:49:16.490854307Z,01J042MPJ8EAC7R945FD6HA5FS,2024-06-11T16:49:16.490854307Z
01J043J9KHGQNCSJSE5KGXDQX9,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:54:41.521877512Z,01J040PA04TYSXY3APSH6W68K0,2024-06-11T16:54:41.521877512Z,01J042RE0X72TC809DEQG8S440,2024-06-11T16:54:41.521877512Z,01J042RGYBF41PFZEP7NQSE47Q,2024-06-11T16:54:41.521877512Z
01J0436GC09F52WNPPGPS28VM9,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:48:15.232176991Z,01J040PA05WJE07E0XMA3Y2SEY,2024-06-11T16:48:15.232176991Z,01J042JEX1D79G227SPAQTF0SW,2024-06-11T16:48:15.232176991Z,01J042MPHZSQ195Y2DWFW33MQF,2024-06-11T16:48:15.232176991Z
01J03XZWMGJA553EKWFGBQN0W1,01J03XTTARHPSJN4QH9P6F8KRV,2024-06-11T15:17:15.536396273Z,01J03XTTBKJ1XC0TE0DXQBY0SG,2024-06-11T15:17:15.536396273Z,01J03XV0B57R4TFQQBXPKZYGW1,2024-06-11T15:17:15.536396273Z,01J03XVMPV6G9ZM2JN5818SRYJ,2024-06-11T15:17:15.536396273Z
01J042ST56X4JBA4JCFNQB15PR,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:41:19.270607149Z,01J040PA014XGMYAEPM0GRRBVR,2024-06-11T16:41:19.270607149Z,01J042JG31ZY0FHVVSXGZXFX4T,2024-06-11T16:41:19.270607149Z,01J042NN96XHPBMRJQ4J125ZXH,2024-06-11T16:41:19.270607149Z
01J04357X8HDP3RXC8XTE9W7XT,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:47:33.800828422Z,01J040PA05WJE07E0XMA3Y2SEY,2024-06-11T16:47:33.800828422Z,01J042JEX1D79G227SPAQTF0SW,2024-06-11T16:47:33.800828422Z,01J042MPJAX1PATKK4SBX7RZGG,2024-06-11T16:47:33.800828422Z
01J043EM3TZ8SHAMPVVTZBSKMF,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:52:41.211025938Z,01J040PA04TYSXY3APSH6W68K0,2024-06-11T16:52:41.211025938Z,01J042QKDVTH2GV2PAHW5PC57E,2024-06-11T16:52:41.211025938Z,01J042RGY6ZAAK90DE5TZNRGDZ,2024-06-11T16:52:41.211025938Z
01J03XA4K25QDAH0XC8ZD6GXVQ,01J03X4YXYK0TYRA79BHHZWAX1,2024-06-11T15:05:22.786673394Z,01J03X4YYSKP64RZB0GYTKGY80,2024-06-11T15:05:22.786673394Z,01J03X55JSXT0VAV6HARBGF6MD,2024-06-11T15:05:22.786673394Z,01J03X5AEM3C24BTD75327AEBH,2024-06-11T15:05:22.786673394Z
01J042WT9WEXW8WE4HYWTQ3R39,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:42:57.724350197Z,01J040PA05WJE07E0XMA3Y2SEY,2024-06-11T16:42:57.724350197Z,01J042JANA9P3QE1K69TE0ZT0J,2024-06-11T16:42:57.724350197Z,01J042MPGXZ2V75DW1A6G6P7RP,2024-06-11T16:42:57.724350197Z
01J04330EHTZGK7VRH6PEFZXZG,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:46:20.625322489Z,01J040PA05WJE07E0XMA3Y2SEY,2024-06-11T16:46:20.625322489Z,01J042JEX1D79G227SPAQTF0SW,2024-06-11T16:46:20.625322489Z,01J042MPJ1KJNR2ZMTKWSQW7GP,2024-06-11T16:46:20.625322489Z
01J043CB2WQPRVR2XDTE019PJ1,01J040P9Z65A6GDAXM8Q9Y76XR,2024-06-11T16:51:26.428690595Z,01J040PA05WJE07E0XMPBVRQ15,2024-06-11T16:51:26.428690595Z,01J042MX1G94MV9Y59EECN71PN,2024-06-11T16:51:26.428690595Z,01J042P58X1H4ZJCGK5ERVZBFN,2024-06-11T16:51:26.428690595Z
01J043R3ZZFVFRYBK35ZWM0V10,01J0430QZR39AM3HSG6HQT3D8N,2024-06-11T16:57:52.383728302Z,01J0430R0E3M1BVDN8PR15AXGB,2024-06-11T16:57:52.383728302Z,01J0431AJ55NGAMMR47B8WWHK4,2024-06-11T16:57:52.383728302Z,01J0431D2M05PCP53N8PEVHF65,2024-06-11T16:57:52.383728302Z
01J03X60ZGH54V6HAMAZME5ZPY,01J03X4YXYK0TYRA79BHHZWAX1,2024-06-11T15:03:08.016614994Z,01J03X4YYSKP64RZB0GYTKGY80,2024-06-11T15:03:08.016614994Z,01J03X53N1CJ0HJEV55AMSTRM6,2024-06-11T15:03:08.016614994Z,01J03X5ADFE2RTH9112RZ3TZKJ,2024-06-11T15:03:08.016614994Z
01J043PGKA4FP37HFXDY8T67Q1,01J0430QZR39AM3HSG6HQT3D8N,2024-06-11T16:56:59.754883469Z,01J0430R0E3M1BVDN8PR15AXGB,2024-06-11T16:56:59.754883469Z,01J04318V1CQ18NDZYS70RXZ42,2024-06-11T16:56:59.754883469Z,01J0431D3NNC5QAT64P9HCQD90,2024-06-11T16:56:59.754883469Z
01J040A6DWNG6XVPV908BY23FC,01J0408KD6EWMVEQV4N99654BD,2024-06-11T15:57:50.396548302Z,01J0408KDYV5BVVZP6R2H59FV8,2024-06-11T15:57:50.396548302Z,01J04095TJQA1XG3103XPKRAMV,2024-06-11T15:57:50.396548302Z,01J0409J5YPBRYKCSXAPEWGPK9,2024-06-11T15:57:50.396548302Z
