id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,bottomTangrams,bottomTangramsLastChangedAt,contextSize,contextSizeLastChangedAt,contextStructure,contextStructureLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,justStarted,justStartedLastChangedAt,maxTimeout,maxTimeoutLastChangedAt,roundIndex,roundIndexLastChangedAt,showNegativeFeedback,showNegativeFeedbackLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,targets,targetsLastChangedAt,topTangrams,topTangramsLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01J1G0KV0T7D3WGBCNEGF6N0QC,,,01J1G0KTZT9PGNRDBFNQVWGS4N,2024-06-28T18:09:41.402258245Z,,,,,,,false,2024-06-28T18:09:41.402258245Z,batch ended,2024-06-28T18:31:53.368992588Z,01J1G0KV2NNC5RAAPQPHM5WBZ6,2024-06-28T18:09:41.464096844Z,,,,,,,,,,,false,2024-06-28T18:09:41.402258245Z,,,terminated,2024-06-28T18:31:53.368992588Z,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":2,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T18:09:41.402258245Z,full-comp-between,2024-06-28T18:09:41.402258245Z
01J1G1WHT9T93BKEMYX1GA4C93,2,2024-06-28T18:43:50.072025327Z,01J1G1WHSGH86TY9ERYRE7DDTW,2024-06-28T18:31:55.465377703Z,"[16,17,18,19]",2024-06-28T18:43:50.212060622Z,4,2024-06-28T18:43:50.212060622Z,comp-within,2024-06-28T18:43:50.212060622Z,true,2024-06-28T19:12:00.400607161Z,end of game,2024-06-28T19:12:00.468641166Z,01J1G1WHWGC59FADDZMCFT12G8,2024-06-28T18:31:55.539358739Z,true,2024-06-28T18:43:50.212060622Z,2,2024-06-28T18:43:50.212060622Z,63,2024-06-28T18:43:50.212060622Z,1,2024-06-28T18:43:50.212060622Z,null,2024-06-28T19:12:00.400607161Z,true,2024-06-28T18:43:50.072025327Z,true,2024-06-28T18:43:50.072025327Z,ended,2024-06-28T19:12:00.468641166Z,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]",2024-06-28T18:43:50.212060622Z,"[0,1,2,3]",2024-06-28T18:43:50.212060622Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":2,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T18:31:55.465377703Z,full-comp-within,2024-06-28T18:31:55.465377703Z
01J1G2BFNZX85J152SRG2XMJ7M,2,2024-06-28T18:58:11.185642115Z,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T18:40:04.799647789Z,"[16,17,18,19]",2024-06-28T18:58:11.373220326Z,4,2024-06-28T18:58:11.373220326Z,comp-between,2024-06-28T18:58:11.373220326Z,true,2024-06-28T19:20:08.553130333Z,end of game,2024-06-28T19:20:08.612809957Z,01J1G2BFR3AM8E5GRP9AJV7828,2024-06-28T18:40:04.872225658Z,true,2024-06-28T18:58:11.373220326Z,2,2024-06-28T18:58:11.373220326Z,63,2024-06-28T18:58:11.373220326Z,1,2024-06-28T18:58:11.373220326Z,null,2024-06-28T19:20:08.553130333Z,true,2024-06-28T18:58:11.185642115Z,true,2024-06-28T18:58:11.185642115Z,ended,2024-06-28T19:20:08.612809957Z,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]",2024-06-28T18:58:11.373220326Z,"[0,1,2,3]",2024-06-28T18:58:11.373220326Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":2,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T18:40:04.799647789Z,full-comp-between,2024-06-28T18:40:04.799647789Z
01J1G2BFP1PWCGVSRMBF7V50Z5,2,2024-06-28T18:44:22.700497896Z,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T18:40:04.801083007Z,"[16,17,18,19]",2024-06-28T18:44:22.896547859Z,4,2024-06-28T18:44:22.896547859Z,comp-within,2024-06-28T18:44:22.896547859Z,true,2024-06-28T19:13:31.229123418Z,end of game,2024-06-28T19:13:31.277248501Z,01J1G2BFTAP7D1W720J11BEPN2,2024-06-28T18:40:04.945494353Z,true,2024-06-28T18:44:22.896547859Z,2,2024-06-28T18:44:22.896547859Z,63,2024-06-28T18:44:22.896547859Z,1,2024-06-28T18:44:22.896547859Z,null,2024-06-28T19:13:31.229123418Z,true,2024-06-28T18:44:22.700497896Z,true,2024-06-28T18:44:22.700497896Z,ended,2024-06-28T19:13:31.277248501Z,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]",2024-06-28T18:44:22.896547859Z,"[0,1,2,3]",2024-06-28T18:44:22.896547859Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":2,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T18:40:04.801083007Z,full-comp-within,2024-06-28T18:40:04.801083007Z
01J1G2YKN01DFX61RSJD6JCCFB,2,2024-06-28T18:59:09.588300934Z,01J1G2YKKY64N5QWXBZ4KNKWBC,2024-06-28T18:50:31.456488899Z,"[16,17,18,19]",2024-06-28T18:59:10.229587544Z,4,2024-06-28T18:59:10.229587544Z,comp-between,2024-06-28T18:59:10.229587544Z,true,2024-06-28T19:28:54.347410573Z,end of game,2024-06-28T19:28:54.40381417Z,01J1G2YKPT89R838NZ7W67Z541,2024-06-28T18:50:31.521020936Z,true,2024-06-28T18:59:10.229587544Z,2,2024-06-28T18:59:10.229587544Z,63,2024-06-28T18:59:10.229587544Z,1,2024-06-28T18:59:10.229587544Z,null,2024-06-28T19:28:54.347410573Z,true,2024-06-28T18:59:09.588300934Z,true,2024-06-28T18:59:09.588300934Z,ended,2024-06-28T19:28:54.40381417Z,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]",2024-06-28T18:59:10.229587544Z,"[0,1,2,3]",2024-06-28T18:59:10.229587544Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":2,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T18:50:31.456488899Z,full-comp-between,2024-06-28T18:50:31.456488899Z
01J1G0KV0T7D3WGBCNERC9V0YF,,,01J1G0KTZT9PGNRDBFNQVWGS4N,2024-06-28T18:09:41.402877259Z,,,,,,,false,2024-06-28T18:09:41.402877259Z,batch ended,2024-06-28T18:31:53.368992588Z,01J1G0KV1WS30TZ28SQ6VCPD92,2024-06-28T18:09:41.44110761Z,,,,,,,,,,,false,2024-06-28T18:09:41.402877259Z,,,terminated,2024-06-28T18:31:53.368992588Z,,,,,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":2,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T18:09:41.402877259Z,full-noncomp,2024-06-28T18:09:41.402877259Z
01J1G0KV0WY5ZGHA014RVTCHJF,,,01J1G0KTZT9PGNRDBFNQVWGS4N,2024-06-28T18:09:41.404900513Z,,,,,,,false,2024-06-28T18:09:41.404900513Z,batch ended,2024-06-28T18:31:53.368992588Z,01J1G0KV3964S889D19VH6JZZ9,2024-06-28T18:09:41.484314788Z,,,,,,,,,,,false,2024-06-28T18:09:41.404900513Z,,,terminated,2024-06-28T18:31:53.368992588Z,,,,,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":2,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T18:09:41.404900513Z,full-comp-within,2024-06-28T18:09:41.404900513Z
01J1G1WHT4GZEZV213005AZ1MM,2,2024-06-28T18:43:42.885201324Z,01J1G1WHSGH86TY9ERYRE7DDTW,2024-06-28T18:31:55.46100858Z,"[16,17,18,19]",2024-06-28T18:43:43.076657046Z,4,2024-06-28T18:43:43.076657046Z,comp-between,2024-06-28T18:43:43.076657046Z,true,2024-06-28T19:32:37.469817295Z,batch ended,2024-06-28T19:32:37.288754416Z,01J1G1WHVECFYFS9FN31X2DY60,2024-06-28T18:31:55.506872634Z,true,2024-06-28T18:43:43.076657046Z,2,2024-06-28T18:43:43.076657046Z,63,2024-06-28T18:43:43.076657046Z,1,2024-06-28T18:43:43.076657046Z,null,2024-06-28T19:32:37.469817295Z,true,2024-06-28T18:43:42.885201324Z,true,2024-06-28T18:43:42.885201324Z,terminated,2024-06-28T19:32:37.288754416Z,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]",2024-06-28T18:43:43.076657046Z,"[0,1,2,3]",2024-06-28T18:43:43.076657046Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":2,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T18:31:55.46100858Z,full-comp-between,2024-06-28T18:31:55.46100858Z
01J1G1WHTAFKTGHBG3KKSCJSTE,2,2024-06-28T18:49:08.013023823Z,01J1G1WHSGH86TY9ERYRE7DDTW,2024-06-28T18:31:55.466526081Z,"[16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]",2024-06-28T18:49:08.268292899Z,4,2024-06-28T18:49:08.268292899Z,noncomp,2024-06-28T18:49:08.268292899Z,true,2024-06-28T19:12:15.542224012Z,end of game,2024-06-28T19:12:15.587893945Z,01J1G1WHXAKSNCE4S1C18WMERY,2024-06-28T18:31:55.565818703Z,true,2024-06-28T18:49:08.268292899Z,2,2024-06-28T18:49:08.268292899Z,63,2024-06-28T18:49:08.268292899Z,1,2024-06-28T18:49:08.268292899Z,null,2024-06-28T19:12:15.542224012Z,true,2024-06-28T18:49:08.013023823Z,true,2024-06-28T18:49:08.013023823Z,ended,2024-06-28T19:12:15.587893945Z,"[[0,16],[1,17],[2,18],[3,19],[4,20],[5,21],[6,22],[7,23],[8,24],[9,25],[10,26],[11,27],[12,28],[13,29],[14,30],[15,31]]",2024-06-28T18:49:08.268292899Z,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",2024-06-28T18:49:08.268292899Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":2,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T18:31:55.466526081Z,full-noncomp,2024-06-28T18:31:55.466526081Z
01J1G2BFP2D4J7V9H0V3XJEAHQ,2,2024-06-28T18:50:40.972628457Z,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T18:40:04.80245793Z,"[16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]",2024-06-28T18:50:41.32966591Z,4,2024-06-28T18:50:41.32966591Z,noncomp,2024-06-28T18:50:41.32966591Z,true,2024-06-28T19:08:15.542815044Z,end of game,2024-06-28T19:08:15.58485198Z,01J1G2BFW24582V20924Z8FH30,2024-06-28T18:40:04.99852959Z,true,2024-06-28T18:50:41.32966591Z,2,2024-06-28T18:50:41.32966591Z,63,2024-06-28T18:50:41.32966591Z,1,2024-06-28T18:50:41.32966591Z,null,2024-06-28T19:08:15.542815044Z,true,2024-06-28T18:50:40.972628457Z,true,2024-06-28T18:50:40.972628457Z,ended,2024-06-28T19:08:15.58485198Z,"[[0,16],[1,17],[2,18],[3,19],[4,20],[5,21],[6,22],[7,23],[8,24],[9,25],[10,26],[11,27],[12,28],[13,29],[14,30],[15,31]]",2024-06-28T18:50:41.32966591Z,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",2024-06-28T18:50:41.32966591Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":2,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T18:40:04.80245793Z,full-noncomp,2024-06-28T18:40:04.80245793Z
