id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt
01J1G3F08R6FXQK26D2FXGJEWE,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T18:59:28.664592944Z,01J1G2BFNZX85J152SRG2XMJ7M,2024-06-28T18:59:28.664592944Z,01J1G36TYQ8DBDFBXF2TT5T4JT,2024-06-28T18:59:28.664592944Z,01J1G3CMRWD6EPBEZ8SFHNCW8E,2024-06-28T18:59:28.664592944Z
01J1G34CJMERVZ0NGFP5ESYN6D,01J1G1WHSGH86TY9ERYRE7DDTW,2024-06-28T18:53:40.820787118Z,01J1G1WHT9T93BKEMYX1GA4C93,2024-06-28T18:53:40.820787118Z,01J1G28YDBHJP9AHTMTEE3RA7E,2024-06-28T18:53:40.820787118Z,01J1G2JBRWXWR3DE53QXM9PJQH,2024-06-28T18:53:40.820787118Z
01J1G3SQ376WJB6YDPYWA1T40E,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T19:05:19.719248172Z,01J1G2BFNZX85J152SRG2XMJ7M,2024-06-28T19:05:19.719248172Z,01J1G2EZDQFBSKJ15KW9KM1SPD,2024-06-28T19:05:19.719248172Z,01J1G3CN10Z0E0Q55578VPV10J,2024-06-28T19:05:19.719248172Z
01J1G3S1D5WDPME8GPD8XPZY33,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T19:04:57.509612847Z,01J1G2BFP2D4J7V9H0V3XJEAHQ,2024-06-28T19:04:57.509612847Z,01J1G2RV8EK2KYFBN5MV3JDGVZ,2024-06-28T19:04:57.509612847Z,01J1G2YX72X3CCP9G08MAM9MPF,2024-06-28T19:04:57.509612847Z
01J1G4PYQAA4E2X2TCPTDQCPGA,01J1G2YKKY64N5QWXBZ4KNKWBC,2024-06-28T19:21:17.802109117Z,01J1G2YKN01DFX61RSJD6JCCFB,2024-06-28T19:21:17.802109117Z,01J1G38P2XZ2TM9P4M66872N8Y,2024-06-28T19:21:17.802109117Z,01J1G3EE42HXM7X2QFE0VEGYMX,2024-06-28T19:21:17.802109117Z
01J1G414NMWZ83MH2MRTWX8T2D,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T19:09:22.996896385Z,01J1G2BFP1PWCGVSRMBF7V50Z5,2024-06-28T19:09:22.996896385Z,01J1G29ZSQ2H4YGFV8J1JR7MDK,2024-06-28T19:09:22.996896385Z,01J1G2KBQ4EBCTXKMS189JS44B,2024-06-28T19:09:22.996896385Z
01J1G4AQK0Y8X2NAJPH0V9BPMA,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T19:14:37.280227757Z,01J1G2BFNZX85J152SRG2XMJ7M,2024-06-28T19:14:37.280227757Z,01J1G2EZDQFBSKJ15KW9KM1SPD,2024-06-28T19:14:37.280227757Z,01J1G3CMWDYFFP712MNA5DZRTR,2024-06-28T19:14:37.280227757Z
01J1G3RF19F4N3W9Q0ZYAED389,01J1G2YKKY64N5QWXBZ4KNKWBC,2024-06-28T19:04:38.697484581Z,01J1G2YKN01DFX61RSJD6JCCFB,2024-06-28T19:04:38.697484581Z,01J1G38P2XZ2TM9P4M66872N8Y,2024-06-28T19:04:38.697484581Z,01J1G3EDTSGG19RGH2PAFR4XBE,2024-06-28T19:04:38.697484581Z
01J1G3SQ3G6KTQK8VGY86ZYQ1M,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T19:05:19.728495891Z,01J1G2BFNZX85J152SRG2XMJ7M,2024-06-28T19:05:19.728495891Z,01J1G36TYQ8DBDFBXF2TT5T4JT,2024-06-28T19:05:19.728495891Z,01J1G3CN10Z0E0Q55578VPV10J,2024-06-28T19:05:19.728495891Z
01J1G3XZ6M50JD2FZ84Z1BKE3K,01J1G1WHSGH86TY9ERYRE7DDTW,2024-06-28T19:07:39.09229734Z,01J1G1WHT9T93BKEMYX1GA4C93,2024-06-28T19:07:39.09229734Z,01J1G20MXD2JXJMM31WQFG1M43,2024-06-28T19:07:39.09229734Z,01J1G2JBSS23HMTQ3H8VS71HVG,2024-06-28T19:07:39.09229734Z
01J1G2VHT49QW9APN706A4MEW7,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T18:48:51.268978881Z,01J1G2BFP1PWCGVSRMBF7V50Z5,2024-06-28T18:48:51.268978881Z,01J1G2C0TJNERKCDPC78DA8EN3,2024-06-28T18:48:51.268978881Z,01J1G2KBNJ99QMEC8070PKC9GR,2024-06-28T18:48:51.268978881Z
01J1G3F08DFZACET0SARD0WKP0,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T18:59:28.653507769Z,01J1G2BFNZX85J152SRG2XMJ7M,2024-06-28T18:59:28.653507769Z,01J1G2EZDQFBSKJ15KW9KM1SPD,2024-06-28T18:59:28.653507769Z,01J1G3CMRWD6EPBEZ8SFHNCW8E,2024-06-28T18:59:28.653507769Z
01J1G3NWQ28T36BTKM2JHAM66H,01J1G2YKKY64N5QWXBZ4KNKWBC,2024-06-28T19:03:14.402605835Z,01J1G2YKN01DFX61RSJD6JCCFB,2024-06-28T19:03:14.402605835Z,01J1G38P2XZ2TM9P4M66872N8Y,2024-06-28T19:03:14.402605835Z,01J1G3EDTKGDKQE7RTYYBR5KM1,2024-06-28T19:03:14.402605835Z
01J1G3QF1HG39PH7KKQRH95DJS,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T19:04:05.937756884Z,01J1G2BFP2D4J7V9H0V3XJEAHQ,2024-06-28T19:04:05.937756884Z,01J1G2T8HB1GEVF048FFA2RHEY,2024-06-28T19:04:05.937756884Z,01J1G2YX6MB54KPEAJSVYGGRA6,2024-06-28T19:04:05.937756884Z
01J1G3QSME62T0CK4RZTP8A43M,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T19:04:16.782067788Z,01J1G2BFP2D4J7V9H0V3XJEAHQ,2024-06-28T19:04:16.782067788Z,01J1G2RV8EK2KYFBN5MV3JDGVZ,2024-06-28T19:04:16.782067788Z,01J1G2YX6QHVYG9CFSRTQJMN8W,2024-06-28T19:04:16.782067788Z
01J1G3Z7E23T9Q2JVT2VAKHY4F,01J1G1WHSGH86TY9ERYRE7DDTW,2024-06-28T19:08:20.290156001Z,01J1G1WHT9T93BKEMYX1GA4C93,2024-06-28T19:08:20.290156001Z,01J1G20MXD2JXJMM31WQFG1M43,2024-06-28T19:08:20.290156001Z,01J1G2JBSTR19SK2QSA5W7V1JP,2024-06-28T19:08:20.290156001Z
01J1G32319ZWR9CERC5SFFJ2SE,01J1G1WHSGH86TY9ERYRE7DDTW,2024-06-28T18:52:25.513644951Z,01J1G1WHTAFKTGHBG3KKSCJSTE,2024-06-28T18:52:25.513644951Z,01J1G2PG89YW7YCDFRSWYMQG1W,2024-06-28T18:52:25.513644951Z,01J1G2W29T0Q8D4EQQVS0Y6T9F,2024-06-28T18:52:25.513644951Z
01J1G3CG31K793JFRC6AT4HAG5,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T18:58:06.561789615Z,01J1G2BFP2D4J7V9H0V3XJEAHQ,2024-06-28T18:58:06.561789615Z,01J1G2T8HB1GEVF048FFA2RHEY,2024-06-28T18:58:06.561789615Z,01J1G2YX3RRCKGGANJ5C4ZGS60,2024-06-28T18:58:06.561789615Z
01J1G3MXD09XYXWZV6JRHQKWYE,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T19:02:42.336826474Z,01J1G2BFP1PWCGVSRMBF7V50Z5,2024-06-28T19:02:42.336826474Z,01J1G29ZSQ2H4YGFV8J1JR7MDK,2024-06-28T19:02:42.336826474Z,01J1G2KBPFC4M2GYD4DYDA3PZR,2024-06-28T19:02:42.336826474Z
01J1G3P71J8X0SY73WWXWQ2C65,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T19:03:24.978247114Z,01J1G2BFNZX85J152SRG2XMJ7M,2024-06-28T19:03:24.978247114Z,01J1G36TYQ8DBDFBXF2TT5T4JT,2024-06-28T19:03:24.978247114Z,01J1G3CN0AT2GSQ8FCKRCN2SXN,2024-06-28T19:03:24.978247114Z
01J1G2W5D9Y1KN7PRC2X2DDKDH,01J1G1WHSGH86TY9ERYRE7DDTW,2024-06-28T18:49:11.337074142Z,01J1G1WHTAFKTGHBG3KKSCJSTE,2024-06-28T18:49:11.337074142Z,01J1G2BRW5KJ4ZP0C060PF0TCP,2024-06-28T18:49:11.337074142Z,01J1G2W293EB780BNR1WKARE6R,2024-06-28T18:49:11.337074142Z
