id,batchID,batchIDLastChangedAt,chat,chatLastChangedAt,correct,correctLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,numTrials,numTrialsLastChangedAt,repNum,repNumLastChangedAt,reps,repsLastChangedAt,response,responseLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,tangramURLs,tangramURLsLastChangedAt,target,targetLastChangedAt,targetNum,targetNumLastChangedAt,trialNum,trialNumLastChangedAt
01J1GDXK14RYJH3Q9BS30MYSHA,01J1GDGVAB7DT53BEJKAXEN00S,2024-06-28T22:02:12.388214993Z,,,,,false,2024-06-28T22:02:12.388214993Z,01J1GDGVB9VD9QZM57WJNGBSE3,2024-06-28T22:02:12.388214993Z,38,2024-06-28T22:02:12.388214993Z,65,2024-06-28T22:02:12.388214993Z,2,2024-06-28T22:02:12.388214993Z,4,2024-06-28T22:02:12.388214993Z,,,2,2024-06-28T22:02:15.167954742Z,false,2024-06-28T22:02:12.388214993Z,"[""/tangrams/2_18.png"",""/tangrams/11_27.png"",""/tangrams/13_29.png"",""/tangrams/0_16.png""]",2024-06-28T22:02:12.388214993Z,/tangrams/0_16.png,2024-06-28T22:02:12.388214993Z,7,2024-06-28T22:02:12.388214993Z,38,2024-06-28T22:02:12.388214993Z
01J1GDJG6PA37J1H88JBFCRSVS,01J1GBK25HJKDE4YJE63JRP132,2024-06-28T21:56:09.046751559Z,"[{""text"":""This a square with spikes on top and a missing chunk on the lower right"",""sender"":{""id"":""01J1GCXGV4QD05R4V0BWWF4098"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2024-06-28T22:01:09.390742619Z,true,2024-06-28T22:01:22.638635355Z,true,2024-06-28T22:01:22.441592977Z,01J1GBK26D21DVATKGAY8P4SJK,2024-06-28T21:56:09.046751559Z,7,2024-06-28T21:56:09.046751559Z,65,2024-06-28T21:56:09.046751559Z,0,2024-06-28T21:56:09.046751559Z,4,2024-06-28T21:56:09.046751559Z,/tangrams/3_19.png,2024-06-28T22:01:22.638635355Z,2,2024-06-28T21:56:09.446949425Z,true,2024-06-28T22:00:48.117137194Z,"[""/tangrams/3_19.png"",""/tangrams/1_19.png"",""/tangrams/1_16.png"",""/tangrams/3_16.png""]",2024-06-28T21:56:09.046751559Z,/tangrams/3_19.png,2024-06-28T21:56:09.046751559Z,8,2024-06-28T21:56:09.046751559Z,7,2024-06-28T21:56:09.046751559Z
01J1GDKB2WTRY3Q0WECN0S2ACS,01J1GC6FW8MAYTMD1B3D93ZCCH,2024-06-28T21:56:36.572282142Z,"[{""text"":""three triangle top on goblet"",""sender"":{""id"":""01J1GDABVD6WHGSHJ552PVS5N8"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2024-06-28T22:27:05.608220629Z,true,2024-06-28T22:27:12.711340629Z,true,2024-06-28T22:27:12.677694843Z,01J1GC6FWTB9WWY47TTH34ZJK7,2024-06-28T21:56:36.572282142Z,62,2024-06-28T21:56:36.572282142Z,65,2024-06-28T21:56:36.572282142Z,3,2024-06-28T21:56:36.572282142Z,4,2024-06-28T21:56:36.572282142Z,/tangrams/3_17.png,2024-06-28T22:27:12.711340629Z,2,2024-06-28T21:56:38.36041621Z,true,2024-06-28T22:26:54.905113918Z,"[""/tangrams/0_17.png"",""/tangrams/0_19.png"",""/tangrams/3_17.png"",""/tangrams/3_19.png""]",2024-06-28T21:56:36.572282142Z,/tangrams/3_17.png,2024-06-28T21:56:36.572282142Z,15,2024-06-28T21:56:36.572282142Z,62,2024-06-28T21:56:36.572282142Z
01J1GD6H6J5B0XYVEWS24JQQR5,01J1GC6FW8MAYTMD1B3D93ZCCH,2024-06-28T21:49:36.850114925Z,"[{""text"":""It looks the most like a tree. Like a regular tree."",""sender"":{""id"":""01J1GD391VNBF9K9ZF71FRRCXM"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2024-06-28T21:52:00.378352805Z,true,2024-06-28T21:52:07.511394481Z,true,2024-06-28T21:52:07.503542958Z,01J1GC6FWRQ635VP9NEJPYXAAA,2024-06-28T21:49:36.850114925Z,4,2024-06-28T21:49:36.850114925Z,65,2024-06-28T21:49:36.850114925Z,0,2024-06-28T21:49:36.850114925Z,4,2024-06-28T21:49:36.850114925Z,/tangrams/1_17.png,2024-06-28T21:52:07.511394481Z,2,2024-06-28T21:49:37.018946477Z,true,2024-06-28T21:51:48.620241493Z,"[""/tangrams/2_19.png"",""/tangrams/1_17.png"",""/tangrams/0_18.png"",""/tangrams/3_16.png""]",2024-06-28T21:49:36.850114925Z,/tangrams/1_17.png,2024-06-28T21:49:36.850114925Z,5,2024-06-28T21:49:36.850114925Z,4,2024-06-28T21:49:36.850114925Z
01J1GDJG8R1MKP9XQQ8AYHE6SM,01J1GBK25HJKDE4YJE63JRP132,2024-06-28T21:56:09.11222908Z,"[{""text"":""This one is a goblet with spikes on top"",""sender"":{""id"":""01J1GCXGV4QD05R4V0BWWF4098"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2024-06-28T22:11:16.268782827Z,true,2024-06-28T22:11:23.166046639Z,true,2024-06-28T22:11:23.13083391Z,01J1GBK26D21DVATKGAY8P4SJK,2024-06-28T21:56:09.11222908Z,23,2024-06-28T21:56:09.11222908Z,65,2024-06-28T21:56:09.11222908Z,1,2024-06-28T21:56:09.11222908Z,4,2024-06-28T21:56:09.11222908Z,/tangrams/3_17.png,2024-06-28T22:11:23.166046639Z,2,2024-06-28T21:56:09.90213216Z,true,2024-06-28T22:10:49.194836212Z,"[""/tangrams/2_17.png"",""/tangrams/3_17.png"",""/tangrams/2_19.png"",""/tangrams/3_19.png""]",2024-06-28T21:56:09.11222908Z,/tangrams/3_17.png,2024-06-28T21:56:09.11222908Z,8,2024-06-28T21:56:09.11222908Z,23,2024-06-28T21:56:09.11222908Z
01J1GDKAXQFX4KX587S188D46S,01J1GC6FW8MAYTMD1B3D93ZCCH,2024-06-28T21:56:36.407139325Z,"[{""text"":""three triangles on top, NON symmetrical bottom"",""sender"":{""id"":""01J1GCKBHNTZ4R2CYPVBZ3H75Z"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2024-06-28T22:18:07.292617333Z,true,2024-06-28T22:18:15.74924083Z,true,2024-06-28T22:18:15.719230714Z,01J1GC6FWTB9WWY47TTH34ZJK7,2024-06-28T21:56:36.407139325Z,35,2024-06-28T21:56:36.407139325Z,65,2024-06-28T21:56:36.407139325Z,2,2024-06-28T21:56:36.407139325Z,4,2024-06-28T21:56:36.407139325Z,/tangrams/3_19.png,2024-06-28T22:18:15.74924083Z,2,2024-06-28T21:56:37.591285214Z,true,2024-06-28T22:17:51.290817534Z,"[""/tangrams/3_19.png"",""/tangrams/2_17.png"",""/tangrams/2_19.png"",""/tangrams/3_17.png""]",2024-06-28T21:56:36.407139325Z,/tangrams/3_19.png,2024-06-28T21:56:36.407139325Z,4,2024-06-28T21:56:36.407139325Z,35,2024-06-28T21:56:36.407139325Z
01J1GD1F2TRP7B2SNR4WPHWGPZ,01J1GBK25HJKDE4YJE63JRP132,2024-06-28T21:46:50.842809322Z,"[{""text"":""tree with elf ears"",""sender"":{""id"":""01J1GCX8GDS14BXNM6CHK2N3YD"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2024-06-28T22:00:59.76075718Z,true,2024-06-28T22:01:22.33690414Z,true,2024-06-28T22:01:22.272569209Z,01J1GBK26FB54362GGJR86CQAT,2024-06-28T21:46:50.842809322Z,44,2024-06-28T21:46:50.842809322Z,65,2024-06-28T21:46:50.842809322Z,2,2024-06-28T21:46:50.842809322Z,4,2024-06-28T21:46:50.842809322Z,/tangrams/5_21.png,2024-06-28T22:01:22.33690414Z,2,2024-06-28T21:46:51.603515163Z,true,2024-06-28T22:00:52.828506444Z,"[""/tangrams/10_26.png"",""/tangrams/12_28.png"",""/tangrams/9_25.png"",""/tangrams/5_21.png""]",2024-06-28T21:46:50.842809322Z,/tangrams/5_21.png,2024-06-28T21:46:50.842809322Z,13,2024-06-28T21:46:50.842809322Z,44,2024-06-28T21:46:50.842809322Z
01J1GD6H62K67FQS7W1KX68DSD,01J1GC6FW8MAYTMD1B3D93ZCCH,2024-06-28T21:49:36.834455856Z,"[{""text"":""castle wall with a tunnel"",""sender"":{""id"":""01J1GCFFT5VZKE8R0766EQR2EM"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2024-06-28T21:59:59.125556725Z,true,2024-06-28T22:00:05.67257517Z,true,2024-06-28T22:00:05.646566495Z,01J1GC6FWRQ635VP9NEJPYXAAA,2024-06-28T21:49:36.834455856Z,21,2024-06-28T21:49:36.834455856Z,65,2024-06-28T21:49:36.834455856Z,1,2024-06-28T21:49:36.834455856Z,4,2024-06-28T21:49:36.834455856Z,/tangrams/0_19.png,2024-06-28T22:00:05.67257517Z,2,2024-06-28T21:49:37.360715611Z,true,2024-06-28T21:59:39.426597634Z,"[""/tangrams/3_16.png"",""/tangrams/2_17.png"",""/tangrams/0_19.png"",""/tangrams/1_18.png""]",2024-06-28T21:49:36.834455856Z,/tangrams/0_19.png,2024-06-28T21:49:36.834455856Z,6,2024-06-28T21:49:36.834455856Z,21,2024-06-28T21:49:36.834455856Z
01J1GDVAH6MKYDCR0G1PMCAJW3,01J1GC6FW8MAYTMD1B3D93ZCCH,2024-06-28T22:00:58.150847065Z,"[{""text"":""eagle with crown"",""sender"":{""id"":""01J1GDKNNVK31FX7VWAR5JJ8KM"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2024-06-28T22:22:45.466477427Z,true,2024-06-28T22:22:54.182604952Z,true,2024-06-28T22:22:54.145657308Z,01J1GC6FWV623Q1S58FYC029H6,2024-06-28T22:00:58.150847065Z,58,2024-06-28T22:00:58.150847065Z,65,2024-06-28T22:00:58.150847065Z,3,2024-06-28T22:00:58.150847065Z,4,2024-06-28T22:00:58.150847065Z,/tangrams/3_19.png,2024-06-28T22:22:54.182604952Z,2,2024-06-28T22:01:02.137479328Z,true,2024-06-28T22:22:37.885560467Z,"[""/tangrams/3_19.png"",""/tangrams/9_25.png"",""/tangrams/2_18.png"",""/tangrams/14_30.png""]",2024-06-28T22:00:58.150847065Z,/tangrams/3_19.png,2024-06-28T22:00:58.150847065Z,11,2024-06-28T22:00:58.150847065Z,58,2024-06-28T22:00:58.150847065Z
01J1GDVAXA7KGW01THT7RAYJW3,01J1GC6FW8MAYTMD1B3D93ZCCH,2024-06-28T22:00:58.53826413Z,"[{""text"":""fork"",""sender"":{""id"":""01J1GDKNNVK31FX7VWAR5JJ8KM"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2024-06-28T22:14:32.185529122Z,true,2024-06-28T22:14:38.40133989Z,true,2024-06-28T22:14:38.370029816Z,01J1GC6FWV623Q1S58FYC029H6,2024-06-28T22:00:58.53826413Z,28,2024-06-28T22:00:58.53826413Z,65,2024-06-28T22:00:58.53826413Z,1,2024-06-28T22:00:58.53826413Z,4,2024-06-28T22:00:58.53826413Z,/tangrams/0_16.png,2024-06-28T22:14:38.40133989Z,2,2024-06-28T22:01:00.36207859Z,true,2024-06-28T22:14:28.722302338Z,"[""/tangrams/9_25.png"",""/tangrams/3_19.png"",""/tangrams/0_16.png"",""/tangrams/12_28.png""]",2024-06-28T22:00:58.53826413Z,/tangrams/0_16.png,2024-06-28T22:00:58.53826413Z,13,2024-06-28T22:00:58.53826413Z,28,2024-06-28T22:00:58.53826413Z
