id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,status,statusLastChangedAt,timerID,timerIDLastChangedAt
01J1GDJGZ3GDN63YKRHA8GY09W,01J1GBK25HJKDE4YJE63JRP132,2024-06-28T21:56:09.82760891Z,60,2024-06-28T21:56:09.82760891Z,true,2024-06-28T22:10:06.123487603Z,,,01J1GBK26D21DVATKGAY8P4SJK,2024-06-28T21:56:09.82760891Z,0,2024-06-28T21:56:09.82760891Z,true,2024-06-28T22:09:44.102175754Z,selection,2024-06-28T21:56:09.82760891Z,01J1GDJG8JTN6245FERKVP5H0M,2024-06-28T21:56:09.82760891Z,true,2024-06-28T22:09:44.044887066Z,true,2024-06-28T22:09:44.142404957Z,,,01J1GDJGYK2Q77B13PVTCT113F,2024-06-28T21:56:09.82760891Z
01J1GDJH5G63678MAJZY8WWRNZ,01J1GBK25HJKDE4YJE63JRP132,2024-06-28T21:56:10.032229489Z,3,2024-06-28T21:56:10.032229489Z,true,2024-06-28T22:13:26.725411803Z,,,01J1GBK26D21DVATKGAY8P4SJK,2024-06-28T21:56:10.032229489Z,1,2024-06-28T21:56:10.032229489Z,true,2024-06-28T22:13:23.66060709Z,feedback,2024-06-28T21:56:10.032229489Z,01J1GDJG93F3WQT69MHGA0KR50,2024-06-28T21:56:10.032229489Z,true,2024-06-28T22:13:23.600754765Z,true,2024-06-28T22:13:23.706174268Z,,,01J1GDJH58G3MT76DYGN20Y8WF,2024-06-28T21:56:10.032229489Z
01J1GD1FD3HR5NS0XB6XKW4EQD,01J1GBK25HJKDE4YJE63JRP132,2024-06-28T21:46:51.171435516Z,60,2024-06-28T21:46:51.171435516Z,true,2024-06-28T21:53:28.652205938Z,,,01J1GBK26FB54362GGJR86CQAT,2024-06-28T21:46:51.171435516Z,0,2024-06-28T21:46:51.171435516Z,true,2024-06-28T21:53:18.476199497Z,selection,2024-06-28T21:46:51.171435516Z,01J1GD1F2FVWNCY6AYE7GZDDZ0,2024-06-28T21:46:51.171435516Z,true,2024-06-28T21:53:18.458247036Z,true,2024-06-28T21:53:18.488260513Z,,,01J1GD1FCXHV8MQKZ0KH7R9F8F,2024-06-28T21:46:51.171435516Z
01J1GD4DXF0MATV86EK32M50VJ,01J1GBK25HJKDE4YJE63JRP132,2024-06-28T21:48:27.951217585Z,60,2024-06-28T21:48:27.951217585Z,true,2024-06-28T22:00:31.193654421Z,,,01J1GBK26CYMKC01RC7CNKBGM1,2024-06-28T21:48:27.951217585Z,0,2024-06-28T21:48:27.951217585Z,true,2024-06-28T22:00:25.301250351Z,selection,2024-06-28T21:48:27.951217585Z,01J1GD4CX3XY4NZ2E8XBXZ5TGS,2024-06-28T21:48:27.951217585Z,true,2024-06-28T22:00:25.241630073Z,true,2024-06-28T22:00:25.334505065Z,,,01J1GD4DX923DKK7FKR4HN5Z2D,2024-06-28T21:48:27.951217585Z
01J1GD6J0GTW1VARM64CTNGZ85,01J1GC6FW8MAYTMD1B3D93ZCCH,2024-06-28T21:49:37.68078608Z,60,2024-06-28T21:49:37.68078608Z,true,2024-06-28T22:06:35.123108003Z,,,01J1GC6FWRQ635VP9NEJPYXAAA,2024-06-28T21:49:37.68078608Z,0,2024-06-28T21:49:37.68078608Z,true,2024-06-28T22:06:24.863102113Z,selection,2024-06-28T21:49:37.68078608Z,01J1GD6H4YWQYG2CNNB23WVD15,2024-06-28T21:49:37.68078608Z,true,2024-06-28T22:06:24.797674687Z,true,2024-06-28T22:06:24.901056906Z,,,01J1GD6J05D246GA8TJVH0FW1H,2024-06-28T21:49:37.68078608Z
01J1GD6J2RRTA4PYRHEJK42J9S,01J1GC6FW8MAYTMD1B3D93ZCCH,2024-06-28T21:49:37.75266714Z,60,2024-06-28T21:49:37.75266714Z,true,2024-06-28T22:07:40.789532825Z,,,01J1GC6FWRQ635VP9NEJPYXAAA,2024-06-28T21:49:37.75266714Z,0,2024-06-28T21:49:37.75266714Z,true,2024-06-28T22:07:29.010883314Z,selection,2024-06-28T21:49:37.75266714Z,01J1GD6H6VN4KC7W0FFBNQ17ED,2024-06-28T21:49:37.75266714Z,true,2024-06-28T22:07:28.948221581Z,true,2024-06-28T22:07:29.056497302Z,,,01J1GD6J2K6B7ZSB7HHF59SB7P,2024-06-28T21:49:37.75266714Z
01J1GDJGXWJ7S7HQEBH2FCH0A9,01J1GBK25HJKDE4YJE63JRP132,2024-06-28T21:56:09.788523297Z,3,2024-06-28T21:56:09.788523297Z,true,2024-06-28T22:09:43.849864436Z,,,01J1GBK26D21DVATKGAY8P4SJK,2024-06-28T21:56:09.788523297Z,1,2024-06-28T21:56:09.788523297Z,true,2024-06-28T22:09:40.787390462Z,feedback,2024-06-28T21:56:09.788523297Z,01J1GDJG8F4QQK1EY8RXZYE8G7,2024-06-28T21:56:09.788523297Z,true,2024-06-28T22:09:40.728778746Z,true,2024-06-28T22:09:40.823131242Z,,,01J1GDJGXP0E8JP7CNJ839K8M9,2024-06-28T21:56:09.788523297Z
01J1GD4DGKT93EM77ADT6VECF0,01J1GBK25HJKDE4YJE63JRP132,2024-06-28T21:48:27.539421428Z,3,2024-06-28T21:48:27.539421428Z,true,2024-06-28T21:56:30.25695135Z,,,01J1GBK26CYMKC01RC7CNKBGM1,2024-06-28T21:48:27.539421428Z,1,2024-06-28T21:48:27.539421428Z,true,2024-06-28T21:56:27.233092496Z,feedback,2024-06-28T21:48:27.539421428Z,01J1GD4CWMXK0SMT0KJ7G4KXGY,2024-06-28T21:48:27.539421428Z,true,2024-06-28T21:56:27.208877856Z,true,2024-06-28T21:56:27.251756153Z,,,01J1GD4DGFGA1THXQ9WDRRJB4P,2024-06-28T21:48:27.539421428Z
01J1GD6J18N7R3Y18K3ZF9DAN8,01J1GC6FW8MAYTMD1B3D93ZCCH,2024-06-28T21:49:37.704265754Z,3,2024-06-28T21:49:37.704265754Z,true,2024-06-28T22:07:02.983970335Z,,,01J1GC6FWRQ635VP9NEJPYXAAA,2024-06-28T21:49:37.704265754Z,1,2024-06-28T21:49:37.704265754Z,true,2024-06-28T22:06:59.941262966Z,feedback,2024-06-28T21:49:37.704265754Z,01J1GD6H657M4QEKJTP9Q61VX7,2024-06-28T21:49:37.704265754Z,true,2024-06-28T22:06:59.88804071Z,true,2024-06-28T22:06:59.97961468Z,,,01J1GD6J12SC8CFC8YB7NQ2E9Q,2024-06-28T21:49:37.704265754Z
01J1GDKC8ZJW4DT7FJR9CD21ZP,01J1GC6FW8MAYTMD1B3D93ZCCH,2024-06-28T21:56:37.791449135Z,60,2024-06-28T21:56:37.791449135Z,true,2024-06-28T22:21:03.126373365Z,,,01J1GC6FWTB9WWY47TTH34ZJK7,2024-06-28T21:56:37.791449135Z,0,2024-06-28T21:56:37.791449135Z,true,2024-06-28T22:20:45.541029477Z,selection,2024-06-28T21:56:37.791449135Z,01J1GDKB17BHXTQY4Q8NQ78RG3,2024-06-28T21:56:37.791449135Z,true,2024-06-28T22:20:45.466731021Z,true,2024-06-28T22:20:45.588381626Z,,,01J1GDKC8T8J7HRJ2SVYWYWS0V,2024-06-28T21:56:37.791449135Z
