id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,bottomTangrams,bottomTangramsLastChangedAt,contextSize,contextSizeLastChangedAt,contextStructure,contextStructureLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,justStarted,justStartedLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,maxTimeout,maxTimeoutLastChangedAt,roundIndex,roundIndexLastChangedAt,showNegativeFeedback,showNegativeFeedbackLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,targets,targetsLastChangedAt,topTangrams,topTangramsLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01JFE2F3G88EFKXAZ79VCSWHZ9,2,2024-12-19T00:04:35.922586921Z,01JFE2F3F5HJQFAZ9GTKYACR7B,2024-12-18T23:43:20.072734055Z,"[355,359,379,358]",2024-12-19T00:04:36.269441862Z,4,2024-12-19T00:04:35.952804158Z,comp-within,2024-12-19T00:04:35.952804158Z,true,2024-12-19T00:43:18.524026186Z,batch ended,2024-12-19T00:43:18.371132764Z,01JFE2F3HNTXKENBAE8TR3J5PQ,2024-12-18T23:43:20.122340468Z,true,2024-12-19T00:04:36.269441862Z,01JFE3FXDDQRAYKZWBX5GXKP9M,2024-12-19T00:01:15.190343004Z,3,2024-12-19T00:04:35.952804158Z,63,2024-12-19T00:04:36.269441862Z,1,2024-12-19T00:04:35.952804158Z,null,2024-12-19T00:43:18.524026186Z,true,2024-12-19T00:04:35.922586921Z,true,2024-12-19T00:04:35.922586921Z,terminated,2024-12-19T00:43:18.371132764Z,"[[33,355],[33,359],[33,379],[33,358],[328,355],[328,359],[328,379],[328,358],[272,355],[272,359],[272,379],[272,358],[126,355],[126,359],[126,379],[126,358]]",2024-12-19T00:04:36.269441862Z,"[33,328,272,126]",2024-12-19T00:04:36.269441862Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-18T23:43:20.072734055Z,full-comp-within,2024-12-18T23:43:20.072734055Z
01JFE2F3GA5Q3S2M2VD0KJEAF0,2,2024-12-19T00:02:48.661273181Z,01JFE2F3F5HJQFAZ9GTKYACR7B,2024-12-18T23:43:20.074216443Z,"[10,330,52,363,308,102,156,317,294,319,327,42,306,320,88,362]",2024-12-19T00:02:48.941773102Z,4,2024-12-19T00:02:48.681162516Z,noncomp,2024-12-19T00:02:48.681162516Z,true,2024-12-19T00:20:44.696539032Z,end of game,2024-12-19T00:20:44.735263369Z,01JFE2F3KHQW1HG2DGTR9K08KH,2024-12-18T23:43:20.181367694Z,true,2024-12-19T00:02:48.941773102Z,01JFE3GEHCJPCEYG0407V1B3JD,2024-12-19T00:01:32.731462483Z,3,2024-12-19T00:02:48.681162516Z,63,2024-12-19T00:02:48.941773102Z,1,2024-12-19T00:02:48.681162516Z,null,2024-12-19T00:20:44.696539032Z,true,2024-12-19T00:02:48.661273181Z,true,2024-12-19T00:02:48.661273181Z,ended,2024-12-19T00:20:44.735263369Z,"[[157,10],[174,330],[93,52],[147,363],[90,308],[268,102],[357,156],[244,317],[283,294],[326,319],[38,327],[469,42],[54,306],[425,320],[73,88],[57,362]]",2024-12-19T00:02:48.941773102Z,"[157,174,93,147,90,268,357,244,283,326,38,469,54,425,73,57]",2024-12-19T00:02:48.941773102Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-18T23:43:20.074216443Z,full-noncomp,2024-12-18T23:43:20.074216443Z
01JFE2F4ZKGQVWRPETSR6SJYE1,2,2024-12-19T00:07:35.984857851Z,01JFE2F4Z1V3R2QPM6H32SYRG1,2024-12-18T23:43:21.587968139Z,"[358,181,257,256]",2024-12-19T00:07:36.346488517Z,4,2024-12-19T00:07:36.021787641Z,comp-between,2024-12-19T00:07:36.021787641Z,true,2024-12-19T00:33:11.321484175Z,end of game,2024-12-19T00:33:11.372622863Z,01JFE2F50C2M720D65CQENBPK1,2024-12-18T23:43:21.61508397Z,true,2024-12-19T00:07:36.346488517Z,01JFE3V76JBT7HVGSFZQTWVR3T,2024-12-19T00:07:25.657725399Z,3,2024-12-19T00:07:36.021787641Z,63,2024-12-19T00:07:36.346488517Z,1,2024-12-19T00:07:36.021787641Z,null,2024-12-19T00:33:11.321484175Z,true,2024-12-19T00:07:35.984857851Z,true,2024-12-19T00:07:35.984857851Z,ended,2024-12-19T00:33:11.372622863Z,"[[326,358],[326,181],[326,257],[326,256],[361,358],[361,181],[361,257],[361,256],[461,358],[461,181],[461,257],[461,256],[348,358],[348,181],[348,257],[348,256]]",2024-12-19T00:07:36.346488517Z,"[326,361,461,348]",2024-12-19T00:07:36.346488517Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-18T23:43:21.587968139Z,full-comp-between,2024-12-18T23:43:21.587968139Z
01JFE2F4ZN1B35J4N7NYDFRJ14,,,01JFE2F4Z1V3R2QPM6H32SYRG1,2024-12-18T23:43:21.589836712Z,,,,,,,false,2024-12-18T23:43:21.589836712Z,shared lobby timeout,2024-12-19T00:09:46.882487559Z,01JFE2F51QP3ZV3EQ8TFD8GJNS,2024-12-18T23:43:21.657768015Z,,,01JFE3PC4P4QEAR9MC4VK4RGCT,2024-12-19T00:04:46.879157381Z,,,,,,,,,false,2024-12-18T23:43:21.589836712Z,,,failed,2024-12-19T00:09:46.882487559Z,,,,,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-18T23:43:21.589836712Z,full-comp-within,2024-12-18T23:43:21.589836712Z
01JFE2F4ZPX2JA4S2YP9QSTGK7,2,2024-12-19T00:05:33.24795597Z,01JFE2F4Z1V3R2QPM6H32SYRG1,2024-12-18T23:43:21.590216162Z,"[128,171,447,249,315,208,347,389,375,8,187,46,20,12,332,452]",2024-12-19T00:05:33.61176167Z,4,2024-12-19T00:05:33.279217638Z,noncomp,2024-12-19T00:05:33.279217638Z,true,2024-12-19T00:34:36.463724474Z,end of game,2024-12-19T00:34:36.520856622Z,01JFE2F5121P2W73K8RGG60WY0,2024-12-18T23:43:21.637312001Z,true,2024-12-19T00:05:33.61176167Z,01JFE3PG78A7GF71FVGC001AJH,2024-12-19T00:04:51.059858951Z,3,2024-12-19T00:05:33.279217638Z,63,2024-12-19T00:05:33.61176167Z,1,2024-12-19T00:05:33.279217638Z,null,2024-12-19T00:34:36.463724474Z,true,2024-12-19T00:05:33.24795597Z,true,2024-12-19T00:05:33.24795597Z,ended,2024-12-19T00:34:36.520856622Z,"[[197,128],[260,171],[180,447],[314,249],[116,315],[115,208],[372,347],[120,389],[37,375],[414,8],[87,187],[23,46],[378,20],[267,12],[77,332],[59,452]]",2024-12-19T00:05:33.61176167Z,"[197,260,180,314,116,115,372,120,37,414,87,23,378,267,77,59]",2024-12-19T00:05:33.61176167Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-18T23:43:21.590216162Z,full-noncomp,2024-12-18T23:43:21.590216162Z
01JFE2F90H5X262M03P4JRA0D6,,,01JFE2F8ZQD0649R7FH9QBDN15,2024-12-18T23:43:25.713747306Z,,,,,,,false,2024-12-18T23:43:25.713747306Z,batch ended,2024-12-19T00:41:43.094141828Z,01JFE2F91N53STRKP18NET7T6H,2024-12-18T23:43:25.753475167Z,,,,,,,,,,,,,false,2024-12-18T23:43:25.713747306Z,,,terminated,2024-12-19T00:41:43.094141828Z,,,,,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-18T23:43:25.713747306Z,full-noncomp,2024-12-18T23:43:25.713747306Z
01JFE2F90KX4R2RTV1NM6TJZMT,,,01JFE2F8ZQD0649R7FH9QBDN15,2024-12-18T23:43:25.715476503Z,,,,,,,false,2024-12-18T23:43:25.715476503Z,batch ended,2024-12-19T00:41:43.094141828Z,01JFE2F94C5Z3HK9DFMQRXG25E,2024-12-18T23:43:25.840907642Z,,,,,,,,,,,,,false,2024-12-18T23:43:25.715476503Z,,,terminated,2024-12-19T00:41:43.094141828Z,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-18T23:43:25.715476503Z,full-comp-between,2024-12-18T23:43:25.715476503Z
01JFE2F90PJKMV2BN0DNS9DYXN,,,01JFE2F8ZQD0649R7FH9QBDN15,2024-12-18T23:43:25.718695232Z,,,,,,,false,2024-12-18T23:43:25.718695232Z,batch ended,2024-12-19T00:41:43.094141828Z,01JFE2F931A3P55SK1FT95T2MT,2024-12-18T23:43:25.797797405Z,,,,,,,,,,,,,false,2024-12-18T23:43:25.718695232Z,,,terminated,2024-12-19T00:41:43.094141828Z,,,,,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-18T23:43:25.718695232Z,full-comp-within,2024-12-18T23:43:25.718695232Z
01JFE2F3G88EFKXAZ79H1Z0JEZ,2,2024-12-19T00:03:02.643042666Z,01JFE2F3F5HJQFAZ9GTKYACR7B,2024-12-18T23:43:20.072229707Z,"[301,438,187,328]",2024-12-19T00:03:02.882168135Z,4,2024-12-19T00:03:02.669043813Z,comp-between,2024-12-19T00:03:02.669043813Z,true,2024-12-19T00:19:42.57448452Z,end of game,2024-12-19T00:19:42.612725183Z,01JFE2F3JP00ZBTACV4YVQ73F2,2024-12-18T23:43:20.155925071Z,true,2024-12-19T00:03:02.882168135Z,01JFE3CQ16VWM2X5KAARQQ5R4T,2024-12-18T23:59:30.352334305Z,3,2024-12-19T00:03:02.669043813Z,63,2024-12-19T00:03:02.882168135Z,1,2024-12-19T00:03:02.669043813Z,null,2024-12-19T00:19:42.57448452Z,true,2024-12-19T00:03:02.643042666Z,true,2024-12-19T00:03:02.643042666Z,ended,2024-12-19T00:19:42.612725183Z,"[[289,301],[289,438],[289,187],[289,328],[87,301],[87,438],[87,187],[87,328],[226,301],[226,438],[226,187],[226,328],[14,301],[14,438],[14,187],[14,328]]",2024-12-19T00:03:02.882168135Z,"[289,87,226,14]",2024-12-19T00:03:02.882168135Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-18T23:43:20.072229707Z,full-comp-between,2024-12-18T23:43:20.072229707Z
01JFE2F62GTGJW6PH1EHSDRF1P,2,2024-12-19T00:12:06.456312414Z,01JFE2F6201T265AQ8QKTC3PAM,2024-12-18T23:43:22.704685754Z,"[153,6,397,207]",2024-12-19T00:12:07.046864912Z,4,2024-12-19T00:12:06.509313948Z,comp-between,2024-12-19T00:12:06.509313948Z,true,2024-12-19T00:32:56.497985862Z,end of game,2024-12-19T00:32:56.547869889Z,01JFE2F63A8R19KYJFM6DWFTGY,2024-12-18T23:43:22.733502001Z,true,2024-12-19T00:12:07.046864912Z,01JFE3Z31RR0M7SXFY4V66X088,2024-12-19T00:09:32.482473364Z,3,2024-12-19T00:12:06.509313948Z,63,2024-12-19T00:12:07.046864912Z,1,2024-12-19T00:12:06.509313948Z,null,2024-12-19T00:32:56.497985862Z,true,2024-12-19T00:12:06.456312414Z,true,2024-12-19T00:12:06.456312414Z,ended,2024-12-19T00:32:56.547869889Z,"[[117,153],[117,6],[117,397],[117,207],[360,153],[360,6],[360,397],[360,207],[30,153],[30,6],[30,397],[30,207],[103,153],[103,6],[103,397],[103,207]]",2024-12-19T00:12:07.046864912Z,"[117,360,30,103]",2024-12-19T00:12:07.046864912Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-18T23:43:22.704685754Z,full-comp-between,2024-12-18T23:43:22.704685754Z
