id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,status,statusLastChangedAt,timerID,timerIDLastChangedAt
01JFE3K6ZK86NZ4P4C0NM38MY4,01JFE2F3F5HJQFAZ9GTKYACR7B,2024-12-19T00:03:03.283800688Z,60,2024-12-19T00:03:03.283800688Z,true,2024-12-19T00:11:02.112625342Z,,,01JFE2F3G88EFKXAZ79H1Z0JEZ,2024-12-19T00:03:03.283800688Z,0,2024-12-19T00:03:03.283800688Z,true,2024-12-19T00:10:48.991176751Z,selection,2024-12-19T00:03:03.283800688Z,01JFE3K6JCBBE4PGKVSCVTSQ8Q,2024-12-19T00:03:03.283800688Z,true,2024-12-19T00:10:48.958532267Z,true,2024-12-19T00:10:49.012059988Z,,,01JFE3K6ZDZB9E9H47ENKVDBX1,2024-12-19T00:03:03.283800688Z
01JFE3P3KPZZNSRTKFEJ8MJRPT,01JFE2F3F5HJQFAZ9GTKYACR7B,2024-12-19T00:04:38.134453658Z,60,2024-12-19T00:04:38.134453658Z,false,2024-12-19T00:04:38.134453658Z,,,01JFE2F3G88EFKXAZ79VCSWHZ9,2024-12-19T00:04:38.134453658Z,0,2024-12-19T00:04:38.134453658Z,,,selection,2024-12-19T00:04:38.134453658Z,01JFE3P1Q5ENF2E1AW9V9NYCSV,2024-12-19T00:04:38.134453658Z,false,2024-12-19T00:04:38.134453658Z,,,,,01JFE3P3KB7S81CZA93N6YWRGC,2024-12-19T00:04:38.134453658Z
01JFE3QT3FMHPW6KM7SA9AMQM8,01JFE2F4Z1V3R2QPM6H32SYRG1,2024-12-19T00:05:33.935599572Z,3,2024-12-19T00:05:33.935599572Z,true,2024-12-19T00:13:10.143276162Z,,,01JFE2F4ZPX2JA4S2YP9QSTGK7,2024-12-19T00:05:33.935599572Z,1,2024-12-19T00:05:33.935599572Z,true,2024-12-19T00:13:07.113833847Z,feedback,2024-12-19T00:05:33.935599572Z,01JFE3QSJQE0YRZXTT85JARFTW,2024-12-19T00:05:33.935599572Z,true,2024-12-19T00:13:07.075359839Z,true,2024-12-19T00:13:07.138050865Z,,,01JFE3QT367VYRASRYTT870E46,2024-12-19T00:05:33.935599572Z
01JFE3QT9XAR0X9VHJ1VZRXDJV,01JFE2F4Z1V3R2QPM6H32SYRG1,2024-12-19T00:05:34.14170295Z,3,2024-12-19T00:05:34.14170295Z,true,2024-12-19T00:16:52.433981112Z,,,01JFE2F4ZPX2JA4S2YP9QSTGK7,2024-12-19T00:05:34.14170295Z,1,2024-12-19T00:05:34.14170295Z,true,2024-12-19T00:16:49.401577452Z,feedback,2024-12-19T00:05:34.14170295Z,01JFE3QSKM871QHW70DDFE7Q8R,2024-12-19T00:05:34.14170295Z,true,2024-12-19T00:16:49.355063716Z,true,2024-12-19T00:16:49.428038329Z,,,01JFE3QT9KR34HK2JS1B0AK7TP,2024-12-19T00:05:34.14170295Z
01JFE3QTE9QBWWGAY0VQ0G1QZW,01JFE2F4Z1V3R2QPM6H32SYRG1,2024-12-19T00:05:34.281639153Z,60,2024-12-19T00:05:34.281639153Z,true,2024-12-19T00:19:28.464032627Z,,,01JFE2F4ZPX2JA4S2YP9QSTGK7,2024-12-19T00:05:34.281639153Z,0,2024-12-19T00:05:34.281639153Z,true,2024-12-19T00:18:50.911386066Z,selection,2024-12-19T00:05:34.281639153Z,01JFE3QSM9D0S19V6WF99CF8P0,2024-12-19T00:05:34.281639153Z,true,2024-12-19T00:18:50.850829786Z,true,2024-12-19T00:18:50.940729653Z,,,01JFE3QTE13AHR91C01CQFYJTG,2024-12-19T00:05:34.281639153Z
01JFE43VBQ4T0RM7TN2EFY2KZW,01JFE2F6201T265AQ8QKTC3PAM,2024-12-19T00:12:08.439666404Z,3,2024-12-19T00:12:08.439666404Z,true,2024-12-19T00:25:45.468100739Z,,,01JFE2F62GTGJW6PH1EHSDRF1P,2024-12-19T00:12:08.439666404Z,1,2024-12-19T00:12:08.439666404Z,true,2024-12-19T00:25:42.40246715Z,feedback,2024-12-19T00:12:08.439666404Z,01JFE43SVD41RY0ZJEK30PJ717,2024-12-19T00:12:08.439666404Z,true,2024-12-19T00:25:42.34653671Z,true,2024-12-19T00:25:42.442447051Z,,,01JFE43VBC1Z60PKN94XEQS5BW,2024-12-19T00:12:08.439666404Z
01JFE43VZNZ04HWDWH5EM11X2Y,01JFE2F6201T265AQ8QKTC3PAM,2024-12-19T00:12:09.077950396Z,60,2024-12-19T00:12:09.077950396Z,true,2024-12-19T00:29:15.943972369Z,,,01JFE2F62GTGJW6PH1EHSDRF1P,2024-12-19T00:12:09.077950396Z,0,2024-12-19T00:12:09.077950396Z,true,2024-12-19T00:29:09.613659554Z,selection,2024-12-19T00:12:09.077950396Z,01JFE43SW1WYZXXSXJ9PDF09GW,2024-12-19T00:12:09.077950396Z,true,2024-12-19T00:29:09.545685849Z,true,2024-12-19T00:29:09.650376987Z,,,01JFE43VZA4CH7YCR0MJ5G9T3X,2024-12-19T00:12:09.077950396Z
01JFE3JSA0EM57MCT1MAVH46P2,01JFE2F3F5HJQFAZ9GTKYACR7B,2024-12-19T00:02:49.280590517Z,60,2024-12-19T00:02:49.280590517Z,true,2024-12-19T00:13:06.471843436Z,,,01JFE2F3GA5Q3S2M2VD0KJEAF0,2024-12-19T00:02:49.280590517Z,0,2024-12-19T00:02:49.280590517Z,true,2024-12-19T00:12:58.381942176Z,selection,2024-12-19T00:02:49.280590517Z,01JFE3JRWYB7C7ZD8T69NJVH38,2024-12-19T00:02:49.280590517Z,true,2024-12-19T00:12:58.337733322Z,true,2024-12-19T00:12:58.406748192Z,,,01JFE3JS9RGXM0R3QDRYC38FPW,2024-12-19T00:02:49.280590517Z
01JFE3JSB99ZKYR5KN4QB12GFZ,01JFE2F3F5HJQFAZ9GTKYACR7B,2024-12-19T00:02:49.321989056Z,60,2024-12-19T00:02:49.321989056Z,true,2024-12-19T00:13:30.212943545Z,,,01JFE2F3GA5Q3S2M2VD0KJEAF0,2024-12-19T00:02:49.321989056Z,0,2024-12-19T00:02:49.321989056Z,true,2024-12-19T00:13:22.496043538Z,selection,2024-12-19T00:02:49.321989056Z,01JFE3JRX0SX8HE7EJQK9MV13M,2024-12-19T00:02:49.321989056Z,true,2024-12-19T00:13:22.46114571Z,true,2024-12-19T00:13:22.514976177Z,,,01JFE3JSB19S09NKC6TG1YA1QZ,2024-12-19T00:02:49.321989056Z
01JFE3JSEEFTSMGPXV6PY6B5KE,01JFE2F3F5HJQFAZ9GTKYACR7B,2024-12-19T00:02:49.422513954Z,3,2024-12-19T00:02:49.422513954Z,true,2024-12-19T00:14:41.836903809Z,,,01JFE2F3GA5Q3S2M2VD0KJEAF0,2024-12-19T00:02:49.422513954Z,1,2024-12-19T00:02:49.422513954Z,true,2024-12-19T00:14:38.807922283Z,feedback,2024-12-19T00:02:49.422513954Z,01JFE3JRX3NQHQFXZHNNT92SXX,2024-12-19T00:02:49.422513954Z,true,2024-12-19T00:14:38.770715224Z,true,2024-12-19T00:14:38.8307701Z,,,01JFE3JSEA6Y7DDJ66GW7APBJG,2024-12-19T00:02:49.422513954Z
