id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01JFG8Z7DX9XXJDKG3QSY7GHWR,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2024-12-19T20:15:28.701408137Z,all games finished,2024-12-19T21:04:17.76723911Z,true,2024-12-19T20:15:28.719585547Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-12-19T20:15:28.701408137Z,ended,2024-12-19T21:04:17.76723911Z
01JFG8ZB4Q4WJW7MWN4SBTYJ20,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2024-12-19T20:15:32.504040585Z,all games finished,2024-12-19T20:48:05.289787439Z,true,2024-12-19T20:15:32.517635818Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-12-19T20:15:32.504040585Z,ended,2024-12-19T20:48:05.289787439Z
01JFG8ZHTASWYYHKW5R8B6JS82,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-within"",""factors"":{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2024-12-19T20:15:39.338532629Z,all games finished,2024-12-19T21:10:13.01044819Z,true,2024-12-19T20:15:39.361088827Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-12-19T20:15:39.338532629Z,ended,2024-12-19T21:10:13.01044819Z
01JFG9MKWTH1K45CBQ289ZX16A,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2024-12-19T20:27:09.594115247Z,all games finished,2024-12-19T20:55:09.985433245Z,true,2024-12-19T20:27:09.607752959Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-12-19T20:27:09.594115247Z,ended,2024-12-19T20:55:09.985433245Z
01JFG9ZQ4MNX9N1V0RACM73JYA,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2024-12-19T20:33:13.364901297Z,,,true,2024-12-19T20:33:13.379190869Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-12-19T20:33:13.364901297Z,terminated,2024-12-19T20:51:52.040680031Z
01JFGA58CRKR49V2KH4XS2WDYB,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-within"",""factors"":{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2024-12-19T20:36:14.872099224Z,all games finished,2024-12-19T21:35:00.156433252Z,true,2024-12-19T20:36:14.893661029Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-12-19T20:36:14.872099224Z,ended,2024-12-19T21:35:00.156433252Z
01JFGA94B38BDYWCFMDRJ9NPPC,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-within"",""factors"":{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2024-12-19T20:38:21.795217236Z,,,true,2024-12-19T20:38:21.819490945Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-12-19T20:38:21.795217236Z,terminated,2024-12-19T20:52:05.974224564Z
01JFGB97365AZHKWFXBKNV5V03,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2024-12-19T20:55:53.190986574Z,all games finished,2024-12-19T21:10:32.003988612Z,true,2024-12-19T20:55:53.259715212Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-12-19T20:55:53.190986574Z,ended,2024-12-19T21:10:32.003988612Z
01JFG8YPEF275M0SF9PNSPV272,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2024-12-19T20:15:11.311863773Z,all games finished,2024-12-19T20:51:00.341400047Z,true,2024-12-19T20:15:11.340852735Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-12-19T20:15:11.311863773Z,ended,2024-12-19T20:51:00.341400047Z
01JFG8YYEMC3P14CH23MXYXJ1N,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-within"",""factors"":{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2024-12-19T20:15:19.508909389Z,all games finished,2024-12-19T21:15:31.972590942Z,true,2024-12-19T20:15:19.528498589Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-12-19T20:15:19.508909389Z,ended,2024-12-19T21:15:31.972590942Z
