id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,bottomTangrams,bottomTangramsLastChangedAt,contextSize,contextSizeLastChangedAt,contextStructure,contextStructureLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,justStarted,justStartedLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,maxTimeout,maxTimeoutLastChangedAt,rotation,rotationLastChangedAt,roundIndex,roundIndexLastChangedAt,showNegativeFeedback,showNegativeFeedbackLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,targets,targetsLastChangedAt,topTangrams,topTangramsLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01JFG8ZHV16RJMZXAMJCSCC8YH,2,2024-12-19T20:36:52.52016753Z,01JFG8ZHTASWYYHKW5R8B6JS82,2024-12-19T20:15:39.361496584Z,"[346,321,425,448]",2024-12-19T20:36:52.90635986Z,4,2024-12-19T20:36:52.558683762Z,comp-within,2024-12-19T20:36:52.558683762Z,true,2024-12-19T21:10:12.917967769Z,end of game,2024-12-19T21:10:12.980801175Z,01JFG8ZHVYKGQQ0VWDG38D2BX0,2024-12-19T20:15:39.395199466Z,true,2024-12-19T20:36:52.90635986Z,01JFGA5150H6EAF9DQZFBC9C2T,2024-12-19T20:36:07.46587804Z,3,2024-12-19T20:36:52.558683762Z,180,2024-12-19T20:36:52.558683762Z,63,2024-12-19T20:36:52.90635986Z,1,2024-12-19T20:36:52.558683762Z,null,2024-12-19T21:10:12.917967769Z,true,2024-12-19T20:36:52.52016753Z,true,2024-12-19T20:36:52.52016753Z,ended,2024-12-19T21:10:12.980801175Z,"[[227,346],[227,321],[227,425],[227,448],[232,346],[232,321],[232,425],[232,448],[413,346],[413,321],[413,425],[413,448],[22,346],[22,321],[22,425],[22,448]]",2024-12-19T20:36:52.90635986Z,"[227,232,413,22]",2024-12-19T20:36:52.90635986Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T20:15:39.361496584Z,full-comp-within,2024-12-19T20:15:39.361496584Z
01JFG9MKX8V1EE2C7F57KC17VD,,,01JFG9MKWTH1K45CBQ289ZX16A,2024-12-19T20:27:09.608419457Z,,,,,,,false,2024-12-19T20:27:09.608419457Z,shared lobby timeout,2024-12-19T20:55:09.96179887Z,01JFG9MKXVGQMX58Q88WSZM1QQ,2024-12-19T20:27:09.630481101Z,,,01JFGAYQWYX1A1V8JV4HEDR6BN,2024-12-19T20:50:09.958885517Z,,,,,,,,,,,false,2024-12-19T20:27:09.608419457Z,,,failed,2024-12-19T20:55:09.96179887Z,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T20:27:09.608419457Z,full-comp-between,2024-12-19T20:27:09.608419457Z
01JFG9ZJ9GEX6MPZ0HAKGHGQ29,2,2024-12-19T20:38:00.176153451Z,01JFG9ZJ8XKYY7A2PH26Y8HW5Q,2024-12-19T20:33:08.400079047Z,"[267,324,79,437]",2024-12-19T20:38:00.580379796Z,4,2024-12-19T20:38:00.217967696Z,comp-within,2024-12-19T20:38:00.217967696Z,true,2024-12-19T21:02:49.914036937Z,,,01JFG9ZJARWTADC139FFHF6R5P,2024-12-19T20:33:08.444468997Z,true,2024-12-19T20:38:00.580379796Z,01JFGA7S1NQYZDC1P32KPCGXGB,2024-12-19T20:37:37.468398683Z,3,2024-12-19T20:38:00.217967696Z,180,2024-12-19T20:38:00.217967696Z,63,2024-12-19T20:38:00.580379796Z,1,2024-12-19T20:38:00.217967696Z,null,2024-12-19T21:02:49.914036937Z,true,2024-12-19T20:38:00.176153451Z,true,2024-12-19T20:38:00.176153451Z,ended,2024-12-19T21:02:49.893570947Z,"[[311,267],[311,324],[311,79],[311,437],[170,267],[170,324],[170,79],[170,437],[97,267],[97,324],[97,79],[97,437],[128,267],[128,324],[128,79],[128,437]]",2024-12-19T20:38:00.580379796Z,"[311,170,97,128]",2024-12-19T20:38:00.580379796Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T20:33:08.400079047Z,full-comp-within,2024-12-19T20:33:08.400079047Z
01JFG9ZQ545YBBK3A9DKPRDYW4,,,01JFG9ZQ4MNX9N1V0RACM73JYA,2024-12-19T20:33:13.380254494Z,,,,,,,false,2024-12-19T20:33:13.380254494Z,batch ended,2024-12-19T20:51:52.054299756Z,01JFG9ZQ5WD3BZY1PVYZCDE76N,2024-12-19T20:33:13.406810736Z,,,,,,,,,,,,,,,false,2024-12-19T20:33:13.380254494Z,,,terminated,2024-12-19T20:51:52.054299756Z,,,,,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T20:33:13.380254494Z,full-noncomp,2024-12-19T20:33:13.380254494Z
01JFGB974ZHW03GYHWQASYBYD4,,,01JFGB97365AZHKWFXBKNV5V03,2024-12-19T20:55:53.247783667Z,,,,,,,false,2024-12-19T20:55:53.247783667Z,shared lobby timeout,2024-12-19T21:10:31.959863082Z,01JFGB978KY83F84EGGPF0PRF2,2024-12-19T20:55:53.367339617Z,,,01JFGBTW99NGD3JVEGJHS1RRXZ,2024-12-19T21:05:31.956717662Z,,,,,,,,,,,false,2024-12-19T20:55:53.247783667Z,,,failed,2024-12-19T21:10:31.959863082Z,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T20:55:53.247783667Z,full-comp-between,2024-12-19T20:55:53.247783667Z
01JFG8YPFB4QWAE1J5AKFP27SX,2,2024-12-19T20:26:57.759229848Z,01JFG8YPEF275M0SF9PNSPV272,2024-12-19T20:15:11.339476419Z,"[250,360,82,392]",2024-12-19T20:26:58.036802045Z,4,2024-12-19T20:26:57.776079717Z,comp-between,2024-12-19T20:26:57.776079717Z,true,2024-12-19T20:51:00.294073781Z,end of game,2024-12-19T20:51:00.325170314Z,01JFG8YPGB8C6J05BYMFHMX7KB,2024-12-19T20:15:11.375858305Z,true,2024-12-19T20:26:58.036802045Z,01JFG9G8BCR6KX9G2M0D6AFMZP,2024-12-19T20:24:46.709253969Z,3,2024-12-19T20:26:57.776079717Z,0,2024-12-19T20:26:57.776079717Z,63,2024-12-19T20:26:58.036802045Z,1,2024-12-19T20:26:57.776079717Z,null,2024-12-19T20:51:00.294073781Z,true,2024-12-19T20:26:57.759229848Z,true,2024-12-19T20:26:57.759229848Z,ended,2024-12-19T20:51:00.325170314Z,"[[287,250],[287,360],[287,82],[287,392],[415,250],[415,360],[415,82],[415,392],[11,250],[11,360],[11,82],[11,392],[74,250],[74,360],[74,82],[74,392]]",2024-12-19T20:26:58.036802045Z,"[287,415,11,74]",2024-12-19T20:26:58.036802045Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T20:15:11.339476419Z,full-comp-between,2024-12-19T20:15:11.339476419Z
01JFG8YYF8H0QD8W9TRHSGW7CC,2,2024-12-19T20:35:50.57402756Z,01JFG8YYEMC3P14CH23MXYXJ1N,2024-12-19T20:15:19.528114111Z,"[232,119,371,203]",2024-12-19T20:35:50.773423241Z,4,2024-12-19T20:35:50.596843448Z,comp-within,2024-12-19T20:35:50.596843448Z,true,2024-12-19T21:15:31.806348121Z,end of game,2024-12-19T21:15:31.912740365Z,01JFG8YYG6A2R53D7XT4ATDM5V,2024-12-19T20:15:19.561596738Z,true,2024-12-19T20:35:50.773423241Z,01JFGA2JZH3ZXQZRBN15GFEJR3,2024-12-19T20:34:47.415191425Z,3,2024-12-19T20:35:50.596843448Z,90,2024-12-19T20:35:50.596843448Z,63,2024-12-19T20:35:50.773423241Z,1,2024-12-19T20:35:50.596843448Z,null,2024-12-19T21:15:31.806348121Z,true,2024-12-19T20:35:50.57402756Z,true,2024-12-19T20:35:50.57402756Z,ended,2024-12-19T21:15:31.912740365Z,"[[170,232],[170,119],[170,371],[170,203],[462,232],[462,119],[462,371],[462,203],[224,232],[224,119],[224,371],[224,203],[53,232],[53,119],[53,371],[53,203]]",2024-12-19T20:35:50.773423241Z,"[170,462,224,53]",2024-12-19T20:35:50.773423241Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T20:15:19.528114111Z,full-comp-within,2024-12-19T20:15:19.528114111Z
01JFG8Z7EFJZW02VJSC7JSSAXB,2,2024-12-19T20:41:50.036796297Z,01JFG8Z7DX9XXJDKG3QSY7GHWR,2024-12-19T20:15:28.719157887Z,"[384,316,193,228,104,24,338,446,214,238,45,450,68,116,148,122]",2024-12-19T20:41:50.60955458Z,4,2024-12-19T20:41:50.078485048Z,noncomp,2024-12-19T20:41:50.078485048Z,true,2024-12-19T21:04:17.671651199Z,end of game,2024-12-19T21:04:17.724935539Z,01JFG8Z7F6RE5KK9CMKR0HZBE8,2024-12-19T20:15:28.746137653Z,true,2024-12-19T20:41:50.60955458Z,01JFGAAPVZ52ECYF00PG5HG4MW,2024-12-19T20:39:13.544893221Z,3,2024-12-19T20:41:50.078485048Z,0,2024-12-19T20:41:50.078485048Z,63,2024-12-19T20:41:50.60955458Z,1,2024-12-19T20:41:50.078485048Z,null,2024-12-19T21:04:17.671651199Z,true,2024-12-19T20:41:50.036796297Z,true,2024-12-19T20:41:50.036796297Z,ended,2024-12-19T21:04:17.724935539Z,"[[215,384],[274,316],[400,193],[309,228],[141,104],[117,24],[380,338],[442,446],[358,214],[287,238],[93,45],[454,450],[219,68],[63,116],[125,148],[26,122]]",2024-12-19T20:41:50.60955458Z,"[215,274,400,309,141,117,380,442,358,287,93,454,219,63,125,26]",2024-12-19T20:41:50.60955458Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T20:15:28.719157887Z,full-noncomp,2024-12-19T20:15:28.719157887Z
01JFG8Z9BQREF412YKSXPEAKSA,2,2024-12-19T20:49:32.644614399Z,01JFG8Z9B8TE7ZVBBENQDAJDQK,2024-12-19T20:15:30.679498222Z,"[180,347,56,166]",2024-12-19T20:49:33.213795378Z,4,2024-12-19T20:49:32.684860199Z,comp-between,2024-12-19T20:49:32.684860199Z,true,2024-12-19T21:15:32.341360234Z,end of game,2024-12-19T21:15:32.41373266Z,01JFG8Z9CA4YPQJP9ZBHRVHGE8,2024-12-19T20:15:30.701767711Z,true,2024-12-19T20:49:33.213795378Z,01JFGAX6D76RTFPT4H3BJCRN0Y,2024-12-19T20:49:19.279864582Z,3,2024-12-19T20:49:32.684860199Z,90,2024-12-19T20:49:32.684860199Z,63,2024-12-19T20:49:33.213795378Z,1,2024-12-19T20:49:32.684860199Z,null,2024-12-19T21:15:32.341360234Z,true,2024-12-19T20:49:32.644614399Z,true,2024-12-19T20:49:32.644614399Z,ended,2024-12-19T21:15:32.41373266Z,"[[258,180],[258,347],[258,56],[258,166],[241,180],[241,347],[241,56],[241,166],[343,180],[343,347],[343,56],[343,166],[195,180],[195,347],[195,56],[195,166]]",2024-12-19T20:49:33.213795378Z,"[258,241,343,195]",2024-12-19T20:49:33.213795378Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T20:15:30.679498222Z,full-comp-between,2024-12-19T20:15:30.679498222Z
01JFG8ZB56RK4A1F3V9S54MW2R,,,01JFG8ZB4Q4WJW7MWN4SBTYJ20,2024-12-19T20:15:32.518099711Z,,,,,,,false,2024-12-19T20:15:32.518099711Z,shared lobby timeout,2024-12-19T20:48:05.271492311Z,01JFG8ZB5T55E51E07G16167TD,2024-12-19T20:15:32.540363753Z,,,01JFGAHS50Y65ZGKHR80Z5CZR5,2024-12-19T20:43:05.270369593Z,,,,,,,,,,,false,2024-12-19T20:15:32.518099711Z,,,failed,2024-12-19T20:48:05.271492311Z,,,,,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T20:15:32.518099711Z,full-noncomp,2024-12-19T20:15:32.518099711Z
