id,batchID,batchIDLastChangedAt,chat,chatLastChangedAt,correct,correctLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,numTrials,numTrialsLastChangedAt,repNum,repNumLastChangedAt,reps,repsLastChangedAt,response,responseLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,tangramURLs,tangramURLsLastChangedAt,target,targetLastChangedAt,targetNum,targetNumLastChangedAt,trialNum,trialNumLastChangedAt
01JFGA8FGK040X46CJGG8YHWGX,01JFG9ZJ8XKYY7A2PH26Y8HW5Q,2024-12-19T20:38:00.46800029Z,,,,,false,2024-12-19T20:38:00.46800029Z,01JFG9ZJ9GEX6MPZ0HAKGHGQ29,2024-12-19T20:38:00.46800029Z,40,2024-12-19T20:38:00.46800029Z,65,2024-12-19T20:38:00.46800029Z,2,2024-12-19T20:38:00.46800029Z,4,2024-12-19T20:38:00.46800029Z,,,2,2024-12-19T20:38:02.035342811Z,false,2024-12-19T20:38:00.46800029Z,"[""/tangrams/97_437.png"",""/tangrams/311_267.png"",""/tangrams/97_267.png"",""/tangrams/311_437.png""]",2024-12-19T20:38:00.46800029Z,/tangrams/311_437.png,2024-12-19T20:38:00.46800029Z,9,2024-12-19T20:38:00.46800029Z,40,2024-12-19T20:38:00.46800029Z
01JFGB9AY2SWYA2NQR2ZBE87QZ,01JFGA58CRKR49V2KH4XS2WDYB,2024-12-19T20:55:57.122284353Z,"[{""text"":""house, bottom left square"",""sender"":{""id"":""01JFGB2B59CTSJXJMRCQWE3459"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2024-12-19T21:33:03.407259541Z,true,2024-12-19T21:33:11.626820417Z,true,2024-12-19T21:33:11.597972789Z,01JFGA58DFG208NE3ZXZFARAF8,2024-12-19T20:55:57.122284353Z,60,2024-12-19T20:55:57.122284353Z,65,2024-12-19T20:55:57.122284353Z,3,2024-12-19T20:55:57.122284353Z,4,2024-12-19T20:55:57.122284353Z,/tangrams/182_243.png,2024-12-19T21:33:11.626820417Z,2,2024-12-19T20:56:01.288937913Z,true,2024-12-19T21:32:57.678260249Z,"[""/tangrams/47_7.png"",""/tangrams/182_243.png"",""/tangrams/182_7.png"",""/tangrams/47_243.png""]",2024-12-19T20:55:57.122284353Z,/tangrams/182_243.png,2024-12-19T20:55:57.122284353Z,13,2024-12-19T20:55:57.122284353Z,60,2024-12-19T20:55:57.122284353Z
01JFG9M8FKEX2X5089CE8CJPE8,01JFG8YPEF275M0SF9PNSPV272,2024-12-19T20:26:57.907995243Z,"[{""text"":""hi"",""sender"":{""id"":""01JFG9DEE4WBNK3M0D0JDNFZ74"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}},{""text"":""only shape with a diamond on top"",""sender"":{""id"":""01JFG9JKCBFHFPAFFP1RJW3H2X"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2024-12-19T20:28:19.895081237Z,true,2024-12-19T20:28:25.993378213Z,true,2024-12-19T20:28:25.985942685Z,01JFG8YPFB4QWAE1J5AKFP27SX,2024-12-19T20:26:57.907995243Z,2,2024-12-19T20:26:57.907995243Z,65,2024-12-19T20:26:57.907995243Z,0,2024-12-19T20:26:57.907995243Z,4,2024-12-19T20:26:57.907995243Z,/tangrams/287_82.png,2024-12-19T20:28:25.993378213Z,2,2024-12-19T20:26:58.077465326Z,true,2024-12-19T20:28:07.619194548Z,"[""/tangrams/287_82.png"",""/tangrams/415_250.png"",""/tangrams/11_360.png"",""/tangrams/74_392.png""]",2024-12-19T20:26:57.907995243Z,/tangrams/287_82.png,2024-12-19T20:26:57.907995243Z,3,2024-12-19T20:26:57.907995243Z,2,2024-12-19T20:26:57.907995243Z
01JFGA4GSJSD1PK40YQ125E684,01JFG8YYEMC3P14CH23MXYXJ1N,2024-12-19T20:35:50.70691979Z,"[{""text"":""full arrow inside the shape"",""sender"":{""id"":""01JFGA0NWRWKSJ3RKMWVYF5FSB"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2024-12-19T20:52:58.257836082Z,true,2024-12-19T20:53:09.204933244Z,true,2024-12-19T20:53:09.184019743Z,01JFG8YYF8H0QD8W9TRHSGW7CC,2024-12-19T20:35:50.70691979Z,24,2024-12-19T20:35:50.70691979Z,65,2024-12-19T20:35:50.70691979Z,1,2024-12-19T20:35:50.70691979Z,4,2024-12-19T20:35:50.70691979Z,/tangrams/53_232.png,2024-12-19T20:53:09.204933244Z,2,2024-12-19T20:35:51.171032237Z,true,2024-12-19T20:52:47.801913465Z,"[""/tangrams/53_232.png"",""/tangrams/53_371.png"",""/tangrams/170_232.png"",""/tangrams/170_371.png""]",2024-12-19T20:35:50.70691979Z,/tangrams/53_232.png,2024-12-19T20:35:50.70691979Z,9,2024-12-19T20:35:50.70691979Z,24,2024-12-19T20:35:50.70691979Z
01JFGA6DCFH3EZXEK4J63Q09ER,01JFG8ZHTASWYYHKW5R8B6JS82,2024-12-19T20:36:52.751168321Z,"[{""text"":""dragon with hat, one thick side leg"",""sender"":{""id"":""01JFGA15AQNS2PES3EQRRP5408"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2024-12-19T20:47:38.508891217Z,true,2024-12-19T20:47:50.357122866Z,true,2024-12-19T20:47:50.347024754Z,01JFG8ZHV16RJMZXAMJCSCC8YH,2024-12-19T20:36:52.751168321Z,21,2024-12-19T20:36:52.751168321Z,65,2024-12-19T20:36:52.751168321Z,1,2024-12-19T20:36:52.751168321Z,4,2024-12-19T20:36:52.751168321Z,/tangrams/232_425.png,2024-12-19T20:47:50.357122866Z,2,2024-12-19T20:36:53.55300783Z,true,2024-12-19T20:47:05.834761547Z,"[""/tangrams/232_425.png"",""/tangrams/22_346.png"",""/tangrams/22_425.png"",""/tangrams/232_346.png""]",2024-12-19T20:36:52.751168321Z,/tangrams/232_425.png,2024-12-19T20:36:52.751168321Z,6,2024-12-19T20:36:52.751168321Z,21,2024-12-19T20:36:52.751168321Z
01JFG9M8G7MW8N1W230EEWWS6H,01JFG8YPEF275M0SF9PNSPV272,2024-12-19T20:26:57.927643619Z,"[{""text"":""whale with sharp top right"",""sender"":{""id"":""01JFG9JKCBFHFPAFFP1RJW3H2X"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2024-12-19T20:40:38.017721393Z,true,2024-12-19T20:40:44.210234953Z,true,2024-12-19T20:40:44.19800856Z,01JFG8YPFB4QWAE1J5AKFP27SX,2024-12-19T20:26:57.927643619Z,32,2024-12-19T20:26:57.927643619Z,65,2024-12-19T20:26:57.927643619Z,2,2024-12-19T20:26:57.927643619Z,4,2024-12-19T20:26:57.927643619Z,/tangrams/415_360.png,2024-12-19T20:40:44.210234953Z,2,2024-12-19T20:26:58.565198653Z,true,2024-12-19T20:40:17.054808684Z,"[""/tangrams/74_392.png"",""/tangrams/11_250.png"",""/tangrams/415_360.png"",""/tangrams/287_82.png""]",2024-12-19T20:26:57.927643619Z,/tangrams/415_360.png,2024-12-19T20:26:57.927643619Z,1,2024-12-19T20:26:57.927643619Z,32,2024-12-19T20:26:57.927643619Z
01JFGA8FJHRGJ1T4MW4V5B63BK,01JFG9ZJ8XKYY7A2PH26Y8HW5Q,2024-12-19T20:38:00.529371395Z,,,,,false,2024-12-19T20:38:00.529371395Z,01JFG9ZJ9GEX6MPZ0HAKGHGQ29,2024-12-19T20:38:00.529371395Z,44,2024-12-19T20:38:00.529371395Z,65,2024-12-19T20:38:00.529371395Z,2,2024-12-19T20:38:00.529371395Z,4,2024-12-19T20:38:00.529371395Z,,,2,2024-12-19T20:38:02.233642774Z,false,2024-12-19T20:38:00.529371395Z,"[""/tangrams/311_437.png"",""/tangrams/97_267.png"",""/tangrams/97_437.png"",""/tangrams/311_267.png""]",2024-12-19T20:38:00.529371395Z,/tangrams/311_267.png,2024-12-19T20:38:00.529371395Z,13,2024-12-19T20:38:00.529371395Z,44,2024-12-19T20:38:00.529371395Z
01JFGAFG373HXX8Q9WPZKZC3TS,01JFG8Z7DX9XXJDKG3QSY7GHWR,2024-12-19T20:41:50.439963626Z,"[{""text"":""cut out"",""sender"":{""id"":""01JFGAC3DMMYRBG1A56E5SQ95T"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2024-12-19T20:58:22.619223552Z,true,2024-12-19T20:58:29.109240302Z,true,2024-12-19T20:58:29.089252276Z,01JFG8Z7EFJZW02VJSC7JSSAXB,2024-12-19T20:41:50.439963626Z,42,2024-12-19T20:41:50.439963626Z,65,2024-12-19T20:41:50.439963626Z,2,2024-12-19T20:41:50.439963626Z,4,2024-12-19T20:41:50.439963626Z,/tangrams/358_214.png,2024-12-19T20:58:29.109240302Z,2,2024-12-19T20:41:51.96253605Z,true,2024-12-19T20:58:17.813667488Z,"[""/tangrams/358_214.png"",""/tangrams/219_68.png"",""/tangrams/454_450.png"",""/tangrams/380_338.png""]",2024-12-19T20:41:50.439963626Z,/tangrams/358_214.png,2024-12-19T20:41:50.439963626Z,11,2024-12-19T20:41:50.439963626Z,42,2024-12-19T20:41:50.439963626Z
01JFGAXKNN5BJHZA0MVB7VK515,01JFG8Z9B8TE7ZVBBENQDAJDQK,2024-12-19T20:49:32.853458683Z,"[{""text"":""bed looking like on right"",""sender"":{""id"":""01JFGAQBHR0HECY779RTQ2C4C3"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2024-12-19T21:01:38.690230308Z,true,2024-12-19T21:01:47.451828285Z,true,2024-12-19T21:01:47.403338386Z,01JFG8Z9BQREF412YKSXPEAKSA,2024-12-19T20:49:32.853458683Z,17,2024-12-19T20:49:32.853458683Z,65,2024-12-19T20:49:32.853458683Z,1,2024-12-19T20:49:32.853458683Z,4,2024-12-19T20:49:32.853458683Z,/tangrams/258_166.png,2024-12-19T21:01:47.451828285Z,2,2024-12-19T20:49:33.889582118Z,true,2024-12-19T21:01:13.464773881Z,"[""/tangrams/195_347.png"",""/tangrams/343_180.png"",""/tangrams/241_56.png"",""/tangrams/258_166.png""]",2024-12-19T20:49:32.853458683Z,/tangrams/258_166.png,2024-12-19T20:49:32.853458683Z,2,2024-12-19T20:49:32.853458683Z,17,2024-12-19T20:49:32.853458683Z
01JFGAFG0WKQDQ5QQ5V8RWEC3Q,01JFG8Z7DX9XXJDKG3QSY7GHWR,2024-12-19T20:41:50.364380171Z,"[{""text"":""small white rectangle cut out"",""sender"":{""id"":""01JFGAC3DMMYRBG1A56E5SQ95T"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2024-12-19T20:53:50.515400391Z,true,2024-12-19T20:53:56.356512626Z,true,2024-12-19T20:53:56.336811046Z,01JFG8Z7EFJZW02VJSC7JSSAXB,2024-12-19T20:41:50.364380171Z,28,2024-12-19T20:41:50.364380171Z,65,2024-12-19T20:41:50.364380171Z,1,2024-12-19T20:41:50.364380171Z,4,2024-12-19T20:41:50.364380171Z,/tangrams/141_104.png,2024-12-19T20:53:56.356512626Z,2,2024-12-19T20:41:51.525655417Z,true,2024-12-19T20:53:40.94526789Z,"[""/tangrams/125_148.png"",""/tangrams/26_122.png"",""/tangrams/141_104.png"",""/tangrams/117_24.png""]",2024-12-19T20:41:50.364380171Z,/tangrams/141_104.png,2024-12-19T20:41:50.364380171Z,13,2024-12-19T20:41:50.364380171Z,28,2024-12-19T20:41:50.364380171Z
