id,avatar,avatarLastChangedAt,bonus,bonusLastChangedAt,clicked,clickedLastChangedAt,ended,endedLastChangedAt,exitStepDone,exitStepDoneLastChangedAt,exitSurvey,exitSurveyLastChangedAt,gameID,gameIDLastChangedAt,intro,introLastChangedAt,introDone,introDoneLastChangedAt,name,nameLastChangedAt,nameColor,nameColorLastChangedAt,numRoundsInactive,numRoundsInactiveLastChangedAt,participantID,participantIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,partner,partnerLastChangedAt,replayGameReadyCheck,replayGameReadyCheckLastChangedAt,role,roleLastChangedAt,score,scoreLastChangedAt,src,srcLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,urlParams,urlParamsLastChangedAt
01JFGGNTZBEG8JXGQ5FW5KHVBP,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2024-12-19T22:34:31.971516512Z,1.620000,2024-12-19T23:11:05.329380944Z,/tangrams/111_141.png,2024-12-19T23:11:01.966209647Z,game ended,2024-12-19T23:11:05.435433141Z,true,2024-12-19T23:12:14.207139549Z,"{""age"":""35"",""gender"":""female"",""strategy"":""I tried to use the closest thing the object looks like to describe it"",""enjoy"":""Yes, they were very good in picking hints"",""feedback"":"""",""education"":""bachelor""}",2024-12-19T23:12:14.224566229Z,01JFGFWSJTPRE578HBRT5YXA5V,2024-12-19T22:32:51.19251378Z,2,2024-12-19T22:32:30.991621556Z,true,2024-12-19T22:33:00.292757064Z,Repi,2024-12-19T22:34:31.971516512Z,#29828D,2024-12-19T22:34:31.971516512Z,1,2024-12-19T22:35:53.828761022Z,01JFGGNS8EQSEBNPWWD53VPE7H,2024-12-19T22:30:09.643278463Z,66a398080da27efcc3e8ecef,2024-12-19T22:30:09.643278463Z,01JFGGPHKK3AVZJ78J4S5VYEDK,2024-12-19T22:34:31.971516512Z,,,director,2024-12-19T23:10:38.275904192Z,1.620000,2024-12-19T23:11:05.329380944Z,/avatars/blue.png,2024-12-19T22:34:31.971516512Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T22:30:09.653186398Z,full-noncomp,2024-12-19T22:30:09.653186398Z,"{""participantKey"":""66a398080da27efcc3e8ecef"",""STUDY_ID"":""67649b6d70ada9c32a2ce575"",""SESSION_ID"":""67649e021c19a151737be64b""}",2024-12-19T22:30:10.253002124Z
01JFGGY4EJZ4DG8DPE4SD78BN7,,,,,,,game terminated,2024-12-19T23:23:47.548282464Z,,,,,01JFGH1XJJRYBQNBNM5JF45TX7,2024-12-19T22:42:14.930458764Z,1,2024-12-19T22:35:05.393428486Z,,,,,,,,,01JFGGY3MZ8SRGW9XHRN81BEKG,2024-12-19T22:34:41.490790064Z,5f564ae0aeb6d004432338c9,2024-12-19T22:34:41.490790064Z,,,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T22:34:41.50404135Z,full-comp-within,2024-12-19T22:34:41.50404135Z,"{""participantKey"":""5f564ae0aeb6d004432338c9"",""STUDY_ID"":""67649b6d70ada9c32a2ce575"",""SESSION_ID"":""67649f61b74a7be801c06a6e""}",2024-12-19T22:34:41.90427136Z
01JFGGZC3915SS7BASVTNGJQ8H,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2024-12-19T22:38:50.799332284Z,1.890000,2024-12-19T23:03:48.029202966Z,/tangrams/425_359.png,2024-12-19T23:03:44.630118484Z,game ended,2024-12-19T23:03:48.171984823Z,true,2024-12-19T23:04:45.973441802Z,"{""age"":""24"",""gender"":""female"",""strategy"":""Found the shape that was different in the target. Naming them "",""enjoy"":""Yes, because they were quick and fast with descriptions "",""feedback"":""N/a"",""education"":""high-school""}",2024-12-19T23:04:45.990627722Z,01JFGH1XJMMHNGS75E6HMA7M0G,2024-12-19T22:38:38.545693804Z,2,2024-12-19T22:36:47.630360298Z,true,2024-12-19T22:38:38.522308137Z,Minu,2024-12-19T22:38:50.799332284Z,#444EA1,2024-12-19T22:38:50.799332284Z,1,2024-12-19T22:40:54.425295649Z,01JFGGZBX2NZEA1CZF2FCZDH8R,2024-12-19T22:35:22.089935201Z,6732648ad79d030afb04c9f1,2024-12-19T22:35:22.089935201Z,01JFGGRSN0JC24F4EJ70TPQ4HY,2024-12-19T22:38:50.799332284Z,false,2024-12-19T22:38:41.461769031Z,matcher,2024-12-19T23:03:27.245868297Z,1.890000,2024-12-19T23:03:48.029202966Z,/avatars/red.png,2024-12-19T22:38:50.799332284Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T22:35:22.098166058Z,full-noncomp,2024-12-19T22:35:22.098166058Z,"{""participantKey"":""6732648ad79d030afb04c9f1"",""STUDY_ID"":""67649b6d70ada9c32a2ce575"",""SESSION_ID"":""67649f8db563ea065ea53779""}",2024-12-19T22:35:22.202307873Z
01JFGGHJQHB6Y0PJP444T14Z9E,,,,,,,game failed,2024-12-19T22:34:15.311942312Z,,,,,01JFGFX3DCBX4MM3SFD66KXEW2,2024-12-19T22:27:50.137710204Z,2,2024-12-19T22:28:05.796164351Z,,,,,,,,,01JFGGHG8VKD2WZC9PJGD2PQTX,2024-12-19T22:27:50.129462609Z,6735e4faf027b9361e838666,2024-12-19T22:27:50.129462609Z,,,,,,,,,,,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T22:27:50.137710204Z,full-noncomp,2024-12-19T22:27:50.137710204Z,"{""participantKey"":""6735e4faf027b9361e838666"",""STUDY_ID"":""67649b6d70ada9c32a2ce575"",""SESSION_ID"":""67649db1ad01092a4d22bff7""}",2024-12-19T22:27:50.930717561Z
01JFGGP47REW1HB8Q0ZPA3FHPJ,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2024-12-19T22:32:51.427664547Z,1.770000,2024-12-19T23:02:41.054234479Z,/tangrams/118_224.png,2024-12-19T23:02:37.544084037Z,game ended,2024-12-19T23:02:41.224656417Z,true,2024-12-19T23:04:27.613472918Z,"{""age"":""34"",""gender"":""Female "",""strategy"":""Describing the shape in the same way each time "",""enjoy"":""Yes it was fun as we both learned what our descriptions meant quickly "",""feedback"":""No problems"",""education"":""bachelor""}",2024-12-19T23:04:27.589116656Z,01JFGFWXS1CYQ8W171661NCV0C,2024-12-19T22:30:19.139183046Z,2,2024-12-19T22:31:55.104476282Z,true,2024-12-19T22:32:14.42868084Z,Minu,2024-12-19T22:32:51.427664547Z,#444EA1,2024-12-19T22:32:51.427664547Z,1,2024-12-19T22:33:58.048423506Z,01JFGGP3G70S1DPSBBCWFA0V3V,2024-12-19T22:30:19.128115989Z,5dded0203c4937e47e77220e,2024-12-19T22:30:19.128115989Z,01JFGGM5WH54V3KZQZR41Y89CR,2024-12-19T22:32:51.427664547Z,,,matcher,2024-12-19T23:02:16.994974021Z,1.770000,2024-12-19T23:02:41.054234479Z,/avatars/red.png,2024-12-19T22:32:51.427664547Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T22:30:19.139183046Z,full-noncomp,2024-12-19T22:30:19.139183046Z,"{""participantKey"":""5dded0203c4937e47e77220e"",""STUDY_ID"":""67649b6d70ada9c32a2ce575"",""SESSION_ID"":""67649e6c1832aa9c1440c6a8""}",2024-12-19T22:30:19.783471056Z
01JFGGQCJGD3CD3AE43QSY05MX,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2024-12-19T22:34:53.639475099Z,0,2024-12-19T22:34:53.639475099Z,,2024-12-19T22:34:55.730283086Z,game ended,2024-12-19T22:39:09.563118639Z,,,,,01JFGFWXRZTHZS7PZ2FD30KPK9,2024-12-19T22:31:00.439746943Z,2,2024-12-19T22:34:28.148948944Z,true,2024-12-19T22:34:53.441208253Z,Repi,2024-12-19T22:34:53.639475099Z,#29828D,2024-12-19T22:34:53.639475099Z,4,2024-12-19T22:39:09.456967433Z,01JFGGQBZCEN4PT53P261JZR8A,2024-12-19T22:31:00.432676263Z,6658b14998569e477b21cd80,2024-12-19T22:31:00.432676263Z,01JFGGQKZZNP30T63KKY146324,2024-12-19T22:34:53.639475099Z,,,director,2024-12-19T22:38:05.402729862Z,0,2024-12-19T22:34:53.639475099Z,/avatars/blue.png,2024-12-19T22:34:53.639475099Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T22:31:00.439746943Z,full-comp-between,2024-12-19T22:31:00.439746943Z,"{""participantKey"":""6658b14998569e477b21cd80"",""STUDY_ID"":""67649b6d70ada9c32a2ce575"",""SESSION_ID"":""67649e893c913156604c88ea""}",2024-12-19T22:31:00.744330466Z
01JFGGQNTR2KRJH94PV4GMMG7E,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2024-12-19T22:38:39.074778652Z,1.740000,2024-12-19T23:02:09.672124673Z,/tangrams/268_102.png,2024-12-19T23:02:06.257877356Z,game ended,2024-12-19T23:02:09.78908561Z,true,2024-12-19T23:02:59.19714624Z,"{""age"":""33"",""gender"":""female"",""strategy"":""finding similar letters"",""enjoy"":""I felt bad for guessing some of them incorrectly."",""feedback"":"""",""education"":""high-school""}",2024-12-19T23:02:58.98792984Z,01JFGFW0F27SHDS0SFHRM30VA0,2024-12-19T22:34:31.729562768Z,2,2024-12-19T22:35:42.63904159Z,true,2024-12-19T22:36:17.528441152Z,Minu,2024-12-19T22:38:39.074778652Z,#444EA1,2024-12-19T22:38:39.074778652Z,,,01JFGGQN20ZEMN1A6HCJ2HRF11,2024-12-19T22:31:09.912972367Z,5962a5b29955ee00015bce98,2024-12-19T22:31:09.912972367Z,01JFGGNR73D2HEFBKA28FAZ47Z,2024-12-19T22:38:39.074778652Z,,,matcher,2024-12-19T23:01:59.301359002Z,1.740000,2024-12-19T23:02:09.672124673Z,/avatars/red.png,2024-12-19T22:38:39.074778652Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T22:31:09.919673876Z,full-noncomp,2024-12-19T22:31:09.919673876Z,"{""participantKey"":""5962a5b29955ee00015bce98"",""STUDY_ID"":""67649b6d70ada9c32a2ce575"",""SESSION_ID"":""67649da916158f9fb43a8598""}",2024-12-19T22:31:10.518289326Z
01JFGGY0C9P7SK4FJY7CSYDBBZ,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2024-12-19T22:37:34.905279386Z,1.800000,2024-12-19T23:21:55.217370182Z,/tangrams/39_157.png,2024-12-19T23:21:51.805301555Z,game ended,2024-12-19T23:21:55.381238425Z,true,2024-12-19T23:23:03.514037231Z,"{""age"":""25"",""gender"":""Male"",""strategy"":""Describing the most identifiable shapes and the amount of it we see"",""enjoy"":""Yes, they were good at describing and understood me well"",""feedback"":""n/a"",""education"":""bachelor""}",2024-12-19T23:23:03.498326432Z,01JFGFW0F27SHDS0SFHGM8CNDF,2024-12-19T22:34:37.330865694Z,2,2024-12-19T22:36:13.670652404Z,true,2024-12-19T22:36:29.98954285Z,Minu,2024-12-19T22:37:34.905279386Z,#444EA1,2024-12-19T22:37:34.905279386Z,,,01JFGGY04Z3PCYF9JNRB9DV95P,2024-12-19T22:34:37.321967316Z,5b3913051d4b6800016935dc,2024-12-19T22:34:37.321967316Z,01JFGGQK2BT0FZKWF7K16B1AFN,2024-12-19T22:37:34.905279386Z,,,matcher,2024-12-19T23:21:09.715838346Z,1.800000,2024-12-19T23:21:55.217370182Z,/avatars/red.png,2024-12-19T22:37:34.905279386Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T22:34:37.330865694Z,full-comp-within,2024-12-19T22:34:37.330865694Z,"{""participantKey"":""5b3913051d4b6800016935dc"",""STUDY_ID"":""67649b6d70ada9c32a2ce575"",""SESSION_ID"":""67649f626c367883693d846f""}",2024-12-19T22:34:37.443854089Z
01JFGH16HG62KY2MJ06QSVA7NF,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2024-12-19T22:42:15.688776298Z,1.800000,2024-12-19T23:12:30.531361794Z,/tangrams/287_251.png,2024-12-19T23:12:27.198833361Z,game ended,2024-12-19T23:12:30.644134292Z,true,2024-12-19T23:15:54.38221023Z,"{""age"":""37"",""gender"":""male"",""strategy"":""Quickly come up with names for each shape segment and try to adapt to what the other players calls them."",""enjoy"":""Absolutely, I don't think I could do it for much longer without feeling a bit bored, but it was enjoyable to so quickly come to an understanding with someone I don't know."",""feedback"":""I had already seen this exit survey before the game started, and may have submitted it."",""education"":""high-school""}",2024-12-19T23:15:54.360824517Z,01JFGFWSJSN7CYYEARKZXH111B,2024-12-19T22:41:26.428173451Z,2,2024-12-19T22:39:15.781188924Z,true,2024-12-19T22:41:49.659385608Z,Repi,2024-12-19T22:42:15.688776298Z,#29828D,2024-12-19T22:42:15.688776298Z,1,2024-12-19T22:43:33.84204078Z,01JFGH15WEQYWF6HJA8DBF095J,2024-12-19T22:36:21.936290522Z,6658bfdffc0ff7bc3cf89ef6,2024-12-19T22:36:21.936290522Z,01JFGH9N89BJHQ0G9TGZVH9VKV,2024-12-19T22:42:15.688776298Z,,,director,2024-12-19T23:11:47.994098977Z,1.800000,2024-12-19T23:12:30.531361794Z,/avatars/blue.png,2024-12-19T22:42:15.688776298Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T22:41:26.428173451Z,full-comp-within,2024-12-19T22:41:26.428173451Z,"{""participantKey"":""6658bfdffc0ff7bc3cf89ef6"",""STUDY_ID"":""67649b6d70ada9c32a2ce575"",""SESSION_ID"":""67649fbe917e303a153d4100""}",2024-12-19T22:36:22.285277852Z
01JFGH1W0QTTVCRW73BEZ73GQ0,,,,,,,game failed,2024-12-19T22:40:03.80294044Z,,,,,01JFGFW0F18H8H6HC435SQXTG5,2024-12-19T22:36:43.943767827Z,2,2024-12-19T22:36:52.911781356Z,,,,,,,,,01JFGH1VC3XN9X3RG5SYWENXHB,2024-12-19T22:36:43.927433807Z,66565a8bc8912e63a3755f01,2024-12-19T22:36:43.927433807Z,,,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T22:36:43.943767827Z,full-comp-between,2024-12-19T22:36:43.943767827Z,"{""participantKey"":""66565a8bc8912e63a3755f01"",""STUDY_ID"":""67649b6d70ada9c32a2ce575"",""SESSION_ID"":""67649dd0b563ea065ea5372f""}",2024-12-19T22:36:44.283244663Z
