id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt
01JFGHNGBTYFDY5MYQ4WGW1S8M,01JFGFWXRF7SWH4R9JWCGX5AX9,2024-12-19T22:47:27.354632215Z,01JFGFWXS1CYQ8W171661NCV0C,2024-12-19T22:47:27.354632215Z,01JFGGP47REW1HB8Q0ZPA3FHPJ,2024-12-19T22:47:27.354632215Z,01JFGGTRWQ1H1G9B8QKJ83K2JF,2024-12-19T22:47:27.354632215Z
01JFGHX3FEA9185N0CXT23G630,01JFGFWSJ3PS8C1T010MK368EP,2024-12-19T22:51:36.302185244Z,01JFGFWSJSN7CYYEARKZXH111B,2024-12-19T22:51:36.302185244Z,01JFGH16HG62KY2MJ06QSVA7NF,2024-12-19T22:51:36.302185244Z,01JFGHBZH3K8183W5X2FZXPMJC,2024-12-19T22:51:36.302185244Z
01JFGHY7XXR8SFYKF6CJWXZVTS,01JFGFW0DVE7CVHWSRC197DM3P,2024-12-19T22:52:13.629360093Z,01JFGFW0F27SHDS0SFHRM30VA0,2024-12-19T22:52:13.629360093Z,01JFGGNR73D2HEFBKA28FAZ47Z,2024-12-19T22:52:13.629360093Z,01JFGH5C8A0W18K380ZGMMYNXP,2024-12-19T22:52:13.629360093Z
01JFGJFB6WFHH8DV5SQQJXRY84,01JFGFWXRF7SWH4R9JWCGX5AX9,2024-12-19T23:01:34.044986672Z,01JFGFWXS1CYQ8W171661NCV0C,2024-12-19T23:01:34.044986672Z,01JFGGM5WH54V3KZQZR41Y89CR,2024-12-19T23:01:34.044986672Z,01JFGGTRXGNSN2F14FCM008K55,2024-12-19T23:01:34.044986672Z
01JFGHEX1ZB2D4BZ48T20H4J3X,01JFGFW0DVE7CVHWSRC197DM3P,2024-12-19T22:43:50.975865315Z,01JFGFW0F27SHDS0SFHRM30VA0,2024-12-19T22:43:50.975865315Z,01JFGGQNTR2KRJH94PV4GMMG7E,2024-12-19T22:43:50.975865315Z,01JFGH5C5YR6B75QR2HNFYDVT9,2024-12-19T22:43:50.975865315Z
01JFGHHDR524HWNEBAJPH5XVKZ,01JFGFW0DVE7CVHWSRC197DM3P,2024-12-19T22:45:13.605906786Z,01JFGFW0F27SHDS0SFHRM30VA0,2024-12-19T22:45:13.605906786Z,01JFGGQNTR2KRJH94PV4GMMG7E,2024-12-19T22:45:13.605906786Z,01JFGH5C65EEGQFAP4N5Z82JT0,2024-12-19T22:45:13.605906786Z
01JFGJ6FV3XZ3B3DNS2GKB43XG,01JFGFWSJ3PS8C1T010MK368EP,2024-12-19T22:56:43.875753328Z,01JFGFWSJTPRE578HBRT5YXA5V,2024-12-19T22:56:43.875753328Z,01JFGGPHKK3AVZJ78J4S5VYEDK,2024-12-19T22:56:43.875753328Z,01JFGGXV44D8N15EM2G1QAWWW6,2024-12-19T22:56:43.875753328Z
01JFGH83VR1JEF03KT8E9T078R,01JFGFW0DVE7CVHWSRC197DM3P,2024-12-19T22:40:08.568145037Z,01JFGFW0F27SHDS0SFHGM8CNDF,2024-12-19T22:40:08.568145037Z,01JFGGQK2BT0FZKWF7K16B1AFN,2024-12-19T22:40:08.568145037Z,01JFGH3DNNP9H4Q7TSYNAEPRPA,2024-12-19T22:40:08.568145037Z
01JFGHHYDBVSBSVX088DXJBT4T,01JFGH1XHKWJTME2X41MTMC6AZ,2024-12-19T22:45:30.66761058Z,01JFGH1XJMMHNGS75E6HMA7M0G,2024-12-19T22:45:30.66761058Z,01JFGGRSN0JC24F4EJ70TPQ4HY,2024-12-19T22:45:30.66761058Z,01JFGH5QP0A6WWYKV9D022Z9FM,2024-12-19T22:45:30.66761058Z
01JFGH4BJEK7TC0ASRAZB0JHFD,01JFGFWXRF7SWH4R9JWCGX5AX9,2024-12-19T22:38:05.390360261Z,01JFGFWXRZTHZS7PZ2FD30KPK9,2024-12-19T22:38:05.390360261Z,01JFGGQCJGD3CD3AE43QSY05MX,2024-12-19T22:38:05.390360261Z,01JFGGYG82EBGNVT5M4T1H45QV,2024-12-19T22:38:05.390360261Z
01JFGHZPR3DDC28R1J75APA09Z,01JFGFW0DVE7CVHWSRC197DM3P,2024-12-19T22:53:01.572036094Z,01JFGFW0F27SHDS0SFHRM30VA0,2024-12-19T22:53:01.572036094Z,01JFGGNR73D2HEFBKA28FAZ47Z,2024-12-19T22:53:01.572036094Z,01JFGH5C8Q1SH9K8R9174C04KG,2024-12-19T22:53:01.572036094Z
01JFGHQWZ2ZZ7J6FVWPGY41DZ0,01JFGH1XHKWJTME2X41MTMC6AZ,2024-12-19T22:48:45.795067941Z,01JFGH1XJMMHNGS75E6HMA7M0G,2024-12-19T22:48:45.795067941Z,01JFGGRSN0JC24F4EJ70TPQ4HY,2024-12-19T22:48:45.795067941Z,01JFGH5QN08044C4Z7TQ5XPN0B,2024-12-19T22:48:45.795067941Z
01JFGHVSYHWFRJV2S4Z37KWQRM,01JFGFWXRF7SWH4R9JWCGX5AX9,2024-12-19T22:50:53.777814296Z,01JFGFWXS1CYQ8W171661NCV0C,2024-12-19T22:50:53.777814296Z,01JFGGP47REW1HB8Q0ZPA3FHPJ,2024-12-19T22:50:53.777814296Z,01JFGGTRX3EX0AC4Z23VG44XYP,2024-12-19T22:50:53.777814296Z
01JFGJBT7S1WAVFQRBFEY1QP2J,01JFGFWSJ3PS8C1T010MK368EP,2024-12-19T22:59:38.361909528Z,01JFGFWSJTPRE578HBRT5YXA5V,2024-12-19T22:59:38.361909528Z,01JFGGNTZBEG8JXGQ5FW5KHVBP,2024-12-19T22:59:38.361909528Z,01JFGGXV3HJDX7968HBN411RQQ,2024-12-19T22:59:38.361909528Z
01JFGJDYE850MK5G9YEWNHH746,01JFGH1XHKWJTME2X41MTMC6AZ,2024-12-19T23:00:48.200747684Z,01JFGH1XJMMHNGS75E6HMA7M0G,2024-12-19T23:00:48.200747684Z,01JFGGRSN0JC24F4EJ70TPQ4HY,2024-12-19T23:00:48.200747684Z,01JFGH5QTB0MBD4RXD84EE9FFY,2024-12-19T23:00:48.200747684Z
01JFGJGMJQTFNDDCRZ43F9AK6A,01JFGFWSJ3PS8C1T010MK368EP,2024-12-19T23:02:16.407755023Z,01JFGFWSJSN7CYYEARKZXH111B,2024-12-19T23:02:16.407755023Z,01JFGH16HG62KY2MJ06QSVA7NF,2024-12-19T23:02:16.407755023Z,01JFGHBZRAFK4ZMKKMRKEPN7K9,2024-12-19T23:02:16.407755023Z
01JFGJ69F2JYV9EJY7A1YQ28HG,01JFGH1XHKWJTME2X41MTMC6AZ,2024-12-19T22:56:37.346431501Z,01JFGH1XJMMHNGS75E6HMA7M0G,2024-12-19T22:56:37.346431501Z,01JFGGRSN0JC24F4EJ70TPQ4HY,2024-12-19T22:56:37.346431501Z,01JFGH5QRYK5C7HCDW27BBMNYR,2024-12-19T22:56:37.346431501Z
