id,batchID,batchIDLastChangedAt,chat,director,chatLastChangedAt,correct,correctLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,numTrials,numTrialsLastChangedAt,repNum,repNumLastChangedAt,reps,repsLastChangedAt,response,responseLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,tangramURLs,tangramURLsLastChangedAt,target,targetLastChangedAt,targetNum,targetNumLastChangedAt,trialNum,trialNumLastChangedAt
01JGZ1X5RSNT94FV79EQKTRC90,01JGZ1J4W56VM27P6SXN8FAEF4,2025-01-07T00:16:19.737422606Z,"[{""text"":""t or cross on left"",""sender"":{""id"":""01JGZ1SJWNZE8QE3NNJR20DXCP"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",01JGZ1SJWNZE8QE3NNJR20DXCP,2025-01-07T00:32:07.376180261Z,TRUE,2025-01-07T00:32:13.758551493Z,TRUE,2025-01-07T00:32:13.725056838Z,01JGZ1J4WMY7MA81TRZB8H2YG3,2025-01-07T00:16:19.737422606Z,37,2025-01-07T00:16:19.737422606Z,65,2025-01-07T00:16:19.737422606Z,2,2025-01-07T00:16:19.737422606Z,4,2025-01-07T00:16:19.737422606Z,/tangrams/359_159.png,2025-01-07T00:32:13.758551493Z,2,2025-01-07T00:16:20.611515707Z,TRUE,2025-01-07T00:32:01.391963416Z,"[""/tangrams/279_358.png"",""/tangrams/189_309.png"",""/tangrams/72_251.png"",""/tangrams/359_159.png""]",2025-01-07T00:16:19.737422606Z,/tangrams/359_159.png,2025-01-07T00:16:19.737422606Z,6,2025-01-07T00:16:19.737422606Z,37,2025-01-07T00:16:19.737422606Z
01JGZ25RVH43VHEACEWNYSZTSM,01JGZ1J6QFQZJ1HAP3QKP7EGZG,2025-01-07T00:21:01.425578639Z,"[{""text"":"".."",""sender"":{""id"":""01JGZ21Z3AX6J8A76HN69MCSPH"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}},{""text"":""Kind of like a dinosaur with a backpack"",""sender"":{""id"":""01JGZ1RJTH934E99B6DAFAQ5V5"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",01JGZ1RJTH934E99B6DAFAQ5V5,2025-01-07T00:21:59.048831576Z,TRUE,2025-01-07T00:22:07.791923427Z,TRUE,2025-01-07T00:22:07.772202096Z,01JGZ1J6QX7N1Q5REWV6S61X60,2025-01-07T00:21:01.425578639Z,1,2025-01-07T00:21:01.425578639Z,65,2025-01-07T00:21:01.425578639Z,0,2025-01-07T00:21:01.425578639Z,4,2025-01-07T00:21:01.425578639Z,/tangrams/343_165.png,2025-01-07T00:22:07.791923427Z,2,2025-01-07T00:21:01.792718865Z,TRUE,2025-01-07T00:21:36.461630218Z,"[""/tangrams/139_308.png"",""/tangrams/47_418.png"",""/tangrams/343_165.png"",""/tangrams/289_13.png""]",2025-01-07T00:21:01.425578639Z,/tangrams/343_165.png,2025-01-07T00:21:01.425578639Z,2,2025-01-07T00:21:01.425578639Z,1,2025-01-07T00:21:01.425578639Z
01JGZ26ENYKKRDZ4SHJ4EVPA21,01JGZ1J4W56VM27P6SXN8FAEF4,2025-01-07T00:21:23.774249739Z,"[{""text"":""."",""sender"":{""id"":""01JGZ1SAB2MDGX7YH93HRH7DSB"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}},{""text"":""triangle top not a flat base"",""sender"":{""id"":""01JGZ1ZY5F3WYAK7V5DZWPSGQD"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",01JGZ1ZY5F3WYAK7V5DZWPSGQD,2025-01-07T00:28:27.930997336Z,TRUE,2025-01-07T00:28:40.104274829Z,TRUE,2025-01-07T00:28:40.085173439Z,01JGZ1J4WKTCRGQS8R8HDNJ96R,2025-01-07T00:21:23.774249739Z,8,2025-01-07T00:21:23.774249739Z,65,2025-01-07T00:21:23.774249739Z,0,2025-01-07T00:21:23.774249739Z,4,2025-01-07T00:21:23.774249739Z,/tangrams/63_408.png,2025-01-07T00:28:40.104274829Z,2,2025-01-07T00:21:24.098585097Z,TRUE,2025-01-07T00:28:03.332149266Z,"[""/tangrams/415_48.png"",""/tangrams/63_408.png"",""/tangrams/415_408.png"",""/tangrams/63_48.png""]",2025-01-07T00:21:23.774249739Z,/tangrams/63_408.png,2025-01-07T00:21:23.774249739Z,9,2025-01-07T00:21:23.774249739Z,8,2025-01-07T00:21:23.774249739Z
01JGZ2MQAM0ENK5F9JGYG5FW20,01JGZ1J1RQ9RJWEWNQW6SZWDX9,2025-01-07T00:29:11.380693439Z,"[{""text"":""has this extra piece out to the left and its big with less cut out"",""sender"":{""id"":""01JGZ204C2S04A0C870XB1VVEX"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}},{""text"":""i think i picked the wrong one, sorry"",""sender"":{""id"":""01JGZ22DHJXADB0HGG4NS7BEZ1"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}},{""text"":""but its slow, the system"",""sender"":{""id"":""01JGZ22DHJXADB0HGG4NS7BEZ1"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",01JGZ204C2S04A0C870XB1VVEX,2025-01-07T00:42:18.846793323Z,FALSE,2025-01-07T00:42:31.089762216Z,TRUE,2025-01-07T00:42:31.052880601Z,01JGZ1J1SAQ65EVEEREPVNZ6VV,2025-01-07T00:29:11.380693439Z,11,2025-01-07T00:29:11.380693439Z,65,2025-01-07T00:29:11.380693439Z,0,2025-01-07T00:29:11.380693439Z,4,2025-01-07T00:29:11.380693439Z,/tangrams/118_203.png,2025-01-07T00:42:31.089762216Z,2,2025-01-07T00:29:12.34567473Z,TRUE,2025-01-07T00:40:54.86001612Z,"[""/tangrams/118_334.png"",""/tangrams/18_334.png"",""/tangrams/118_203.png"",""/tangrams/18_203.png""]",2025-01-07T00:29:11.380693439Z,/tangrams/18_203.png,2025-01-07T00:29:11.380693439Z,12,2025-01-07T00:29:11.380693439Z,11,2025-01-07T00:29:11.380693439Z
01JGZ4AHK3V04R8GWBV36BQCVH,01JGZ1JZ88SWYYRG2SW3JHB9A4,2025-01-07T00:58:34.979746694Z,,,,,,FALSE,2025-01-07T00:58:34.979746694Z,01JGZ1JZ8NW40KBCX0V75X3ASW,2025-01-07T00:58:34.979746694Z,17,2025-01-07T00:58:34.979746694Z,65,2025-01-07T00:58:34.979746694Z,1,2025-01-07T00:58:34.979746694Z,4,2025-01-07T00:58:34.979746694Z,,,2,2025-01-07T00:58:41.707174167Z,FALSE,2025-01-07T00:58:34.979746694Z,"[""/tangrams/455_369.png"",""/tangrams/41_69.png"",""/tangrams/38_450.png"",""/tangrams/152_148.png""]",2025-01-07T00:58:34.979746694Z,/tangrams/38_450.png,2025-01-07T00:58:34.979746694Z,2,2025-01-07T00:58:34.979746694Z,17,2025-01-07T00:58:34.979746694Z
01JGZ1X5RGNJ1WN3FG8551K9MR,01JGZ1J4W56VM27P6SXN8FAEF4,2025-01-07T00:16:19.728567881Z,"[{""text"":""ready"",""sender"":{""id"":""01JGZ1SJWNZE8QE3NNJR20DXCP"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}},{""text"":""long black right side, open mouth left side"",""sender"":{""id"":""01JGZ1STC3KCA5ZBRR6JQ5QT7E"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",01JGZ1STC3KCA5ZBRR6JQ5QT7E,2025-01-07T00:23:53.24587371Z,TRUE,2025-01-07T00:24:07.376581933Z,TRUE,2025-01-07T00:24:07.361985093Z,01JGZ1J4WMY7MA81TRZB8H2YG3,2025-01-07T00:16:19.728567881Z,16,2025-01-07T00:16:19.728567881Z,65,2025-01-07T00:16:19.728567881Z,1,2025-01-07T00:16:19.728567881Z,4,2025-01-07T00:16:19.728567881Z,/tangrams/402_269.png,2025-01-07T00:24:07.376581933Z,2,2025-01-07T00:16:20.219383327Z,TRUE,2025-01-07T00:23:25.723240028Z,"[""/tangrams/402_269.png"",""/tangrams/101_432.png"",""/tangrams/85_112.png"",""/tangrams/221_130.png""]",2025-01-07T00:16:19.728567881Z,/tangrams/402_269.png,2025-01-07T00:16:19.728567881Z,1,2025-01-07T00:16:19.728567881Z,16,2025-01-07T00:16:19.728567881Z
01JGZ2H5B5CWTMNTX49S9NGPCK,01JGZ1J1RQ9RJWEWNQW6SZWDX9,2025-01-07T00:27:14.662048393Z,,,,,,FALSE,2025-01-07T00:27:14.662048393Z,01JGZ1J1SBA646C45Q9V7SKXN9,2025-01-07T00:27:14.662048393Z,33,2025-01-07T00:27:14.662048393Z,65,2025-01-07T00:27:14.662048393Z,2,2025-01-07T00:27:14.662048393Z,4,2025-01-07T00:27:14.662048393Z,,,2,2025-01-07T00:27:16.077121822Z,FALSE,2025-01-07T00:27:14.662048393Z,"[""/tangrams/21_258.png"",""/tangrams/12_139.png"",""/tangrams/333_45.png"",""/tangrams/368_149.png""]",2025-01-07T00:27:14.662048393Z,/tangrams/333_45.png,2025-01-07T00:27:14.662048393Z,2,2025-01-07T00:27:14.662048393Z,33,2025-01-07T00:27:14.662048393Z
01JGZ2Z3THC6DC0KS2AFXY9EJT,01JGZ1JZ88SWYYRG2SW3JHB9A4,2025-01-07T00:34:51.857204479Z,"[{""text"":""Shape please"",""sender"":{""id"":""01JGZ29ZYEPST8VT6VPFZ1XZC9"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}},{""text"":""Shape without any pointed edge"",""sender"":{""id"":""01JGZ2NWEK2Y904HFY4N6D138M"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",01JGZ2NWEK2Y904HFY4N6D138M,2025-01-07T01:05:09.637056445Z,TRUE,2025-01-07T01:06:55.388813959Z,TRUE,2025-01-07T01:06:54.287799269Z,01JGZ1JZ8NW40KBCX0V187VCKF,2025-01-07T00:34:51.857204479Z,34,2025-01-07T00:34:51.857204479Z,65,2025-01-07T00:34:51.857204479Z,2,2025-01-07T00:34:51.857204479Z,4,2025-01-07T00:34:51.857204479Z,/tangrams/426_270.png,2025-01-07T01:06:55.388813959Z,2,2025-01-07T00:34:57.328963317Z,TRUE,2025-01-07T01:04:31.216797172Z,"[""/tangrams/353_270.png"",""/tangrams/426_270.png"",""/tangrams/353_254.png"",""/tangrams/426_254.png""]",2025-01-07T00:34:51.857204479Z,/tangrams/426_270.png,2025-01-07T00:34:51.857204479Z,3,2025-01-07T00:34:51.857204479Z,34,2025-01-07T00:34:51.857204479Z
01JGZ3BKYQDMDP9N2MGG3TXA98,01JGZ1HQ2ACP5KAXQKEVQPZFA0,2025-01-07T00:41:41.591350553Z,"[{""text"":""only shape where the square is seperate to the rest of the image"",""sender"":{""id"":""01JGZ35EM7WTF6KRT67SJC6CXQ"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",01JGZ35EM7WTF6KRT67SJC6CXQ,2025-01-07T00:47:54.684106276Z,TRUE,2025-01-07T00:48:04.795661574Z,TRUE,2025-01-07T00:48:04.226913252Z,01JGZ1HQ3BXW69RFKVBQ3Y8K4V,2025-01-07T00:41:41.591350553Z,7,2025-01-07T00:41:41.591350553Z,65,2025-01-07T00:41:41.591350553Z,0,2025-01-07T00:41:41.591350553Z,4,2025-01-07T00:41:41.591350553Z,/tangrams/349_356.png,2025-01-07T00:48:04.795661574Z,2,2025-01-07T00:41:44.514430138Z,TRUE,2025-01-07T00:47:35.139215322Z,"[""/tangrams/83_260.png"",""/tangrams/334_178.png"",""/tangrams/349_356.png"",""/tangrams/436_52.png""]",2025-01-07T00:41:41.591350553Z,/tangrams/349_356.png,2025-01-07T00:41:41.591350553Z,8,2025-01-07T00:41:41.591350553Z,7,2025-01-07T00:41:41.591350553Z
01JGZ46FTGGAC0CQ3WD4VCW3FY,01JGZ2J6YWS750GRPJ6FKAYERT,2025-01-07T00:56:22.096617814Z,"[{""text"":""diamond at the bottom with a middle window"",""sender"":{""id"":""01JGZ3VV3C5A6QWRQZS1XEZF12"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",01JGZ3VV3C5A6QWRQZS1XEZF12,2025-01-07T01:34:26.328285018Z,TRUE,2025-01-07T01:34:51.322896794Z,TRUE,2025-01-07T01:34:51.226315157Z,01JGZ2J7237RK699F2RP9MBZAC,2025-01-07T00:56:22.096617814Z,44,2025-01-07T00:56:22.096617814Z,65,2025-01-07T00:56:22.096617814Z,2,2025-01-07T00:56:22.096617814Z,4,2025-01-07T00:56:22.096617814Z,/tangrams/457_39.png,2025-01-07T01:34:51.322896794Z,2,2025-01-07T00:56:33.421844477Z,TRUE,2025-01-07T01:34:05.799812095Z,"[""/tangrams/345_91.png"",""/tangrams/16_299.png"",""/tangrams/457_39.png"",""/tangrams/175_292.png""]",2025-01-07T00:56:22.096617814Z,/tangrams/457_39.png,2025-01-07T00:56:22.096617814Z,13,2025-01-07T00:56:22.096617814Z,44,2025-01-07T00:56:22.096617814Z
