id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01JH0ZSBJ9JXH9PB11ATQZY2SN,01JH0YPC3EKRB8H02J43HQQMKS,2025-01-07T18:17:46.313214756Z,01JH0YPC4PQ2SZZT98DCX2XKP3,2025-01-07T18:17:46.313214756Z,01JH0YWVP8MYRHJX6GYK4YNCSQ,2025-01-07T18:17:46.313214756Z,01JH0Z605BHP2PA2C4F7PT3BNT,2025-01-07T18:17:46.313214756Z,01JH0Z60RTGZBS4G363SV10XNZ,2025-01-07T18:17:46.313214756Z,true,2025-01-07T18:18:01.447095433Z
01JH109R4D1A2FFBY3D6ESXBT9,01JH0YW88SXQAVDXG9KWSJX4BN,2025-01-07T18:26:43.469313275Z,01JH0YW898ZZGZ4521HGEPZ2RP,2025-01-07T18:26:43.469313275Z,01JH0ZGCE0SZNDNF9KEBZD782P,2025-01-07T18:26:43.469313275Z,01JH0ZNXJ775CK1BXB4TFCF4GB,2025-01-07T18:26:43.469313275Z,01JH0ZNXY4GHQDAM5FETPDY87V,2025-01-07T18:26:43.469313275Z,true,2025-01-07T18:27:19.854198556Z
01JH10CN9NVKTYWHW3T0R3C7MQ,01JH0YW88SXQAVDXG9KWSJX4BN,2025-01-07T18:28:18.869399758Z,01JH0YW898ZZGZ4521HGEPZ2RP,2025-01-07T18:28:18.869399758Z,01JH0ZDNTCH13XZDTNSGWAN5YP,2025-01-07T18:28:18.869399758Z,01JH0ZNXHYN6PE833ZPTTXCRZQ,2025-01-07T18:28:18.869399758Z,01JH0ZNXYYAR65D1JXAEZXTP70,2025-01-07T18:28:18.869399758Z,,
01JH11DCGGXBZ4PAK2RHXWA9EP,01JH0ZJAX6SKCT4W7XVG490DBA,2025-01-07T18:46:11.216243714Z,01JH0ZJAXV43N3BVBHY3X1SS15,2025-01-07T18:46:11.216243714Z,01JH116VPDXTYT77ZFKS3VZ75G,2025-01-07T18:46:11.216243714Z,01JH11ATSWJ9F9D0532SCW5K9E,2025-01-07T18:46:11.216243714Z,01JH11AVJZ5B51RAZ5DRYD3E8G,2025-01-07T18:46:11.216243714Z,,
01JH129F88Y25DFE7264WDJBCH,01JH0ZJAX6SKCT4W7XVG490DBA,2025-01-07T19:01:31.52869943Z,01JH0ZJAXXGE7NR06XJDY2MWKW,2025-01-07T19:01:31.52869943Z,01JH0ZZQRJ088VTZ4BK5WZ5MYH,2025-01-07T19:01:31.52869943Z,01JH10G6VDZETR87GN7Y8A64TP,2025-01-07T19:01:31.52869943Z,01JH10G8GBXC5G5F12PHV4JMZC,2025-01-07T19:01:31.52869943Z,true,2025-01-07T19:01:50.549628023Z
01JH10J1S7NF7S2MY81SA8H5B0,01JH0YW88SXQAVDXG9KWSJX4BN,2025-01-07T18:31:15.495349328Z,01JH0YW898ZZGZ4521HGEPZ2RP,2025-01-07T18:31:15.495349328Z,01JH0ZDNTCH13XZDTNSGWAN5YP,2025-01-07T18:31:15.495349328Z,01JH0ZNXJFE6BM175TW871WVNZ,2025-01-07T18:31:15.495349328Z,01JH0ZNY1Q6FY5FW1T08832MJA,2025-01-07T18:31:15.495349328Z,true,2025-01-07T18:31:41.574079135Z
01JH10V1NKCS9E9D3DSCVBF74G,01JH0YW88SXQAVDXG9KWSJX4BN,2025-01-07T18:36:10.291654137Z,01JH0YW899PD6KSY7EQEAXBBBC,2025-01-07T18:36:10.291654137Z,01JH0ZVX8S2SBNZZFA5V7NKGW1,2025-01-07T18:36:10.291654137Z,01JH105EY6A7GCB0STJ5ZNB3CN,2025-01-07T18:36:10.291654137Z,01JH105FJDM0BRKME18FTZE6TX,2025-01-07T18:36:10.291654137Z,,
01JH16EYN4N44CPW1WJM2DTVT3,01JH0ZJAX6SKCT4W7XVG490DBA,2025-01-07T20:14:25.444692823Z,01JH0ZJAXYW944PXCEPQ45X3TW,2025-01-07T20:14:25.444692823Z,01JH14NY2S2NX1EZN2C9RWX3P3,2025-01-07T20:14:25.444692823Z,01JH150E28BE3524QVZCSGN3H0,2025-01-07T20:14:25.444692823Z,01JH150HTG6HYWEX4YC8E281KB,2025-01-07T20:14:25.444692823Z,true,2025-01-07T20:14:46.603417225Z
01JH1899CE4BVJHJCSPR4HR475,01JH16G2DGKHCBDNMABEKQVNAM,2025-01-07T20:46:16.974167902Z,01JH16G2JGQZGTF3X42GEXBVE1,2025-01-07T20:46:16.974167902Z,01JH16T46ECRT2DCA0TCK3A9FY,2025-01-07T20:46:16.974167902Z,01JH172DFXF7G8R6WXNXEMT4GD,2025-01-07T20:46:16.974167902Z,01JH172MFR6JRZTCM9KXNH54XD,2025-01-07T20:46:16.974167902Z,,
01JH0ZTXY2YC67TQ1CRRX15KKD,01JH0YPC3EKRB8H02J43HQQMKS,2025-01-07T18:18:37.890526012Z,01JH0YPC4PQ2SZZT98DCX2XKP3,2025-01-07T18:18:37.890526012Z,01JH0YYB8YNEDQSFMX34EKSY7X,2025-01-07T18:18:37.890526012Z,01JH0Z605GQ2QKE9VA2PA22SC4,2025-01-07T18:18:37.890526012Z,01JH0Z60TWMSQGAN6WDF423N5J,2025-01-07T18:18:37.890526012Z,,
