id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01JH0ZNYEVMQ33B6ZZKY3MR55S,01JH0YW88SXQAVDXG9KWSJX4BN,2025-01-07T18:15:54.587900437Z,3,2025-01-07T18:15:54.587900437Z,true,2025-01-07T18:46:52.273875301Z,01JH0YW898ZZGZ4521HGEPZ2RP,2025-01-07T18:15:54.587900437Z,1,2025-01-07T18:15:54.587900437Z,true,2025-01-07T18:46:49.219957495Z,feedback,2025-01-07T18:15:54.587900437Z,01JH0ZNXJCVHJK83TJDBJQ3YXW,2025-01-07T18:15:54.587900437Z,true,2025-01-07T18:46:49.148716748Z,true,2025-01-07T18:46:49.266935345Z,01JH0ZNYEP3W37FNMSGTSNM9HV,2025-01-07T18:15:54.587900437Z
01JH105G4KNCBRSX9GAB12ACEG,01JH0YW88SXQAVDXG9KWSJX4BN,2025-01-07T18:24:24.211464364Z,3,2025-01-07T18:24:24.211464364Z,true,2025-01-07T18:50:39.39598292Z,01JH0YW899PD6KSY7EQEAXBBBC,2025-01-07T18:24:24.211464364Z,1,2025-01-07T18:24:24.211464364Z,true,2025-01-07T18:50:36.347458836Z,feedback,2025-01-07T18:24:24.211464364Z,01JH105F2GC9200EFXVNY7QEJ6,2025-01-07T18:24:24.211464364Z,true,2025-01-07T18:50:36.272232217Z,true,2025-01-07T18:50:36.39201233Z,01JH105G4BQ2J7CRVW1T1NAVRF,2025-01-07T18:24:24.211464364Z
01JH0ZHYHGEWJG10SFCPPR17C8,01JH0YPC3EKRB8H02J43HQQMKS,2025-01-07T18:13:43.600682432Z,60,2025-01-07T18:13:43.600682432Z,true,2025-01-07T18:15:59.563627495Z,01JH0YPC4NS99AQ4RGT50WE76D,2025-01-07T18:13:43.600682432Z,0,2025-01-07T18:13:43.600682432Z,true,2025-01-07T18:15:30.249537041Z,selection,2025-01-07T18:13:43.600682432Z,01JH0ZHYDF5B63MY0FZCHB1994,2025-01-07T18:13:43.600682432Z,true,2025-01-07T18:15:30.22716732Z,true,2025-01-07T18:15:30.262986263Z,01JH0ZHYHA5YYDW3ZPR8VGP90V,2025-01-07T18:13:43.600682432Z
01JH0ZWAPP22G99GJ2RYGWX7VK,01JH0YPC3EKRB8H02J43HQQMKS,2025-01-07T18:19:23.734816728Z,60,2025-01-07T18:19:23.734816728Z,true,2025-01-07T18:38:01.809195266Z,01JH0YPC4R1XMMR506PW3T899B,2025-01-07T18:19:23.734816728Z,0,2025-01-07T18:19:23.734816728Z,true,2025-01-07T18:37:45.359248071Z,selection,2025-01-07T18:19:23.734816728Z,01JH0ZW9Q019AD8M87VYAKK076,2025-01-07T18:19:23.734816728Z,true,2025-01-07T18:37:45.29452756Z,true,2025-01-07T18:37:45.392289621Z,01JH0ZWAPF751GT46HS4ZX1Y3J,2025-01-07T18:19:23.734816728Z
01JH17BJWPDAKTMFR8NXW3NGWE,01JH16GC64174T7CVHW3RPJ4WS,2025-01-07T20:30:03.670295605Z,3,2025-01-07T20:30:03.670295605Z,true,2025-01-07T20:58:54.893953517Z,01JH16GC9W6FMGAV86655KYY63,2025-01-07T20:30:03.670295605Z,1,2025-01-07T20:30:03.670295605Z,true,2025-01-07T20:58:51.783474135Z,feedback,2025-01-07T20:30:03.670295605Z,01JH17BAJQ5XEYMCY3J5P9H9YB,2025-01-07T20:30:03.670295605Z,true,2025-01-07T20:58:51.649009491Z,true,2025-01-07T20:58:51.886692185Z,01JH17BJV8AJD74K5ZJJ31N1MY,2025-01-07T20:30:03.670295605Z
01JH10G7WDAC4DJJS22EK5VJCF,01JH0ZJAX6SKCT4W7XVG490DBA,2025-01-07T18:30:16.205619687Z,60,2025-01-07T18:30:16.205619687Z,true,2025-01-07T18:52:00.286264972Z,01JH0ZJAXXGE7NR06XJDY2MWKW,2025-01-07T18:30:16.205619687Z,0,2025-01-07T18:30:16.205619687Z,true,2025-01-07T18:51:24.237985344Z,selection,2025-01-07T18:30:16.205619687Z,01JH10G6SSDGJ6QD7902AKCQS0,2025-01-07T18:30:16.205619687Z,true,2025-01-07T18:51:24.182399899Z,true,2025-01-07T18:51:24.26879697Z,01JH10G7W79CHR45564D3ADMFD,2025-01-07T18:30:16.205619687Z
01JH10G8JG1D0NCVCVY0K49BCZ,01JH0ZJAX6SKCT4W7XVG490DBA,2025-01-07T18:30:16.9130047Z,3,2025-01-07T18:30:16.9130047Z,true,2025-01-07T19:02:48.725160704Z,01JH0ZJAXXGE7NR06XJDY2MWKW,2025-01-07T18:30:16.9130047Z,1,2025-01-07T18:30:16.9130047Z,true,2025-01-07T19:02:45.638560591Z,feedback,2025-01-07T18:30:16.9130047Z,01JH10G6YBB5APGKJ7RCA8K6EY,2025-01-07T18:30:16.9130047Z,true,2025-01-07T19:02:45.559215475Z,true,2025-01-07T19:02:45.722282111Z,01JH10G8J7448WVXE88DMKJ1P8,2025-01-07T18:30:16.9130047Z
01JH11AXH09HMFPZNC6HQNM747,01JH0ZJAX6SKCT4W7XVG490DBA,2025-01-07T18:44:50.336680423Z,3,2025-01-07T18:44:50.336680423Z,false,2025-01-07T18:44:50.336680423Z,01JH0ZJAXV43N3BVBHY3X1SS15,2025-01-07T18:44:50.336680423Z,1,2025-01-07T18:44:50.336680423Z,,,feedback,2025-01-07T18:44:50.336680423Z,01JH11AV5XA3A9H4VPMTBNDBBY,2025-01-07T18:44:50.336680423Z,false,2025-01-07T18:44:50.336680423Z,,,01JH11AXGCSBN8VXP2H4DSZ3C3,2025-01-07T18:44:50.336680423Z
01JH16S0DE17GXMVJX8VMQ6AE1,01JH16G2DGKHCBDNMABEKQVNAM,2025-01-07T20:19:54.926445223Z,60,2025-01-07T20:19:54.926445223Z,false,2025-01-07T20:19:54.926445223Z,01JH16G2N16VV2Z2ZD26T2TG2N,2025-01-07T20:19:54.926445223Z,0,2025-01-07T20:19:54.926445223Z,,,selection,2025-01-07T20:19:54.926445223Z,01JH16RVEN9RDB0K3RB0QT45PX,2025-01-07T20:19:54.926445223Z,false,2025-01-07T20:19:54.926445223Z,,,01JH16S0CTT90J30PB72KBEXP1,2025-01-07T20:19:54.926445223Z
01JH17BDJF7F9XGCR7470SMTVF,01JH16GC64174T7CVHW3RPJ4WS,2025-01-07T20:29:58.223278653Z,60,2025-01-07T20:29:58.223278653Z,true,2025-01-07T20:44:33.808911203Z,01JH16GC9W6FMGAV86655KYY63,2025-01-07T20:29:58.223278653Z,0,2025-01-07T20:29:58.223278653Z,true,2025-01-07T20:43:59.419676762Z,selection,2025-01-07T20:29:58.223278653Z,01JH17B9S0HK5YXFRNBRKFKERF,2025-01-07T20:29:58.223278653Z,true,2025-01-07T20:43:59.280328259Z,true,2025-01-07T20:43:59.525212641Z,01JH17BDHVHBCZM43WPHR3MVJR,2025-01-07T20:29:58.223278653Z
