id,batchID,batchIDLastChangedAt,chat,chatLastChangedAt,chatTimestamps,chatTimestampsLastChangedAt,clickBlockedAt,clickBlockedAtLastChangedAt,correct,correctLastChangedAt,director,directorLastChangedAt,displayLabels,displayLabelsLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,justStarted,justStartedLastChangedAt,matcher,matcherLastChangedAt,numItems,numItemsLastChangedAt,numTrials,numTrialsLastChangedAt,numTrialsPerBlock,numTrialsPerBlockLastChangedAt,phase,phaseLastChangedAt,renderedAt_01M0JJN73CZE71G98JMFPWZYNK,renderedAt_01M0JJN73CZE71G98JMFPWZYNKLastChangedAt,renderedAt_01M0JJNQ7467WJ2QWV6X22DQEN,renderedAt_01M0JJNQ7467WJ2QWV6X22DQENLastChangedAt,renderedAt_01M0JK9G5VWWNZ4YG6653WY0GX,renderedAt_01M0JK9G5VWWNZ4YG6653WY0GXLastChangedAt,renderedAt_01M0JKA224N3Y912RZYHVSM4VX,renderedAt_01M0JKA224N3Y912RZYHVSM4VXLastChangedAt,repNum,repNumLastChangedAt,reps,repsLastChangedAt,response,responseLastChangedAt,selection,selectionLastChangedAt,selectionMadeAt,selectionMadeAtLastChangedAt,setId,setIdLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,tangramURLs,tangramURLsLastChangedAt,target,targetLastChangedAt,targetLabel,targetLabelLastChangedAt,targetNum,targetNumLastChangedAt,trialNum,trialNumLastChangedAt
01M0JKAP31PJAEH6S7EBS205N4,01M0JK9BY4R112K1G4R9MXJ5Y6,2026-08-21T11:44:08.161438-05:00,"[{""text"":""dfa"",""sender"":{""id"":""01M0JK9G5VWWNZ4YG6653WY0GX"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}},{""text"":""sdfdasf"",""sender"":{""id"":""01M0JK9G5VWWNZ4YG6653WY0GX"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}},{""text"":""asdfsd"",""sender"":{""id"":""01M0JKA224N3Y912RZYHVSM4VX"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2026-08-21T11:45:04.299481-05:00,"[1787330700085,1787330702268,1787330704301]",2026-08-21T11:45:04.304148-05:00,,,false,2026-08-21T11:45:06.824136-05:00,01M0JKA224N3Y912RZYHVSM4VX,2026-08-21T11:44:58.483479-05:00,"[""B3"",""A4"",""A2"",""C4""]",2026-08-21T11:44:08.161438-05:00,true,2026-08-21T11:45:06.816046-05:00,01M0JK9BZ1KRYD1KCET8TJ3NXX,2026-08-21T11:44:08.161438-05:00,5,2026-08-21T11:44:08.161438-05:00,false,2026-08-21T11:44:58.507685-05:00,01M0JK9G5VWWNZ4YG6653WY0GX,2026-08-21T11:44:58.483479-05:00,,,12,2026-08-21T11:44:08.161438-05:00,12,2026-08-21T11:44:08.161438-05:00,training,2026-08-21T11:44:08.161438-05:00,,,,,1787330698502,2026-08-21T11:44:58.507535-05:00,1787330698501,2026-08-21T11:44:58.507069-05:00,0,2026-08-21T11:44:08.161438-05:00,1,2026-08-21T11:44:08.161438-05:00,/tangrams/138_339.png,2026-08-21T11:45:06.824136-05:00,/tangrams/138_339.png,2026-08-21T11:45:05.76082-05:00,1787330705755,2026-08-21T11:45:05.759357-05:00,0,2026-08-21T11:44:08.161438-05:00,2,2026-08-21T11:44:08.20563-05:00,true,2026-08-21T11:44:58.471374-05:00,"[""/tangrams/366_405.png"",""/tangrams/138_66.png"",""/tangrams/138_339.png"",""/tangrams/422_66.png""]",2026-08-21T11:44:08.161438-05:00,/tangrams/138_66.png,2026-08-21T11:44:08.161438-05:00,A4,2026-08-21T11:44:08.161438-05:00,5,2026-08-21T11:44:08.161438-05:00,4,2026-08-21T11:44:08.161438-05:00
01M0JKAP32VTNSQ8G401JSR1VD,01M0JK9BY4R112K1G4R9MXJ5Y6,2026-08-21T11:44:08.162485-05:00,,,,,,,,,,,,,true,2026-08-21T11:45:56.57571-05:00,01M0JK9BZ1KRYD1KCET8TJ3NXX,2026-08-21T11:44:08.162485-05:00,13,2026-08-21T11:44:08.162485-05:00,false,2026-08-21T11:45:44.23899-05:00,,,20,2026-08-21T11:44:08.162485-05:00,,,,,posttest,2026-08-21T11:44:08.162485-05:00,,,,,,,,,,,,,,,,2026-08-21T11:45:44.215603-05:00,,,,,1,2026-08-21T11:44:08.229404-05:00,true,2026-08-21T11:45:44.196838-05:00,[],2026-08-21T11:44:08.162485-05:00,,2026-08-21T11:44:08.162485-05:00,,,,,,
01M0JKAP32VTNSQ8G40P7N3Z8Y,01M0JK9BY4R112K1G4R9MXJ5Y6,2026-08-21T11:44:08.16277-05:00,"[{""text"":""asdfds"",""sender"":{""id"":""01M0JKA224N3Y912RZYHVSM4VX"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2026-08-21T11:45:37.29771-05:00,[1787330737299],2026-08-21T11:45:37.302278-05:00,,,true,2026-08-21T11:45:40.045839-05:00,01M0JKA224N3Y912RZYHVSM4VX,2026-08-21T11:45:35.464522-05:00,"[""C1"",""D3"",""B4"",""C4""]",2026-08-21T11:44:08.16277-05:00,true,2026-08-21T11:45:40.038587-05:00,01M0JK9BZ1KRYD1KCET8TJ3NXX,2026-08-21T11:44:08.16277-05:00,11,2026-08-21T11:44:08.16277-05:00,false,2026-08-21T11:45:35.490708-05:00,01M0JK9G5VWWNZ4YG6653WY0GX,2026-08-21T11:45:35.464522-05:00,,,12,2026-08-21T11:44:08.16277-05:00,12,2026-08-21T11:44:08.16277-05:00,training,2026-08-21T11:44:08.16277-05:00,,,,,1787330735486,2026-08-21T11:45:35.491481-05:00,1787330735486,2026-08-21T11:45:35.491867-05:00,0,2026-08-21T11:44:08.16277-05:00,1,2026-08-21T11:44:08.16277-05:00,/tangrams/422_66.png,2026-08-21T11:45:40.045839-05:00,/tangrams/422_66.png,2026-08-21T11:45:38.983336-05:00,1787330738979,2026-08-21T11:45:38.982074-05:00,0,2026-08-21T11:44:08.16277-05:00,2,2026-08-21T11:44:08.223703-05:00,true,2026-08-21T11:45:35.449123-05:00,"[""/tangrams/422_244.png"",""/tangrams/279_405.png"",""/tangrams/366_66.png"",""/tangrams/422_66.png""]",2026-08-21T11:44:08.16277-05:00,/tangrams/422_66.png,2026-08-21T11:44:08.16277-05:00,C4,2026-08-21T11:44:08.16277-05:00,11,2026-08-21T11:44:08.16277-05:00,10,2026-08-21T11:44:08.16277-05:00
01M0JJP8YS0VCDCQVJXS6FEXF0,01M0JJMWXFA9B8FFW0WBE7QYTZ,2026-08-21T11:32:59.353984-05:00,"[{""text"":""waiting"",""sender"":{""id"":""01M0JJN73CZE71G98JMFPWZYNK"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2026-08-21T11:36:22.388868-05:00,[1787330182391],2026-08-21T11:36:22.39572-05:00,,,false,2026-08-21T11:36:25.071213-05:00,01M0JJN73CZE71G98JMFPWZYNK,2026-08-21T11:36:15.960179-05:00,"[""C1"",""B4"",""A3"",""A4""]",2026-08-21T11:32:59.353984-05:00,true,2026-08-21T11:36:25.06376-05:00,01M0JJMWY9HJ4DPXE1Y7910VKY,2026-08-21T11:32:59.353984-05:00,6,2026-08-21T11:32:59.353984-05:00,false,2026-08-21T11:36:15.987865-05:00,01M0JJNQ7467WJ2QWV6X22DQEN,2026-08-21T11:36:15.960179-05:00,,,12,2026-08-21T11:32:59.353984-05:00,12,2026-08-21T11:32:59.353984-05:00,training,2026-08-21T11:32:59.353984-05:00,1787330175981,2026-08-21T11:36:15.987389-05:00,1787330175981,2026-08-21T11:36:15.988861-05:00,,,,,0,2026-08-21T11:32:59.353984-05:00,1,2026-08-21T11:32:59.353984-05:00,/tangrams/422_244.png,2026-08-21T11:36:25.071213-05:00,/tangrams/422_244.png,2026-08-21T11:36:24.00193-05:00,1787330183996,2026-08-21T11:36:24.001355-05:00,0,2026-08-21T11:32:59.353984-05:00,2,2026-08-21T11:32:59.391105-05:00,true,2026-08-21T11:36:15.946006-05:00,"[""/tangrams/422_244.png"",""/tangrams/366_66.png"",""/tangrams/138_405.png"",""/tangrams/138_66.png""]",2026-08-21T11:32:59.353984-05:00,/tangrams/138_66.png,2026-08-21T11:32:59.353984-05:00,A4,2026-08-21T11:32:59.353984-05:00,6,2026-08-21T11:32:59.353984-05:00,5,2026-08-21T11:32:59.353984-05:00
01M0JJP8YWC01WQJRDXZK77C32,01M0JJMWXFA9B8FFW0WBE7QYTZ,2026-08-21T11:32:59.356677-05:00,,,,,,,,,,,,,true,2026-08-21T11:38:31.934505-05:00,01M0JJMWY9HJ4DPXE1Y7910VKY,2026-08-21T11:32:59.356677-05:00,13,2026-08-21T11:32:59.356677-05:00,false,2026-08-21T11:37:52.698355-05:00,,,20,2026-08-21T11:32:59.356677-05:00,,,,,posttest,2026-08-21T11:32:59.356677-05:00,,,,,,,,,,,,,,,,2026-08-21T11:37:52.673758-05:00,,,,,1,2026-08-21T11:32:59.414121-05:00,true,2026-08-21T11:37:52.658746-05:00,[],2026-08-21T11:32:59.356677-05:00,,2026-08-21T11:32:59.356677-05:00,,,,,,
01M0JKAP2ZNK0ZP6BXAG5AAP7Y,01M0JK9BY4R112K1G4R9MXJ5Y6,2026-08-21T11:44:08.159256-05:00,"[{""text"":""sds"",""sender"":{""id"":""01M0JK9G5VWWNZ4YG6653WY0GX"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2026-08-21T11:44:49.618036-05:00,[1787330689620],2026-08-21T11:44:49.62434-05:00,,,true,2026-08-21T11:44:52.117128-05:00,01M0JK9G5VWWNZ4YG6653WY0GX,2026-08-21T11:44:44.092911-05:00,"[""B1"",""A2"",""A3"",""D3""]",2026-08-21T11:44:08.159256-05:00,true,2026-08-21T11:44:52.107973-05:00,01M0JK9BZ1KRYD1KCET8TJ3NXX,2026-08-21T11:44:08.159256-05:00,2,2026-08-21T11:44:08.159256-05:00,false,2026-08-21T11:44:44.122087-05:00,01M0JKA224N3Y912RZYHVSM4VX,2026-08-21T11:44:44.092911-05:00,,,12,2026-08-21T11:44:08.159256-05:00,12,2026-08-21T11:44:08.159256-05:00,training,2026-08-21T11:44:08.159256-05:00,,,,,1787330684110,2026-08-21T11:44:44.125478-05:00,1787330684110,2026-08-21T11:44:44.124939-05:00,0,2026-08-21T11:44:08.159256-05:00,1,2026-08-21T11:44:08.159256-05:00,/tangrams/138_405.png,2026-08-21T11:44:52.117128-05:00,/tangrams/138_405.png,2026-08-21T11:44:51.051547-05:00,1787330691046,2026-08-21T11:44:51.050666-05:00,0,2026-08-21T11:44:08.159256-05:00,2,2026-08-21T11:44:08.189177-05:00,true,2026-08-21T11:44:44.081685-05:00,"[""/tangrams/366_244.png"",""/tangrams/138_339.png"",""/tangrams/138_405.png"",""/tangrams/279_405.png""]",2026-08-21T11:44:08.159256-05:00,/tangrams/138_405.png,2026-08-21T11:44:08.159256-05:00,A3,2026-08-21T11:44:08.159256-05:00,2,2026-08-21T11:44:08.159256-05:00,1,2026-08-21T11:44:08.159256-05:00
01M0JKAP3311BJ0G3J2NDD19QE,01M0JK9BY4R112K1G4R9MXJ5Y6,2026-08-21T11:44:08.163737-05:00,"[{""text"":""dsafds"",""sender"":{""id"":""01M0JKA224N3Y912RZYHVSM4VX"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2026-08-21T11:45:13.719934-05:00,[1787330713722],2026-08-21T11:45:13.725067-05:00,,,true,2026-08-21T11:45:16.450454-05:00,01M0JKA224N3Y912RZYHVSM4VX,2026-08-21T11:45:11.828095-05:00,"[""D1"",""A4"",""B1"",""D3""]",2026-08-21T11:44:08.163737-05:00,true,2026-08-21T11:45:16.439297-05:00,01M0JK9BZ1KRYD1KCET8TJ3NXX,2026-08-21T11:44:08.163737-05:00,7,2026-08-21T11:44:08.163737-05:00,false,2026-08-21T11:45:11.853947-05:00,01M0JK9G5VWWNZ4YG6653WY0GX,2026-08-21T11:45:11.828095-05:00,,,12,2026-08-21T11:44:08.163737-05:00,12,2026-08-21T11:44:08.163737-05:00,training,2026-08-21T11:44:08.163737-05:00,,,,,1787330711847,2026-08-21T11:45:11.851171-05:00,1787330711846,2026-08-21T11:45:11.852045-05:00,0,2026-08-21T11:44:08.163737-05:00,1,2026-08-21T11:44:08.163737-05:00,/tangrams/279_244.png,2026-08-21T11:45:16.450454-05:00,/tangrams/279_244.png,2026-08-21T11:45:15.373627-05:00,1787330715370,2026-08-21T11:45:15.373355-05:00,0,2026-08-21T11:44:08.163737-05:00,2,2026-08-21T11:44:08.21219-05:00,true,2026-08-21T11:45:11.81039-05:00,"[""/tangrams/279_244.png"",""/tangrams/138_66.png"",""/tangrams/366_244.png"",""/tangrams/279_405.png""]",2026-08-21T11:44:08.163737-05:00,/tangrams/279_244.png,2026-08-21T11:44:08.163737-05:00,D1,2026-08-21T11:44:08.163737-05:00,7,2026-08-21T11:44:08.163737-05:00,6,2026-08-21T11:44:08.163737-05:00
01M0JJP8YWC01WQJRDTTGSTWH2,01M0JJMWXFA9B8FFW0WBE7QYTZ,2026-08-21T11:32:59.356165-05:00,"[{""text"":""t"",""sender"":{""id"":""01M0JJN73CZE71G98JMFPWZYNK"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2026-08-21T11:37:50.155566-05:00,[1787330270158],2026-08-21T11:37:50.161034-05:00,,,false,2026-08-21T11:37:52.654655-05:00,01M0JJN73CZE71G98JMFPWZYNK,2026-08-21T11:37:47.632041-05:00,"[""B3"",""B4"",""D2"",""A4""]",2026-08-21T11:32:59.356165-05:00,true,2026-08-21T11:37:52.649776-05:00,01M0JJMWY9HJ4DPXE1Y7910VKY,2026-08-21T11:32:59.356165-05:00,12,2026-08-21T11:32:59.356165-05:00,false,2026-08-21T11:37:47.656751-05:00,01M0JJNQ7467WJ2QWV6X22DQEN,2026-08-21T11:37:47.632041-05:00,,,12,2026-08-21T11:32:59.356165-05:00,12,2026-08-21T11:32:59.356165-05:00,training,2026-08-21T11:32:59.356165-05:00,1787330267652,2026-08-21T11:37:47.656366-05:00,1787330267652,2026-08-21T11:37:47.65701-05:00,,,,,0,2026-08-21T11:32:59.356165-05:00,1,2026-08-21T11:32:59.356165-05:00,/tangrams/366_405.png,2026-08-21T11:37:52.654655-05:00,/tangrams/366_405.png,2026-08-21T11:37:51.601809-05:00,1787330271596,2026-08-21T11:37:51.601171-05:00,0,2026-08-21T11:32:59.356165-05:00,2,2026-08-21T11:32:59.411205-05:00,true,2026-08-21T11:37:47.617886-05:00,"[""/tangrams/366_405.png"",""/tangrams/366_66.png"",""/tangrams/279_339.png"",""/tangrams/138_66.png""]",2026-08-21T11:32:59.356165-05:00,/tangrams/366_66.png,2026-08-21T11:32:59.356165-05:00,B4,2026-08-21T11:32:59.356165-05:00,12,2026-08-21T11:32:59.356165-05:00,11,2026-08-21T11:32:59.356165-05:00
01M0JKAP2Y2W534K3FBPM8VA50,01M0JK9BY4R112K1G4R9MXJ5Y6,2026-08-21T11:44:08.158998-05:00,,,,,,,,,,,,,true,2026-08-21T11:44:29.126061-05:00,01M0JK9BZ1KRYD1KCET8TJ3NXX,2026-08-21T11:44:08.158998-05:00,0,2026-08-21T11:44:08.158998-05:00,false,2026-08-21T11:44:08.436177-05:00,,,20,2026-08-21T11:44:08.158998-05:00,,,,,pretest,2026-08-21T11:44:08.158998-05:00,,,,,,,,,,,,,,,,2026-08-21T11:44:08.402138-05:00,,,,,1,2026-08-21T11:44:08.172117-05:00,true,2026-08-21T11:44:08.284251-05:00,[],2026-08-21T11:44:08.158998-05:00,,2026-08-21T11:44:08.158998-05:00,,,,,,
01M0JKAP35ST0G8AZBM5NBV4MY,01M0JK9BY4R112K1G4R9MXJ5Y6,2026-08-21T11:44:08.165249-05:00,"[{""text"":""adsfdsa"",""sender"":{""id"":""01M0JKA224N3Y912RZYHVSM4VX"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2026-08-21T11:45:26.7284-05:00,[1787330726732],2026-08-21T11:45:26.734629-05:00,,,true,2026-08-21T11:45:29.268655-05:00,01M0JKA224N3Y912RZYHVSM4VX,2026-08-21T11:45:22.868251-05:00,"[""D1"",""B3"",""B1"",""C2""]",2026-08-21T11:44:08.165249-05:00,true,2026-08-21T11:45:29.261041-05:00,01M0JK9BZ1KRYD1KCET8TJ3NXX,2026-08-21T11:44:08.165249-05:00,9,2026-08-21T11:44:08.165249-05:00,false,2026-08-21T11:45:22.892311-05:00,01M0JK9G5VWWNZ4YG6653WY0GX,2026-08-21T11:45:22.868251-05:00,,,12,2026-08-21T11:44:08.165249-05:00,12,2026-08-21T11:44:08.165249-05:00,training,2026-08-21T11:44:08.165249-05:00,,,,,1787330722887,2026-08-21T11:45:22.891733-05:00,1787330722886,2026-08-21T11:45:22.891176-05:00,0,2026-08-21T11:44:08.165249-05:00,1,2026-08-21T11:44:08.165249-05:00,/tangrams/366_244.png,2026-08-21T11:45:29.268655-05:00,/tangrams/366_244.png,2026-08-21T11:45:28.198387-05:00,1787330728193,2026-08-21T11:45:28.197599-05:00,0,2026-08-21T11:44:08.165249-05:00,2,2026-08-21T11:44:08.218318-05:00,true,2026-08-21T11:45:22.854837-05:00,"[""/tangrams/279_244.png"",""/tangrams/366_405.png"",""/tangrams/366_244.png"",""/tangrams/422_339.png""]",2026-08-21T11:44:08.165249-05:00,/tangrams/366_244.png,2026-08-21T11:44:08.165249-05:00,B1,2026-08-21T11:44:08.165249-05:00,9,2026-08-21T11:44:08.165249-05:00,8,2026-08-21T11:44:08.165249-05:00
