id,batchID,batchIDLastChangedAt,chat,chatLastChangedAt,chatTimestamps,chatTimestampsLastChangedAt,clickBlockedAt,clickBlockedAtLastChangedAt,correct,correctLastChangedAt,director,directorLastChangedAt,displayLabels,displayLabelsLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,justStarted,justStartedLastChangedAt,matcher,matcherLastChangedAt,numItems,numItemsLastChangedAt,numTrials,numTrialsLastChangedAt,numTrialsPerBlock,numTrialsPerBlockLastChangedAt,phase,phaseLastChangedAt,repNum,repNumLastChangedAt,reps,repsLastChangedAt,response,responseLastChangedAt,selection,selectionLastChangedAt,selectionMadeAt,selectionMadeAtLastChangedAt,setId,setIdLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,tangramURLs,tangramURLsLastChangedAt,target,targetLastChangedAt,targetLabel,targetLabelLastChangedAt,targetNum,targetNumLastChangedAt,trialNum,trialNumLastChangedAt
01M0WXAW67AMK0YYEW46DC6EDK,01M0WWQ73PEDYQHEYYBB88AXMD,2026-08-25T16:51:24.48749316Z,"[{""text"":""Slanted white rectangle inside"",""sender"":{""id"":""01M0WX9MXH1SX7Q50079HW9F7E"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2026-08-25T17:15:57.57768575Z,[1787678157585],2026-08-25T17:15:57.587084361Z,,,true,2026-08-25T17:16:03.50589698Z,01M0WX9MXH1SX7Q50079HW9F7E,2026-08-25T17:15:48.594796354Z,"[""D2"",""A3"",""C4"",""B1""]",2026-08-25T16:51:24.48749316Z,true,2026-08-25T17:16:03.496695391Z,01M0WWQ74H7CSGCPAHPDSCJ0PV,2026-08-25T16:51:24.48749316Z,15,2026-08-25T16:51:24.48749316Z,false,2026-08-25T17:15:48.689022621Z,01M0WX667JRE4461924BYZ6YJ1,2026-08-25T17:15:48.594796354Z,,,48,2026-08-25T16:51:24.48749316Z,12,2026-08-25T16:51:24.48749316Z,training,2026-08-25T16:51:24.48749316Z,1,2026-08-25T16:51:24.48749316Z,4,2026-08-25T16:51:24.48749316Z,/tangrams/422_66.png,2026-08-25T17:16:03.50589698Z,/tangrams/422_66.png,2026-08-25T17:16:00.377498168Z,1787678160355,2026-08-25T17:16:00.369515314Z,0,2026-08-25T16:51:24.48749316Z,2,2026-08-25T16:51:24.939726709Z,true,2026-08-25T17:15:48.556700483Z,"[""/tangrams/279_339.png"",""/tangrams/138_405.png"",""/tangrams/422_66.png"",""/tangrams/366_244.png""]",2026-08-25T16:51:24.48749316Z,/tangrams/422_66.png,2026-08-25T16:51:24.48749316Z,C4,2026-08-25T16:51:24.48749316Z,3,2026-08-25T16:51:24.48749316Z,14,2026-08-25T16:51:24.48749316Z
01M0WY8WTWNDACTY3MZE7T4XYQ,01M0WWQAZ72GMKNB5E8VWC3WG2,2026-08-25T17:07:48.188426839Z,"[{""text"":""open box with diamond (partly cut off) coming our."",""sender"":{""id"":""01M0WY0YPE1FGB7GNWHKCY08ZN"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2026-08-25T17:14:02.891825072Z,[1787678042898],2026-08-25T17:14:02.901268571Z,,,false,2026-08-25T17:14:18.871814708Z,01M0WY0YPE1FGB7GNWHKCY08ZN,2026-08-25T17:13:39.407314082Z,"[""F7"",""C3"",""D4"",""B2""]",2026-08-25T17:07:48.188426839Z,true,2026-08-25T17:14:18.859054561Z,01M0WWQAZTRSENW9JN2FSQ4BA7,2026-08-25T17:07:48.188426839Z,5,2026-08-25T17:07:48.188426839Z,false,2026-08-25T17:13:39.519679693Z,01M0WY09KXZQGZCXQXZTYFDW8C,2026-08-25T17:13:39.407314082Z,,,48,2026-08-25T17:07:48.188426839Z,12,2026-08-25T17:07:48.188426839Z,training,2026-08-25T17:07:48.188426839Z,0,2026-08-25T17:07:48.188426839Z,4,2026-08-25T17:07:48.188426839Z,/tangrams/411_352.png,2026-08-25T17:14:18.871814708Z,/tangrams/411_352.png,2026-08-25T17:14:15.752952478Z,1787678057138,2026-08-25T17:14:15.749447181Z,0,2026-08-25T17:07:48.188426839Z,2,2026-08-25T17:07:48.433713657Z,true,2026-08-25T17:13:39.375835378Z,"[""/tangrams/411_352.png"",""/tangrams/422_405.png"",""/tangrams/279_66.png"",""/tangrams/366_339.png""]",2026-08-25T17:07:48.188426839Z,/tangrams/279_66.png,2026-08-25T17:07:48.188426839Z,D4,2026-08-25T17:07:48.188426839Z,5,2026-08-25T17:07:48.188426839Z,4,2026-08-25T17:07:48.188426839Z
01M0WY96A3GPNVM391ND45TTX8,01M0WWQAZ72GMKNB5E8VWC3WG2,2026-08-25T17:07:57.891980882Z,"[{""text"":""Whole shape is shaped like a tent. One jagged leaning piece on the right side. Three large triangles on the left side pointing left"",""sender"":{""id"":""01M0WXSYNRXCYGT80QAR430CBD"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2026-08-25T17:31:33.143716805Z,[1787679093156],2026-08-25T17:31:33.158361648Z,,,true,2026-08-25T17:32:01.899858687Z,01M0WXSYNRXCYGT80QAR430CBD,2026-08-25T17:31:01.593099244Z,"[""B1"",""A2"",""D1"",""B4""]",2026-08-25T17:07:57.891980882Z,true,2026-08-25T17:32:01.882284174Z,01M0WWQAZPP7VBJF1WXDE2YKFW,2026-08-25T17:07:57.891980882Z,8,2026-08-25T17:07:57.891980882Z,false,2026-08-25T17:31:01.910399051Z,01M0WY2T8PBZPVGKC7BWFHJ59J,2026-08-25T17:31:01.593099244Z,,,48,2026-08-25T17:07:57.891980882Z,12,2026-08-25T17:07:57.891980882Z,training,2026-08-25T17:07:57.891980882Z,0,2026-08-25T17:07:57.891980882Z,4,2026-08-25T17:07:57.891980882Z,/tangrams/348_314.png,2026-08-25T17:32:01.899858687Z,/tangrams/348_314.png,2026-08-25T17:31:58.691515573Z,1787679119616,2026-08-25T17:31:58.667224935Z,1,2026-08-25T17:07:57.891980882Z,2,2026-08-25T17:07:58.349862843Z,true,2026-08-25T17:31:01.526014846Z,"[""/tangrams/348_314.png"",""/tangrams/66_441.png"",""/tangrams/20_314.png"",""/tangrams/348_464.png""]",2026-08-25T17:07:57.891980882Z,/tangrams/348_314.png,2026-08-25T17:07:57.891980882Z,B1,2026-08-25T17:07:57.891980882Z,8,2026-08-25T17:07:57.891980882Z,7,2026-08-25T17:07:57.891980882Z
01M0WY96BJWW9VTCGB4KH2R567,01M0WWQAZ72GMKNB5E8VWC3WG2,2026-08-25T17:07:57.938437433Z,"[{""text"":""boat on its side on right, open rectangle in middle, 2 points facing left"",""sender"":{""id"":""01M0WY2T8PBZPVGKC7BWFHJ59J"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2026-08-25T17:35:51.413266731Z,[1787679351423],2026-08-25T17:35:51.425322529Z,,,true,2026-08-25T17:36:00.248770352Z,01M0WY2T8PBZPVGKC7BWFHJ59J,2026-08-25T17:35:23.18434559Z,"[""B1"",""D3"",""B3"",""A4""]",2026-08-25T17:07:57.938437433Z,true,2026-08-25T17:36:00.235251715Z,01M0WWQAZPP7VBJF1WXDE2YKFW,2026-08-25T17:07:57.938437433Z,13,2026-08-25T17:07:57.938437433Z,false,2026-08-25T17:35:23.426806626Z,01M0WXSYNRXCYGT80QAR430CBD,2026-08-25T17:35:23.18434559Z,,,48,2026-08-25T17:07:57.938437433Z,12,2026-08-25T17:07:57.938437433Z,training,2026-08-25T17:07:57.938437433Z,1,2026-08-25T17:07:57.938437433Z,4,2026-08-25T17:07:57.938437433Z,/tangrams/348_24.png,2026-08-25T17:36:00.248770352Z,/tangrams/348_24.png,2026-08-25T17:35:57.091035319Z,1787679357664,2026-08-25T17:35:57.095382653Z,1,2026-08-25T17:07:57.938437433Z,2,2026-08-25T17:07:58.458433902Z,true,2026-08-25T17:35:23.11564254Z,"[""/tangrams/348_314.png"",""/tangrams/20_24.png"",""/tangrams/348_24.png"",""/tangrams/66_464.png""]",2026-08-25T17:07:57.938437433Z,/tangrams/348_24.png,2026-08-25T17:07:57.938437433Z,B3,2026-08-25T17:07:57.938437433Z,1,2026-08-25T17:07:57.938437433Z,12,2026-08-25T17:07:57.938437433Z
01M0WYEEW3JQXTDYZ6YDBVDMR2,01M0WWQAZ72GMKNB5E8VWC3WG2,2026-08-25T17:10:50.499349785Z,,,,,,,,,,,"[""A3"",""B4"",""D1"",""C2""]",2026-08-25T17:10:50.499349785Z,false,2026-08-25T17:10:50.499349785Z,01M0WWQAZRRWZPK3N7VE24RFV2,2026-08-25T17:10:50.499349785Z,44,2026-08-25T17:10:50.499349785Z,,,,,,,48,2026-08-25T17:10:50.499349785Z,12,2026-08-25T17:10:50.499349785Z,training,2026-08-25T17:10:50.499349785Z,3,2026-08-25T17:10:50.499349785Z,4,2026-08-25T17:10:50.499349785Z,,,,2026-08-25T17:10:50.499349785Z,,,1,2026-08-25T17:10:50.499349785Z,2,2026-08-25T17:10:51.898354436Z,false,2026-08-25T17:10:50.499349785Z,"[""/tangrams/66_24.png"",""/tangrams/348_464.png"",""/tangrams/20_314.png"",""/tangrams/202_441.png""]",2026-08-25T17:10:50.499349785Z,/tangrams/202_441.png,2026-08-25T17:10:50.499349785Z,C2,2026-08-25T17:10:50.499349785Z,8,2026-08-25T17:10:50.499349785Z,43,2026-08-25T17:10:50.499349785Z
01M0WY8WTPASQX09WQQYSHK2YA,01M0WWQAZ72GMKNB5E8VWC3WG2,2026-08-25T17:07:48.182089389Z,"[{""text"":""seperate v shape at the bottom and a box above with legs coming out diagonally"",""sender"":{""id"":""01M0WY09KXZQGZCXQXZTYFDW8C"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2026-08-25T17:14:59.881514076Z,[1787678099888],2026-08-25T17:14:59.890415933Z,,,true,2026-08-25T17:15:08.778434089Z,01M0WY09KXZQGZCXQXZTYFDW8C,2026-08-25T17:14:18.916804728Z,"[""F2"",""F3"",""F4"",""F1""]",2026-08-25T17:07:48.182089389Z,true,2026-08-25T17:15:08.765477533Z,01M0WWQAZTRSENW9JN2FSQ4BA7,2026-08-25T17:07:48.182089389Z,6,2026-08-25T17:07:48.182089389Z,false,2026-08-25T17:14:19.02010941Z,01M0WY0YPE1FGB7GNWHKCY08ZN,2026-08-25T17:14:18.916804728Z,,,48,2026-08-25T17:07:48.182089389Z,12,2026-08-25T17:07:48.182089389Z,training,2026-08-25T17:07:48.182089389Z,0,2026-08-25T17:07:48.182089389Z,4,2026-08-25T17:07:48.182089389Z,/tangrams/170_154.png,2026-08-25T17:15:08.778434089Z,/tangrams/170_154.png,2026-08-25T17:15:05.652359843Z,1787678105683,2026-08-25T17:15:05.65527442Z,0,2026-08-25T17:07:48.182089389Z,2,2026-08-25T17:07:48.457407377Z,true,2026-08-25T17:14:18.88586029Z,"[""/tangrams/290_64.png"",""/tangrams/170_154.png"",""/tangrams/434_227.png"",""/tangrams/119_182.png""]",2026-08-25T17:07:48.182089389Z,/tangrams/170_154.png,2026-08-25T17:07:48.182089389Z,F3,2026-08-25T17:07:48.182089389Z,6,2026-08-25T17:07:48.182089389Z,5,2026-08-25T17:07:48.182089389Z
01M0WXEB75HPT08XHVF70Q63FR,01M0WWQ73PEDYQHEYYBB88AXMD,2026-08-25T16:53:18.181615771Z,,,,,,,,,,,"[""F8"",""F2"",""A1"",""F7""]",2026-08-25T16:53:18.181615771Z,false,2026-08-25T16:53:18.181615771Z,01M0WWQ74M3NWYAJGQB0ESKAD2,2026-08-25T16:53:18.181615771Z,41,2026-08-25T16:53:18.181615771Z,,,,,,,48,2026-08-25T16:53:18.181615771Z,12,2026-08-25T16:53:18.181615771Z,training,2026-08-25T16:53:18.181615771Z,3,2026-08-25T16:53:18.181615771Z,4,2026-08-25T16:53:18.181615771Z,,,,2026-08-25T16:53:18.181615771Z,,,0,2026-08-25T16:53:18.181615771Z,2,2026-08-25T16:53:19.177028314Z,false,2026-08-25T16:53:18.181615771Z,"[""/tangrams/37_144.png"",""/tangrams/290_64.png"",""/tangrams/138_244.png"",""/tangrams/411_352.png""]",2026-08-25T16:53:18.181615771Z,/tangrams/290_64.png,2026-08-25T16:53:18.181615771Z,F2,2026-08-25T16:53:18.181615771Z,5,2026-08-25T16:53:18.181615771Z,40,2026-08-25T16:53:18.181615771Z
01M0WXEBCZX895NZ40M1V1M8DE,01M0WWQ73PEDYQHEYYBB88AXMD,2026-08-25T16:53:18.367883737Z,,,,,,,,,,,"[""C3"",""F7"",""F6"",""B2""]",2026-08-25T16:53:18.367883737Z,false,2026-08-25T16:53:18.367883737Z,01M0WWQ74M3NWYAJGQB0ESKAD2,2026-08-25T16:53:18.367883737Z,34,2026-08-25T16:53:18.367883737Z,,,,,,,48,2026-08-25T16:53:18.367883737Z,12,2026-08-25T16:53:18.367883737Z,training,2026-08-25T16:53:18.367883737Z,2,2026-08-25T16:53:18.367883737Z,4,2026-08-25T16:53:18.367883737Z,,,,2026-08-25T16:53:18.367883737Z,,,0,2026-08-25T16:53:18.367883737Z,2,2026-08-25T16:53:19.041800109Z,false,2026-08-25T16:53:18.367883737Z,"[""/tangrams/422_405.png"",""/tangrams/411_352.png"",""/tangrams/134_125.png"",""/tangrams/366_339.png""]",2026-08-25T16:53:18.367883737Z,/tangrams/366_339.png,2026-08-25T16:53:18.367883737Z,B2,2026-08-25T16:53:18.367883737Z,10,2026-08-25T16:53:18.367883737Z,33,2026-08-25T16:53:18.367883737Z
01M0WY4EW99C2WCPS74X0CDWHV,01M0WWQ9XB6TMTWDYN7GB59TN7,2026-08-25T17:05:22.825257686Z,"[{""text"":""three shapes"",""sender"":{""id"":""01M0WY0ENCGBGZ9MKY7CZKA71D"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2026-08-25T17:25:07.300044503Z,[1787678707308],2026-08-25T17:25:07.310284532Z,,,true,2026-08-25T17:25:12.519474723Z,01M0WY0ENCGBGZ9MKY7CZKA71D,2026-08-25T17:25:01.359306358Z,"[""A1"",""F5"",""F8"",""F6""]",2026-08-25T17:05:22.825257686Z,true,2026-08-25T17:25:12.507350643Z,01M0WWQ9XVXJV1JR4118CY5W09,2026-08-25T17:05:22.825257686Z,31,2026-08-25T17:05:22.825257686Z,false,2026-08-25T17:25:01.586242125Z,01M0WY0C090AZDG2K9X542KKDB,2026-08-25T17:25:01.359306358Z,,,48,2026-08-25T17:05:22.825257686Z,12,2026-08-25T17:05:22.825257686Z,training,2026-08-25T17:05:22.825257686Z,2,2026-08-25T17:05:22.825257686Z,4,2026-08-25T17:05:22.825257686Z,/tangrams/456_48.png,2026-08-25T17:25:12.519474723Z,/tangrams/456_48.png,2026-08-25T17:25:09.312304283Z,1787678709221,2026-08-25T17:25:09.316102291Z,0,2026-08-25T17:05:22.825257686Z,2,2026-08-25T17:05:23.628606291Z,true,2026-08-25T17:25:01.320122794Z,"[""/tangrams/138_244.png"",""/tangrams/456_48.png"",""/tangrams/37_144.png"",""/tangrams/134_125.png""]",2026-08-25T17:05:22.825257686Z,/tangrams/456_48.png,2026-08-25T17:05:22.825257686Z,F5,2026-08-25T17:05:22.825257686Z,7,2026-08-25T17:05:22.825257686Z,30,2026-08-25T17:05:22.825257686Z
01M0WXAW566C7GT40FYFZ5EGM7,01M0WWQ73PEDYQHEYYBB88AXMD,2026-08-25T16:51:24.454971648Z,"[{""text"":""black diamond on top"",""sender"":{""id"":""01M0WX667JRE4461924BYZ6YJ1"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2026-08-25T17:24:11.406561835Z,[1787678651415],2026-08-25T17:24:11.417144833Z,,,true,2026-08-25T17:24:18.149056688Z,01M0WX667JRE4461924BYZ6YJ1,2026-08-25T17:24:02.744145068Z,"[""C4"",""B3"",""A2"",""D1""]",2026-08-25T16:51:24.454971648Z,true,2026-08-25T17:24:18.136753829Z,01M0WWQ74H7CSGCPAHPDSCJ0PV,2026-08-25T16:51:24.454971648Z,38,2026-08-25T16:51:24.454971648Z,false,2026-08-25T17:24:02.838685081Z,01M0WX9MXH1SX7Q50079HW9F7E,2026-08-25T17:24:02.744145068Z,,,48,2026-08-25T16:51:24.454971648Z,12,2026-08-25T16:51:24.454971648Z,training,2026-08-25T16:51:24.454971648Z,3,2026-08-25T16:51:24.454971648Z,4,2026-08-25T16:51:24.454971648Z,/tangrams/138_339.png,2026-08-25T17:24:18.149056688Z,/tangrams/138_339.png,2026-08-25T17:24:15.039868421Z,1787678654953,2026-08-25T17:24:15.035378362Z,0,2026-08-25T16:51:24.454971648Z,2,2026-08-25T16:51:25.322731992Z,true,2026-08-25T17:24:02.71069558Z,"[""/tangrams/422_66.png"",""/tangrams/366_405.png"",""/tangrams/138_339.png"",""/tangrams/279_244.png""]",2026-08-25T16:51:24.454971648Z,/tangrams/138_339.png,2026-08-25T16:51:24.454971648Z,A2,2026-08-25T16:51:24.454971648Z,2,2026-08-25T16:51:24.454971648Z,37,2026-08-25T16:51:24.454971648Z
