id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,serverStartedAt,serverStartedAtLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01M0WY8DY3XQFP7D1W43VQCXR8,01M0WWQ9XB6TMTWDYN7GB59TN7,2026-08-25T17:07:32.931387846Z,3,2026-08-25T17:07:32.931387846Z,true,2026-08-25T17:35:01.160466017Z,01M0WWQ9XT2Q7RF2RHNCTTRDNK,2026-08-25T17:07:32.931387846Z,1,2026-08-25T17:07:32.931387846Z,true,2026-08-25T17:34:58.105403464Z,feedback,2026-08-25T17:07:32.931387846Z,01M0WY8D8W235WCT4A4KAQPPJH,2026-08-25T17:07:32.931387846Z,1787679298118,2026-08-25T17:34:58.120380396Z,true,2026-08-25T17:34:58.049887995Z,true,2026-08-25T17:34:58.144371282Z,01M0WY8DXZ021X3Q3JZPT4DAPR,2026-08-25T17:07:32.931387846Z
01M0WY96PMWRCFZDCHA0JRQZSQ,01M0WWQAZ72GMKNB5E8VWC3WG2,2026-08-25T17:07:58.29207412Z,3,2026-08-25T17:07:58.29207412Z,true,2026-08-25T17:28:57.030376563Z,01M0WWQAZPP7VBJF1WXDE2YKFW,2026-08-25T17:07:58.29207412Z,1,2026-08-25T17:07:58.29207412Z,true,2026-08-25T17:28:54.009059642Z,feedback,2026-08-25T17:07:58.29207412Z,01M0WY96DGR3JJT546F6N7TRKH,2026-08-25T17:07:58.29207412Z,1787678934015,2026-08-25T17:28:54.016306958Z,true,2026-08-25T17:28:53.974245869Z,true,2026-08-25T17:28:54.028702148Z,01M0WY96PFSMQJJ3GMY2TR8FHC,2026-08-25T17:07:58.29207412Z
01M0WY973CN0XJP0FF89M42Z5K,01M0WWQAZ72GMKNB5E8VWC3WG2,2026-08-25T17:07:58.700718477Z,60,2026-08-25T17:07:58.700718477Z,true,2026-08-25T17:44:04.098359378Z,01M0WWQAZPP7VBJF1WXDE2YKFW,2026-08-25T17:07:58.700718477Z,0,2026-08-25T17:07:58.700718477Z,true,2026-08-25T17:43:40.69872677Z,selection,2026-08-25T17:07:58.700718477Z,01M0WY968BGKQC5W9TRXM0YM9J,2026-08-25T17:07:58.700718477Z,1787679820708,2026-08-25T17:43:40.710289481Z,true,2026-08-25T17:43:40.653146302Z,true,2026-08-25T17:43:40.727537502Z,01M0WY9737QJQ4H5BHPC38Y42Z,2026-08-25T17:07:58.700718477Z
01M0WXAWTABGFECV926H4AFJ77,01M0WWQ73PEDYQHEYYBB88AXMD,2026-08-25T16:51:25.13091863Z,3,2026-08-25T16:51:25.13091863Z,true,2026-08-25T17:20:23.841555755Z,01M0WWQ74H7CSGCPAHPDSCJ0PV,2026-08-25T16:51:25.13091863Z,1,2026-08-25T16:51:25.13091863Z,true,2026-08-25T17:20:20.817777549Z,feedback,2026-08-25T16:51:25.13091863Z,01M0WXAW6JASYZN57723MQ4H3T,2026-08-25T16:51:25.13091863Z,1787678420824,2026-08-25T17:20:20.825551422Z,true,2026-08-25T17:20:20.792495266Z,true,2026-08-25T17:20:20.842280667Z,01M0WXAWT2NRXQ14S06C842BF1,2026-08-25T16:51:25.13091863Z
01M0WXEC7VGZ6S1Q5MBBH69GE9,01M0WWQ73PEDYQHEYYBB88AXMD,2026-08-25T16:53:19.227626147Z,60,2026-08-25T16:53:19.227626147Z,false,2026-08-25T16:53:19.227626147Z,01M0WWQ74M3NWYAJGQB0ESKAD2,2026-08-25T16:53:19.227626147Z,0,2026-08-25T16:53:19.227626147Z,,,selection,2026-08-25T16:53:19.227626147Z,01M0WXEB8SQ04PTYWH38BJSWZ9,2026-08-25T16:53:19.227626147Z,,,false,2026-08-25T16:53:19.227626147Z,,,01M0WXEC7KZA7QP5A6V2E7EMP5,2026-08-25T16:53:19.227626147Z
01M0WXGFB8NDFC86XQGXMFGE8A,01M0WWQ73PEDYQHEYYBB88AXMD,2026-08-25T16:54:27.946596788Z,3,2026-08-25T16:54:27.946596788Z,false,2026-08-25T16:54:27.946596788Z,01M0WWQ74ND1AHANTF309RNWJE,2026-08-25T16:54:27.946596788Z,1,2026-08-25T16:54:27.946596788Z,,,feedback,2026-08-25T16:54:27.946596788Z,01M0WXGEES3GVK43QC88EEFS2C,2026-08-25T16:54:27.946596788Z,,,false,2026-08-25T16:54:27.946596788Z,,,01M0WXGFB5TMW8MNJ2TXFDPTCX,2026-08-25T16:54:27.946596788Z
01M0WY7GGER8ZQ3GJZBV0A2H50,01M0WWQ9XB6TMTWDYN7GB59TN7,2026-08-25T17:07:02.798629231Z,3,2026-08-25T17:07:02.798629231Z,true,2026-08-25T17:22:36.303393691Z,01M0WWQ9XW83PGVA4HF3WT9HVR,2026-08-25T17:07:02.798629231Z,1,2026-08-25T17:07:02.798629231Z,true,2026-08-25T17:22:33.278282037Z,feedback,2026-08-25T17:07:02.798629231Z,01M0WY7G5V7G5J4BYE8D12PFB5,2026-08-25T17:07:02.798629231Z,1787678553286,2026-08-25T17:22:33.288611414Z,true,2026-08-25T17:22:33.248957642Z,true,2026-08-25T17:22:33.303517798Z,01M0WY7GG8J6WASARZ053RJKVK,2026-08-25T17:07:02.798629231Z
01M0WY8DVKXC5EN9G91AH07PR5,01M0WWQ9XB6TMTWDYN7GB59TN7,2026-08-25T17:07:32.851729332Z,60,2026-08-25T17:07:32.851729332Z,true,2026-08-25T17:32:40.340570202Z,01M0WWQ9XT2Q7RF2RHNCTTRDNK,2026-08-25T17:07:32.851729332Z,0,2026-08-25T17:07:32.851729332Z,true,2026-08-25T17:32:16.098340161Z,selection,2026-08-25T17:07:32.851729332Z,01M0WY8D8AH379GKWXX8X3CQDX,2026-08-25T17:07:32.851729332Z,1787679136116,2026-08-25T17:32:16.118936449Z,true,2026-08-25T17:32:16.033179024Z,true,2026-08-25T17:32:16.144481485Z,01M0WY8DVBECRGY0S3R875ZMWW,2026-08-25T17:07:32.851729332Z
01M0WXAWVB042J7J5D4VCKB9X9,01M0WWQ73PEDYQHEYYBB88AXMD,2026-08-25T16:51:25.163820559Z,60,2026-08-25T16:51:25.163820559Z,true,2026-08-25T17:20:55.519130439Z,01M0WWQ74H7CSGCPAHPDSCJ0PV,2026-08-25T16:51:25.163820559Z,0,2026-08-25T16:51:25.163820559Z,true,2026-08-25T17:20:44.882879384Z,selection,2026-08-25T16:51:25.163820559Z,01M0WXAW6G8CMRXJFX7SGCQ6MA,2026-08-25T16:51:25.163820559Z,1787678444891,2026-08-25T17:20:44.893079123Z,true,2026-08-25T17:20:44.850087097Z,true,2026-08-25T17:20:44.901836774Z,01M0WXAWV6W9XDYSNF7GCDEV61,2026-08-25T16:51:25.163820559Z
01M0WXGFBSWAT3WX86FSRPS8K1,01M0WWQ73PEDYQHEYYBB88AXMD,2026-08-25T16:54:27.961755052Z,3,2026-08-25T16:54:27.961755052Z,false,2026-08-25T16:54:27.961755052Z,01M0WWQ74ND1AHANTF309RNWJE,2026-08-25T16:54:27.961755052Z,1,2026-08-25T16:54:27.961755052Z,,,feedback,2026-08-25T16:54:27.961755052Z,01M0WXGEB1H0731V7P9WGN6J4W,2026-08-25T16:54:27.961755052Z,,,false,2026-08-25T16:54:27.961755052Z,,,01M0WXGFBNEYG6R0Y858DMAQSC,2026-08-25T16:54:27.961755052Z
