id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt
01J1G2W25W6RH0ECKPPQ9MK8B8,01J1G1WHSGH86TY9ERYRE7DDTW,2024-06-28T18:49:08.028485052Z,01J1G1WHTAFKTGHBG3KKSCJSTE,2024-06-28T18:49:08.028485052Z,01J1G2BRW5KJ4ZP0C060PF0TCP,2024-06-28T18:49:08.028485052Z
01J1G3CMM8WXCSTW1S4BP4NTR6,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T18:58:11.208321043Z,01J1G2BFNZX85J152SRG2XMJ7M,2024-06-28T18:58:11.208321043Z,01J1G36TYQ8DBDFBXF2TT5T4JT,2024-06-28T18:58:11.208321043Z
01J1G2JBP1F7YG8TMRV61T02VS,01J1G1WHSGH86TY9ERYRE7DDTW,2024-06-28T18:43:50.081628886Z,01J1G1WHT9T93BKEMYX1GA4C93,2024-06-28T18:43:50.081628886Z,01J1G20MXD2JXJMM31WQFG1M43,2024-06-28T18:43:50.081628886Z
01J1G2W25XQN8ZE3NXRZGYKDZ4,01J1G1WHSGH86TY9ERYRE7DDTW,2024-06-28T18:49:08.029919371Z,01J1G1WHTAFKTGHBG3KKSCJSTE,2024-06-28T18:49:08.029919371Z,01J1G2PG89YW7YCDFRSWYMQG1W,2024-06-28T18:49:08.029919371Z
01J1G2YWYR8P9EJXAWSX3JTPXS,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T18:50:40.984936991Z,01J1G2BFP2D4J7V9H0V3XJEAHQ,2024-06-28T18:50:40.984936991Z,01J1G2RV8EK2KYFBN5MV3JDGVZ,2024-06-28T18:50:40.984936991Z
01J1G2J4NFQKP8W404CS23QF8J,01J1G1WHSGH86TY9ERYRE7DDTW,2024-06-28T18:43:42.895181369Z,01J1G1WHT4GZEZV213005AZ1MM,2024-06-28T18:43:42.895181369Z,01J1G2AW8JR5Q9P9WX8DF1C7DP,2024-06-28T18:43:42.895181369Z
01J1G2J4NFQKP8W404D27TN5S9,01J1G1WHSGH86TY9ERYRE7DDTW,2024-06-28T18:43:42.895415634Z,01J1G1WHT4GZEZV213005AZ1MM,2024-06-28T18:43:42.895415634Z,01J1G2FJ66PHN6KP6CVEMN6VWA,2024-06-28T18:43:42.895415634Z
01J1G2KBHVR5X0F5MQV9FDSG33,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T18:44:22.715479056Z,01J1G2BFP1PWCGVSRMBF7V50Z5,2024-06-28T18:44:22.715479056Z,01J1G2C0TJNERKCDPC78DA8EN3,2024-06-28T18:44:22.715479056Z
01J1G3EDN5VXPSVHDBY0A8RSJ6,01J1G2YKKY64N5QWXBZ4KNKWBC,2024-06-28T18:59:09.605222552Z,01J1G2YKN01DFX61RSJD6JCCFB,2024-06-28T18:59:09.605222552Z,01J1G31G1N74P19HSMVCG3S0FF,2024-06-28T18:59:09.605222552Z
01J1G3EDNCZEHBGFYR9DZ36BZV,01J1G2YKKY64N5QWXBZ4KNKWBC,2024-06-28T18:59:09.61297817Z,01J1G2YKN01DFX61RSJD6JCCFB,2024-06-28T18:59:09.61297817Z,01J1G38P2XZ2TM9P4M66872N8Y,2024-06-28T18:59:09.61297817Z
01J1G2JBP2SX6FAWVTK8X3GBY4,01J1G1WHSGH86TY9ERYRE7DDTW,2024-06-28T18:43:50.082263238Z,01J1G1WHT9T93BKEMYX1GA4C93,2024-06-28T18:43:50.082263238Z,01J1G28YDBHJP9AHTMTEE3RA7E,2024-06-28T18:43:50.082263238Z
01J1G2KBHTHX0RWC1SCD4ZNVJF,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T18:44:22.71419754Z,01J1G2BFP1PWCGVSRMBF7V50Z5,2024-06-28T18:44:22.71419754Z,01J1G29ZSQ2H4YGFV8J1JR7MDK,2024-06-28T18:44:22.71419754Z
01J1G2YWYVXX3ZQ9VVBCJZF44Y,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T18:50:40.987113121Z,01J1G2BFP2D4J7V9H0V3XJEAHQ,2024-06-28T18:50:40.987113121Z,01J1G2T8HB1GEVF048FFA2RHEY,2024-06-28T18:50:40.987113121Z
01J1G3CMM41CDF00NCCACB7CDM,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T18:58:11.2043506Z,01J1G2BFNZX85J152SRG2XMJ7M,2024-06-28T18:58:11.2043506Z,01J1G2EZDQFBSKJ15KW9KM1SPD,2024-06-28T18:58:11.2043506Z
