id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,bottomTangrams,bottomTangramsLastChangedAt,contextSize,contextSizeLastChangedAt,contextStructure,contextStructureLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,justStarted,justStartedLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,maxTimeout,maxTimeoutLastChangedAt,roundIndex,roundIndexLastChangedAt,showNegativeFeedback,showNegativeFeedbackLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,targets,targetsLastChangedAt,topTangrams,topTangramsLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01J1GBK6SJY4W02RSZHCGGWNQ1,,,01J1GBK6S05D9M5VGD4N34FSR5,2024-06-28T21:21:35.026746981Z,,,,,,,false,2024-06-28T21:21:35.026746981Z,batch ended,2024-06-28T21:32:04.846268962Z,01J1GBK6T9XR9G8HM86BGZFZ8P,2024-06-28T21:21:35.052156889Z,,,,,,,,,,,,,false,2024-06-28T21:21:35.026746981Z,,,terminated,2024-06-28T21:32:04.846268962Z,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T21:21:35.026746981Z,full-comp-between,2024-06-28T21:21:35.026746981Z
01J1GBK6SKDRW2T0DT9NBZDD85,,,01J1GBK6S05D9M5VGD4N34FSR5,2024-06-28T21:21:35.0274812Z,,,,,,,false,2024-06-28T21:21:35.0274812Z,batch ended,2024-06-28T21:32:04.846268962Z,01J1GBK6TWPBX10YSTMDK5MJXJ,2024-06-28T21:21:35.070584674Z,,,,,,,,,,,,,false,2024-06-28T21:21:35.0274812Z,,,terminated,2024-06-28T21:32:04.846268962Z,,,,,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T21:21:35.0274812Z,full-comp-within,2024-06-28T21:21:35.0274812Z
01J1GBK6SQ4AEY9TYN189G0XXR,,,01J1GBK6S05D9M5VGD4N34FSR5,2024-06-28T21:21:35.031324487Z,,,,,,,false,2024-06-28T21:21:35.031324487Z,batch ended,2024-06-28T21:32:04.846268962Z,01J1GBK6VGDVF62Z8124NEE5SF,2024-06-28T21:21:35.091408784Z,,,,,,,,,,,,,false,2024-06-28T21:21:35.031324487Z,,,terminated,2024-06-28T21:32:04.846268962Z,,,,,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T21:21:35.031324487Z,full-noncomp,2024-06-28T21:21:35.031324487Z
01J1GC6FWRQ635VP9NEJPYXAAA,2,2024-06-28T21:49:36.681463044Z,01J1GC6FW8MAYTMD1B3D93ZCCH,2024-06-28T21:32:06.93636226Z,"[16,17,18,19]",2024-06-28T21:49:36.884706047Z,4,2024-06-28T21:49:36.884706047Z,comp-between,2024-06-28T21:49:36.884706047Z,true,2024-06-28T22:14:18.812751391Z,end of game,2024-06-28T22:14:18.865238666Z,01J1GC6FXGTC2XHZ31Q7BJWT9Q,2024-06-28T21:32:06.962680106Z,true,2024-06-28T21:49:36.884706047Z,,,3,2024-06-28T21:49:36.884706047Z,63,2024-06-28T21:49:36.884706047Z,1,2024-06-28T21:49:36.884706047Z,null,2024-06-28T22:14:18.812751391Z,true,2024-06-28T21:49:36.681463044Z,true,2024-06-28T21:49:36.681463044Z,ended,2024-06-28T22:14:18.865238666Z,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]",2024-06-28T21:49:36.884706047Z,"[0,1,2,3]",2024-06-28T21:49:36.884706047Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T21:32:06.93636226Z,full-comp-between,2024-06-28T21:32:06.93636226Z
01J1GDGVB9VD9QZM57WJNGBSE3,2,2024-06-28T22:02:11.575900212Z,01J1GDGVAB7DT53BEJKAXEN00S,2024-06-28T21:55:14.921344973Z,"[16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]",2024-06-28T22:02:12.61180108Z,4,2024-06-28T22:02:12.61180108Z,noncomp,2024-06-28T22:02:12.61180108Z,true,2024-06-28T22:34:45.975987277Z,batch ended,2024-06-28T22:34:45.735659704Z,01J1GDGVCHSMB04NZDF948EN2W,2024-06-28T21:55:14.965607726Z,true,2024-06-28T22:02:12.61180108Z,01J1GDVYD3Q5SAK2DX2872WFZN,2024-06-28T22:01:18.513318934Z,3,2024-06-28T22:02:12.61180108Z,63,2024-06-28T22:02:12.61180108Z,1,2024-06-28T22:02:12.61180108Z,null,2024-06-28T22:34:45.975987277Z,true,2024-06-28T22:02:11.575900212Z,true,2024-06-28T22:02:11.575900212Z,terminated,2024-06-28T22:34:45.735659704Z,"[[0,16],[1,17],[2,18],[3,19],[4,20],[5,21],[6,22],[7,23],[8,24],[9,25],[10,26],[11,27],[12,28],[13,29],[14,30],[15,31]]",2024-06-28T22:02:12.61180108Z,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",2024-06-28T22:02:12.61180108Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T21:55:14.921344973Z,full-noncomp,2024-06-28T21:55:14.921344973Z
01J1GDHASBXZ6SCDTEHD99JNZ9,,,01J1GDHARDV96TACY2NYM4YJ9V,2024-06-28T21:55:30.731803675Z,,,,,,,false,2024-06-28T21:55:30.731803675Z,batch ended,2024-06-28T22:34:42.62617696Z,01J1GDHAV4T5F43CN9TEQSSFE0,2024-06-28T21:55:30.792789339Z,,,,,,,,,,,,,false,2024-06-28T21:55:30.731803675Z,,,terminated,2024-06-28T22:34:42.62617696Z,,,,,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T21:55:30.731803675Z,full-comp-within,2024-06-28T21:55:30.731803675Z
01J1GBK26D21DVATKGAY8P4SJK,2,2024-06-28T21:56:08.920445916Z,01J1GBK25HJKDE4YJE63JRP132,2024-06-28T21:21:30.317298961Z,"[16,17,18,19]",2024-06-28T21:56:09.22089772Z,4,2024-06-28T21:56:09.22089772Z,comp-within,2024-06-28T21:56:09.22089772Z,true,2024-06-28T22:28:32.696256254Z,end of game,2024-06-28T22:28:32.80859902Z,01J1GBK28CQP0MPZ6KGZFAGNME,2024-06-28T21:21:30.383677858Z,true,2024-06-28T21:56:09.22089772Z,,,3,2024-06-28T21:56:09.22089772Z,63,2024-06-28T21:56:09.22089772Z,1,2024-06-28T21:56:09.22089772Z,null,2024-06-28T22:28:32.696256254Z,true,2024-06-28T21:56:08.920445916Z,true,2024-06-28T21:56:08.920445916Z,ended,2024-06-28T22:28:32.80859902Z,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]",2024-06-28T21:56:09.22089772Z,"[0,1,2,3]",2024-06-28T21:56:09.22089772Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T21:21:30.317298961Z,full-comp-within,2024-06-28T21:21:30.317298961Z
01J1GBK26FB54362GGJR86CQAT,2,2024-06-28T21:46:50.668793676Z,01J1GBK25HJKDE4YJE63JRP132,2024-06-28T21:21:30.319295354Z,"[16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]",2024-06-28T21:46:50.849982374Z,4,2024-06-28T21:46:50.849982374Z,noncomp,2024-06-28T21:46:50.849982374Z,true,2024-06-28T22:05:03.034568871Z,end of game,2024-06-28T22:05:03.099172059Z,01J1GBK295DGKWERAWV1BSHYEA,2024-06-28T21:21:30.409020767Z,true,2024-06-28T21:46:50.849982374Z,,,3,2024-06-28T21:46:50.849982374Z,63,2024-06-28T21:46:50.849982374Z,1,2024-06-28T21:46:50.849982374Z,null,2024-06-28T22:05:03.034568871Z,true,2024-06-28T21:46:50.668793676Z,true,2024-06-28T21:46:50.668793676Z,ended,2024-06-28T22:05:03.099172059Z,"[[0,16],[1,17],[2,18],[3,19],[4,20],[5,21],[6,22],[7,23],[8,24],[9,25],[10,26],[11,27],[12,28],[13,29],[14,30],[15,31]]",2024-06-28T21:46:50.849982374Z,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",2024-06-28T21:46:50.849982374Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T21:21:30.319295354Z,full-noncomp,2024-06-28T21:21:30.319295354Z
01J1GDX2EDTXCYB9B8VEBCE6ZH,,,01J1GDX2CGDNRDXKWBAFKRCECC,2024-06-28T22:01:55.405054722Z,,,,,,,false,2024-06-28T22:01:55.405054722Z,shared lobby timeout,2024-06-28T22:08:04.615528276Z,01J1GDX2H7SRGEHY8392C78VT9,2024-06-28T22:01:55.502224921Z,,,01J1GDZ60W3BXBVKXSJHE1TQS0,2024-06-28T22:03:04.613607476Z,,,,,,,,,false,2024-06-28T22:01:55.405054722Z,,,failed,2024-06-28T22:08:04.615528276Z,,,,,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T22:01:55.405054722Z,full-noncomp,2024-06-28T22:01:55.405054722Z
01J1GC6FWV623Q1S58FYC029H6,2,2024-06-28T22:00:57.638052716Z,01J1GC6FW8MAYTMD1B3D93ZCCH,2024-06-28T21:32:06.939372701Z,"[16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]",2024-06-28T22:00:58.247214071Z,4,2024-06-28T22:00:58.247214071Z,noncomp,2024-06-28T22:00:58.247214071Z,true,2024-06-28T22:24:05.961556502Z,end of game,2024-06-28T22:24:06.037929997Z,01J1GC6FYS0YJJB76A3Y1E52W1,2024-06-28T21:32:07.004544999Z,true,2024-06-28T22:00:58.247214071Z,,,3,2024-06-28T22:00:58.247214071Z,63,2024-06-28T22:00:58.247214071Z,1,2024-06-28T22:00:58.247214071Z,null,2024-06-28T22:24:05.961556502Z,true,2024-06-28T22:00:57.638052716Z,true,2024-06-28T22:00:57.638052716Z,ended,2024-06-28T22:24:06.037929997Z,"[[0,16],[1,17],[2,18],[3,19],[4,20],[5,21],[6,22],[7,23],[8,24],[9,25],[10,26],[11,27],[12,28],[13,29],[14,30],[15,31]]",2024-06-28T22:00:58.247214071Z,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",2024-06-28T22:00:58.247214071Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T21:32:06.939372701Z,full-noncomp,2024-06-28T21:32:06.939372701Z
