id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01J1GE9TPXMQXWBG2HRVS3HDBJ,01J1GC6FW8MAYTMD1B3D93ZCCH,2024-06-28T22:08:53.469594259Z,01J1GC6FWV623Q1S58FYC029H6,2024-06-28T22:08:53.469594259Z,01J1GDKNNVK31FX7VWAR5JJ8KM,2024-06-28T22:08:53.469594259Z,01J1GDVAAE0D7BRPWG0HS9KTH6,2024-06-28T22:08:53.469594259Z,01J1GDVBJDWVFXWCVBBC4C9TZZ,2024-06-28T22:08:53.469594259Z,,
01J1GF19N6PX2SKM9FC1ARQ8PG,01J1GDGVAB7DT53BEJKAXEN00S,2024-06-28T22:21:42.438879523Z,01J1GDGVB9VD9QZM57WJNGBSE3,2024-06-28T22:21:42.438879523Z,01J1GDRY8S6N8FJXWF352C4CWD,2024-06-28T22:21:42.438879523Z,01J1GDXJPFJ3R0Y8V6MSYMHPKV,2024-06-28T22:21:42.438879523Z,01J1GDXMBMSQWQJTZACT91942J,2024-06-28T22:21:42.438879523Z,,
01J1GDS1CE660ZCDFYHXA5AW5M,01J1GBK25HJKDE4YJE63JRP132,2024-06-28T21:59:43.246645959Z,01J1GBK26FB54362GGJR86CQAT,2024-06-28T21:59:43.246645959Z,01J1GCX8GDS14BXNM6CHK2N3YD,2024-06-28T21:59:43.246645959Z,01J1GD1F2B30MPR42740PENFR4,2024-06-28T21:59:43.246645959Z,01J1GD1FQ7ADZR3E9KC3V19YVY,2024-06-28T21:59:43.246645959Z,,
01J1GECXWSWFZKAK6F4GVD1HK5,01J1GC6FW8MAYTMD1B3D93ZCCH,2024-06-28T22:10:35.033452308Z,01J1GC6FWV623Q1S58FYC029H6,2024-06-28T22:10:35.033452308Z,01J1GDKNNVK31FX7VWAR5JJ8KM,2024-06-28T22:10:35.033452308Z,01J1GDVADG8ECSB7CK48CRWZBY,2024-06-28T22:10:35.033452308Z,01J1GDVBY1BK3EZ9XJFJJ59E45,2024-06-28T22:10:35.033452308Z,true,2024-06-28T22:10:45.478205368Z
01J1GFDQ36N4K700A95MG32JPF,01J1GBK25HJKDE4YJE63JRP132,2024-06-28T22:28:29.41470352Z,01J1GBK26D21DVATKGAY8P4SJK,2024-06-28T22:28:29.41470352Z,01J1GD6FATZZRY5ZXDCEZXVMGR,2024-06-28T22:28:29.41470352Z,01J1GDJGC8JYDFC57K0B1ES71P,2024-06-28T22:28:29.41470352Z,01J1GDJJ67ART0N51H99QSW64V,2024-06-28T22:28:29.41470352Z,,
01J1GDJT2SJVNK2Q0JFYMN8Q9P,01J1GBK25HJKDE4YJE63JRP132,2024-06-28T21:56:19.161288208Z,01J1GBK26FB54362GGJR86CQAT,2024-06-28T21:56:19.161288208Z,01J1GCTBVK12MQ5CB3YAC9C6SQ,2024-06-28T21:56:19.161288208Z,01J1GD1F2SARQ720X4VQC6CSW2,2024-06-28T21:56:19.161288208Z,01J1GD1FHQ6GYW3GYJ26S33YST,2024-06-28T21:56:19.161288208Z,,
01J1GDPMR9KNT89FECW1RNBRG6,01J1GBK25HJKDE4YJE63JRP132,2024-06-28T21:58:24.778014893Z,01J1GBK26D21DVATKGAY8P4SJK,2024-06-28T21:58:24.778014893Z,01J1GD6FATZZRY5ZXDCEZXVMGR,2024-06-28T21:58:24.778014893Z,01J1GDJG6VFY8WC8YC3AA0E9ZP,2024-06-28T21:58:24.778014893Z,01J1GDJGEKDH3T3VGW38G26W9J,2024-06-28T21:58:24.778014893Z,,
01J1GE40WAAARAF97HCHP8Q1JA,01J1GC6FW8MAYTMD1B3D93ZCCH,2024-06-28T22:05:43.178453825Z,01J1GC6FWRQ635VP9NEJPYXAAA,2024-06-28T22:05:43.178453825Z,01J1GCFFT5VZKE8R0766EQR2EM,2024-06-28T22:05:43.178453825Z,01J1GD6H6NAPYTKTP6HVNP8MKT,2024-06-28T22:05:43.178453825Z,01J1GD6HYW5DX9HE2CN2YKZSFH,2024-06-28T22:05:43.178453825Z,,
01J1GD5GAXJZ9XYGAQ8VHH8ARD,01J1GBK25HJKDE4YJE63JRP132,2024-06-28T21:49:03.197081608Z,01J1GBK26FB54362GGJR86CQAT,2024-06-28T21:49:03.197081608Z,01J1GCTBVK12MQ5CB3YAC9C6SQ,2024-06-28T21:49:03.197081608Z,01J1GD1F26XGM6Q03XXKQGJ28P,2024-06-28T21:49:03.197081608Z,01J1GD1F80ME46S6VSR47Y2KPZ,2024-06-28T21:49:03.197081608Z,true,2024-06-28T21:49:15.036089242Z
01J1GD84QYHQ33254332GHQDKZ,01J1GBK25HJKDE4YJE63JRP132,2024-06-28T21:50:29.630723555Z,01J1GBK26FB54362GGJR86CQAT,2024-06-28T21:50:29.630723555Z,01J1GCTBVK12MQ5CB3YAC9C6SQ,2024-06-28T21:50:29.630723555Z,01J1GD1F2Q5BBSM3M3R31VM61R,2024-06-28T21:50:29.630723555Z,01J1GD1F9PFS4XP54B5HEYX8X9,2024-06-28T21:50:29.630723555Z,,
