id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,bottomTangrams,bottomTangramsLastChangedAt,contextSize,contextSizeLastChangedAt,contextStructure,contextStructureLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,justStarted,justStartedLastChangedAt,maxTimeout,maxTimeoutLastChangedAt,roundIndex,roundIndexLastChangedAt,showNegativeFeedback,showNegativeFeedbackLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,targets,targetsLastChangedAt,topTangrams,topTangramsLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01J1QNE39PJ7B8A0REVHZR1A7K,2,2024-07-01T17:52:19.088326344Z,01J1QNE398RS8YBXTYNPZB97GK,2024-07-01T17:28:14.390852691Z,"[16,17,18,19]",2024-07-01T17:52:19.372618743Z,4,2024-07-01T17:52:19.372618743Z,comp-within,2024-07-01T17:52:19.372618743Z,true,2024-07-01T18:25:15.495232689Z,end of game,2024-07-01T18:25:15.665851135Z,01J1QNE3B0TD634EB66WD6NZ4X,2024-07-01T17:28:14.435154519Z,true,2024-07-01T17:52:19.372618743Z,3,2024-07-01T17:52:19.372618743Z,63,2024-07-01T17:52:19.372618743Z,1,2024-07-01T17:52:19.372618743Z,null,2024-07-01T18:25:15.495232689Z,true,2024-07-01T17:52:19.088326344Z,true,2024-07-01T17:52:19.088326344Z,ended,2024-07-01T18:25:15.665851135Z,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]",2024-07-01T17:52:19.372618743Z,"[0,1,2,3]",2024-07-01T17:52:19.372618743Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-07-01T17:28:14.390852691Z,full-comp-within,2024-07-01T17:28:14.390852691Z
01J1QNE39Q81W3DCXXJZ95X0QX,2,2024-07-01T17:55:43.314589762Z,01J1QNE398RS8YBXTYNPZB97GK,2024-07-01T17:28:14.391076618Z,"[16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]",2024-07-01T17:55:43.513825601Z,4,2024-07-01T17:55:43.513825601Z,noncomp,2024-07-01T17:55:43.513825601Z,true,2024-07-01T18:22:43.407243992Z,end of game,2024-07-01T18:22:43.46005835Z,01J1QNE3BMG5W2S20SGZ2RW89Q,2024-07-01T17:28:14.455086759Z,true,2024-07-01T17:55:43.513825601Z,3,2024-07-01T17:55:43.513825601Z,63,2024-07-01T17:55:43.513825601Z,1,2024-07-01T17:55:43.513825601Z,null,2024-07-01T18:22:43.407243992Z,true,2024-07-01T17:55:43.314589762Z,true,2024-07-01T17:55:43.314589762Z,ended,2024-07-01T18:22:43.46005835Z,"[[0,16],[1,17],[2,18],[3,19],[4,20],[5,21],[6,22],[7,23],[8,24],[9,25],[10,26],[11,27],[12,28],[13,29],[14,30],[15,31]]",2024-07-01T17:55:43.513825601Z,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",2024-07-01T17:55:43.513825601Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-07-01T17:28:14.391076618Z,full-noncomp,2024-07-01T17:28:14.391076618Z
01J1QNE6KNDHKGTDVN9VP8XKVM,2,2024-07-01T17:57:26.228953475Z,01J1QNE6K879FS2YCCFD4581M2,2024-07-01T17:28:17.781889584Z,"[16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]",2024-07-01T17:57:26.55675124Z,4,2024-07-01T17:57:26.55675124Z,noncomp,2024-07-01T17:57:26.55675124Z,true,2024-07-01T18:20:16.1353436Z,end of game,2024-07-01T18:20:16.237789441Z,01J1QNE6MPRNYH3FVDYDAHAESR,2024-07-01T17:28:17.816086969Z,true,2024-07-01T17:57:26.55675124Z,3,2024-07-01T17:57:26.55675124Z,63,2024-07-01T17:57:26.55675124Z,1,2024-07-01T17:57:26.55675124Z,null,2024-07-01T18:20:16.1353436Z,true,2024-07-01T17:57:26.228953475Z,true,2024-07-01T17:57:26.228953475Z,ended,2024-07-01T18:20:16.237789441Z,"[[0,16],[1,17],[2,18],[3,19],[4,20],[5,21],[6,22],[7,23],[8,24],[9,25],[10,26],[11,27],[12,28],[13,29],[14,30],[15,31]]",2024-07-01T17:57:26.55675124Z,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",2024-07-01T17:57:26.55675124Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-07-01T17:28:17.781889584Z,full-noncomp,2024-07-01T17:28:17.781889584Z
01J1QREJ14NN3ZAHFH2HQ79BRV,,,01J1QREHYN1N7X25AWX86N2FTD,2024-07-01T18:20:55.204361817Z,,,,,,,false,2024-07-01T18:20:55.204361817Z,batch ended,2024-07-01T18:31:04.782706727Z,01J1QREJ529E5EH64TYF98MDYK,2024-07-01T18:20:55.340328217Z,,,,,,,,,,,false,2024-07-01T18:20:55.204361817Z,,,terminated,2024-07-01T18:31:04.782706727Z,,,,,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-07-01T18:20:55.204361817Z,full-comp-within,2024-07-01T18:20:55.204361817Z
01J1QNE39PJ7B8A0REV36W4QSF,2,2024-07-01T17:51:14.759074253Z,01J1QNE398RS8YBXTYNPZB97GK,2024-07-01T17:28:14.390469931Z,"[16,17,18,19]",2024-07-01T17:51:14.975080395Z,4,2024-07-01T17:51:14.975080395Z,comp-between,2024-07-01T17:51:14.975080395Z,true,2024-07-01T18:38:53.083647411Z,batch ended,2024-07-01T18:38:52.893033829Z,01J1QNE3ACWBKYN6PT2JQACX1P,2024-07-01T17:28:14.416062418Z,true,2024-07-01T17:51:14.975080395Z,3,2024-07-01T17:51:14.975080395Z,63,2024-07-01T17:51:14.975080395Z,1,2024-07-01T17:51:14.975080395Z,null,2024-07-01T18:38:53.083647411Z,true,2024-07-01T17:51:14.759074253Z,true,2024-07-01T17:51:14.759074253Z,terminated,2024-07-01T18:38:52.893033829Z,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]",2024-07-01T17:51:14.975080395Z,"[0,1,2,3]",2024-07-01T17:51:14.975080395Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-07-01T17:28:14.390469931Z,full-comp-between,2024-07-01T17:28:14.390469931Z
01J1QNEE1QGJVSMNPAJZ8D88KJ,2,2024-07-01T18:16:20.669731946Z,01J1QNEE1411JQHNJP627GJF23,2024-07-01T17:28:25.399383128Z,"[16,17,18,19]",2024-07-01T18:16:21.574028888Z,4,2024-07-01T18:16:21.574028888Z,comp-between,2024-07-01T18:16:21.574028888Z,true,2024-07-01T18:36:22.841464561Z,end of game,2024-07-01T18:36:22.903632652Z,01J1QNEE3MJPAR9G3N8EF5666G,2024-07-01T17:28:25.462397154Z,true,2024-07-01T18:16:21.574028888Z,3,2024-07-01T18:16:21.574028888Z,63,2024-07-01T18:16:21.574028888Z,1,2024-07-01T18:16:21.574028888Z,null,2024-07-01T18:36:22.841464561Z,true,2024-07-01T18:16:20.669731946Z,true,2024-07-01T18:16:20.669731946Z,ended,2024-07-01T18:36:22.903632652Z,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]",2024-07-01T18:16:21.574028888Z,"[0,1,2,3]",2024-07-01T18:16:21.574028888Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-07-01T17:28:25.399383128Z,full-comp-between,2024-07-01T17:28:25.399383128Z
01J1QNEE1P53GVS68GZ19GDF41,2,2024-07-01T18:39:46.202125177Z,01J1QNEE1411JQHNJP627GJF23,2024-07-01T17:28:25.398034542Z,"[16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]",2024-07-01T18:39:47.81250771Z,4,2024-07-01T18:39:47.81250771Z,noncomp,2024-07-01T18:39:47.81250771Z,true,2024-07-01T19:01:06.570931192Z,end of game,2024-07-01T19:01:06.650101466Z,01J1QNEE31RM7H5VY4GFKX61X1,2024-07-01T17:28:25.442989984Z,true,2024-07-01T18:39:47.81250771Z,3,2024-07-01T18:39:47.81250771Z,63,2024-07-01T18:39:47.81250771Z,1,2024-07-01T18:39:47.81250771Z,null,2024-07-01T19:01:06.570931192Z,true,2024-07-01T18:39:46.202125177Z,true,2024-07-01T18:39:46.202125177Z,ended,2024-07-01T19:01:06.650101466Z,"[[0,16],[1,17],[2,18],[3,19],[4,20],[5,21],[6,22],[7,23],[8,24],[9,25],[10,26],[11,27],[12,28],[13,29],[14,30],[15,31]]",2024-07-01T18:39:47.81250771Z,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",2024-07-01T18:39:47.81250771Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-07-01T17:28:25.398034542Z,full-noncomp,2024-07-01T17:28:25.398034542Z
01J1QNE12RAT2HV30CJ14B10MV,2,2024-07-01T17:44:55.960539997Z,01J1QNE11Z45RGCN8KT7NWPAJ4,2024-07-01T17:28:12.120907517Z,"[16,17,18,19]",2024-07-01T17:44:56.127788606Z,4,2024-07-01T17:44:56.127788606Z,comp-between,2024-07-01T17:44:56.127788606Z,true,2024-07-01T18:00:53.331538916Z,end of game,2024-07-01T18:00:53.36008463Z,01J1QNE13PC25F259FBRVFPEEA,2024-07-01T17:28:12.154643359Z,true,2024-07-01T17:44:56.127788606Z,3,2024-07-01T17:44:56.127788606Z,63,2024-07-01T17:44:56.127788606Z,1,2024-07-01T17:44:56.127788606Z,null,2024-07-01T18:00:53.331538916Z,true,2024-07-01T17:44:55.960539997Z,true,2024-07-01T17:44:55.960539997Z,ended,2024-07-01T18:00:53.36008463Z,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]",2024-07-01T17:44:56.127788606Z,"[0,1,2,3]",2024-07-01T17:44:56.127788606Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-07-01T17:28:12.120907517Z,full-comp-between,2024-07-01T17:28:12.120907517Z
01J1QNE12S0A8AFYPZ0YNZWKYZ,2,2024-07-01T17:48:54.190163312Z,01J1QNE11Z45RGCN8KT7NWPAJ4,2024-07-01T17:28:12.12153085Z,"[16,17,18,19]",2024-07-01T17:48:54.368004835Z,4,2024-07-01T17:48:54.368004835Z,comp-within,2024-07-01T17:48:54.368004835Z,true,2024-07-01T18:09:42.089497598Z,end of game,2024-07-01T18:09:42.128854613Z,01J1QNE151NKB57YBDXR3E97V2,2024-07-01T17:28:12.195853062Z,true,2024-07-01T17:48:54.368004835Z,3,2024-07-01T17:48:54.368004835Z,63,2024-07-01T17:48:54.368004835Z,1,2024-07-01T17:48:54.368004835Z,null,2024-07-01T18:09:42.089497598Z,true,2024-07-01T17:48:54.190163312Z,true,2024-07-01T17:48:54.190163312Z,ended,2024-07-01T18:09:42.128854613Z,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]",2024-07-01T17:48:54.368004835Z,"[0,1,2,3]",2024-07-01T17:48:54.368004835Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-07-01T17:28:12.12153085Z,full-comp-within,2024-07-01T17:28:12.12153085Z
01J1QNE6KNDHKGTDVN9A5ABN3E,2,2024-07-01T18:08:04.33655978Z,01J1QNE6K879FS2YCCFD4581M2,2024-07-01T17:28:17.781478898Z,"[16,17,18,19]",2024-07-01T18:08:05.071288126Z,4,2024-07-01T18:08:05.071288126Z,comp-between,2024-07-01T18:08:05.071288126Z,true,2024-07-01T18:31:44.429016116Z,end of game,2024-07-01T18:31:44.49576362Z,01J1QNE6M60P3JM6RHM1AFFKN6,2024-07-01T17:28:17.800903098Z,true,2024-07-01T18:08:05.071288126Z,3,2024-07-01T18:08:05.071288126Z,63,2024-07-01T18:08:05.071288126Z,1,2024-07-01T18:08:05.071288126Z,null,2024-07-01T18:31:44.429016116Z,true,2024-07-01T18:08:04.33655978Z,true,2024-07-01T18:08:04.33655978Z,ended,2024-07-01T18:31:44.49576362Z,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]",2024-07-01T18:08:05.071288126Z,"[0,1,2,3]",2024-07-01T18:08:05.071288126Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-07-01T17:28:17.781478898Z,full-comp-between,2024-07-01T17:28:17.781478898Z
