id,batchID,batchIDLastChangedAt,chat,chatLastChangedAt,correct,correctLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,numTrials,numTrialsLastChangedAt,repNum,repNumLastChangedAt,reps,repsLastChangedAt,response,responseLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,tangramURLs,tangramURLsLastChangedAt,target,targetLastChangedAt,targetNum,targetNumLastChangedAt,trialNum,trialNumLastChangedAt
01J1QPCNH9FJT6QSENPXXB96TY,01J1QNE11Z45RGCN8KT7NWPAJ4,2024-07-01T17:44:56.105209097Z,"[{""text"":""looks like eagle"",""sender"":{""id"":""01J1QP8C29WJBEG0WK3V9HD36V"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2024-07-01T17:50:45.458645821Z,TRUE,2024-07-01T17:50:51.027645151Z,TRUE,2024-07-01T17:50:51.014566814Z,01J1QNE12RAT2HV30CJ14B10MV,2024-07-01T17:44:56.105209097Z,15,2024-07-01T17:44:56.105209097Z,65,2024-07-01T17:44:56.105209097Z,0,2024-07-01T17:44:56.105209097Z,4,2024-07-01T17:44:56.105209097Z,/tangrams/1_19.png,2024-07-01T17:50:51.027645151Z,2,2024-07-01T17:44:56.418484053Z,TRUE,2024-07-01T17:50:39.135541478Z,"[""/tangrams/1_19.png"",""/tangrams/2_17.png"",""/tangrams/3_16.png"",""/tangrams/0_18.png""]",2024-07-01T17:44:56.105209097Z,/tangrams/1_19.png,2024-07-01T17:44:56.105209097Z,16,2024-07-01T17:44:56.105209097Z,15,2024-07-01T17:44:56.105209097Z
01J1QPENZVDZH07EBQB3ZTZXTJ,01J1QNE11Z45RGCN8KT7NWPAJ4,2024-07-01T17:46:02.107644168Z,"[{""text"":""looks like its wearing a top hat"",""sender"":{""id"":""01J1QNZ0DKKHXW52G0NBBS75Y0"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}},{""text"":""on the left side of its head"",""sender"":{""id"":""01J1QNZ0DKKHXW52G0NBBS75Y0"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2024-07-01T17:52:51.108289338Z,TRUE,2024-07-01T17:52:57.36094374Z,TRUE,2024-07-01T17:52:57.349565771Z,01J1QNE12VV9T74DS9BE310JQ7,2024-07-01T17:46:02.107644168Z,9,2024-07-01T17:46:02.107644168Z,65,2024-07-01T17:46:02.107644168Z,0,2024-07-01T17:46:02.107644168Z,4,2024-07-01T17:46:02.107644168Z,/tangrams/9_25.png,2024-07-01T17:52:57.36094374Z,2,2024-07-01T17:46:02.337103869Z,TRUE,2024-07-01T17:52:30.990736298Z,"[""/tangrams/13_29.png"",""/tangrams/9_25.png"",""/tangrams/6_22.png"",""/tangrams/5_21.png""]",2024-07-01T17:46:02.107644168Z,/tangrams/9_25.png,2024-07-01T17:46:02.107644168Z,10,2024-07-01T17:46:02.107644168Z,9,2024-07-01T17:46:02.107644168Z
01J1QPT6AFKCBRXHV2RKJ927VW,01J1QNE398RS8YBXTYNPZB97GK,2024-07-01T17:52:19.279637646Z,"[{""text"":""flower with a flat top, like a thistle"",""sender"":{""id"":""01J1QPMY2ZFVFB9RHCKG4TKJ89"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2024-07-01T18:12:08.664074084Z,TRUE,2024-07-01T18:12:19.878624682Z,TRUE,2024-07-01T18:12:19.856782323Z,01J1QNE39PJ7B8A0REVHZR1A7K,2024-07-01T17:52:19.279637646Z,30,2024-07-01T17:52:19.279637646Z,65,2024-07-01T17:52:19.279637646Z,1,2024-07-01T17:52:19.279637646Z,4,2024-07-01T17:52:19.279637646Z,/tangrams/2_16.png,2024-07-01T18:12:19.878624682Z,2,2024-07-01T17:52:20.061100857Z,TRUE,2024-07-01T18:11:49.570348744Z,"[""/tangrams/0_18.png"",""/tangrams/0_16.png"",""/tangrams/2_18.png"",""/tangrams/2_16.png""]",2024-07-01T17:52:19.279637646Z,/tangrams/2_16.png,2024-07-01T17:52:19.279637646Z,15,2024-07-01T17:52:19.279637646Z,30,2024-07-01T17:52:19.279637646Z
01J1QQD48NFJ7Z569K6E50KC96,01J1QNE6K879FS2YCCFD4581M2,2024-07-01T18:02:39.76523889Z,"[{""text"":""three squares on top, bottom right has a weird shape"",""sender"":{""id"":""01J1QQ1BM5RG1ZHZBXSMZZ8JT3"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}},{""text"":""a little gap in the bottom riight yh"",""sender"":{""id"":""01J1QQ1484JXPJV4A4KFQMVC0S"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}},{""text"":""yeh"",""sender"":{""id"":""01J1QQ1BM5RG1ZHZBXSMZZ8JT3"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2024-07-01T18:07:50.745499479Z,TRUE,2024-07-01T18:07:55.47022842Z,TRUE,2024-07-01T18:07:55.45363591Z,01J1QNE6KPS5SV4KX4GKK5GM7S,2024-07-01T18:02:39.76523889Z,6,2024-07-01T18:02:39.76523889Z,65,2024-07-01T18:02:39.76523889Z,0,2024-07-01T18:02:39.76523889Z,4,2024-07-01T18:02:39.76523889Z,/tangrams/0_19.png,2024-07-01T18:07:55.47022842Z,2,2024-07-01T18:02:40.377156926Z,TRUE,2024-07-01T18:07:07.060055209Z,"[""/tangrams/1_19.png"",""/tangrams/0_16.png"",""/tangrams/0_19.png"",""/tangrams/1_16.png""]",2024-07-01T18:02:39.76523889Z,/tangrams/0_19.png,2024-07-01T18:02:39.76523889Z,7,2024-07-01T18:02:39.76523889Z,6,2024-07-01T18:02:39.76523889Z
01J1QQQ1TM230B99P7H66AYVC3,01J1QNE6K879FS2YCCFD4581M2,2024-07-01T18:08:04.949012002Z,"[{""text"":""looks like a head"",""sender"":{""id"":""01J1QQKAWCNC6D92WMQZWJ0Q2K"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2024-07-01T18:26:44.383748998Z,TRUE,2024-07-01T18:26:50.451491881Z,TRUE,2024-07-01T18:26:50.420944217Z,01J1QNE6KNDHKGTDVN9A5ABN3E,2024-07-01T18:08:04.949012002Z,40,2024-07-01T18:08:04.949012002Z,65,2024-07-01T18:08:04.949012002Z,2,2024-07-01T18:08:04.949012002Z,4,2024-07-01T18:08:04.949012002Z,/tangrams/1_17.png,2024-07-01T18:26:50.451491881Z,2,2024-07-01T18:08:07.173530343Z,TRUE,2024-07-01T18:26:31.46198793Z,"[""/tangrams/0_16.png"",""/tangrams/1_17.png"",""/tangrams/3_19.png"",""/tangrams/2_18.png""]",2024-07-01T18:08:04.949012002Z,/tangrams/1_17.png,2024-07-01T18:08:04.949012002Z,9,2024-07-01T18:08:04.949012002Z,40,2024-07-01T18:08:04.949012002Z
01J1QPCNHBY9W77NXKN9VTP9BY,01J1QNE11Z45RGCN8KT7NWPAJ4,2024-07-01T17:44:56.107597395Z,"[{""text"":""3 pointy things on top"",""sender"":{""id"":""01J1QP8C29WJBEG0WK3V9HD36V"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2024-07-01T17:53:09.127518696Z,TRUE,2024-07-01T17:53:14.290411157Z,TRUE,2024-07-01T17:53:14.280837731Z,01J1QNE12RAT2HV30CJ14B10MV,2024-07-01T17:44:56.107597395Z,23,2024-07-01T17:44:56.107597395Z,65,2024-07-01T17:44:56.107597395Z,1,2024-07-01T17:44:56.107597395Z,4,2024-07-01T17:44:56.107597395Z,/tangrams/3_18.png,2024-07-01T17:53:14.290411157Z,2,2024-07-01T17:44:56.532386959Z,TRUE,2024-07-01T17:52:59.905426926Z,"[""/tangrams/1_16.png"",""/tangrams/3_18.png"",""/tangrams/2_19.png"",""/tangrams/0_17.png""]",2024-07-01T17:44:56.107597395Z,/tangrams/3_18.png,2024-07-01T17:44:56.107597395Z,8,2024-07-01T17:44:56.107597395Z,23,2024-07-01T17:44:56.107597395Z
01J1QPCNHR03WE3V6AM735JEC0,01J1QNE11Z45RGCN8KT7NWPAJ4,2024-07-01T17:44:56.120768666Z,"[{""text"":""pointy"",""sender"":{""id"":""01J1QP8C29WJBEG0WK3V9HD36V"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2024-07-01T17:58:18.369582395Z,TRUE,2024-07-01T17:58:23.736734276Z,TRUE,2024-07-01T17:58:23.725829988Z,01J1QNE12RAT2HV30CJ14B10MV,2024-07-01T17:44:56.120768666Z,49,2024-07-01T17:44:56.120768666Z,65,2024-07-01T17:44:56.120768666Z,3,2024-07-01T17:44:56.120768666Z,4,2024-07-01T17:44:56.120768666Z,/tangrams/3_17.png,2024-07-01T17:58:23.736734276Z,2,2024-07-01T17:44:56.869631802Z,TRUE,2024-07-01T17:58:15.161030378Z,"[""/tangrams/1_18.png"",""/tangrams/2_19.png"",""/tangrams/3_17.png"",""/tangrams/0_16.png""]",2024-07-01T17:44:56.120768666Z,/tangrams/3_17.png,2024-07-01T17:44:56.120768666Z,2,2024-07-01T17:44:56.120768666Z,49,2024-07-01T17:44:56.120768666Z
01J1QPR7GVRFF0CQ3ZCFCVR05J,01J1QNE398RS8YBXTYNPZB97GK,2024-07-01T17:51:14.971388524Z,,,,,FALSE,2024-07-01T17:51:14.971388524Z,01J1QNE39PJ7B8A0REV36W4QSF,2024-07-01T17:51:14.971388524Z,59,2024-07-01T17:51:14.971388524Z,65,2024-07-01T17:51:14.971388524Z,3,2024-07-01T17:51:14.971388524Z,4,2024-07-01T17:51:14.971388524Z,,,2,2024-07-01T17:51:16.105016516Z,FALSE,2024-07-01T17:51:14.971388524Z,"[""/tangrams/2_16.png"",""/tangrams/0_18.png"",""/tangrams/3_17.png"",""/tangrams/1_19.png""]",2024-07-01T17:51:14.971388524Z,/tangrams/2_16.png,2024-07-01T17:51:14.971388524Z,12,2024-07-01T17:51:14.971388524Z,59,2024-07-01T17:51:14.971388524Z
01J1QPT698XXADAZ4N9ZRVD836,01J1QNE398RS8YBXTYNPZB97GK,2024-07-01T17:52:19.240344939Z,"[{""text"":""bird, side profile"",""sender"":{""id"":""01J1QPG26V5ZV71W11JWX04KZ5"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2024-07-01T18:13:15.160757937Z,TRUE,2024-07-01T18:13:22.852777023Z,TRUE,2024-07-01T18:13:22.832508756Z,01J1QNE39PJ7B8A0REVHZR1A7K,2024-07-01T17:52:19.240344939Z,33,2024-07-01T17:52:19.240344939Z,65,2024-07-01T17:52:19.240344939Z,2,2024-07-01T17:52:19.240344939Z,4,2024-07-01T17:52:19.240344939Z,/tangrams/1_19.png,2024-07-01T18:13:22.852777023Z,2,2024-07-01T17:52:20.127833894Z,TRUE,2024-07-01T18:13:02.921148924Z,"[""/tangrams/3_19.png"",""/tangrams/1_19.png"",""/tangrams/1_16.png"",""/tangrams/3_16.png""]",2024-07-01T17:52:19.240344939Z,/tangrams/1_19.png,2024-07-01T17:52:19.240344939Z,2,2024-07-01T17:52:19.240344939Z,33,2024-07-01T17:52:19.240344939Z
01J1QQ0DXG3KJ3R209YBXAZKD4,01J1QNE398RS8YBXTYNPZB97GK,2024-07-01T17:55:43.664640883Z,"[{""text"":""looks like a head with large ears sticking out. symmetrical"",""sender"":{""id"":""01J1QPTD7F4224XY61PC3JM6BF"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2024-07-01T17:58:25.315552619Z,TRUE,2024-07-01T17:58:34.016052607Z,TRUE,2024-07-01T17:58:34.001339675Z,01J1QNE39Q81W3DCXXJZ95X0QX,2024-07-01T17:55:43.664640883Z,4,2024-07-01T17:55:43.664640883Z,65,2024-07-01T17:55:43.664640883Z,0,2024-07-01T17:55:43.664640883Z,4,2024-07-01T17:55:43.664640883Z,/tangrams/1_17.png,2024-07-01T17:58:34.016052607Z,2,2024-07-01T17:55:43.791825125Z,TRUE,2024-07-01T17:58:01.135419117Z,"[""/tangrams/12_28.png"",""/tangrams/9_25.png"",""/tangrams/14_30.png"",""/tangrams/1_17.png""]",2024-07-01T17:55:43.664640883Z,/tangrams/1_17.png,2024-07-01T17:55:43.664640883Z,5,2024-07-01T17:55:43.664640883Z,4,2024-07-01T17:55:43.664640883Z
