id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,status,statusLastChangedAt,timerID,timerIDLastChangedAt
01J1QPEP5YXEXWVTBWB0TGQ4FQ,01J1QNE11Z45RGCN8KT7NWPAJ4,2024-07-01T17:46:02.302975266Z,3,2024-07-01T17:46:02.302975266Z,true,2024-07-01T17:51:49.437961014Z,,,01J1QNE12VV9T74DS9BE310JQ7,2024-07-01T17:46:02.302975266Z,1,2024-07-01T17:46:02.302975266Z,true,2024-07-01T17:51:46.42089099Z,feedback,2024-07-01T17:46:02.302975266Z,01J1QPENZTN353FWFMJFVMFTHF,2024-07-01T17:46:02.302975266Z,true,2024-07-01T17:51:46.4049633Z,true,2024-07-01T17:51:46.433509469Z,,,01J1QPEP5V6V7S0Q5JPA81R7TZ,2024-07-01T17:46:02.302975266Z
01J1QPT6VVWBBZZ0BX8CM53RP7,01J1QNE398RS8YBXTYNPZB97GK,2024-07-01T17:52:19.835380467Z,60,2024-07-01T17:52:19.835380467Z,true,2024-07-01T18:07:24.929123948Z,,,01J1QNE39PJ7B8A0REVHZR1A7K,2024-07-01T17:52:19.835380467Z,0,2024-07-01T17:52:19.835380467Z,true,2024-07-01T18:06:57.749166064Z,selection,2024-07-01T17:52:19.835380467Z,01J1QPT6AA55RBKA9EXJ6V39ZM,2024-07-01T17:52:19.835380467Z,true,2024-07-01T18:06:57.696753248Z,true,2024-07-01T18:06:57.774143867Z,,,01J1QPT6VMDC5V8YRH5RM12EAJ,2024-07-01T17:52:19.835380467Z
01J1QQ0E78FF1EJD4JX2GX6AAJ,01J1QNE398RS8YBXTYNPZB97GK,2024-07-01T17:55:43.976268962Z,3,2024-07-01T17:55:43.976268962Z,true,2024-07-01T18:03:17.353684225Z,,,01J1QNE39Q81W3DCXXJZ95X0QX,2024-07-01T17:55:43.976268962Z,1,2024-07-01T17:55:43.976268962Z,true,2024-07-01T18:03:14.307093909Z,feedback,2024-07-01T17:55:43.976268962Z,01J1QQ0DT8ZW1JM9TSDHXXK1VZ,2024-07-01T17:55:43.976268962Z,true,2024-07-01T18:03:14.258718439Z,true,2024-07-01T18:03:14.336047459Z,,,01J1QQ0E71HPR4PH5VKSY2V53M,2024-07-01T17:55:43.976268962Z
01J1QQ3K4B2M34Q99DSA8N95W1,01J1QNE6K879FS2YCCFD4581M2,2024-07-01T17:57:27.308003494Z,3,2024-07-01T17:57:27.308003494Z,true,2024-07-01T18:09:53.560748105Z,,,01J1QNE6KNDHKGTDVN9VP8XKVM,2024-07-01T17:57:27.308003494Z,1,2024-07-01T17:57:27.308003494Z,true,2024-07-01T18:09:50.487539987Z,feedback,2024-07-01T17:57:27.308003494Z,01J1QQ3J8NEYJBQE1NCGE8SREP,2024-07-01T17:57:27.308003494Z,true,2024-07-01T18:09:50.342032646Z,true,2024-07-01T18:09:50.529719319Z,,,01J1QQ3K425HHA0CBPVJJTHTG7,2024-07-01T17:57:27.308003494Z
01J1QQQ3GBP07AT9B9GTNQZAND,01J1QNE6K879FS2YCCFD4581M2,2024-07-01T18:08:06.667534189Z,60,2024-07-01T18:08:06.667534189Z,true,2024-07-01T18:24:07.204595456Z,,,01J1QNE6KNDHKGTDVN9A5ABN3E,2024-07-01T18:08:06.667534189Z,0,2024-07-01T18:08:06.667534189Z,true,2024-07-01T18:23:58.085701078Z,selection,2024-07-01T18:08:06.667534189Z,01J1QQQ1KHFNEYDG4N2Y7KBQC6,2024-07-01T18:08:06.667534189Z,true,2024-07-01T18:23:58.010816398Z,true,2024-07-01T18:23:58.140021722Z,,,01J1QQQ3G1GH8QQMPEXXMJJSH8,2024-07-01T18:08:06.667534189Z
01J1QQQ3GKGJYMQYAH52W9994R,01J1QNE6K879FS2YCCFD4581M2,2024-07-01T18:08:06.675891451Z,3,2024-07-01T18:08:06.675891451Z,true,2024-07-01T18:24:10.435041104Z,,,01J1QNE6KNDHKGTDVN9A5ABN3E,2024-07-01T18:08:06.675891451Z,1,2024-07-01T18:08:06.675891451Z,true,2024-07-01T18:24:07.362867991Z,feedback,2024-07-01T18:08:06.675891451Z,01J1QQQ1KHFNEYDG4N2Y7KBQC6,2024-07-01T18:08:06.675891451Z,true,2024-07-01T18:24:07.268501843Z,true,2024-07-01T18:24:07.428456199Z,,,01J1QQQ3G8E6PR4VT6X9KWBE30,2024-07-01T18:08:06.675891451Z
01J1QR66XYX000382EP3F0XAVG,01J1QNEE1411JQHNJP627GJF23,2024-07-01T18:16:21.69441906Z,3,2024-07-01T18:16:21.69441906Z,true,2024-07-01T18:17:05.561633732Z,,,01J1QNEE1QGJVSMNPAJZ8D88KJ,2024-07-01T18:16:21.69441906Z,1,2024-07-01T18:16:21.69441906Z,true,2024-07-01T18:17:02.515943497Z,feedback,2024-07-01T18:16:21.69441906Z,01J1QR664AD88PBVQS0D8GVXVE,2024-07-01T18:16:21.69441906Z,true,2024-07-01T18:17:02.453314306Z,true,2024-07-01T18:17:02.553613151Z,,,01J1QR66XE032G4RMZ763NYMY3,2024-07-01T18:16:21.69441906Z
01J1QPCPF38AXV1PTZS9TDNEPP,01J1QNE11Z45RGCN8KT7NWPAJ4,2024-07-01T17:44:57.059289793Z,60,2024-07-01T17:44:57.059289793Z,true,2024-07-01T18:00:50.181052939Z,,,01J1QNE12RAT2HV30CJ14B10MV,2024-07-01T17:44:57.059289793Z,0,2024-07-01T17:44:57.059289793Z,true,2024-07-01T18:00:42.678323375Z,selection,2024-07-01T17:44:57.059289793Z,01J1QPCNHZYQHWAQQYR7SCF3Z1,2024-07-01T17:44:57.059289793Z,true,2024-07-01T18:00:42.634238501Z,true,2024-07-01T18:00:42.703658079Z,,,01J1QPCPEYB98Q55DP1YQ2P9WE,2024-07-01T17:44:57.059289793Z
01J1QQ3KE1FCCPKXWH62JKR02K,01J1QNE6K879FS2YCCFD4581M2,2024-07-01T17:57:27.617278259Z,3,2024-07-01T17:57:27.617278259Z,true,2024-07-01T18:14:09.042044247Z,,,01J1QNE6KNDHKGTDVN9VP8XKVM,2024-07-01T17:57:27.617278259Z,1,2024-07-01T17:57:27.617278259Z,true,2024-07-01T18:14:05.998198945Z,feedback,2024-07-01T17:57:27.617278259Z,01J1QQ3J9GWF3MHYV7QBBYME0E,2024-07-01T17:57:27.617278259Z,true,2024-07-01T18:14:05.919024199Z,true,2024-07-01T18:14:06.037281456Z,,,01J1QQ3KDRCTRARE177D22Q26G,2024-07-01T17:57:27.617278259Z
01J1QQD65YR9W6VVHQ0CXVE31Y,01J1QNE6K879FS2YCCFD4581M2,2024-07-01T18:02:41.726678546Z,60,2024-07-01T18:02:41.726678546Z,true,2024-07-01T18:24:29.610863806Z,,,01J1QNE6KPS5SV4KX4GKK5GM7S,2024-07-01T18:02:41.726678546Z,0,2024-07-01T18:02:41.726678546Z,true,2024-07-01T18:24:21.179252494Z,selection,2024-07-01T18:02:41.726678546Z,01J1QQD4F5DH7ECSKC78PN2NYP,2024-07-01T18:02:41.726678546Z,true,2024-07-01T18:24:21.088449491Z,true,2024-07-01T18:24:21.237480414Z,,,01J1QQD65RMS5KJS9X2HWC4179,2024-07-01T18:02:41.726678546Z
