id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01JFGB9D7877GJMADBETSBCX7J,01JFGA58CRKR49V2KH4XS2WDYB,2024-12-19T20:55:59.46486899Z,60,2024-12-19T20:55:59.46486899Z,true,2024-12-19T21:19:51.765180657Z,01JFGA58DFG208NE3ZXZFARAF8,2024-12-19T20:55:59.46486899Z,0,2024-12-19T20:55:59.46486899Z,true,2024-12-19T21:19:33.27884095Z,selection,2024-12-19T20:55:59.46486899Z,01JFGB9ANZ4XWA24S7ASP3Z91J,2024-12-19T20:55:59.46486899Z,true,2024-12-19T21:19:33.193629075Z,true,2024-12-19T21:19:33.358488562Z,01JFGB9D6SF1KYQMJ5905A3VAV,2024-12-19T20:55:59.46486899Z
01JFGA4HCVWMKQC6GMYVBEENTM,01JFG8YYEMC3P14CH23MXYXJ1N,2024-12-19T20:35:51.323854767Z,3,2024-12-19T20:35:51.323854767Z,true,2024-12-19T20:59:26.596711881Z,01JFG8YYF8H0QD8W9TRHSGW7CC,2024-12-19T20:35:51.323854767Z,1,2024-12-19T20:35:51.323854767Z,true,2024-12-19T20:59:23.546400704Z,feedback,2024-12-19T20:35:51.323854767Z,01JFGA4GS2EGJQVFMRHR7E12P0,2024-12-19T20:35:51.323854767Z,true,2024-12-19T20:59:23.471038049Z,true,2024-12-19T20:59:23.591849723Z,01JFGA4HCPAF425HPH4QKPDX29,2024-12-19T20:35:51.323854767Z
01JFGA4HTPWFZ3KVTA3W003GRS,01JFG8YYEMC3P14CH23MXYXJ1N,2024-12-19T20:35:51.766311182Z,3,2024-12-19T20:35:51.766311182Z,true,2024-12-19T21:12:43.67375657Z,01JFG8YYF8H0QD8W9TRHSGW7CC,2024-12-19T20:35:51.766311182Z,1,2024-12-19T20:35:51.766311182Z,true,2024-12-19T21:12:40.608239861Z,feedback,2024-12-19T20:35:51.766311182Z,01JFGA4GTFQATH9CWQ0NARZJMX,2024-12-19T20:35:51.766311182Z,true,2024-12-19T21:12:40.508819871Z,true,2024-12-19T21:12:40.668525417Z,01JFGA4HTH0DKEZQ86PWV704N5,2024-12-19T20:35:51.766311182Z
01JFGA4HVMF5G844J6SHBHMYW5,01JFG8YYEMC3P14CH23MXYXJ1N,2024-12-19T20:35:51.796630914Z,3,2024-12-19T20:35:51.796630914Z,true,2024-12-19T21:13:30.775489185Z,01JFG8YYF8H0QD8W9TRHSGW7CC,2024-12-19T20:35:51.796630914Z,1,2024-12-19T20:35:51.796630914Z,true,2024-12-19T21:13:27.696531751Z,feedback,2024-12-19T20:35:51.796630914Z,01JFGA4GTNAZ5V1BKQYYKZAPXQ,2024-12-19T20:35:51.796630914Z,true,2024-12-19T21:13:27.546443619Z,true,2024-12-19T21:13:27.768843219Z,01JFGA4HVH1W30KS1J668D6ERH,2024-12-19T20:35:51.796630914Z
01JFGA4HQGTHNTQPZ701PW9MZQ,01JFG8YYEMC3P14CH23MXYXJ1N,2024-12-19T20:35:51.664260007Z,3,2024-12-19T20:35:51.664260007Z,true,2024-12-19T21:09:35.190979778Z,01JFG8YYF8H0QD8W9TRHSGW7CC,2024-12-19T20:35:51.664260007Z,1,2024-12-19T20:35:51.664260007Z,true,2024-12-19T21:09:32.130600342Z,feedback,2024-12-19T20:35:51.664260007Z,01JFGA4GTBSV0VFP6YZ05WVXJ4,2024-12-19T20:35:51.664260007Z,true,2024-12-19T21:09:32.042115521Z,true,2024-12-19T21:09:32.183437529Z,01JFGA4HQC6V73GJYV800S9YD3,2024-12-19T20:35:51.664260007Z
01JFGA8H5EBQG0F8GGN1BVS0FC,01JFG9ZJ8XKYY7A2PH26Y8HW5Q,2024-12-19T20:38:02.158571403Z,60,2024-12-19T20:38:02.158571403Z,false,2024-12-19T20:38:02.158571403Z,01JFG9ZJ9GEX6MPZ0HAKGHGQ29,2024-12-19T20:38:02.158571403Z,0,2024-12-19T20:38:02.158571403Z,,,selection,2024-12-19T20:38:02.158571403Z,01JFGA8FHAN0MREV9KR1FB3AHG,2024-12-19T20:38:02.158571403Z,false,2024-12-19T20:38:02.158571403Z,,,01JFGA8H47PD9CBK1EJR1WCB9D,2024-12-19T20:38:02.158571403Z
01JFGA8HY5CT2M2YXAFFHS37FE,01JFG9ZJ8XKYY7A2PH26Y8HW5Q,2024-12-19T20:38:02.949255797Z,60,2024-12-19T20:38:02.949255797Z,false,2024-12-19T20:38:02.949255797Z,01JFG9ZJ9GEX6MPZ0HAKGHGQ29,2024-12-19T20:38:02.949255797Z,0,2024-12-19T20:38:02.949255797Z,,,selection,2024-12-19T20:38:02.949255797Z,01JFGA8FHME8RZ20SRH8KVD24V,2024-12-19T20:38:02.949255797Z,false,2024-12-19T20:38:02.949255797Z,,,01JFGA8HX74P48VAQVFVP77D24,2024-12-19T20:38:02.949255797Z
01JFGAXNN3JAYWWPPRJQABRHQ9,01JFG8Z9B8TE7ZVBBENQDAJDQK,2024-12-19T20:49:34.883390276Z,3,2024-12-19T20:49:34.883390276Z,true,2024-12-19T21:08:56.65994956Z,01JFG8Z9BQREF412YKSXPEAKSA,2024-12-19T20:49:34.883390276Z,1,2024-12-19T20:49:34.883390276Z,true,2024-12-19T21:08:53.584813679Z,feedback,2024-12-19T20:49:34.883390276Z,01JFGAXKTZ1TRF0S2ARWRG7H50,2024-12-19T20:49:34.883390276Z,true,2024-12-19T21:08:53.51632134Z,true,2024-12-19T21:08:53.654319719Z,01JFGAXNMJY4FCE6200X1TS3FR,2024-12-19T20:49:34.883390276Z
01JFGB9EK6EKKSRXN73TT3JEZ9,01JFGA58CRKR49V2KH4XS2WDYB,2024-12-19T20:56:00.870608589Z,60,2024-12-19T20:56:00.870608589Z,true,2024-12-19T21:31:36.742474421Z,01JFGA58DFG208NE3ZXZFARAF8,2024-12-19T20:56:00.870608589Z,0,2024-12-19T20:56:00.870608589Z,true,2024-12-19T21:31:12.403021201Z,selection,2024-12-19T20:56:00.870608589Z,01JFGB9B3S4EMVFAB84JVR3MT7,2024-12-19T20:56:00.870608589Z,true,2024-12-19T21:31:12.272550866Z,true,2024-12-19T21:31:12.463164571Z,01JFGB9EJR22SZR3HBNNZ2VNY2,2024-12-19T20:56:00.870608589Z
01JFGB9F32SVHSRNPB28PE1ND7,01JFGA58CRKR49V2KH4XS2WDYB,2024-12-19T20:56:01.378475332Z,3,2024-12-19T20:56:01.378475332Z,true,2024-12-19T21:34:06.127395614Z,01JFGA58DFG208NE3ZXZFARAF8,2024-12-19T20:56:01.378475332Z,1,2024-12-19T20:56:01.378475332Z,true,2024-12-19T21:34:03.000966872Z,feedback,2024-12-19T20:56:01.378475332Z,01JFGB9B3BQK641VR47MGBXE2P,2024-12-19T20:56:01.378475332Z,true,2024-12-19T21:34:02.820205158Z,true,2024-12-19T21:34:03.121961402Z,01JFGB9F2CNVN44FYWZ7QDAKBY,2024-12-19T20:56:01.378475332Z
