id,batchID,batchIDLastChangedAt,chat,chatLastChangedAt,correct,correctLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,numTrials,numTrialsLastChangedAt,repNum,repNumLastChangedAt,reps,repsLastChangedAt,response,responseLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,tangramURLs,tangramURLsLastChangedAt,target,targetLastChangedAt,targetNum,targetNumLastChangedAt,trialNum,trialNumLastChangedAt
01JFGGTRWTHG87A7WQ92WM3X6W,01JFGFWXRF7SWH4R9JWCGX5AX9,2024-12-19T22:32:51.354962076Z,"[{""text"":""triangles over a house, looks like M"",""sender"":{""id"":""01JFGGM5WH54V3KZQZR41Y89CR"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2024-12-19T22:49:54.978466981Z,true,2024-12-19T22:50:03.1811484Z,true,2024-12-19T22:50:03.140603587Z,01JFGFWXS1CYQ8W171661NCV0C,2024-12-19T22:32:51.354962076Z,27,2024-12-19T22:32:51.354962076Z,65,2024-12-19T22:32:51.354962076Z,1,2024-12-19T22:32:51.354962076Z,4,2024-12-19T22:32:51.354962076Z,/tangrams/52_281.png,2024-12-19T22:50:03.1811484Z,2,2024-12-19T22:32:51.87611215Z,true,2024-12-19T22:49:26.292152152Z,"[""/tangrams/363_273.png"",""/tangrams/389_347.png"",""/tangrams/153_459.png"",""/tangrams/52_281.png""]",2024-12-19T22:32:51.354962076Z,/tangrams/52_281.png,2024-12-19T22:32:51.354962076Z,12,2024-12-19T22:32:51.354962076Z,27,2024-12-19T22:32:51.354962076Z
01JFGGYG7HYHSEN3WTPG0B7NBA,01JFGFWXRF7SWH4R9JWCGX5AX9,2024-12-19T22:34:53.553227427Z,,,,,false,2024-12-19T22:34:53.553227427Z,01JFGFWXRZTHZS7PZ2FD30KPK9,2024-12-19T22:34:53.553227427Z,11,2024-12-19T22:34:53.553227427Z,65,2024-12-19T22:34:53.553227427Z,0,2024-12-19T22:34:53.553227427Z,4,2024-12-19T22:34:53.553227427Z,,,2,2024-12-19T22:34:53.821876828Z,false,2024-12-19T22:34:53.553227427Z,"[""/tangrams/59_109.png"",""/tangrams/390_228.png"",""/tangrams/302_96.png"",""/tangrams/312_307.png""]",2024-12-19T22:34:53.553227427Z,/tangrams/59_109.png,2024-12-19T22:34:53.553227427Z,12,2024-12-19T22:34:53.553227427Z,11,2024-12-19T22:34:53.553227427Z
01JFGH02BPNG9KAFJ4PEFCPV9Y,01JFGFWXRF7SWH4R9JWCGX5AX9,2024-12-19T22:35:44.886867284Z,,,,,false,2024-12-19T22:35:44.886867284Z,01JFGFWXS1CYQ8W1715TNGRP4P,2024-12-19T22:35:44.886867284Z,19,2024-12-19T22:35:44.886867284Z,65,2024-12-19T22:35:44.886867284Z,1,2024-12-19T22:35:44.886867284Z,4,2024-12-19T22:35:44.886867284Z,,,2,2024-12-19T22:35:45.340465907Z,false,2024-12-19T22:35:44.886867284Z,"[""/tangrams/167_150.png"",""/tangrams/121_49.png"",""/tangrams/121_150.png"",""/tangrams/167_49.png""]",2024-12-19T22:35:44.886867284Z,/tangrams/167_49.png,2024-12-19T22:35:44.886867284Z,4,2024-12-19T22:35:44.886867284Z,19,2024-12-19T22:35:44.886867284Z
01JFGH02BV77K4PG52S2J9EGVC,01JFGFWXRF7SWH4R9JWCGX5AX9,2024-12-19T22:35:44.891160651Z,,,,,false,2024-12-19T22:35:44.891160651Z,01JFGFWXS1CYQ8W1715TNGRP4P,2024-12-19T22:35:44.891160651Z,20,2024-12-19T22:35:44.891160651Z,65,2024-12-19T22:35:44.891160651Z,1,2024-12-19T22:35:44.891160651Z,4,2024-12-19T22:35:44.891160651Z,,,2,2024-12-19T22:35:45.364508608Z,false,2024-12-19T22:35:44.891160651Z,"[""/tangrams/136_309.png"",""/tangrams/442_309.png"",""/tangrams/136_49.png"",""/tangrams/442_49.png""]",2024-12-19T22:35:44.891160651Z,/tangrams/136_309.png,2024-12-19T22:35:44.891160651Z,5,2024-12-19T22:35:44.891160651Z,20,2024-12-19T22:35:44.891160651Z
01JFGH02D17GJ87YEEJRDGEVPP,01JFGFWXRF7SWH4R9JWCGX5AX9,2024-12-19T22:35:44.929491821Z,,,,,false,2024-12-19T22:35:44.929491821Z,01JFGFWXS1CYQ8W1715TNGRP4P,2024-12-19T22:35:44.929491821Z,59,2024-12-19T22:35:44.929491821Z,65,2024-12-19T22:35:44.929491821Z,3,2024-12-19T22:35:44.929491821Z,4,2024-12-19T22:35:44.929491821Z,,,2,2024-12-19T22:35:46.122360667Z,false,2024-12-19T22:35:44.929491821Z,"[""/tangrams/442_150.png"",""/tangrams/167_150.png"",""/tangrams/442_309.png"",""/tangrams/167_309.png""]",2024-12-19T22:35:44.929491821Z,/tangrams/167_150.png,2024-12-19T22:35:44.929491821Z,12,2024-12-19T22:35:44.929491821Z,59,2024-12-19T22:35:44.929491821Z
01JFGH5QRPMBAV7V9DXVHG7651,01JFGH1XHKWJTME2X41MTMC6AZ,2024-12-19T22:38:50.646714543Z,"[{""text"":""symetrical small sqaure on top"",""sender"":{""id"":""01JFGGRSN0JC24F4EJ70TPQ4HY"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2024-12-19T22:52:52.891080839Z,true,2024-12-19T22:53:05.151468835Z,true,2024-12-19T22:53:05.1341651Z,01JFGH1XJMMHNGS75E6HMA7M0G,2024-12-19T22:38:50.646714543Z,27,2024-12-19T22:38:50.646714543Z,65,2024-12-19T22:38:50.646714543Z,1,2024-12-19T22:38:50.646714543Z,4,2024-12-19T22:38:50.646714543Z,/tangrams/275_191.png,2024-12-19T22:53:05.151468835Z,2,2024-12-19T22:38:51.66743845Z,true,2024-12-19T22:52:27.882720495Z,"[""/tangrams/226_242.png"",""/tangrams/2_59.png"",""/tangrams/275_191.png"",""/tangrams/238_248.png""]",2024-12-19T22:38:50.646714543Z,/tangrams/275_191.png,2024-12-19T22:38:50.646714543Z,12,2024-12-19T22:38:50.646714543Z,27,2024-12-19T22:38:50.646714543Z
01JFGH5QTGXGD64N14CYMDB6P1,01JFGH1XHKWJTME2X41MTMC6AZ,2024-12-19T22:38:50.704964664Z,"[{""text"":""saw"",""sender"":{""id"":""01JFGGRSN0JC24F4EJ70TPQ4HY"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2024-12-19T22:58:13.186276134Z,true,2024-12-19T22:58:18.229433Z,true,2024-12-19T22:58:18.204949979Z,01JFGH1XJMMHNGS75E6HMA7M0G,2024-12-19T22:38:50.704964664Z,43,2024-12-19T22:38:50.704964664Z,65,2024-12-19T22:38:50.704964664Z,2,2024-12-19T22:38:50.704964664Z,4,2024-12-19T22:38:50.704964664Z,/tangrams/238_248.png,2024-12-19T22:58:18.229433Z,2,2024-12-19T22:38:52.178168048Z,true,2024-12-19T22:58:08.308322466Z,"[""/tangrams/43_344.png"",""/tangrams/275_191.png"",""/tangrams/238_248.png"",""/tangrams/324_337.png""]",2024-12-19T22:38:50.704964664Z,/tangrams/238_248.png,2024-12-19T22:38:50.704964664Z,12,2024-12-19T22:38:50.704964664Z,43,2024-12-19T22:38:50.704964664Z
01JFGGTRX9AFZE89AYH9EY6VE4,01JFGFWXRF7SWH4R9JWCGX5AX9,2024-12-19T22:32:51.369498151Z,"[{""text"":""2 triangles pointing directly down"",""sender"":{""id"":""01JFGGP47REW1HB8Q0ZPA3FHPJ"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2024-12-19T22:59:02.877863118Z,true,2024-12-19T22:59:11.492442297Z,true,2024-12-19T22:59:11.468660939Z,01JFGFWXS1CYQ8W171661NCV0C,2024-12-19T22:32:51.369498151Z,50,2024-12-19T22:32:51.369498151Z,65,2024-12-19T22:32:51.369498151Z,3,2024-12-19T22:32:51.369498151Z,4,2024-12-19T22:32:51.369498151Z,/tangrams/312_19.png,2024-12-19T22:59:11.492442297Z,2,2024-12-19T22:32:52.242849908Z,true,2024-12-19T22:58:43.968525071Z,"[""/tangrams/312_19.png"",""/tangrams/158_121.png"",""/tangrams/363_273.png"",""/tangrams/389_347.png""]",2024-12-19T22:32:51.369498151Z,/tangrams/312_19.png,2024-12-19T22:32:51.369498151Z,3,2024-12-19T22:32:51.369498151Z,50,2024-12-19T22:32:51.369498151Z
01JFGGYG7C4AJTH1PFRGJ4EMMB,01JFGFWXRF7SWH4R9JWCGX5AX9,2024-12-19T22:34:53.548051263Z,,,,,false,2024-12-19T22:34:53.548051263Z,01JFGFWXRZTHZS7PZ2FD30KPK9,2024-12-19T22:34:53.548051263Z,23,2024-12-19T22:34:53.548051263Z,65,2024-12-19T22:34:53.548051263Z,1,2024-12-19T22:34:53.548051263Z,4,2024-12-19T22:34:53.548051263Z,,,2,2024-12-19T22:34:54.037046361Z,false,2024-12-19T22:34:53.548051263Z,"[""/tangrams/302_96.png"",""/tangrams/390_109.png"",""/tangrams/59_307.png"",""/tangrams/312_228.png""]",2024-12-19T22:34:53.548051263Z,/tangrams/59_307.png,2024-12-19T22:34:53.548051263Z,8,2024-12-19T22:34:53.548051263Z,23,2024-12-19T22:34:53.548051263Z
01JFGH5C6PMBXM1Y78K2WA8PKZ,01JFGFW0DVE7CVHWSRC197DM3P,2024-12-19T22:38:38.806997435Z,"[{""text"":""arrow pointing right with spikes on left"",""sender"":{""id"":""01JFGGQNTR2KRJH94PV4GMMG7E"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2024-12-19T22:47:13.438530213Z,true,2024-12-19T22:47:20.615548312Z,true,2024-12-19T22:47:20.589418673Z,01JFGFW0F27SHDS0SFHRM30VA0,2024-12-19T22:38:38.806997435Z,12,2024-12-19T22:38:38.806997435Z,65,2024-12-19T22:38:38.806997435Z,0,2024-12-19T22:38:38.806997435Z,4,2024-12-19T22:38:38.806997435Z,/tangrams/147_363.png,2024-12-19T22:47:20.615548312Z,2,2024-12-19T22:38:39.493338525Z,true,2024-12-19T22:46:58.508612195Z,"[""/tangrams/469_42.png"",""/tangrams/147_363.png"",""/tangrams/38_327.png"",""/tangrams/357_156.png""]",2024-12-19T22:38:38.806997435Z,/tangrams/147_363.png,2024-12-19T22:38:38.806997435Z,13,2024-12-19T22:38:38.806997435Z,12,2024-12-19T22:38:38.806997435Z
