id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,bottomTangrams,bottomTangramsLastChangedAt,contextSize,contextSizeLastChangedAt,contextStructure,contextStructureLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,justStarted,justStartedLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,maxTimeout,maxTimeoutLastChangedAt,rotation,rotationLastChangedAt,roundIndex,roundIndexLastChangedAt,showNegativeFeedback,showNegativeFeedbackLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,targets,targetsLastChangedAt,topTangrams,topTangramsLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01JFTPDKC80VTXCKZQW7ZPJ6FC,,,01JFTPDKBN54WJC0Q23V9G4W6F,2024-12-23T21:22:55.496820912Z,,,,,,,false,2024-12-23T21:22:55.496820912Z,batch ended,2024-12-23T21:40:20.931270947Z,01JFTPDKDCNJ6WBPKYYSFZE9RE,2024-12-23T21:22:55.534460472Z,,,,,,,,,,,,,,,false,2024-12-23T21:22:55.496820912Z,,,terminated,2024-12-23T21:40:20.931270947Z,,,,,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-23T21:22:55.496820912Z,full-noncomp,2024-12-23T21:22:55.496820912Z
01JFTQACX62MC4YGKDM3YF7J0X,,,01JFTQACWQ0FNMYBWVFAMZ2V7H,2024-12-23T21:38:39.142023377Z,,,,,,,false,2024-12-23T21:38:39.142023377Z,batch ended,2024-12-23T21:40:04.12775155Z,01JFTQACY9BEZ82VGCHYDKV809,2024-12-23T21:38:39.178689506Z,,,,,,,,,,,,,,,false,2024-12-23T21:38:39.142023377Z,,,terminated,2024-12-23T21:40:04.12775155Z,,,,,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-23T21:38:39.142023377Z,full-noncomp,2024-12-23T21:38:39.142023377Z
01JFTQCWESPQ3EZTPB4CRS0064,,,01JFTQCWECTS6937WB79DWJS06,2024-12-23T21:40:00.601367868Z,,,,,,,false,2024-12-23T21:40:00.601367868Z,shared lobby timeout,2024-12-23T21:45:23.859867852Z,01JFTQCWFBPS1GG86S1NVCBCDB,2024-12-23T21:40:00.620488857Z,,,01JFTQDK5D2G23W6FZB8R9PA5Z,2024-12-23T21:40:23.85700614Z,,,,,,,,,,,false,2024-12-23T21:40:00.601367868Z,,,failed,2024-12-23T21:45:23.859867852Z,,,,,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-23T21:40:00.601367868Z,full-comp-within,2024-12-23T21:40:00.601367868Z
01JFTPDKC80VTXCKZQVP8YJDYM,,,01JFTPDKBN54WJC0Q23V9G4W6F,2024-12-23T21:22:55.496043033Z,,,,,,,false,2024-12-23T21:22:55.496043033Z,batch ended,2024-12-23T21:40:20.931270947Z,01JFTPDKDVZP7YXZJZDYP9RSET,2024-12-23T21:22:55.549031773Z,,,,,,,,,,,,,,,false,2024-12-23T21:22:55.496043033Z,,,terminated,2024-12-23T21:40:20.931270947Z,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-23T21:22:55.496043033Z,full-comp-between,2024-12-23T21:22:55.496043033Z
01JFTPDKC80VTXCKZQVYHXTT2Y,,,01JFTPDKBN54WJC0Q23V9G4W6F,2024-12-23T21:22:55.496274166Z,,,,,,,false,2024-12-23T21:22:55.496274166Z,batch ended,2024-12-23T21:40:20.931270947Z,01JFTPDKCXVED78YF9AYB75SGH,2024-12-23T21:22:55.519827206Z,,,,,,,,,,,,,,,false,2024-12-23T21:22:55.496274166Z,,,terminated,2024-12-23T21:40:20.931270947Z,,,,,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-23T21:22:55.496274166Z,full-comp-within,2024-12-23T21:22:55.496274166Z
01JFTQ1TNK374SFRFGCDRGTWKF,,,01JFTQ1TN3F5JAMW40B7HJMM3M,2024-12-23T21:33:58.323104685Z,,,,,,,false,2024-12-23T21:33:58.323104685Z,batch ended,2024-12-23T21:38:46.551872974Z,01JFTQ1TPX32KX8M2PVS6NS4Z4,2024-12-23T21:33:58.368426931Z,,,,,,,,,,,,,,,false,2024-12-23T21:33:58.323104685Z,,,terminated,2024-12-23T21:38:46.551872974Z,,,,,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-23T21:33:58.323104685Z,full-noncomp,2024-12-23T21:33:58.323104685Z
01JFTQACX4PZZR41GZQ77VDMT4,,,01JFTQACWQ0FNMYBWVFAMZ2V7H,2024-12-23T21:38:39.140887427Z,,,,,,,false,2024-12-23T21:38:39.140887427Z,batch ended,2024-12-23T21:40:04.12775155Z,01JFTQACYQ2E9J4F2G9QNX0ND5,2024-12-23T21:38:39.192550413Z,,,,,,,,,,,,,,,false,2024-12-23T21:38:39.140887427Z,,,terminated,2024-12-23T21:40:04.12775155Z,,,,,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-23T21:38:39.140887427Z,full-comp-within,2024-12-23T21:38:39.140887427Z
01JFTQDY3Y2RECY99FWNKPQ5GD,,,01JFTQDY3DJQV75D5888Z6P9Q2,2024-12-23T21:40:35.070553595Z,,,,,,,false,2024-12-23T21:40:35.070553595Z,shared lobby timeout,2024-12-23T21:49:21.427133388Z,01JFTQDY5C04V5EJDT8WWG99X0,2024-12-23T21:40:35.118045448Z,,,01JFTQMV5D7V6QTG1V79HB2QB1,2024-12-23T21:44:21.425163214Z,,,,,,,,,,,false,2024-12-23T21:40:35.070553595Z,,,failed,2024-12-23T21:49:21.427133388Z,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-23T21:40:35.070553595Z,full-comp-between,2024-12-23T21:40:35.070553595Z
01JFTQ1TNK374SFRFGCV8RFT4Q,,,01JFTQ1TN3F5JAMW40B7HJMM3M,2024-12-23T21:33:58.323266236Z,,,,,,,false,2024-12-23T21:33:58.323266236Z,batch ended,2024-12-23T21:38:46.551872974Z,01JFTQ1TPJCBD80FPC8EA5S24T,2024-12-23T21:33:58.355638169Z,,,,,,,,,,,,,,,false,2024-12-23T21:33:58.323266236Z,,,terminated,2024-12-23T21:38:46.551872974Z,,,,,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-23T21:33:58.323266236Z,full-comp-within,2024-12-23T21:33:58.323266236Z
01JFTQACX3WD34QYZ7ZM6GW59K,,,01JFTQACWQ0FNMYBWVFAMZ2V7H,2024-12-23T21:38:39.139794357Z,,,,,,,false,2024-12-23T21:38:39.139794357Z,batch ended,2024-12-23T21:40:04.12775155Z,01JFTQACXRF0T2V28FFAHJX820,2024-12-23T21:38:39.162945851Z,,,,,,,,,,,,,,,false,2024-12-23T21:38:39.139794357Z,,,terminated,2024-12-23T21:40:04.12775155Z,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-23T21:38:39.139794357Z,full-comp-between,2024-12-23T21:38:39.139794357Z
