id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,bottomTangrams,bottomTangramsLastChangedAt,contextSize,contextSizeLastChangedAt,contextStructure,contextStructureLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,justStarted,justStartedLastChangedAt,maxTimeout,maxTimeoutLastChangedAt,rotation,rotationLastChangedAt,roundIndex,roundIndexLastChangedAt,showNegativeFeedback,showNegativeFeedbackLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,targets,targetsLastChangedAt,topTangrams,topTangramsLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01JGMPEGCD0EX4TXSSNEY3A670,2,2025-01-03T00:10:13.023681722Z,01JGMPEGBWA2MPEFNSAW965NKY,2025-01-02T23:43:40.429043019Z,"[72,197,356,75,364,146,79,48,98,150,215,191,148,302,424,25]",2025-01-03T00:10:13.403615267Z,4,2025-01-03T00:10:13.073876681Z,noncomp,2025-01-03T00:10:13.073876681Z,true,2025-01-03T00:43:00.22708364Z,end of game,2025-01-03T00:43:00.278125445Z,01JGMPEGDK4038SN8S6BFAP3WA,2025-01-02T23:43:40.47015386Z,true,2025-01-03T00:10:13.403615267Z,3,2025-01-03T00:10:13.073876681Z,180,2025-01-03T00:10:13.073876681Z,63,2025-01-03T00:10:13.403615267Z,1,2025-01-03T00:10:13.073876681Z,null,2025-01-03T00:43:00.22708364Z,true,2025-01-03T00:10:13.023681722Z,true,2025-01-03T00:10:13.023681722Z,ended,2025-01-03T00:43:00.278125445Z,"[[93,72],[51,197],[151,356],[293,75],[264,364],[87,146],[24,79],[357,48],[118,98],[277,150],[128,215],[370,191],[216,148],[385,302],[292,424],[345,25]]",2025-01-03T00:10:13.403615267Z,"[93,51,151,293,264,87,24,357,118,277,128,370,216,385,292,345]",2025-01-03T00:10:13.403615267Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-02T23:43:40.429043019Z,full-noncomp,2025-01-02T23:43:40.429043019Z
01JGMPEGCD0EX4TXSSNR8YRX74,2,2025-01-03T00:13:58.179034056Z,01JGMPEGBWA2MPEFNSAW965NKY,2025-01-02T23:43:40.429277815Z,"[178,52,356,260]",2025-01-03T00:13:58.726182174Z,4,2025-01-03T00:13:58.235626603Z,comp-within,2025-01-03T00:13:58.235626603Z,true,2025-01-03T00:42:58.468144975Z,end of game,2025-01-03T00:42:58.528090582Z,01JGMPEGE447P04XK91SW3BGV8,2025-01-02T23:43:40.487775188Z,true,2025-01-03T00:13:58.726182174Z,3,2025-01-03T00:13:58.235626603Z,0,2025-01-03T00:13:58.235626603Z,63,2025-01-03T00:13:58.726182174Z,1,2025-01-03T00:13:58.235626603Z,null,2025-01-03T00:42:58.468144975Z,true,2025-01-03T00:13:58.179034056Z,true,2025-01-03T00:13:58.179034056Z,ended,2025-01-03T00:42:58.528090582Z,"[[436,178],[436,52],[436,356],[436,260],[83,178],[83,52],[83,356],[83,260],[349,178],[349,52],[349,356],[349,260],[334,178],[334,52],[334,356],[334,260]]",2025-01-03T00:13:58.726182174Z,"[436,83,349,334]",2025-01-03T00:13:58.726182174Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-02T23:43:40.429277815Z,full-comp-within,2025-01-02T23:43:40.429277815Z
01JGMPETJ1NYR6E3J1F4NX8HFM,,,01JGMPETHFG9CVHHC6XJE6A22A,2025-01-02T23:43:50.849621309Z,,,,,,,false,2025-01-02T23:43:50.849621309Z,batch ended,2025-01-03T00:56:01.104102559Z,01JGMPETKGTH5KWP3GSW6QQ09Y,2025-01-02T23:43:50.898724645Z,,,,,,,,,,,,,false,2025-01-02T23:43:50.849621309Z,,,terminated,2025-01-03T00:56:01.104102559Z,,,,,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-02T23:43:50.849621309Z,full-noncomp,2025-01-02T23:43:50.849621309Z
01JGMPDZ42BSHFVYVY6M672P0G,2,2025-01-03T00:21:57.75069758Z,01JGMPDZ376T9XHA8WCVV40Y2J,2025-01-02T23:43:22.754602058Z,"[427,212,264,99]",2025-01-03T00:21:58.391538829Z,4,2025-01-03T00:21:57.809903383Z,comp-between,2025-01-03T00:21:57.809903383Z,true,2025-01-03T00:55:47.974012234Z,end of game,2025-01-03T00:55:48.035451947Z,01JGMPDZ6BVZHM157VTDGYXMQF,2025-01-02T23:43:22.82933153Z,true,2025-01-03T00:21:58.391538829Z,3,2025-01-03T00:21:57.809903383Z,270,2025-01-03T00:21:57.809903383Z,63,2025-01-03T00:21:58.391538829Z,1,2025-01-03T00:21:57.809903383Z,null,2025-01-03T00:55:47.974012234Z,true,2025-01-03T00:21:57.75069758Z,true,2025-01-03T00:21:57.75069758Z,ended,2025-01-03T00:55:48.035451947Z,"[[165,427],[165,212],[165,264],[165,99],[186,427],[186,212],[186,264],[186,99],[284,427],[284,212],[284,264],[284,99],[158,427],[158,212],[158,264],[158,99]]",2025-01-03T00:21:58.391538829Z,"[165,186,284,158]",2025-01-03T00:21:58.391538829Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-02T23:43:22.754602058Z,full-comp-between,2025-01-02T23:43:22.754602058Z
01JGMPEKWGHHVPTB7Y1WE4VE72,2,2025-01-03T00:04:57.300010251Z,01JGMPEKW1V97KK4X1VQTESBEP,2025-01-02T23:43:44.016322463Z,"[219,358,406,281]",2025-01-03T00:04:57.46129049Z,4,2025-01-03T00:04:57.323638493Z,comp-between,2025-01-03T00:04:57.323638493Z,true,2025-01-03T00:31:14.823600767Z,end of game,2025-01-03T00:31:14.869529269Z,01JGMPEKX4EZHY8YF9FG4YFT9R,2025-01-02T23:43:44.038931657Z,true,2025-01-03T00:04:57.46129049Z,3,2025-01-03T00:04:57.323638493Z,270,2025-01-03T00:04:57.323638493Z,63,2025-01-03T00:04:57.46129049Z,1,2025-01-03T00:04:57.323638493Z,null,2025-01-03T00:31:14.823600767Z,true,2025-01-03T00:04:57.300010251Z,true,2025-01-03T00:04:57.300010251Z,ended,2025-01-03T00:31:14.869529269Z,"[[233,219],[233,358],[233,406],[233,281],[224,219],[224,358],[224,406],[224,281],[210,219],[210,358],[210,406],[210,281],[71,219],[71,358],[71,406],[71,281]]",2025-01-03T00:04:57.46129049Z,"[233,224,210,71]",2025-01-03T00:04:57.46129049Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-02T23:43:44.016322463Z,full-comp-between,2025-01-02T23:43:44.016322463Z
01JGMPE587BR7N7WSVT2WDGBYZ,2,2025-01-03T00:08:50.33018846Z,01JGMPE57MXBQ4QHPBXP8PZ1NK,2025-01-02T23:43:29.031985365Z,"[379,180,119,441]",2025-01-03T00:08:50.614067868Z,4,2025-01-03T00:08:50.360624123Z,comp-between,2025-01-03T00:08:50.360624123Z,true,2025-01-03T00:35:24.574321362Z,end of game,2025-01-03T00:35:24.633826714Z,01JGMPE590K7ACQ38MJQTCD08Q,2025-01-02T23:43:29.060477227Z,true,2025-01-03T00:08:50.614067868Z,3,2025-01-03T00:08:50.360624123Z,180,2025-01-03T00:08:50.360624123Z,63,2025-01-03T00:08:50.614067868Z,1,2025-01-03T00:08:50.360624123Z,null,2025-01-03T00:35:24.574321362Z,true,2025-01-03T00:08:50.33018846Z,true,2025-01-03T00:08:50.33018846Z,ended,2025-01-03T00:35:24.633826714Z,"[[48,379],[48,180],[48,119],[48,441],[84,379],[84,180],[84,119],[84,441],[25,379],[25,180],[25,119],[25,441],[0,379],[0,180],[0,119],[0,441]]",2025-01-03T00:08:50.614067868Z,"[48,84,25,0]",2025-01-03T00:08:50.614067868Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-02T23:43:29.031985365Z,full-comp-between,2025-01-02T23:43:29.031985365Z
01JGMPE5881R3V1FHKJ19MG8QG,,,01JGMPE57MXBQ4QHPBXP8PZ1NK,2025-01-02T23:43:29.03218661Z,,,,,,,false,2025-01-02T23:43:29.03218661Z,batch ended,2025-01-03T00:55:56.41334226Z,01JGMPE59MEKSCR5EES37YQNV9,2025-01-02T23:43:29.079594475Z,,,,,,,,,,,,,false,2025-01-02T23:43:29.03218661Z,,,terminated,2025-01-03T00:55:56.41334226Z,,,,,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-02T23:43:29.03218661Z,full-comp-within,2025-01-02T23:43:29.03218661Z
01JGMPEGCCTMJ7086RP1QDWA0E,2,2025-01-03T00:05:12.134915304Z,01JGMPEGBWA2MPEFNSAW965NKY,2025-01-02T23:43:40.428360177Z,"[31,0,155,241]",2025-01-03T00:05:12.355864588Z,4,2025-01-03T00:05:12.160637335Z,comp-between,2025-01-03T00:05:12.160637335Z,true,2025-01-03T00:11:03.681906461Z,timeOut,2025-01-03T00:11:03.668631821Z,01JGMPEGCZYWM6YENS53GH2QFF,2025-01-02T23:43:40.450256818Z,true,2025-01-03T00:05:12.355864588Z,3,2025-01-03T00:05:12.160637335Z,270,2025-01-03T00:05:12.160637335Z,63,2025-01-03T00:05:12.355864588Z,1,2025-01-03T00:05:12.160637335Z,null,2025-01-03T00:11:03.681906461Z,true,2025-01-03T00:05:12.134915304Z,true,2025-01-03T00:05:12.134915304Z,ended,2025-01-03T00:11:03.668631821Z,"[[229,31],[229,0],[229,155],[229,241],[355,31],[355,0],[355,155],[355,241],[441,31],[441,0],[441,155],[441,241],[91,31],[91,0],[91,155],[91,241]]",2025-01-03T00:05:12.355864588Z,"[229,355,441,91]",2025-01-03T00:05:12.355864588Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-02T23:43:40.428360177Z,full-comp-between,2025-01-02T23:43:40.428360177Z
01JGMPEKWGHHVPTB7Y2D6260DM,2,2025-01-03T00:08:33.855470412Z,01JGMPEKW1V97KK4X1VQTESBEP,2025-01-02T23:43:44.016866165Z,"[182,424,32,65,96,152,204,17,189,387,93,9,376,428,84,443]",2025-01-03T00:08:34.175621072Z,4,2025-01-03T00:08:33.889526693Z,noncomp,2025-01-03T00:08:33.889526693Z,true,2025-01-03T00:12:52.310946991Z,timeOut,2025-01-03T00:12:52.295299168Z,01JGMPEKXMJDGNT2DQPV4Z388Q,2025-01-02T23:43:44.054616809Z,true,2025-01-03T00:08:34.175621072Z,3,2025-01-03T00:08:33.889526693Z,90,2025-01-03T00:08:33.889526693Z,63,2025-01-03T00:08:34.175621072Z,1,2025-01-03T00:08:33.889526693Z,null,2025-01-03T00:12:52.310946991Z,true,2025-01-03T00:08:33.855470412Z,true,2025-01-03T00:08:33.855470412Z,ended,2025-01-03T00:12:52.295299168Z,"[[194,182],[331,424],[233,32],[341,65],[404,96],[202,152],[136,204],[298,17],[293,189],[50,387],[307,93],[252,9],[423,376],[107,428],[246,84],[255,443]]",2025-01-03T00:08:34.175621072Z,"[194,331,233,341,404,202,136,298,293,50,307,252,423,107,246,255]",2025-01-03T00:08:34.175621072Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-02T23:43:44.016866165Z,full-noncomp,2025-01-02T23:43:44.016866165Z
01JGMPEKWH8QMTD4WJEC8GZVHA,2,2025-01-03T00:04:51.485376441Z,01JGMPEKW1V97KK4X1VQTESBEP,2025-01-02T23:43:44.017123721Z,"[46,189,78,309]",2025-01-03T00:04:51.731822425Z,4,2025-01-03T00:04:51.512730028Z,comp-within,2025-01-03T00:04:51.512730028Z,true,2025-01-03T00:34:34.242113421Z,end of game,2025-01-03T00:34:34.289839177Z,01JGMPEKY43DV3Z6Z1DP3DHMP4,2025-01-02T23:43:44.070288664Z,true,2025-01-03T00:04:51.731822425Z,3,2025-01-03T00:04:51.512730028Z,270,2025-01-03T00:04:51.512730028Z,63,2025-01-03T00:04:51.731822425Z,1,2025-01-03T00:04:51.512730028Z,null,2025-01-03T00:34:34.242113421Z,true,2025-01-03T00:04:51.485376441Z,true,2025-01-03T00:04:51.485376441Z,ended,2025-01-03T00:34:34.289839177Z,"[[183,46],[183,189],[183,78],[183,309],[330,46],[330,189],[330,78],[330,309],[376,46],[376,189],[376,78],[376,309],[39,46],[39,189],[39,78],[39,309]]",2025-01-03T00:04:51.731822425Z,"[183,330,376,39]",2025-01-03T00:04:51.731822425Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-02T23:43:44.017123721Z,full-comp-within,2025-01-02T23:43:44.017123721Z
